"species_sci","First or Duplicate Entry?","KEY (species name & group size) _duplicates in red","Taxon","Group Size","Reference from 38 (see last tab)","Source(s) in reference from 38","Notes"
"Callithrix pygmaea","ok","Callithrix_pygmaea8","Callithrix_pygmaea",8,"Patterson et al. 2014","Soini 1987",
"Callithrix pygmaea","dup","Callithrix_pygmaea8","Callithrix_pygmaea",8,"Patterson et al. 2014","Soini 1982",
"Callithrix pygmaea","dup","Callithrix_pygmaea8","Callithrix_pygmaea",8,"Patterson et al. 2014","Soini 1982",
"Cebus albifrons","ok","Cebus_albifrons15","Cebus_albifrons",15,"Wrangham et al. 1993","Robinson & Janson 1986; Terborgh 1983",
"Cebus albifrons","ok","Cebus_albifrons14.5","Cebus_albifrons",14.5,"Smuts et al. 1987",,
"Cebus albifrons","dup","Cebus_albifrons15","Cebus_albifrons",15,"Smuts et al. 1987",,
"Cebus albifrons","ok","Cebus_albifrons35","Cebus_albifrons",35,"Smuts et al. 1987",,
"Cebus albifrons","dup","Cebus_albifrons15","Cebus_albifrons",15,"Dunbar 1991","Terborgh 1983",
"Cebus albifrons","ok","Cebus_albifrons20","Cebus_albifrons",20,"Rowe 1996",,
"Sapajus apella","ok","Cebus_apella10","Cebus_apella",10,"Wrangham et al. 1993","Robinson & Janson 1986",
"Sapajus apella","dup","Cebus_apella10","Cebus_apella",10,"Smuts et al. 1987",,
"Sapajus apella","ok","Cebus_apella16","Cebus_apella",16,"Smuts et al. 1987",,
"Sapajus apella","ok","Cebus_apella16.3","Cebus_apella",16.3,"Smuts et al. 1987",,
"Sapajus apella","dup","Cebus_apella10","Cebus_apella",10,"Dunbar 1991","Terborgh 1983",
"Sapajus apella","ok","Cebus_apella11","Cebus_apella",11,"Rowe 1996",,
"Sapajus apella","ok","Cebus_apella7","Cebus_apella",7,"Kudo & Dunbar 2001","Izawa 1980",
"Cebus capucinus","ok","Cebus_capucinus17.5","Cebus_capucinus",17.5,"Wrangham et al. 1993","Robinson & Janson 1986",
"Cebus capucinus","ok","Cebus_capucinus13","Cebus_capucinus",13,"Smuts et al. 1987",,
"Cebus capucinus","ok","Cebus_capucinus15","Cebus_capucinus",15,"Smuts et al. 1987",,
"Cebus capucinus","dup","Cebus_capucinus17.5","Cebus_capucinus",17.5,"Smuts et al. 1987",,
"Cebus capucinus","ok","Cebus_capucinus10","Cebus_capucinus",10,"Clutton-Brock & Harvey 1997",,
"Cebus capucinus","dup","Cebus_capucinus15","Cebus_capucinus",15,"Rowe 1996",,
"Cebus capucinus","dup","Cebus_capucinus10","Cebus_capucinus",10,"Patterson et al. 2014","Schultz 1956; Oppenheimer 1969a,b; Jolly 1972; Eisenberg & Thorington 1973","Patterson et al. supplementary material; from Clutton-Brock & Harvey 1977b"
"Cebus capucinus","dup","Cebus_capucinus10","Cebus_capucinus",10,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","dup","Cebus_capucinus13","Cebus_capucinus",13,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","dup","Cebus_capucinus15","Cebus_capucinus",15,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","ok","Cebus_capucinus16","Cebus_capucinus",16,"Patterson et al. 2014","Chapman & Fedigan 1990",
"Cebus capucinus","dup","Cebus_capucinus16","Cebus_capucinus",16,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","ok","Cebus_capucinus17","Cebus_capucinus",17,"Patterson et al. 2014","Panger 1998",
"Cebus capucinus","dup","Cebus_capucinus17.5","Cebus_capucinus",17.5,"Patterson et al. 2014","Robinson & Janson 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Cebus capucinus","ok","Cebus_capucinus20","Cebus_capucinus",20,"Patterson et al. 2014","Panger 1998",
"Cebus capucinus","ok","Cebus_capucinus21","Cebus_capucinus",21,"Patterson et al. 2014","Panger 1998",
"Cebus capucinus","ok","Cebus_capucinus26","Cebus_capucinus",26,"Patterson et al. 2014","Chapman & Fedigan 1990",
"Cebus capucinus","dup","Cebus_capucinus26","Cebus_capucinus",26,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","ok","Cebus_capucinus27","Cebus_capucinus",27,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","dup","Cebus_capucinus27","Cebus_capucinus",27,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","ok","Cebus_capucinus30","Cebus_capucinus",30,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","ok","Cebus_capucinus31","Cebus_capucinus",31,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","dup","Cebus_capucinus31","Cebus_capucinus",31,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","ok","Cebus_capucinus5","Cebus_capucinus",5,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","ok","Cebus_capucinus6","Cebus_capucinus",6,"Patterson et al. 2014","Phillips 1995","Patterson et al. supplementary material; from Majolo et al. 2008"
"Cebus capucinus","ok","Cebus_capucinus8","Cebus_capucinus",8,"Patterson et al. 2014","Perry et al. 2012",
"Cebus capucinus","ok","Cebus_capucinus9","Cebus_capucinus",9,"Patterson et al. 2014","Phillips 1995","Patterson et al. supplementary material; from Majolo et al. 2008"
"Cebus olivaceus","ok","Cebus_olivaceus20","Cebus_olivaceus",20,"Wrangham et al. 1993","Robinson & Janson 1986; Robinson 1988",
"Cebus olivaceus","ok","Cebus_olivaceus18.3","Cebus_olivaceus",18.3,"Smuts et al. 1987",,
"Cebus olivaceus","dup","Cebus_olivaceus20","Cebus_olivaceus",20,"Smuts et al. 1987",,
"Cebus olivaceus","ok","Cebus_olivaceus19.3","Cebus_olivaceus",19.3,"Dunbar 1991","de Ruiter 1986, Fragaszy 1986",
"Cebus olivaceus","ok","Cebus_olivaceus33","Cebus_olivaceus",33,"Clutton-Brock & Harvey 1997",,
"Cebus olivaceus","ok","Cebus_olivaceus21.5","Cebus_olivaceus",21.5,"Rowe 1996",,
"Cercocebus agilis","ok","Cercocebus_agilis15","Cercocebus_agilis",15,"Shah 2003",,
"Cercocebus galeritus","ok","Cercocebus_galeritus19","Cercocebus_galeritus",19,"Wrangham et al. 1993","Clutton-Brock & Harvey 1977a",
"Cercocebus galeritus","ok","Cercocebus_galeritus10.5","Cercocebus_galeritus",10.5,"Smuts et al. 1987",,
"Cercocebus galeritus","ok","Cercocebus_galeritus26","Cercocebus_galeritus",26,"Smuts et al. 1987",,
"Cercocebus galeritus","ok","Cercocebus_galeritus27","Cercocebus_galeritus",27,"Dunbar 1991","Homewood 1976",
"Cercocebus galeritus","dup","Cercocebus_galeritus26","Cercocebus_galeritus",26,"Clutton-Brock & Harvey 1997",,
"Cercocebus galeritus","ok","Cercocebus_galeritus26.5","Cercocebus_galeritus",26.5,"Rowe 1996",,
"Cercocebus torquatus","ok","Cercocebus_torquatus18.5","Cercocebus_torquatus",18.5,"Smuts et al. 1987",,
"Cercocebus torquatus","ok","Cercocebus_torquatus35","Cercocebus_torquatus",35,"Smuts et al. 1987",,
"Cercocebus torquatus","ok","Cercocebus_torquatus37","Cercocebus_torquatus",37,"Rowe 1996",,
"Cercocebus torquatus","ok","Cercocebus_torquatus_atys95","Cercocebus_torquatus_atys",95,"Rowe 1996",,
"Cercopithecus ascanius","ok","Cercopithecus_ascanius26.3","Cercopithecus_ascanius",26.3,"Wrangham et al. 1993","Cords 1986",
"Cercopithecus ascanius","ok","Cercopithecus_ascanius32.5","Cercopithecus_ascanius",32.5,"Wrangham et al. 1993","Cords 1986",
"Cercopithecus ascanius","ok","Cercopithecus_ascanius20","Cercopithecus_ascanius",20,"Smuts et al. 1987",,
"Cercopithecus ascanius","ok","Cercopithecus_ascanius22","Cercopithecus_ascanius",22,"Smuts et al. 1987",,
"Cercopithecus ascanius","ok","Cercopithecus_ascanius23","Cercopithecus_ascanius",23,"Smuts et al. 1987",,
"Cercopithecus ascanius","dup","Cercopithecus_ascanius32.5","Cercopithecus_ascanius",32.5,"Smuts et al. 1987",,
"Cercopithecus ascanius","ok","Cercopithecus_ascanius33","Cercopithecus_ascanius",33,"Smuts et al. 1987",,
"Cercopithecus ascanius","ok","Cercopithecus_ascanius34","Cercopithecus_ascanius",34,"Smuts et al. 1987",,
"Cercopithecus ascanius","ok","Cercopithecus_ascanius37.5","Cercopithecus_ascanius",37.5,"Smuts et al. 1987",,
"Cercopithecus ascanius","dup","Cercopithecus_ascanius32.5","Cercopithecus_ascanius",32.5,"Dunbar 1991","Struhsaker & Laland 1979",
"Cercopithecus ascanius","ok","Cercopithecus_ascanius21","Cercopithecus_ascanius",21,"Rowe 1996",,
"Cercopithecus ascanius","ok","Cercopithecus_ascanius14","Cercopithecus_ascanius",14,"Patterson et al. 2014","Struhsaker unpublished data",
"Cercopithecus ascanius","ok","Cercopithecus_ascanius16","Cercopithecus_ascanius",16,"Patterson et al. 2014","Struhsaker unpublished data",
"Cercopithecus ascanius","ok","Cercopithecus_ascanius17","Cercopithecus_ascanius",17,"Patterson et al. 2014","Windfelder & Lwanga 2002",
"Cercopithecus ascanius","dup","Cercopithecus_ascanius22","Cercopithecus_ascanius",22,"Patterson et al. 2014","Cords 1986",
"Cercopithecus ascanius","ok","Cercopithecus_ascanius24","Cercopithecus_ascanius",24,"Patterson et al. 2014","Struhsaker unpublished data",
"Cercopithecus ascanius","dup","Cercopithecus_ascanius26.3","Cercopithecus_ascanius",26.3,"Patterson et al. 2014","Cords 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Cercopithecus ascanius","ok","Cercopithecus_ascanius31","Cercopithecus_ascanius",31,"Patterson et al. 2014","Struhsaker unpublished data",
"Cercopithecus ascanius","dup","Cercopithecus_ascanius32.5","Cercopithecus_ascanius",32.5,"Patterson et al. 2014","Cords 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Cercopithecus ascanius","ok","Cercopithecus_ascanius34.4","Cercopithecus_ascanius",34.4,"Patterson et al. 2014","Struhsaker and Leland 1988","Patterson et al. supplementary material; from Janson & Goldsmith 1995"
"Cercopithecus ascanius","ok","Cercopithecus_ascanius35","Cercopithecus_ascanius",35,"Patterson et al. 2014","Struhsaker 1975, 1977","Patterson et al. supplementary material; from Hill & Lee 1998"
"Cercopithecus campbelli","ok","Cercopithecus_campbelli10.5","Cercopithecus_campbelli",10.5,"Smuts et al. 1987",,
"Cercopithecus campbelli","ok","Cercopithecus_campbelli9","Cercopithecus_campbelli",9,"Clutton-Brock & Harvey 1997",,
"Cercopithecus campbelli","ok","Cercopithecus_campbelli14","Cercopithecus_campbelli",14,"Rowe 1996",,
"Cercopithecus campbelli","ok","Cercopithecus_campbelli5","Cercopithecus_campbelli",5,"Kudo & Dunbar 2001","Hunkler et al. 1972",
"Cercopithecus cephus","ok","Cercopithecus_cephus10","Cercopithecus_cephus",10,"Wrangham et al. 1993","Clutton-Brock & Harvey 1977a",
"Cercopithecus cephus","dup","Cercopithecus_cephus10","Cercopithecus_cephus",10,"Smuts et al. 1987",,
"Cercopithecus cephus","ok","Cercopithecus_cephus11.5","Cercopithecus_cephus",11.5,"Smuts et al. 1987",,
"Cercopithecus diana","ok","Cercopithecus_diana14","Cercopithecus_diana",14,"Smuts et al. 1987",,
"Cercopithecus diana","ok","Cercopithecus_diana20","Cercopithecus_diana",20,"Smuts et al. 1987",,
"Cercopithecus diana","ok","Cercopithecus_diana35","Cercopithecus_diana",35,"Smuts et al. 1987",,
"Cercopithecus diana","ok","Cercopithecus_diana27.5","Cercopithecus_diana",27.5,"Rowe 1996",,
"Cercopithecus diana","ok","Cercopithecus_diana5","Cercopithecus_diana",5,"Kudo & Dunbar 2001","Byrne et al. 1983",
"Cercopithecus erythrogaster","ok","Cercopithecus_erythrogaster30","Cercopithecus_erythrogaster",30,"Rowe 1996",,
"Cercopithecus hamlyni","ok","Cercopithecus_hamlyni10","Cercopithecus_hamlyni",10,"Rowe 1996",,
"Cercopithecus lhoesti","ok","Cercopithecus_lhoesti17.4","Cercopithecus_lhoesti",17.4,"Smuts et al. 1987",,
"Cercopithecus lhoesti","ok","Cercopithecus_lhoesti11","Cercopithecus_lhoesti",11,"Rowe 1996",,
"Cercopithecus mitis","ok","Cercopithecus_mitis18.7","Cercopithecus_mitis",18.7,"Wrangham et al. 1993","Cords 1986",
"Cercopithecus mitis","ok","Cercopithecus_mitis32.6","Cercopithecus_mitis",32.6,"Wrangham et al. 1993","Cords 1986",
"Cercopithecus mitis","ok","Cercopithecus_mitis10","Cercopithecus_mitis",10,"Smuts et al. 1987",,
"Cercopithecus mitis","ok","Cercopithecus_mitis11","Cercopithecus_mitis",11,"Smuts et al. 1987",,
"Cercopithecus mitis","ok","Cercopithecus_mitis12","Cercopithecus_mitis",12,"Smuts et al. 1987",,
"Cercopithecus mitis","ok","Cercopithecus_mitis13.6","Cercopithecus_mitis",13.6,"Smuts et al. 1987",,
"Cercopithecus mitis","ok","Cercopithecus_mitis15","Cercopithecus_mitis",15,"Smuts et al. 1987",,
"Cercopithecus mitis","ok","Cercopithecus_mitis16","Cercopithecus_mitis",16,"Smuts et al. 1987",,
"Cercopithecus mitis","dup","Cercopithecus_mitis16","Cercopithecus_mitis",16,"Smuts et al. 1987",,
"Cercopithecus mitis","ok","Cercopithecus_mitis18","Cercopithecus_mitis",18,"Smuts et al. 1987",,
"Cercopithecus mitis","dup","Cercopithecus_mitis18.7","Cercopithecus_mitis",18.7,"Smuts et al. 1987",,
"Cercopithecus mitis","dup","Cercopithecus_mitis32.6","Cercopithecus_mitis",32.6,"Smuts et al. 1987",,
"Cercopithecus mitis","ok","Cercopithecus_mitis24","Cercopithecus_mitis",24,"Dunbar 1991","Struhsaker & Laland 1979",
"Cercopithecus mitis","ok","Cercopithecus_mitis14","Cercopithecus_mitis",14,"Clutton-Brock & Harvey 1997",,
"Cercopithecus mitis","ok","Cercopithecus_mitis41","Cercopithecus_mitis",41,"Rowe 1996",,
"Cercopithecus mitis","dup","Cercopithecus_mitis11","Cercopithecus_mitis",11,"Patterson et al. 2014","Treves 1999",
"Cercopithecus mitis","dup","Cercopithecus_mitis14","Cercopithecus_mitis",14,"Patterson et al. 2014","Hill 1966; Aldrich—Blake 1970; Kingdon 1971; DeVos & Omar 1971; Struhsaker 1975","Patterson et al. supplementary material; from Clutton-Brock & Harvey 1977b"
"Cercopithecus mitis","ok","Cercopithecus_mitis14.5","Cercopithecus_mitis",14.5,"Patterson et al. 2014","Butynski 1990","Patterson et al. supplementary material; from Janson & Goldsmith 1995"
"Cercopithecus mitis","ok","Cercopithecus_mitis17","Cercopithecus_mitis",17,"Patterson et al. 2014","Smith et al. 2008",
"Cercopithecus mitis","dup","Cercopithecus_mitis18.7","Cercopithecus_mitis",18.7,"Patterson et al. 2014","Cords 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Cercopithecus mitis","dup","Cercopithecus_mitis24","Cercopithecus_mitis",24,"Patterson et al. 2014","Rudran 1978",
"Cercopithecus mitis","dup","Cercopithecus_mitis32.6","Cercopithecus_mitis",32.6,"Patterson et al. 2014","Cords 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Cercopithecus mitis","ok","Cercopithecus_mitis34","Cercopithecus_mitis",34,"Patterson et al. 2014","Smith et al. 2008",
"Cercopithecus mitis","ok","Cercopithecus_mitis49","Cercopithecus_mitis",49,"Patterson et al. 2014","Forster & Cords 2005",
"Cercopithecus mitis","dup","Cercopithecus_mitis17","Cercopithecus_mitis",17,"Kudo & Dunbar 2001","Rowell et al. 1991",
"Cercopithecus mona","ok","Cercopithecus_mona21.5","Cercopithecus_mona",21.5,"Rowe 1996",,
"Cercopithecus neglectus","ok","Cercopithecus_neglectus4","Cercopithecus_neglectus",4,"Wrangham et al. 1993","Cords 1986",
"Cercopithecus neglectus","dup","Cercopithecus_neglectus4","Cercopithecus_neglectus",4,"Smuts et al. 1987",,
"Cercopithecus neglectus","ok","Cercopithecus_neglectus5","Cercopithecus_neglectus",5,"Smuts et al. 1987",,
"Cercopithecus neglectus","ok","Cercopithecus_neglectus6","Cercopithecus_neglectus",6,"Smuts et al. 1987",,
"Cercopithecus neglectus","dup","Cercopithecus_neglectus6","Cercopithecus_neglectus",6,"Rowe 1996",,
"Cercopithecus nictitans","ok","Cercopithecus_nictitans20","Cercopithecus_nictitans",20,"Wrangham et al. 1993","Clutton-Brock & Harvey 1977a",
"Cercopithecus nictitans","ok","Cercopithecus_nictitans16.5","Cercopithecus_nictitans",16.5,"Smuts et al. 1987",,
"Cercopithecus nictitans","dup","Cercopithecus_nictitans20","Cercopithecus_nictitans",20,"Rowe 1996",,
"Cercopithecus petaurista","ok","Cercopithecus_petaurista17.5","Cercopithecus_petaurista",17.5,"Rowe 1996",,
"Cercopithecus pogonias","ok","Cercopithecus_pogonias15","Cercopithecus_pogonias",15,"Wrangham et al. 1993","Clutton-Brock & Harvey 1977a",
"Cercopithecus pogonias","ok","Cercopithecus_pogonias15.5","Cercopithecus_pogonias",15.5,"Smuts et al. 1987",,
"Cercopithecus pogonias","ok","Cercopithecus_pogonias14","Cercopithecus_pogonias",14,"Rowe 1996",,
"Cercopithecus preussi","ok","Cercopithecus_preussi5","Cercopithecus_preussi",5,"Rowe 1996",,
"Cercopithecus wolfi","ok","Cercopithecus_wolfi6.5","Cercopithecus_wolfi",6.5,"Rowe 1996",,
"Cheirogaleus major","ok","Cheirogaleus_major5.5","Cheirogaleus_major",5.5,"Maclean et al. 2009","Kappeler and Heymann 1996, Kappeler 1997, Atsalis 2000, Fietz et al. 2000, Sterling and McCreless 2006, Eberle and Kappeler 2006, Lahann 2007a, and Rasoloharijaona et al. 2008",
"Cheirogaleus medius","ok","Cheirogaleus_medius3","Cheirogaleus_medius",3,"Maclean et al. 2009","Kappeler and Heymann 1996, Kappeler 1997, Atsalis 2000, Fietz et al. 2000, Sterling and McCreless 2006, Eberle and Kappeler 2006, Lahann 2007a, and Rasoloharijaona et al. 2008",
"Cheirogaleus medius","ok","Cheirogaleus_medius1","Cheirogaleus_medius",1,"Smuts et al. 1987",,
"Cheirogaleus medius","dup","Cheirogaleus_medius3","Cheirogaleus_medius",3,"Rowe 1996",,"sleep"
"Chiropotes satanas","ok","Chiropotes_satanas19","Chiropotes_satanas",19,"Wrangham et al. 1993","Robinson et al. 1986",
"Chiropotes satanas","dup","Chiropotes_satanas19","Chiropotes_satanas",19,"Smuts et al. 1987",,
"Chiropotes satanas","ok","Chiropotes_satanas20","Chiropotes_satanas",20,"Rowe 1996",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops24","Chlorocebus_aethiops",24,"Wrangham et al. 1993","Cords 1986",
"Chlorocebus aethiops","ok","Chlorocebus_aethiops10","Chlorocebus_aethiops",10,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops17","Chlorocebus_aethiops",17,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops17.7","Chlorocebus_aethiops",17.7,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops17.9","Chlorocebus_aethiops",17.9,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops19.7","Chlorocebus_aethiops",19.7,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops21","Chlorocebus_aethiops",21,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops22.8","Chlorocebus_aethiops",22.8,"Smuts et al. 1987",,
"Chlorocebus aethiops","dup","Chlorocebus_aethiops24","Chlorocebus_aethiops",24,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops40","Chlorocebus_aethiops",40,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops40.1","Chlorocebus_aethiops",40.1,"Smuts et al. 1987",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops15","Chlorocebus_aethiops",15,"Clutton-Brock & Harvey 1997",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops40.5","Chlorocebus_aethiops",40.5,"Rowe 1996",,
"Chlorocebus aethiops","ok","Chlorocebus_aethiops7.7","Chlorocebus_aethiops",7.7,"Kudo & Dunbar 2001","Seyfarth 1980; Fairbanks 1980",
"Chlorocebus pygerythrus","ok","Chlorocebus_pygerythrus40.5","Chlorocebus_pygerythrus",40.5,"Rowe 1996",,"subspecies C aethiops"
"Colobus angolensis","ok","Colobus_angolensis9","Colobus_angolensis",9,"Rowe 1996",,
"Colobus guereza","ok","Colobus_guereza12","Colobus_guereza",12,"Wrangham et al. 1993","Struhsaker & Leland 1986",
"Colobus guereza","dup","Colobus_guereza12","Colobus_guereza",12,"Smuts et al. 1987",,
"Colobus guereza","ok","Colobus_guereza9.2","Colobus_guereza",9.2,"Dunbar 1991","Dunbar & Dunbar 1974, Struhsaker & Laland 1979",
"Colobus guereza","ok","Colobus_guereza8","Colobus_guereza",8,"Clutton-Brock & Harvey 1997",,
"Colobus guereza","ok","Colobus_guereza9","Colobus_guereza",9,"Rowe 1996",,
"Colobus guereza","ok","Colobus_guereza4.8","Colobus_guereza",4.8,"Kudo & Dunbar 2001","Dunbar & Dunbar 1976, unpublished data",
"Colobus polykomos","ok","Colobus_polykomos9","Colobus_polykomos",9,"Dunbar 1991","G. Dasilva",
"Colobus polykomos","ok","Colobus_polykomos13","Colobus_polykomos",13,"Rowe 1996",,
"Colobus satanas","ok","Colobus_satanas15.5","Colobus_satanas",15.5,"Wrangham et al. 1993","Struhsaker & Leland 1986",
"Colobus satanas","dup","Colobus_satanas15.5","Colobus_satanas",15.5,"Smuts et al. 1987",,
"Colobus satanas","ok","Colobus_satanas12.5","Colobus_satanas",12.5,"Dunbar 1991","McKey & Waterman 1982, M. Harrison",
"Colobus satanas","ok","Colobus_satanas15","Colobus_satanas",15,"Rowe 1996",,
"Daubentonia madagascariensis","ok","Daubentonia_madagascariensis2","Daubentonia_madagascariensis",2,"Maclean et al. 2009","Kappeler and Heymann 1996, Kappeler 1997, Atsalis 2000, Fietz et al. 2000, Sterling and McCreless 2006, Eberle and Kappeler 2006, Lahann 2007a, and Rasoloharijaona et al. 2008",
"Daubentonia madagascariensis","ok","Daubentonia_madagascariensis1.5","Daubentonia_madagascariensis",1.5,"Rowe 1996",,
"Erythrocebus patas","ok","Erythrocebus_patas20.6","Erythrocebus_patas",20.6,"Wrangham et al. 1993","Cords 1986",
"Erythrocebus patas","ok","Erythrocebus_patas35.5","Erythrocebus_patas",35.5,"Wrangham et al. 1993","Cords 1986",
"Erythrocebus patas","dup","Erythrocebus_patas20.6","Erythrocebus_patas",20.6,"Smuts et al. 1987",,
"Erythrocebus patas","dup","Erythrocebus_patas35.5","Erythrocebus_patas",35.5,"Smuts et al. 1987",,
"Erythrocebus patas","ok","Erythrocebus_patas20","Erythrocebus_patas",20,"Clutton-Brock & Harvey 1997",,
"Erythrocebus patas","ok","Erythrocebus_patas19.5","Erythrocebus_patas",19.5,"Rowe 1996",,
"Erythrocebus patas","ok","Erythrocebus_patas12","Erythrocebus_patas",12,"Patterson et al. 2014","Nakagawa et al. 2003",
"Erythrocebus patas","ok","Erythrocebus_patas19","Erythrocebus_patas",19,"Patterson et al. 2014","Hall 1965","Patterson et al. supplementary material; from Hill & Lee 1998"
"Erythrocebus patas","dup","Erythrocebus_patas20","Erythrocebus_patas",20,"Patterson et al. 2014","Hall 1966; Jolly 1972","Patterson et al. supplementary material; from Clutton-Brock & Harvey 1977b"
"Erythrocebus patas","dup","Erythrocebus_patas20","Erythrocebus_patas",20,"Patterson et al. 2014","Starin 1981, 1993","Patterson et al. supplementary material; from Hill & Lee 1998"
"Erythrocebus patas","dup","Erythrocebus_patas20.6","Erythrocebus_patas",20.6,"Patterson et al. 2014","Cords 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Erythrocebus patas","ok","Erythrocebus_patas21","Erythrocebus_patas",21,"Patterson et al. 2014","Struhsaker & Gartlan 1970","Patterson et al. supplementary material; from Hill & Lee 1998"
"Erythrocebus patas","ok","Erythrocebus_patas24","Erythrocebus_patas",24,"Patterson et al. 2014","Chism and Rowell 1988","Patterson et al. supplementary material; from Janson & Goldsmith 1995"
"Erythrocebus patas","ok","Erythrocebus_patas31.2","Erythrocebus_patas",31.2,"Patterson et al. 2014","Chism et al. 1983; Chism & Rowell 1988","Patterson et al. supplementary material; from Hill & Lee 1998"
"Erythrocebus patas","dup","Erythrocebus_patas35.5","Erythrocebus_patas",35.5,"Patterson et al. 2014","Chism & Olson, unpub.","Patterson et al. supplementary material; from Beauchamp & Cabana 1990"
"Erythrocebus patas","dup","Erythrocebus_patas35.5","Erythrocebus_patas",35.5,"Patterson et al. 2014","Cords 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
"Erythrocebus patas","ok","Erythrocebus_patas37","Erythrocebus_patas",37,"Patterson et al. 2014","Nakagawa 1998",
"Erythrocebus patas","ok","Erythrocebus_patas44","Erythrocebus_patas",44,"Patterson et al. 2014","Nakagawa et al. 2003",
"Erythrocebus patas","ok","Erythrocebus_patas45","Erythrocebus_patas",45,"Patterson et al. 2014","Nakagawa et al. 2003",
"Erythrocebus patas","ok","Erythrocebus_patas51","Erythrocebus_patas",51,"Patterson et al. 2014","Enstam & Isbell 2002",
"Erythrocebus patas","ok","Erythrocebus_patas8","Erythrocebus_patas",8,"Patterson et al. 2014","Nakagawa 2008",
"Erythrocebus patas","ok","Erythrocebus_patas10","Erythrocebus_patas",10,"Kudo & Dunbar 2001","Kaplan & Zucker 1980; Nakagawa 1992",
"Eulemur coronatus","ok","Eulemur_coronatus8.4","Eulemur_coronatus",8.4,"Maclean et al. 2009","Kappeler and Heymann 1996, Kappeler 1997, Atsalis 2000, Fietz et al. 2000, Sterling and McCreless 2006, Eberle and Kappeler 2006, Lahann 2007a, and Rasoloharijaona et al. 2008",
"Eulemur coronatus","ok","Eulemur_coronatus5.5","Eulemur_coronatus",5.5,"Rowe 1996",,
"Eulemur fulvus","ok","Eulemur_fulvus_fulvus9.5","Eulemur_fulvus_fulvus",9.5,"Wrangham et al. 1993","Clutton-Brock & Harvey 1977a",
"Eulemur fulvus","ok","Eulemur_fulvus_fulvus9","Eulemur_fulvus_fulvus",9,"Smuts et al. 1987",,
"Eulemur fulvus","dup","Eulemur_fulvus_fulvus9.5","Eulemur_fulvus_fulvus",9.5,"Dunbar 1991","Sussman 1977",
"Eulemur fulvus","ok","Eulemur_fulvus_fulvus9.4","Eulemur_fulvus_fulvus",9.4,"Clutton-Brock & Harvey 1997",,
"Eulemur fulvus","ok","Eulemur_fulvus_fulvus15.5","Eulemur_fulvus_fulvus",15.5,"Rowe 1996",,
"Eulemur fulvus","ok","Eulemur_fulvus_fulvus7","Eulemur_fulvus_fulvus",7,"Kudo & Dunbar 2001","Harrington 1975",
"Eulemur fulvus rufus","ok","Eulemur_fulvus_rufus9.2","Eulemur_fulvus_rufus",9.2,"Maclean et al. 2009","Kappeler and Heymann 1996, Kappeler 1997, Atsalis 2000, Fietz et al. 2000, Sterling and McCreless 2006, Eberle and Kappeler 2006, Lahann 2007a, and Rasoloharijaona et al. 2008",
"Eulemur macaco macaco","ok","Eulemur_macaco_macaco8.4","Eulemur_macaco_macaco",8.4,"Maclean et al. 2009","Kappeler and Heymann 1996, Kappeler 1997, Atsalis 2000, Fietz et al. 2000, Sterling and McCreless 2006, Eberle and Kappeler 2006, Lahann 2007a, and Rasoloharijaona et al. 2008",
"Eulemur macaco macaco","ok","Eulemur_macaco_macaco10","Eulemur_macaco_macaco",10,"Smuts et al. 1987",,
"Eulemur macaco macaco","ok","Eulemur_macaco_macaco8.5","Eulemur_macaco_macaco",8.5,"Rowe 1996",,
