taxon,sp,dec_region,our_term,dec_value,ref_ids,ref_is_stephan,status,flag,matched_source,matched_variable,matched_sp,matched_value,pct_diff,mismatch_source,mismatch_value,mismatch_pct
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,22100,61,FALSE,match,match,MacLeod_specimen,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,22100,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1800,61,FALSE,match,match,MacLeod_specimen,Cerebellum_Vol.mm3,aotus trivirgatus,1800,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,16195,24;51;52,TRUE,match,match,Stephan_etal_1981_TableIII,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,16195,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1873,24;51;52,TRUE,match,match,Stephan_etal_1981_TableIII,Cerebellum_Vol.mm3,aotus trivirgatus,1873,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Mesencephalon,Mesencephalon_Vol.mm3,409,24;51;52,TRUE,match,match,Stephan_etal_1981_TableIII,Mesencephalon_Vol.mm3,aotus trivirgatus,409,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Diencephalon,Diencephalon_Vol.mm3,1098,24;51;52,TRUE,match,match,Stephan_etal_1981_TableIII,Diencephalon_Vol.mm3,aotus trivirgatus,1098,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Telencephalon,Telencephalon_Vol.mm3,12128,24;51;52,TRUE,match,match,Stephan_etal_1981_TableIII,Telencephalon_Vol.mm3,aotus trivirgatus,12128,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,MOB,Bulbus_olfactorius_Vol.mm3,56,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Bulbus_olfactorius_Vol.mm3,aotus trivirgatus,56,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,0.222,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Bulbus_olfactorius_accessorius_Vol.mm3,aotus trivirgatus,0.222,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Piriform Lobe,Lobus_piriformis_Vol.mm3,394,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Lobus_piriformis_Vol.mm3,aotus trivirgatus,394,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Septum,Septum_Vol.mm3,83.3,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Septum_Vol.mm3,aotus trivirgatus,83.8,0.597,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Striatum,Striatum_Vol.mm3,862,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Striatum_Vol.mm3,aotus trivirgatus,862,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Schizocortex,Schizo_cortex_Vol.mm3,243,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Schizo_cortex_Vol.mm3,aotus trivirgatus,243,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Hippocampus,Hippocampus_Vol.mm3,539,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Hippocampus_Vol.mm3,aotus trivirgatus,539,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM+WM),Neocortex_Vol.mm3,9950,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Neocortex_Vol.mm3,aotus trivirgatus,9950,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,LGN,Corpus_geniculatum_laterale_Vol.mm3,36,24;51;52,TRUE,match,match,Stephan_etal_1981_TableIX,Corpus_geniculatum_laterale_Vol.mm3,aotus trivirgatus,36,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Paleocortex,Palaeocortex_Vol.mm3,203,24;51;52,TRUE,match,match,Stephan_etal_1981_TableXI,Palaeocortex_Vol.mm3,aotus trivirgatus,203,0,NA,NA,NA
