Class,Order,Taxon,T,BM,Tb min,TMRmin,TMRrel,TBDmax,TBDmean,IBE,LAT,References
MAMMALIA,Rodentia,Peromyscus maniculatus,DT,0.018,13.4,0.55,28,10.8,7.3,—,40.92,"McNab & Morrison (1963), Morhardt"
MAMMALIA,Rodentia,Petromyscus collinus,DT,0.019,18,—,—,—,—,—,−24.17,Withers et al. (1980)
MAMMALIA,Rodentia,Phodopus sungorus,DT,0.025,12.3,0.88,46,13.8,6.3,—,50.89,Ruf et al. (1993) and T. Ruf
MAMMALIA,Rodentia,Phyllotis darwini,DT,0.036,17.5,0.19,15,12,—,—,−30.74,Bozinovic & Marquet (1991)
MAMMALIA,Rodentia,Reithrodontomys megalotis,DT,0.008,13,0.3,12,10,4,—,33.28,Thompson (1985)
MAMMALIA,Rodentia,Saccostomus campestris,DT,0.071,25,0.35,56,2.7,6.8,—,−19.68,Mzilikazi & Lovegrove (2002)
MAMMALIA,Rodentia,Spermophilus armatus,HIB,0.5,—,—,—,576,302,9.5,42.02,Cranford (1986)
MAMMALIA,Rodentia,Spermophilus beecheyi,HIB,0.6,6.1,—,—,72,48,—,38.32,Strumwasser (1960) and Pengelley &
MAMMALIA,Rodentia,Spermophilus beldingi,HIB,0.4,—,—,—,400,—,9,41.29,French (1985)
MAMMALIA,Rodentia,Spermophilus citellus,HIB,0.25,−0.7,—,—,415,192,14,45.52,"Németh, Nyitrai & Altbäcker (2009)"
MAMMALIA,Rodentia,Spermophilus columbianus,HIB,0.5,0,—,—,424,600,12,49.15,Young (1990)
MAMMALIA,Rodentia,Spermophilus dauricus,HIB,0.35,−2.4,—,—,377,260,12.75,43.33,Yang et al. (2011)
MAMMALIA,Rodentia,Spermophilus elegans,HIB,0.3,—,—,—,450,338,24,43.96,Harlow & Menkens (1986)
MAMMALIA,Rodentia,Spermophilus lateralis,HIB,0.2,−1,0.028,4,504,408,13.5,44.51,Hammel et al. (1968) and Healy et al.
MAMMALIA,Rodentia,Spermophilus mexicanus,HIB,0.2,7,0.06,7,60,36,—,26.39,Neumann & Cade (1965)
MAMMALIA,Rodentia,Spermophilus parryii,HIB,0.65,−2.9,0.012,2,550,420,14.8,63.39,"Hock (1960), Barnes (1989), Barnes &"
MAMMALIA,Rodentia,Spermophilus richardsonii,HIB,0.4,2,0.02,4,456,—,10.3,49.39,Hudson & Deavers (1973) and Wang
MAMMALIA,Rodentia,Spermophilus saturatus,HIB,0.23,0.3,0.017,4,360,254,—,47.94,"Geiser, Hiebert & Kenagy (1990)"
MAMMALIA,Rodentia,Spermophilus tereticaudus,HIB,0.125,—,0.048,7,120,—,—,32.04,Pengelley & Kelley (1966) and Bickler
MAMMALIA,Rodentia,Spermophilus variegatus,HIB,0.7,8,—,—,172,110,—,29.99,Pengelley (1964) and Pengelley &
MAMMALIA,Rodentia,Spermophilus xanthoprymnus,HIB,0.3,4,—,—,468,199,—,38.76,"Kart Gür, Refinetti & Gür (2009)"
MAMMALIA,Rodentia,Steatomys pratensis,DT,0.028,16.4,0.3,22,16.9,21.5,—,−20,Ellison (1995)
MAMMALIA,Rodentia,Tamias amoenus,HIB,0.054,−0.2,0.026,2,312,211,—,45.07,Kenagy & Vleck (1982) and Geiser et al.
MAMMALIA,Rodentia,Tamias striatus,HIB,0.087,4.9,0.06,6,150,120,18,40.78,"Wang & Hudson (1971), Pivorun (1976)"
MAMMALIA,Rodentia,Zapus hudsonius,HIB,0.0226,—,0.043,3,451,—,—,48.34,Muchlinski & Rybak (1978)
