Species,Variable,Source,Value,priority
Sus scrofa domesticus,CerebralCortexNoHippocampus_n,DosSantos_etal_2020_Table1,23,1
Sus scrofa domesticus,CerebralCortexNoHippocampus_Mass.g,DosSantos_etal_2020_Table1,40.274,1
Sus scrofa domesticus,CerebralCortex_C.n,DosSantos_etal_2020_Table1,3476643442,1
Sus scrofa domesticus,CerebralCortex_I.n,DosSantos_etal_2020_Table1,388217638,1
Sus scrofa domesticus,CerebralCortex_I.p.mg,DosSantos_etal_2020_Table1,9048,1
Sus scrofa domesticus,CerebralCortex_I.p.N,DosSantos_etal_2020_Table1,1.264,1
Sus scrofa domesticus,CerebralCortex_N.n,DosSantos_etal_2020_Table1,307082404,1
Sus scrofa domesticus,CerebralCortex_N.p.mg,DosSantos_etal_2020_Table1,7276,1
Sus scrofa domesticus,CerebralCortex_n,DosSantos_etal_2020_Table1,24,1
Sus scrofa domesticus,CerebralCortex_Mass.g,DosSantos_etal_2020_Table1,42.202,1
Sus scrofa domesticus,Hippocampus_C.n,DosSantos_etal_2020_Table1,146289062,1
Sus scrofa domesticus,Hippocampus_I.n,DosSantos_etal_2020_Table1,22141064,1
Sus scrofa domesticus,Hippocampus_I.p.mg,DosSantos_etal_2020_Table1,11480,1
Sus scrofa domesticus,Hippocampus_I.p.N,DosSantos_etal_2020_Table1,1.715,1
Sus scrofa domesticus,Hippocampus_N.n,DosSantos_etal_2020_Table1,12907084,1
Sus scrofa domesticus,Hippocampus_N.p.mg,DosSantos_etal_2020_Table1,6692,1
Sus scrofa domesticus,Hippocampus_n,DosSantos_etal_2020_Table1,1,1
Sus scrofa domesticus,Hippocampus_Mass.g,DosSantos_etal_2020_Table1,1.928,1
Sus scrofa domesticus,PonsMedulla_C.n,DosSantos_etal_2020_Table1,NA,1
Sus scrofa domesticus,PonsMedulla_I.n,DosSantos_etal_2020_Table1,NA,1
Sus scrofa domesticus,PonsMedulla_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Sus scrofa domesticus,PonsMedulla_I.p.N,DosSantos_etal_2020_Table1,NA,1
Sus scrofa domesticus,PonsMedulla_N.n,DosSantos_etal_2020_Table1,NA,1
Sus scrofa domesticus,PonsMedulla_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Sus scrofa domesticus,PonsMedulla_n,DosSantos_etal_2020_Table1,NA,1
Sus scrofa domesticus,PonsMedulla_Mass.g,DosSantos_etal_2020_Table1,NA,1
Sus scrofa domesticus,RoB_C.n,DosSantos_etal_2020_Table1,1155531250,1
Sus scrofa domesticus,RoB_I.n,DosSantos_etal_2020_Table1,129924626,1
Sus scrofa domesticus,RoB_I.p.mg,DosSantos_etal_2020_Table1,9386,1
Sus scrofa domesticus,RoB_I.p.N,DosSantos_etal_2020_Table1,2.213,1
Sus scrofa domesticus,RoB_N.n,DosSantos_etal_2020_Table1,58709836,1
Sus scrofa domesticus,RoB_N.p.mg,DosSantos_etal_2020_Table1,4238,1
Sus scrofa domesticus,RoB_n,DosSantos_etal_2020_Table1,3,1
Sus scrofa domesticus,RoB_Mass.g,DosSantos_etal_2020_Table1,13.85,1
Sus scrofa domesticus,Species_Source,DosSantos_etal_2020_Table1,Sus scrofa domesticus,1
Tragelaphus strepsiceros,WholeBrain_C.n,DosSantos_etal_2020_Table1,21751929,1
Tragelaphus strepsiceros,WholeBrain_I.n,DosSantos_etal_2020_Table1,1204929478,1
Tragelaphus strepsiceros,WholeBrain_I.p.mg,DosSantos_etal_2020_Table1,3800,1
Tragelaphus strepsiceros,WholeBrain_I.p.N,DosSantos_etal_2020_Table1,0.245,1
Tragelaphus strepsiceros,WholeBrain_N.n,DosSantos_etal_2020_Table1,4911651549,1
Tragelaphus strepsiceros,WholeBrain_N.p.mg,DosSantos_etal_2020_Table1,16006,1
Tragelaphus strepsiceros,WholeBrain_n,DosSantos_etal_2020_Table1,43,1
Tragelaphus strepsiceros,WholeBrain_Mass.g,DosSantos_etal_2020_Table1,306.86,1
Tragelaphus strepsiceros,Cerebellum_C.n,DosSantos_etal_2020_Table1,5308593750,1
Tragelaphus strepsiceros,Cerebellum_I.n,DosSantos_etal_2020_Table1,96616406,1
Tragelaphus strepsiceros,Cerebellum_I.p.mg,DosSantos_etal_2020_Table1,3041,1
Tragelaphus strepsiceros,Cerebellum_I.p.N,DosSantos_etal_2020_Table1,0.024,1
Tragelaphus strepsiceros,Cerebellum_N.n,DosSantos_etal_2020_Table1,4042494141,1
Tragelaphus strepsiceros,Cerebellum_N.p.mg,DosSantos_etal_2020_Table1,127218,1
Tragelaphus strepsiceros,Cerebellum_n,DosSantos_etal_2020_Table1,1,1
Tragelaphus strepsiceros,Cerebellum_Mass.g,DosSantos_etal_2020_Table1,31.776,1
Tragelaphus strepsiceros,CerebralCortexNoHippocampus_C.n,DosSantos_etal_2020_Table1,12392809376,1
Tragelaphus strepsiceros,CerebralCortexNoHippocampus_I.n,DosSantos_etal_2020_Table1,799590074,1
Tragelaphus strepsiceros,CerebralCortexNoHippocampus_I.p.mg,DosSantos_etal_2020_Table1,3772,1
Tragelaphus strepsiceros,CerebralCortexNoHippocampus_I.p.N,DosSantos_etal_2020_Table1,1.101,1
Tragelaphus strepsiceros,CerebralCortexNoHippocampus_N.n,DosSantos_etal_2020_Table1,726411196,1
Tragelaphus strepsiceros,CerebralCortexNoHippocampus_N.p.mg,DosSantos_etal_2020_Table1,3588,1
Tragelaphus strepsiceros,CerebralCortexNoHippocampus_n,DosSantos_etal_2020_Table1,36,1
Tragelaphus strepsiceros,CerebralCortexNoHippocampus_Mass.g,DosSantos_etal_2020_Table1,202.434,1
Tragelaphus strepsiceros,CerebralCortex_C.n,DosSantos_etal_2020_Table1,13064871626,1
Tragelaphus strepsiceros,CerebralCortex_I.n,DosSantos_etal_2020_Table1,837474821,1
Tragelaphus strepsiceros,CerebralCortex_I.p.mg,DosSantos_etal_2020_Table1,3718,1
Tragelaphus strepsiceros,CerebralCortex_I.p.N,DosSantos_etal_2020_Table1,1.098,1
Tragelaphus strepsiceros,CerebralCortex_N.n,DosSantos_etal_2020_Table1,762567178,1
Tragelaphus strepsiceros,CerebralCortex_N.p.mg,DosSantos_etal_2020_Table1,3574,1
Tragelaphus strepsiceros,CerebralCortex_n,DosSantos_etal_2020_Table1,37,1
Tragelaphus strepsiceros,CerebralCortex_Mass.g,DosSantos_etal_2020_Table1,213.37,1
Tragelaphus strepsiceros,Hippocampus_C.n,DosSantos_etal_2020_Table1,535156250,1
Tragelaphus strepsiceros,Hippocampus_I.n,DosSantos_etal_2020_Table1,29326563,1
Tragelaphus strepsiceros,Hippocampus_I.p.mg,DosSantos_etal_2020_Table1,4710,1
Tragelaphus strepsiceros,Hippocampus_I.p.N,DosSantos_etal_2020_Table1,3.946,1
Tragelaphus strepsiceros,Hippocampus_N.n,DosSantos_etal_2020_Table1,28363281,1
Tragelaphus strepsiceros,Hippocampus_N.p.mg,DosSantos_etal_2020_Table1,2594,1
Tragelaphus strepsiceros,Hippocampus_n,DosSantos_etal_2020_Table1,1,1
Tragelaphus strepsiceros,Hippocampus_Mass.g,DosSantos_etal_2020_Table1,10.936,1
Tragelaphus strepsiceros,PonsMedulla_C.n,DosSantos_etal_2020_Table1,NA,1
Tragelaphus strepsiceros,PonsMedulla_I.n,DosSantos_etal_2020_Table1,NA,1
Tragelaphus strepsiceros,PonsMedulla_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Tragelaphus strepsiceros,PonsMedulla_I.p.N,DosSantos_etal_2020_Table1,NA,1
Tragelaphus strepsiceros,PonsMedulla_N.n,DosSantos_etal_2020_Table1,NA,1
Tragelaphus strepsiceros,PonsMedulla_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Tragelaphus strepsiceros,PonsMedulla_n,DosSantos_etal_2020_Table1,NA,1
Tragelaphus strepsiceros,PonsMedulla_Mass.g,DosSantos_etal_2020_Table1,NA,1
Tragelaphus strepsiceros,RoB_C.n,DosSantos_etal_2020_Table1,3515369752,1
Tragelaphus strepsiceros,RoB_I.n,DosSantos_etal_2020_Table1,284487989,1
Tragelaphus strepsiceros,RoB_I.p.mg,DosSantos_etal_2020_Table1,4485,1
Tragelaphus strepsiceros,RoB_I.p.N,DosSantos_etal_2020_Table1,2.669,1
Tragelaphus strepsiceros,RoB_N.n,DosSantos_etal_2020_Table1,106590230,1
Tragelaphus strepsiceros,RoB_N.p.mg,DosSantos_etal_2020_Table1,1727,1
Tragelaphus strepsiceros,RoB_n,DosSantos_etal_2020_Table1,5,1
Tragelaphus strepsiceros,RoB_Mass.g,DosSantos_etal_2020_Table1,61.716,1
Tragelaphus strepsiceros,Species_Source,DosSantos_etal_2020_Table1,Tragelaphus strepsiceros,1
Canis lupus familiaris,WholeBrain_C.n,DosSantos_etal_2020_Table1,7445924000,1
Canis lupus familiaris,WholeBrain_I.n,DosSantos_etal_2020_Table1,465370250,1
Canis lupus familiaris,WholeBrain_I.p.mg,DosSantos_etal_2020_Table1,5382,1
Canis lupus familiaris,WholeBrain_I.p.N,DosSantos_etal_2020_Table1,0.207,1
Canis lupus familiaris,WholeBrain_N.n,DosSantos_etal_2020_Table1,2252694404,1
Canis lupus familiaris,WholeBrain_N.p.mg,DosSantos_etal_2020_Table1,26054,1
Canis lupus familiaris,WholeBrain_n,DosSantos_etal_2020_Table1,94,1
Canis lupus familiaris,WholeBrain_Mass.g,DosSantos_etal_2020_Table1,86.462,1
Canis lupus familiaris,Cerebellum_C.n,DosSantos_etal_2020_Table1,2525312500,1
Canis lupus familiaris,Cerebellum_I.n,DosSantos_etal_2020_Table1,48233469,1
Canis lupus familiaris,Cerebellum_I.p.mg,DosSantos_etal_2020_Table1,6421,1
Canis lupus familiaris,Cerebellum_I.p.N,DosSantos_etal_2020_Table1,0.029,1
Canis lupus familiaris,Cerebellum_N.n,DosSantos_etal_2020_Table1,1676633212,1
Canis lupus familiaris,Cerebellum_N.p.mg,DosSantos_etal_2020_Table1,223194,1
Canis lupus familiaris,Cerebellum_n,DosSantos_etal_2020_Table1,2,1
Canis lupus familiaris,Cerebellum_Mass.g,DosSantos_etal_2020_Table1,7.512,1
Canis lupus familiaris,CerebralCortexNoHippocampus_C.n,DosSantos_etal_2020_Table1,3801711500,1
Canis lupus familiaris,CerebralCortexNoHippocampus_I.n,DosSantos_etal_2020_Table1,302616235,1
Canis lupus familiaris,CerebralCortexNoHippocampus_I.p.mg,DosSantos_etal_2020_Table1,4767,1
Canis lupus familiaris,CerebralCortexNoHippocampus_I.p.N,DosSantos_etal_2020_Table1,0.583,1
Canis lupus familiaris,CerebralCortexNoHippocampus_N.n,DosSantos_etal_2020_Table1,519305298,1
Canis lupus familiaris,CerebralCortexNoHippocampus_N.p.mg,DosSantos_etal_2020_Table1,8180,1
Canis lupus familiaris,CerebralCortexNoHippocampus_n,DosSantos_etal_2020_Table1,84,1
Canis lupus familiaris,CerebralCortexNoHippocampus_Mass.g,DosSantos_etal_2020_Table1,63.481,1
Canis lupus familiaris,CerebralCortex_C.n,DosSantos_etal_2020_Table1,3944367750,1
Canis lupus familiaris,CerebralCortex_I.n,DosSantos_etal_2020_Table1,313577236,1
Canis lupus familiaris,CerebralCortex_I.p.mg,DosSantos_etal_2020_Table1,4788,1
Canis lupus familiaris,CerebralCortex_I.p.N,DosSantos_etal_2020_Table1,0.594,1
Canis lupus familiaris,CerebralCortex_N.n,DosSantos_etal_2020_Table1,527911882,1
Canis lupus familiaris,CerebralCortex_N.p.mg,DosSantos_etal_2020_Table1,8061,1
Canis lupus familiaris,CerebralCortex_n,DosSantos_etal_2020_Table1,86,1
Canis lupus familiaris,CerebralCortex_Mass.g,DosSantos_etal_2020_Table1,65.491,1
Canis lupus familiaris,Hippocampus_C.n,DosSantos_etal_2020_Table1,142656250,1
Canis lupus familiaris,Hippocampus_I.n,DosSantos_etal_2020_Table1,11141453,1
Canis lupus familiaris,Hippocampus_I.p.mg,DosSantos_etal_2020_Table1,5543,1
Canis lupus familiaris,Hippocampus_I.p.N,DosSantos_etal_2020_Table1,1.295,1
Canis lupus familiaris,Hippocampus_N.n,DosSantos_etal_2020_Table1,8606584,1
Canis lupus familiaris,Hippocampus_N.p.mg,DosSantos_etal_2020_Table1,4282,1
Canis lupus familiaris,Hippocampus_n,DosSantos_etal_2020_Table1,2,1
Canis lupus familiaris,Hippocampus_Mass.g,DosSantos_etal_2020_Table1,2.01,1
Canis lupus familiaris,PonsMedulla_C.n,DosSantos_etal_2020_Table1,NA,1
Canis lupus familiaris,PonsMedulla_I.n,DosSantos_etal_2020_Table1,NA,1
Canis lupus familiaris,PonsMedulla_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Canis lupus familiaris,PonsMedulla_I.p.N,DosSantos_etal_2020_Table1,NA,1
Canis lupus familiaris,PonsMedulla_N.n,DosSantos_etal_2020_Table1,NA,1
Canis lupus familiaris,PonsMedulla_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Canis lupus familiaris,PonsMedulla_n,DosSantos_etal_2020_Table1,NA,1
Canis lupus familiaris,PonsMedulla_Mass.g,DosSantos_etal_2020_Table1,NA,1
Canis lupus familiaris,RoB_C.n,DosSantos_etal_2020_Table1,976243750,1
Canis lupus familiaris,RoB_I.n,DosSantos_etal_2020_Table1,103384213,1
Canis lupus familiaris,RoB_I.p.mg,DosSantos_etal_2020_Table1,7681,1
Canis lupus familiaris,RoB_I.p.N,DosSantos_etal_2020_Table1,2.147,1
Canis lupus familiaris,RoB_N.n,DosSantos_etal_2020_Table1,48149310,1
Canis lupus familiaris,RoB_N.p.mg,DosSantos_etal_2020_Table1,3577,1
Canis lupus familiaris,RoB_n,DosSantos_etal_2020_Table1,6,1
Canis lupus familiaris,RoB_Mass.g,DosSantos_etal_2020_Table1,13.459,1
Canis lupus familiaris,Species_Source,DosSantos_etal_2020_Table1,Canis familiaris,1
Felis catus,WholeBrain_C.n,DosSantos_etal_2020_Table1,2944001250,1
Felis catus,WholeBrain_I.n,DosSantos_etal_2020_Table1,105689645,1
Felis catus,WholeBrain_I.p.mg,DosSantos_etal_2020_Table1,3032,1
Felis catus,WholeBrain_I.p.N,DosSantos_etal_2020_Table1,0.087,1
Felis catus,WholeBrain_N.n,DosSantos_etal_2020_Table1,1215209144,1
Felis catus,WholeBrain_N.p.mg,DosSantos_etal_2020_Table1,34862,1
Felis catus,WholeBrain_n,DosSantos_etal_2020_Table1,48,1
Felis catus,WholeBrain_Mass.g,DosSantos_etal_2020_Table1,34.858,1
Felis catus,Cerebellum_C.n,DosSantos_etal_2020_Table1,1.269e+09,1
Felis catus,Cerebellum_I.n,DosSantos_etal_2020_Table1,21826800,1
Felis catus,Cerebellum_I.p.mg,DosSantos_etal_2020_Table1,4271,1
Felis catus,Cerebellum_I.p.N,DosSantos_etal_2020_Table1,0.023,1
Felis catus,Cerebellum_N.n,DosSantos_etal_2020_Table1,942902390,1
Felis catus,Cerebellum_N.p.mg,DosSantos_etal_2020_Table1,184521,1
Felis catus,Cerebellum_n,DosSantos_etal_2020_Table1,1,1
Felis catus,Cerebellum_Mass.g,DosSantos_etal_2020_Table1,5.11,1
Felis catus,CerebralCortexNoHippocampus_C.n,DosSantos_etal_2020_Table1,1282938750,1
Felis catus,CerebralCortexNoHippocampus_I.n,DosSantos_etal_2020_Table1,71716276,1
Felis catus,CerebralCortexNoHippocampus_I.p.mg,DosSantos_etal_2020_Table1,3078,1
Felis catus,CerebralCortexNoHippocampus_I.p.N,DosSantos_etal_2020_Table1,0.297,1
Felis catus,CerebralCortexNoHippocampus_N.n,DosSantos_etal_2020_Table1,241786292,1
Felis catus,CerebralCortexNoHippocampus_N.p.mg,DosSantos_etal_2020_Table1,10377,1
Felis catus,CerebralCortexNoHippocampus_n,DosSantos_etal_2020_Table1,43,1
Felis catus,CerebralCortexNoHippocampus_Mass.g,DosSantos_etal_2020_Table1,23.3,1
Felis catus,CerebralCortex_C.n,DosSantos_etal_2020_Table1,1346938750,1
Felis catus,CerebralCortex_I.n,DosSantos_etal_2020_Table1,73677550,1
Felis catus,CerebralCortex_I.p.mg,DosSantos_etal_2020_Table1,3048,1
Felis catus,CerebralCortex_I.p.N,DosSantos_etal_2020_Table1,0.295,1
Felis catus,CerebralCortex_N.n,DosSantos_etal_2020_Table1,249834196,1
Felis catus,CerebralCortex_N.p.mg,DosSantos_etal_2020_Table1,10334,1
Felis catus,CerebralCortex_n,DosSantos_etal_2020_Table1,44,1
Felis catus,CerebralCortex_Mass.g,DosSantos_etal_2020_Table1,24.176,1
Felis catus,Hippocampus_C.n,DosSantos_etal_2020_Table1,64000000,1
Felis catus,Hippocampus_I.n,DosSantos_etal_2020_Table1,1952000,1
Felis catus,Hippocampus_I.p.mg,DosSantos_etal_2020_Table1,2228,1
Felis catus,Hippocampus_I.p.N,DosSantos_etal_2020_Table1,0.243,1
Felis catus,Hippocampus_N.n,DosSantos_etal_2020_Table1,8047904,1
Felis catus,Hippocampus_N.p.mg,DosSantos_etal_2020_Table1,9187,1
Felis catus,Hippocampus_n,DosSantos_etal_2020_Table1,1,1
Felis catus,Hippocampus_Mass.g,DosSantos_etal_2020_Table1,0.876,1
Felis catus,PonsMedulla_C.n,DosSantos_etal_2020_Table1,NA,1
Felis catus,PonsMedulla_I.n,DosSantos_etal_2020_Table1,NA,1
Felis catus,PonsMedulla_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Felis catus,PonsMedulla_I.p.N,DosSantos_etal_2020_Table1,NA,1
Felis catus,PonsMedulla_N.n,DosSantos_etal_2020_Table1,NA,1
Felis catus,PonsMedulla_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Felis catus,PonsMedulla_n,DosSantos_etal_2020_Table1,NA,1
Felis catus,PonsMedulla_Mass.g,DosSantos_etal_2020_Table1,NA,1
Felis catus,RoB_C.n,DosSantos_etal_2020_Table1,328062500,1
Felis catus,RoB_I.n,DosSantos_etal_2020_Table1,10202744,1
Felis catus,RoB_I.p.mg,DosSantos_etal_2020_Table1,1831,1
Felis catus,RoB_I.p.N,DosSantos_etal_2020_Table1,0.454,1
Felis catus,RoB_N.n,DosSantos_etal_2020_Table1,22472558,1
Felis catus,RoB_N.p.mg,DosSantos_etal_2020_Table1,4033,1
Felis catus,RoB_n,DosSantos_etal_2020_Table1,3,1
Felis catus,RoB_Mass.g,DosSantos_etal_2020_Table1,5.572,1
Felis catus,Species_Source,DosSantos_etal_2020_Table1,Felis catus,1
Mungos mungo,WholeBrain_C.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,WholeBrain_I.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,WholeBrain_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,WholeBrain_I.p.N,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,WholeBrain_N.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,WholeBrain_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,WholeBrain_n,DosSantos_etal_2020_Table1,24,1
Mungos mungo,WholeBrain_Mass.g,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,Cerebellum_C.n,DosSantos_etal_2020_Table1,4.7e+08,1
Mungos mungo,Cerebellum_I.n,DosSantos_etal_2020_Table1,8695000,1
Mungos mungo,Cerebellum_I.p.mg,DosSantos_etal_2020_Table1,5617,1
Mungos mungo,Cerebellum_I.p.N,DosSantos_etal_2020_Table1,0.028,1
Mungos mungo,Cerebellum_N.n,DosSantos_etal_2020_Table1,315738964,1
Mungos mungo,Cerebellum_N.p.mg,DosSantos_etal_2020_Table1,203966,1
Mungos mungo,Cerebellum_n,DosSantos_etal_2020_Table1,1,1
Mungos mungo,Cerebellum_Mass.g,DosSantos_etal_2020_Table1,1.548,1
Mungos mungo,CerebralCortexNoHippocampus_C.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortexNoHippocampus_I.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortexNoHippocampus_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortexNoHippocampus_I.p.N,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortexNoHippocampus_N.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortexNoHippocampus_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortexNoHippocampus_n,DosSantos_etal_2020_Table1,19,1
Mungos mungo,CerebralCortexNoHippocampus_Mass.g,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortex_C.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortex_I.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortex_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortex_I.p.N,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortex_N.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortex_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,CerebralCortex_n,DosSantos_etal_2020_Table1,20,1
Mungos mungo,CerebralCortex_Mass.g,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,Hippocampus_C.n,DosSantos_etal_2020_Table1,25625000,1
Mungos mungo,Hippocampus_I.n,DosSantos_etal_2020_Table1,863563,1
Mungos mungo,Hippocampus_I.p.mg,DosSantos_etal_2020_Table1,2018,1
Mungos mungo,Hippocampus_I.p.N,DosSantos_etal_2020_Table1,0.324,1
Mungos mungo,Hippocampus_N.n,DosSantos_etal_2020_Table1,2664224,1
Mungos mungo,Hippocampus_N.p.mg,DosSantos_etal_2020_Table1,6225,1
Mungos mungo,Hippocampus_n,DosSantos_etal_2020_Table1,1,1
Mungos mungo,Hippocampus_Mass.g,DosSantos_etal_2020_Table1,0.428,1
Mungos mungo,PonsMedulla_C.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,PonsMedulla_I.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,PonsMedulla_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,PonsMedulla_I.p.N,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,PonsMedulla_N.n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,PonsMedulla_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,PonsMedulla_n,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,PonsMedulla_Mass.g,DosSantos_etal_2020_Table1,NA,1
Mungos mungo,RoB_C.n,DosSantos_etal_2020_Table1,174060000,1
Mungos mungo,RoB_I.n,DosSantos_etal_2020_Table1,6614280,1
Mungos mungo,RoB_I.p.mg,DosSantos_etal_2020_Table1,1.915,1
Mungos mungo,RoB_I.p.N,DosSantos_etal_2020_Table1,0.294,1
Mungos mungo,RoB_N.n,DosSantos_etal_2020_Table1,22514320,1
Mungos mungo,RoB_N.p.mg,DosSantos_etal_2020_Table1,6518,1
Mungos mungo,RoB_n,DosSantos_etal_2020_Table1,3,1
Mungos mungo,RoB_Mass.g,DosSantos_etal_2020_Table1,3.454,1
Mungos mungo,Species_Source,DosSantos_etal_2020_Table1,Mungos mungo,1
Mustela putorius furo,WholeBrain_C.n,DosSantos_etal_2020_Table1,877410700,1
Mustela putorius furo,WholeBrain_I.n,DosSantos_etal_2020_Table1,42115714,1
Mustela putorius furo,WholeBrain_I.p.mg,DosSantos_etal_2020_Table1,7758,1
Mustela putorius furo,WholeBrain_I.p.N,DosSantos_etal_2020_Table1,0.104,1
Mustela putorius furo,WholeBrain_N.n,DosSantos_etal_2020_Table1,404428012,1
Mustela putorius furo,WholeBrain_N.p.mg,DosSantos_etal_2020_Table1,74494,1
Mustela putorius furo,WholeBrain_n,DosSantos_etal_2020_Table1,30,1
Mustela putorius furo,WholeBrain_Mass.g,DosSantos_etal_2020_Table1,5.429,1
Mustela putorius furo,Cerebellum_C.n,DosSantos_etal_2020_Table1,430860000,1
Mustela putorius furo,Cerebellum_I.n,DosSantos_etal_2020_Table1,8832630,1
Mustela putorius furo,Cerebellum_I.p.mg,DosSantos_etal_2020_Table1,9601,1
Mustela putorius furo,Cerebellum_I.p.N,DosSantos_etal_2020_Table1,0.025,1
Mustela putorius furo,Cerebellum_N.n,DosSantos_etal_2020_Table1,351264942,1
Mustela putorius furo,Cerebellum_N.p.mg,DosSantos_etal_2020_Table1,381810,1
Mustela putorius furo,Cerebellum_n,DosSantos_etal_2020_Table1,2,1
Mustela putorius furo,Cerebellum_Mass.g,DosSantos_etal_2020_Table1,0.92,1
Mustela putorius furo,CerebralCortexNoHippocampus_C.n,DosSantos_etal_2020_Table1,270508200,1
Mustela putorius furo,CerebralCortexNoHippocampus_I.n,DosSantos_etal_2020_Table1,17528931,1
Mustela putorius furo,CerebralCortexNoHippocampus_I.p.mg,DosSantos_etal_2020_Table1,6274,1
Mustela putorius furo,CerebralCortexNoHippocampus_I.p.N,DosSantos_etal_2020_Table1,0.49,1
Mustela putorius furo,CerebralCortexNoHippocampus_N.n,DosSantos_etal_2020_Table1,35760238,1
Mustela putorius furo,CerebralCortexNoHippocampus_N.p.mg,DosSantos_etal_2020_Table1,12799,1
Mustela putorius furo,CerebralCortexNoHippocampus_n,DosSantos_etal_2020_Table1,22,1
Mustela putorius furo,CerebralCortexNoHippocampus_Mass.g,DosSantos_etal_2020_Table1,2.794,1
Mustela putorius furo,CerebralCortex_C.n,DosSantos_etal_2020_Table1,303008200,1
Mustela putorius furo,CerebralCortex_I.n,DosSantos_etal_2020_Table1,20392452,1
Mustela putorius furo,CerebralCortex_I.p.mg,DosSantos_etal_2020_Table1,6530,1
Mustela putorius furo,CerebralCortex_I.p.N,DosSantos_etal_2020_Table1,0.524,1
Mustela putorius furo,CerebralCortex_N.n,DosSantos_etal_2020_Table1,38952070,1
Mustela putorius furo,CerebralCortex_N.p.mg,DosSantos_etal_2020_Table1,12473,1
Mustela putorius furo,CerebralCortex_n,DosSantos_etal_2020_Table1,24,1
Mustela putorius furo,CerebralCortex_Mass.g,DosSantos_etal_2020_Table1,3.123,1
Mustela putorius furo,Hippocampus_C.n,DosSantos_etal_2020_Table1,32500000,1
Mustela putorius furo,Hippocampus_I.n,DosSantos_etal_2020_Table1,2856750,1
Mustela putorius furo,Hippocampus_I.p.mg,DosSantos_etal_2020_Table1,8683,1
Mustela putorius furo,Hippocampus_I.p.N,DosSantos_etal_2020_Table1,0.895,1
Mustela putorius furo,Hippocampus_N.n,DosSantos_etal_2020_Table1,3191834,1
Mustela putorius furo,Hippocampus_N.p.mg,DosSantos_etal_2020_Table1,9702,1
Mustela putorius furo,Hippocampus_n,DosSantos_etal_2020_Table1,2,1
Mustela putorius furo,Hippocampus_Mass.g,DosSantos_etal_2020_Table1,0.329,1
Mustela putorius furo,PonsMedulla_C.n,DosSantos_etal_2020_Table1,NA,1
Mustela putorius furo,PonsMedulla_I.n,DosSantos_etal_2020_Table1,NA,1
Mustela putorius furo,PonsMedulla_I.p.mg,DosSantos_etal_2020_Table1,NA,1
Mustela putorius furo,PonsMedulla_I.p.N,DosSantos_etal_2020_Table1,NA,1
Mustela putorius furo,PonsMedulla_N.n,DosSantos_etal_2020_Table1,NA,1
Mustela putorius furo,PonsMedulla_N.p.mg,DosSantos_etal_2020_Table1,NA,1
Mustela putorius furo,PonsMedulla_n,DosSantos_etal_2020_Table1,NA,1
Mustela putorius furo,PonsMedulla_Mass.g,DosSantos_etal_2020_Table1,NA,1
Mustela putorius furo,RoB_C.n,DosSantos_etal_2020_Table1,143542500,1
Mustela putorius furo,RoB_I.n,DosSantos_etal_2020_Table1,12847054,1
Mustela putorius furo,RoB_I.p.mg,DosSantos_etal_2020_Table1,9269,1
