Species,Region,Measure,Units,Value,Teams,n_teams,Volume_term
Rattus,White_matter,CMRgl,umol/100g/min,34.41,Kaufman_2004,1,NA
Rattus,Whole_brain,CBF,mL/100g/min,103.08,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Rattus,Whole_brain,CMRO2,umol/100g/min,429.41,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Rattus,Whole_brain,CMRgl,umol/100g/min,76.89,Kaufman_2004,1,Total_brain_net_volume_Vol.mm3
Sus,Basal_ganglia,CBF,mL/100g/min,102.6,Kaufman_2004,1,NA
Sus,Cerebellum,CBF,mL/100g/min,88.8,Kaufman_2004,1,Cerebellum_Vol.mm3
Sus,Neocortex,CBF,mL/100g/min,108.2,Kaufman_2004,1,Neocortex_Vol.mm3
Sus,Neocortex,CMRO2,umol/100g/min,341.96,Kaufman_2004,1,Neocortex_Vol.mm3
Sus,Thalamus,CBF,mL/100g/min,76.8,Kaufman_2004,1,Thalamus_Vol.mm3
Sus,White_matter,CBF,mL/100g/min,33.6,Kaufman_2004,1,NA
