"Species","Variable","Source","Value"
"Aotus trivirgatus","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1","7980"
"Aotus trivirgatus","Body_Mass.g_SD","Burish_etal_2010_Table1","257.6"
"Aotus trivirgatus","Species_Source","Burish_etal_2010_Table1","Aotus trivirgatus"
"Macaca fascicularis","SpinalCord_n","Burish_etal_2010_Table1","1"
"Macaca fascicularis","SpinalCord_Mass.g","Burish_etal_2010_Table1","7.499"
"Macaca fascicularis","SpinalCord_Length.mm","Burish_etal_2010_Table1",NA
"Macaca fascicularis","SpinalCord_p.C.N","Burish_etal_2010_Table1","3.06"
"Macaca fascicularis","SpinalCord_N.n","Burish_etal_2010_Table1","11.38"
"Macaca fascicularis","SpinalCord_O.n","Burish_etal_2010_Table1","360.62"
"Macaca fascicularis","SpinalCord_N.p.mg","Burish_etal_2010_Table1","1518"
"Macaca fascicularis","SpinalCord_O.p.mg","Burish_etal_2010_Table1","48090"
"Macaca fascicularis","Body_Mass.g","Burish_etal_2010_Table1","5700"
"Macaca fascicularis","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.13"
"Macaca fascicularis","Brain_Mass.g","Burish_etal_2010_Table1","46.162"
"Macaca fascicularis","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","13.97"
"Macaca fascicularis","Brain_N.n","Burish_etal_2010_Table1","3439"
"Macaca fascicularis","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","0.33"
"Macaca fascicularis","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1",NA
"Macaca fascicularis","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1",NA
"Macaca fascicularis","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1",NA
"Macaca fascicularis","SpinalCord_N.n_SD","Burish_etal_2010_Table1",NA
"Macaca fascicularis","SpinalCord_O.n_SD","Burish_etal_2010_Table1",NA
"Macaca fascicularis","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1",NA
"Macaca fascicularis","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1",NA
"Macaca fascicularis","Body_Mass.g_SD","Burish_etal_2010_Table1",NA
"Macaca fascicularis","Species_Source","Burish_etal_2010_Table1","Macaca fascicularis"
"Macaca radiata","SpinalCord_n","Burish_etal_2010_Table1","4"
"Macaca radiata","SpinalCord_Mass.g","Burish_etal_2010_Table1","7.842"
"Macaca radiata","SpinalCord_Length.mm","Burish_etal_2010_Table1","264.6"
"Macaca radiata","SpinalCord_p.C.N","Burish_etal_2010_Table1","2.5"
"Macaca radiata","SpinalCord_N.n","Burish_etal_2010_Table1","9.06"
"Macaca radiata","SpinalCord_O.n","Burish_etal_2010_Table1","335.94"
"Macaca radiata","SpinalCord_N.p.mg","Burish_etal_2010_Table1","1173"
"Macaca radiata","SpinalCord_O.p.mg","Burish_etal_2010_Table1","45664"
"Macaca radiata","Body_Mass.g","Burish_etal_2010_Table1","8012.5"
"Macaca radiata","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.1"
"Macaca radiata","Brain_Mass.g","Burish_etal_2010_Table1","61.47"
"Macaca radiata","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","11.31"
"Macaca radiata","Brain_N.n","Burish_etal_2010_Table1","3755.62"
"Macaca radiata","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","0.24"
"Macaca radiata","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1","2.317"
"Macaca radiata","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1","26.38"
"Macaca radiata","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1","0.11"
"Macaca radiata","SpinalCord_N.n_SD","Burish_etal_2010_Table1","3.05"
"Macaca radiata","SpinalCord_O.n_SD","Burish_etal_2010_Table1","110.72"
"Macaca radiata","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1","155"
"Macaca radiata","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1","3911"
"Macaca radiata","Body_Mass.g_SD","Burish_etal_2010_Table1","2039.8"
"Macaca radiata","Species_Source","Burish_etal_2010_Table1","Macaca radiata"
"Macaca mulatta","SpinalCord_n","Burish_etal_2010_Table1","5"
"Macaca mulatta","SpinalCord_Mass.g","Burish_etal_2010_Table1","8.511"
"Macaca mulatta","SpinalCord_Length.mm","Burish_etal_2010_Table1","247.46"
"Macaca mulatta","SpinalCord_p.C.N","Burish_etal_2010_Table1","2.56"
"Macaca mulatta","SpinalCord_N.n","Burish_etal_2010_Table1","10"
"Macaca mulatta","SpinalCord_O.n","Burish_etal_2010_Table1","379.72"
"Macaca mulatta","SpinalCord_N.p.mg","Burish_etal_2010_Table1","1176"
"Macaca mulatta","SpinalCord_O.p.mg","Burish_etal_2010_Table1","45555"
"Macaca mulatta","Body_Mass.g","Burish_etal_2010_Table1","84700"
"Macaca mulatta","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.1"
"Macaca mulatta","Brain_Mass.g","Burish_etal_2010_Table1","87.346"
"Macaca mulatta","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","8.88"
"Macaca mulatta","Brain_N.n","Burish_etal_2010_Table1","6380"
"Macaca mulatta","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","0.16"
"Macaca mulatta","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1","1.601"
"Macaca mulatta","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1","15.23"
"Macaca mulatta","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1","0.56"
"Macaca mulatta","SpinalCord_N.n_SD","Burish_etal_2010_Table1","2.95"
"Macaca mulatta","SpinalCord_O.n_SD","Burish_etal_2010_Table1","54.72"
"Macaca mulatta","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1","1597"
"Macaca mulatta","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1","7967"
"Macaca mulatta","Body_Mass.g_SD","Burish_etal_2010_Table1","2452.4"
"Macaca mulatta","Species_Source","Burish_etal_2010_Table1","Macaca mulatta"
"Marmosops incanus","Body_Mass.g","DosSantos_etal_2017_TableS1","100"
"Marmosops incanus","WholeBrain_Mass.g","DosSantos_etal_2017_TableS1","0.91"
"Marmosops incanus","CerebralCortex_Mass.g","DosSantos_etal_2017_TableS1","0.408"
"Marmosops incanus","Hippocampus_Mass.g","DosSantos_etal_2017_TableS1","0.06"
"Marmosops incanus","Cerebellum_Mass.g","DosSantos_etal_2017_TableS1","0.158"
"Marmosops incanus","RoB_Mass.g","DosSantos_etal_2017_TableS1","0.344"
"Marmosops incanus","DiencephalonStriatum_Mass.g","DosSantos_etal_2017_TableS1","0.104"
"Marmosops incanus","Mesencephalon_Mass.g","DosSantos_etal_2017_TableS1","0.092"
