Species,Variable,Value,Source
Balaenoptera acutorostrata,Mesencephalon_p.C.N,0.234232879917593,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Pons_C.n,2102925002,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Pons_Mass.g,33.7,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Pons_N.n,6321406,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Pons_N.p.mg,188,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Pons_O.n,2096603596,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Pons_O.p.N,330.9,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Pons_O.p.mg,62214,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Pons_p.C.N,0.300600639299451,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,RoB_C.n,17405362500,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,RoB_Mass.g,215.8,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,RoB_N.n,88149444,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,RoB_N.p.mg,409,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,RoB_O.n,17317213056,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,RoB_O.p.N,196.4,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,RoB_O.p.mg,80256,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,RoB_p.C.N,0.506449917374602,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,WholeBrain_C.n,230868924000,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,WholeBrain_Mass.g,2683.9,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,WholeBrain_N.n,57472789206,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,WholeBrain_N.p.mg,21414,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,WholeBrain_O.n,173396134794,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,WholeBrain_O.p.N,3,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,WholeBrain_O.p.mg,64505,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,WholeBrain_p.C.N,24.8941209627676,AvelinodeSouza_etal_2025_TABLE1
Bathyergus suillus,Amygdala_Vol.mm3,50,Kverkova_etal_2018_TableS1
Bathyergus suillus,Body_Mass.g,907.82,Kverkova_etal_2018_TableS1
Bathyergus suillus,Cerebellum_N.n,268890000,Kverkova_etal_2018_TableS5
Bathyergus suillus,Cerebellum_Vol.mm3,683,Kverkova_etal_2018_TableS1
Bathyergus suillus,CerebralCortex_N.n,43480000,Kverkova_etal_2018_TableS5
Bathyergus suillus,EntorhinalCortex_Vol.mm3,96,Kverkova_etal_2018_TableS1
Bathyergus suillus,Hippocampus_Vol.mm3,194,Kverkova_etal_2018_TableS1
Bathyergus suillus,Hypothalamus_Vol.mm3,85,Kverkova_etal_2018_TableS1
Bathyergus suillus,Medulla_Vol.mm3,368,Kverkova_etal_2018_TableS1
Bathyergus suillus,MesencephalonMedulla_N.n,8670000,Kverkova_etal_2018_TableS5
