species	reference	group	specimen	region	cell_type	measure	value	units
Mus musculus	BarbeitoAndres_etal_2019	C	20	Corpus_callosum		absolute_volume	8.35784975	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Midbrain		absolute_volume	30.446331125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Lateral_ventricle		absolute_volume	2.9610375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Striatum		absolute_volume	45.31846425	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Cortex		absolute_volume	166.176855625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Hypothalamus		absolute_volume	11.617566125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Third_ventricle		absolute_volume	1.201580375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Hippocampus		absolute_volume	39.24705125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Thalamus		absolute_volume	19.25961775	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Fimbria		absolute_volume	2.4632397499999996	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	20	Total		absolute_volume	426.9352566250001	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Olfactory_bulbs		absolute_volume	27.947043375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Cerebellum		absolute_volume	76.87883375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Corpus_callosum		absolute_volume	7.820571875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Midbrain		absolute_volume	34.82866675	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Lateral_ventricle		absolute_volume	5.139331125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Striatum		absolute_volume	50.20374675	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Cortex		absolute_volume	164.98557625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Hypothalamus		absolute_volume	11.3017225	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Third_ventricle		absolute_volume	1.210163125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Hippocampus		absolute_volume	37.822319	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Thalamus		absolute_volume	13.01139925	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Fimbria		absolute_volume	1.4230145	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	22	Total		absolute_volume	432.57238825	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Olfactory_bulbs		absolute_volume	20.50239475	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Cerebellum		absolute_volume	49.0845585	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Corpus_callosum		absolute_volume	5.668026375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Midbrain		absolute_volume	23.5612755	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Lateral_ventricle		absolute_volume	2.894092375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Striatum		absolute_volume	37.89956275	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Cortex		absolute_volume	141.90664900000002	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Hypothalamus		absolute_volume	12.53935	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Third_ventricle		absolute_volume	0.6746015	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Hippocampus		absolute_volume	32.748216625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Thalamus		absolute_volume	13.437102375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Fimbria		absolute_volume	0.427419375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	11	Total		absolute_volume	341.343249125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Olfactory_bulbs		absolute_volume	23.9646635	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Cerebellum		absolute_volume	54.41271025	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Corpus_callosum		absolute_volume	5.966705	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Midbrain		absolute_volume	24.222145125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Lateral_ventricle		absolute_volume	2.356814125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Striatum		absolute_volume	35.9186725	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Cortex		absolute_volume	135.661861875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Hypothalamus		absolute_volume	11.20216225	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Third_ventricle		absolute_volume	0.930366625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Hippocampus		absolute_volume	27.912713	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Thalamus		absolute_volume	13.09207675	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Fimbria		absolute_volume	1.556904875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	14	Total		absolute_volume	337.19779587499994	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Olfactory_bulbs		absolute_volume	22.208639125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Cerebellum		absolute_volume	55.660638875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Corpus_callosum		absolute_volume	7.406884875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Midbrain		absolute_volume	28.309234625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Lateral_ventricle		absolute_volume	2.50443675	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Striatum		absolute_volume	41.394445375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Cortex		absolute_volume	141.56162325	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Hypothalamus		absolute_volume	9.9096055	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Third_ventricle		absolute_volume	0.923500375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Hippocampus		absolute_volume	27.8389015	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Thalamus		absolute_volume	15.378512875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Fimbria		absolute_volume	1.565487625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	15	Total		absolute_volume	354.66191075000006	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Olfactory_bulbs		absolute_volume	27.713594375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Cerebellum		absolute_volume	55.8322925	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Corpus_callosum		absolute_volume	6.661905375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Midbrain		absolute_volume	28.724637999999995	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Lateral_ventricle		absolute_volume	3.695718	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Striatum		absolute_volume	47.29763787499999	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Cortex		absolute_volume	142.73230274999997	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Hypothalamus		absolute_volume	10.527561249999998	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Third_ventricle		absolute_volume	0.96126425	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Hippocampus		absolute_volume	32.248701125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Thalamus		absolute_volume	16.863323249999997	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Fimbria		absolute_volume	2.648626625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	16	Total		absolute_volume	375.907565375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	19	Olfactory_bulbs		absolute_volume	21.36066725	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	19	Cerebellum		absolute_volume	53.875433	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	19	Corpus_callosum		absolute_volume	6.102312125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	19	Midbrain		absolute_volume	22.769948874999997	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	19	Lateral_ventricle		absolute_volume	3.80557675	mm3
Mus musculus	BarbeitoAndres_etal_2019	LP	19	Striatum		absolute_volume	40.0933055	mm3
