Species,Amygdala_current,Amygdala_current_source,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Code_number_Stephan1981,Species_Stephan1981,Number_of_individuals_1_to_18,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,Number_of_individuals_19_to_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Number_of_individuals_27_to_28,Area_striata,Corpus_geniculatum_laterale,Number_of_individuals_29_to_34,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,Nucleus_amygdalae_basalis_pars_magnocellularis,Number_of_individuals_35_to_39,Complexus_vestibularis,Nucleus_vestibularis_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens,Number_of_individuals_40_to_44,Nucleus_septalis_triangularis,Corpus_subfornicale,Nucleus_habenularis_medialis,Corpus_pineal,Corpus_subcommissurale
AAAA_Anatomy_code,,,,,,,,,1N,1,2,3,4,5_(=6-10),6,7,8,9,10_(=11-18),11,12,13,14,15,16,17,18,19N,19,20,21,22_(=23+24),23,24,25,26,27N,27,28,29N,29,30_(=31+33),31,32,33,34,35N,35_(=36-39),36,37,38,39,40N,40,41,42,43,44
AAAA_Reference,ALL,ALL,ALL,ALL,ALL,ALL,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981
Callicebus moloch,254.1,Stephan_1987,1201,deSousa_2010,900,Stephan_1981,172,Callicebus moloch,2,900,"19,000",279,242,"17,944",787,"1,622",530,"1,375","13,465",19.2,0.325,454,86.4,920,234,588,"11,163",,,,,,,,,,1,1502,53.2,,,,,,,,,,,,,,1,0.89,0.135,2.66,2.9,0.154
Callimico goeldii,146.9,Stephan_1987,987,Frahm_1998,480,Stephan_1981,166,Callimico goeldii,1,480,"11,000",47.9,59.5,"10,510",460,"1,240",340,739,"7,733",27,0.512,253,63.5,493,138,281,"6,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithrix jacchus,106.1,Stephan_1987,566,deSousa_2010,280,Stephan_1981,151,Callithrix jacchus,4,280,"7,600",52,42.9,"7,241",318,757,295,554,"5,318",22.8,0.326,191,49.8,372,90,221,"4,371",,,,,,,,,,1,692,25.7,3,99.3,113,28.3,0.195,84.6,8.57,,,,,,,1,0.44,0.133,1.63,0.486,0.0789
Callithrix pygmaea,75.4,Stephan_1987,363,deSousa_2010,140,Stephan_1981,156,Cebuella pygmaea,2,140,"4,500",24.5,16.9,"4,302",201,468,192,342,"3,099",12.3,0.386,133,29.2,174,81.8,133,"2,535",1,3.68,190,69.2,27.7,25.8,1.95,21.8,23.8,,,,,,,,,,,1,11.1,2.1,2.94,4.11,1.96,,,,,,
Cebus albifrons,458.2,Stephan_1987,3764,deSousa_2010,"3,100",Stephan_1981,191,Cebus sp.,2,"3,100","71,000",729,864,"66,939","1,738","7,871","1,221","3,996","52,113",39.9,0.667,931,174,3258,390,890,"46,429",1,23.7,"2,163",418,609,567,41.7,549,207,2,4690,137,1,567,502,118,0,384,41,1,50.2,11.2,7.45,19.2,12.3,2,1.5,0.41,4.9,3.8,0.425
Cercocebus agilis,,,,,5660,Bauernfeind_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus ascanius,572.5,Stephan_1987,4272,deSousa_2010,"3,400",Stephan_1981,231,Cercopithecus ascanius,1,"3,400","67,000",240,927,"63,505","1,632","5,828","1,162","3,605","51,279",99.5,0,"1,052",251,"2,827",694,"1,189","45,166",1,17.9,"1,916",410,431,405,25.7,421,320,1,5152,147,1,450,601,136,0,465,48.9,1,52,8.21,5.88,20.8,17.2,1,2.13,0.509,4.23,4.66,0.217
Cercopithecus mitis,704,Stephan_1987,4232,deSousa_2010,"6,300",Stephan_1981,227,Cercopithecus mitis,1,"6,300","75,000",467,"1,363","70,564","1,999","6,758","1,354","4,176","56,277",117,0,"1,265",246,"2,733",617,"1,366","49,933",,,,,,,,,,1,5274,150,,,,,,,,,,,,,,1,1.96,0.432,5.38,15.3,0.258
Cheirogaleus major,102.3,Stephan_1987,433,deSousa_2010,450,Stephan_1981,111,Cheirogaleus major,2,450,"6,800",83.4,108,"6,373",382,947,241,489,"4,314",158,4.04,332,58.9,327,149,347,"2,938",1,4.83,271,101,33.8,31.6,2.27,48.6,18,2,478,21.5,2,233,99.4,34.1,0.851,65.3,7.32,1,11.1,1.86,1.78,4.18,3.27,1,0.917,0.256,1.75,0.789,0.032
Cheirogaleus medius,64.9,Stephan_1987,199,deSousa_2010,177,Stephan_1981,112,Cheirogaleus medius,2,177,"3,140",24.6,45.2,"2,961",202,437,145,235,"1,941",102,2.66,198,32.5,145,65.3,174,"1,221",,,,,,,,,,2,217,10.8,2,135,63.2,23.3,0.472,39.8,,,,,,,,1,0.385,0.171,1.06,0.691,0.0432
