key,Species,col,snap,csv_col,csv,match
crociduraoccidentalis,Crocidura occidentalis,Bulbus_olfactorius,37.6,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Bulbus_olfactorius_accessorius,0.221,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Lobus_piriformis,68.40000000000002,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Septum,6.94,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Striatum,16.8,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Schizo_cortex,13.3,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Hippocampus,38.5,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Neocortex,59.1,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Epithalamus,0.657,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Thalamus,14.6,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Hypothalamus,9.77,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Subthalamus,1.78,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Pallidum,1.6300000000000001,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_subthalamicus,0.14200000000000002,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Capsula_interna,2.19,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Tractus_opticus,0.252,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Palaeocortex,23.4,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Amygdala,6.819999999999999,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Complexus_centromedialis,3.23,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_tractus_olfactorius,0.233,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Complexus_corticobasolateralis,3.59,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_amygdalae_basalis_pars_magnocellularis,0.803,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Complexus_vestibularis,1.32,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_vestibularis_superior,0.171,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_vestibularis_lateralis,0.222,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_vestibularis_medialis,0.543,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_vestibularis_descendens,0.389,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_septalis_triangularis,0.274,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Corpus_subfornicale,0.018600000000000002,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Nucleus_habenularis_medialis,0.2,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Corpus_pineal,0.0391,NA,NA,FALSE
crociduraoccidentalis,Crocidura occidentalis,Corpus_subcommissurale,5.76e-4,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Body_weight,1400,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Brain_weight,23300,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Ventricles,194,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Meninges_hypophysis_nerves_etc.,190,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Total_brain_net_volume,22106,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Medulla_oblongata,909,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Cerebellum,3328,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Mesencephalon,590,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Diencephalon,1713,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Telencephalon,15566,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Bulbus_olfactorius,207,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Bulbus_olfactorius_accessorius,3.21,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Lobus_piriformis,641,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Septum,119,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Striatum,1215,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Schizo_cortex,422,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Hippocampus,752,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Neocortex,12207,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Epithalamus,12.2,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Thalamus,1028,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Hypothalamus,239,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Subthalamus,225,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Pallidum,212,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_subthalamicus,13.9,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Capsula_interna,248,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Tractus_opticus,108,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Area_striata,1527,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Corpus_geniculatum_laterale,51.6,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Palaeocortex,389,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Amygdala,251,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Complexus_centromedialis,71.7,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_tractus_olfactorius,1.37,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Complexus_corticobasolateralis,179,NA,NA,FALSE
lemurfulvus,Lemur fulvus,Nucleus_amygdalae_basalis_pars_magnocellularis,19.6,NA,NA,FALSE
