Species,Body_Mass.g
Cercopithecus petaurista,3298.184
Cercopithecus pogonias,3466.24
Cercopithecus pogonias wolfi,2870.0
Cercopithecus preussi,5250.0
Cercopithecus pygerythrus,4000.0
Cercopithecus roloway,5500.0
Cercopithecus sclateri,3375.0
Cercopithecus solatus,6500.0
Cercopithecus wolfi,3593.333
Cerdocyon thous,5419.99
Cervus canadensis,200000.0
Cervus elaphus,201960.993
Cervus nippon,49500.0
Chaerephon aloysiisabaudiae,14.53
Chaerephon ansorgei,16.14
Chaerephon bemmeleni,19.0
Chaerephon bivittatus,15.42
Chaerephon bregullae,14.53
Chaerephon chapini,10.0
Chaerephon gallagheri,18.65
Chaerephon jobensis,16.695
Chaerephon johorensis,18.65
Chaerephon leucogaster,12.5
Chaerephon major,14.75
Chaerephon nigeriae,19.8
Chaerephon plicatus,21.165
Chaerephon russatus,16.98
Chaerephon shortridgei,14.53
Chaerephon solomonis,14.53
Chaerephon tomensis,7.48
Chaeropus ecaudatus,200.0
Chaetocauda sichuanensis,31.51
Chaetodipus arenarius,23.0
Chaetodipus artus,21.74
Chaetodipus baileyi,28.05
Chaetodipus californicus,24.0
Chaetodipus dalquesti,20.31
Chaetodipus eremicus,20.31
Chaetodipus fallax,19.5
Chaetodipus formosus,18.775
Chaetodipus goldmani,23.0
Chaetodipus hispidus,34.55
Chaetodipus intermedius,16.5
Chaetodipus lineatus,23.0
Chaetodipus nelsoni,15.75
Chaetodipus penicillatus,16.57
Chaetodipus pernix,17.0
Chaetodipus rudinoris,20.31
Chaetodipus spinatus,17.725
Chaetomys subspinosus,1299.99
Chaetophractus nationi,2150.01
Chaetophractus vellerosus,1030.01
Chaetophractus villosus,3744.02
Chalinolobus dwyeri,9.03
Chalinolobus gouldii,13.085
Chalinolobus morio,8.56
Chalinolobus neocaledonicus,8.71
Chalinolobus nigrogriseus,8.8
Chalinolobus picatus,5.1
Chalinolobus tuberculatus,8.5
Cheirogaleus adipicaudatus,312.695
Cheirogaleus crossleyi,285.39
