Species,Structure,Measure,published,unpublished,pct_diff,flag
Petrodromus tetradactylus,Br,I/C,0.025231716503958796,NA,NA,NA
Petrodromus tetradactylus,Cb,I/C,0.008800001376358293,NA,NA,NA
Petrodromus tetradactylus,Ctx,I/C,0.0483,NA,NA,NA
Petrodromus tetradactylus,Cx,I/C,0.05251416710330096,NA,NA,NA
Petrodromus tetradactylus,Hp,I/C,0.07647545330753243,NA,NA,NA
Petrodromus tetradactylus,RoB,I/C,0.03011338905925413,NA,NA,NA
Procavia capensis,Br,C,1376275000,NA,NA,NA
Procavia capensis,Br,I,57043095,NA,NA,NA
Procavia capensis,Br,I/mg,3389,NA,NA,NA
Procavia capensis,Br,I/N,0.075,NA,NA,NA
Procavia capensis,Br,N,755653256,NA,NA,NA
Procavia capensis,Br,N/mg,45576,NA,NA,NA
Procavia capensis,Br,No. of samples,12,NA,NA,NA
Procavia capensis,Br,Structure mass (g),16.853,NA,NA,NA
Procavia capensis,Cb,C,579378000,NA,NA,NA
Procavia capensis,Cb,I,7806491,NA,NA,NA
Procavia capensis,Cb,I/mg,3801,NA,NA,NA
Procavia capensis,Cb,I/N,0.016,NA,NA,NA
Procavia capensis,Cb,N,4883703000,NA,NA,NA
Procavia capensis,Cb,N/mg,242415,NA,NA,NA
Procavia capensis,Cb,No. of samples,2,NA,NA,NA
Procavia capensis,Cb,Structure mass (g),2.058,NA,NA,NA
Procavia capensis,Ctx,C,488188000,NA,NA,NA
Procavia capensis,Ctx,I,33099146,NA,NA,NA
Procavia capensis,Ctx,I/mg,3604,NA,NA,NA
Procavia capensis,Ctx,I/N,0.193,NA,NA,NA
Procavia capensis,Ctx,N,171217186,NA,NA,NA
Procavia capensis,Ctx,N/mg,18643,NA,NA,NA
Procavia capensis,Ctx,No. of samples,4,NA,NA,NA
Procavia capensis,Ctx,Structure mass (g),9.184,NA,NA,NA
Procavia capensis,Cx,C,564554000,NA,NA,NA
Procavia capensis,Cx,I,38108306,NA,NA,NA
Procavia capensis,Cx,I/mg,3637,NA,NA,NA
Procavia capensis,Cx,I/N,0.193,NA,NA,NA
Procavia capensis,Cx,N,197933000,NA,NA,NA
Procavia capensis,Cx,N/mg,19134,NA,NA,NA
Procavia capensis,Cx,No. of samples,6,NA,NA,NA
Procavia capensis,Cx,Structure mass (g),10.478,NA,NA,NA
Procavia capensis,Hp,C,76311438,NA,NA,NA
Procavia capensis,Hp,I,4994695,NA,NA,NA
Procavia capensis,Hp,I/mg,3860,NA,NA,NA
Procavia capensis,Hp,I/N,0.187,NA,NA,NA
Procavia capensis,Hp,N,26712953,NA,NA,NA
Procavia capensis,Hp,N/mg,21712,NA,NA,NA
Procavia capensis,Hp,No. of samples,2,NA,NA,NA
Procavia capensis,Hp,Structure mass (g),1.294,NA,NA,NA
Procavia capensis,RoB,C,232343000,NA,NA,NA
Procavia capensis,RoB,I,11199666,NA,NA,NA
Procavia capensis,RoB,I/mg,2594,NA,NA,NA
Procavia capensis,RoB,I/N,0.161,NA,NA,NA
Procavia capensis,RoB,N,69358240,NA,NA,NA
Procavia capensis,RoB,N/mg,16436,NA,NA,NA
Procavia capensis,RoB,No. of samples,4,NA,NA,NA
Procavia capensis,RoB,Structure mass (g),4.317,NA,NA,NA
Procavia capensis,Br,I/C,0.04144745417885234,NA,NA,NA
Procavia capensis,Cb,I/C,0.013473916855662451,NA,NA,NA
Procavia capensis,Ctx,I/C,0.06779999918064353,NA,NA,NA
Procavia capensis,Cx,I/C,0.06750161366317482,NA,NA,NA
Procavia capensis,Hp,I/C,0.0654514595832934,NA,NA,NA
Procavia capensis,RoB,I/C,0.04820315654011526,NA,NA,NA
Antidorcas marsupialis,Br,C,8557909526,NA,NA,NA
Antidorcas marsupialis,Br,I,402984165,NA,NA,NA
Antidorcas marsupialis,Br,I/mg,3810,NA,NA,NA
Antidorcas marsupialis,Br,I/N,0.148,NA,NA,NA
Antidorcas marsupialis,Br,N,2724595233,NA,NA,NA
Antidorcas marsupialis,Br,N/mg,25686,NA,NA,NA
Antidorcas marsupialis,Br,No. of samples,34,NA,NA,NA
Antidorcas marsupialis,Br,Structure mass (g),106.074,NA,NA,NA
Antidorcas marsupialis,Cb,C,2724458750,NA,NA,NA
Antidorcas marsupialis,Cb,I,58539299,NA,NA,NA
Antidorcas marsupialis,Cb,I/mg,5147,NA,NA,NA
Antidorcas marsupialis,Cb,I/N,0.026,NA,NA,NA
Antidorcas marsupialis,Cb,N,2257214074,NA,NA,NA
Antidorcas marsupialis,Cb,N/mg,196999,NA,NA,NA
Antidorcas marsupialis,Cb,No. of samples,2,NA,NA,NA
Antidorcas marsupialis,Cb,Structure mass (g),11.458,NA,NA,NA
Antidorcas marsupialis,Ctx,C,4216083590,NA,NA,NA
Antidorcas marsupialis,Ctx,I,254974497,NA,NA,NA
Antidorcas marsupialis,Ctx,I/mg,3790,NA,NA,NA
Antidorcas marsupialis,Ctx,I/N,0.677,NA,NA,NA
Antidorcas marsupialis,Ctx,N,376412018,NA,NA,NA
Antidorcas marsupialis,Ctx,N/mg,5758,NA,NA,NA
Antidorcas marsupialis,Ctx,No. of samples,28,NA,NA,NA
Antidorcas marsupialis,Ctx,Structure mass (g),65.372,NA,NA,NA
Antidorcas marsupialis,Cx,C,4443685152,NA,NA,NA
Antidorcas marsupialis,Cx,I,268018858,NA,NA,NA
Antidorcas marsupialis,Cx,I/mg,3791,NA,NA,NA
Antidorcas marsupialis,Cx,I/N,0.675,NA,NA,NA
Antidorcas marsupialis,Cx,N,396896159,NA,NA,NA
Antidorcas marsupialis,Cx,N/mg,5768,NA,NA,NA
Antidorcas marsupialis,Cx,No. of samples,29,NA,NA,NA
Antidorcas marsupialis,Cx,Structure mass (g),68.806,NA,NA,NA
Antidorcas marsupialis,Hp,C,227601562,NA,NA,NA
Antidorcas marsupialis,Hp,I,12973289,NA,NA,NA
