Species,Structure,Measure,published,unpublished,pct_diff,flag
Macaca fascicularis,Cx,C,4755230252,NA,NA,NA
Macaca fascicularis,Cx,I,192394153,NA,NA,NA
Macaca fascicularis,Cx,I/mg,4727,NA,NA,NA
Macaca fascicularis,Cx,I/N,0.137,NA,NA,NA
Macaca fascicularis,Cx,N,1404683000,NA,NA,NA
Macaca fascicularis,Cx,N/mg,35117,NA,NA,NA
Macaca fascicularis,Cx,No. of samples,79,NA,NA,NA
Macaca fascicularis,Cx,Structure mass (g),40,NA,NA,NA
Macaca fascicularis,Cx,I/C,0.0404594820448665,NA,NA,NA
Macaca nemestrina,Cx,C,7787044390,NA,NA,NA
Macaca nemestrina,Cx,I,277022786,NA,NA,NA
Macaca nemestrina,Cx,I/mg,3668,NA,NA,NA
Macaca nemestrina,Cx,I/N,0.126,NA,NA,NA
Macaca nemestrina,Cx,N,2194785386,NA,NA,NA
Macaca nemestrina,Cx,N/mg,28517,NA,NA,NA
Macaca nemestrina,Cx,No. of samples,106,NA,NA,NA
Macaca nemestrina,Cx,Structure mass (g),76.964,NA,NA,NA
Macaca nemestrina,Cx,I/C,0.035574830722134874,NA,NA,NA
Otolemur garnettii,Cx,C,494053510,NA,NA,NA
Otolemur garnettii,Cx,I,39378618,NA,NA,NA
Otolemur garnettii,Cx,I/mg,8294,NA,NA,NA
Otolemur garnettii,Cx,I/N,0.201,NA,NA,NA
Otolemur garnettii,Cx,N,196070964,NA,NA,NA
Otolemur garnettii,Cx,N/mg,40211,NA,NA,NA
Otolemur garnettii,Cx,No. of samples,23,NA,NA,NA
Otolemur garnettii,Cx,Structure mass (g),4.876,NA,NA,NA
Otolemur garnettii,Cx,I/C,0.07970516796854657,NA,NA,NA
Papio anubis,Cx,C,4934116014,NA,NA,NA
Papio anubis,Cx,I,257818766,NA,NA,NA
Papio anubis,Cx,I/mg,2773,NA,NA,NA
Papio anubis,Cx,I/N,0.225,NA,NA,NA
Papio anubis,Cx,N,1144837998,NA,NA,NA
Papio anubis,Cx,N/mg,12083,NA,NA,NA
Papio anubis,Cx,No. of samples,102,NA,NA,NA
Papio anubis,Cx,Structure mass (g),94.744,NA,NA,NA
Papio anubis,Cx,I/C,0.052252270775244886,NA,NA,NA
Saguinus midas,Cx,C,603175002,NA,NA,NA
Saguinus midas,Cx,I,16398445,NA,NA,NA
Saguinus midas,Cx,I/mg,3041,NA,NA,NA
Saguinus midas,Cx,I/N,0.074,NA,NA,NA
Saguinus midas,Cx,N,220924134,NA,NA,NA
Saguinus midas,Cx,N/mg,43921,NA,NA,NA
Saguinus midas,Cx,No. of samples,28,NA,NA,NA
Saguinus midas,Cx,Structure mass (g),5.03,NA,NA,NA
Saguinus midas,Cx,I/C,0.027186877681645037,NA,NA,NA
Antidorcas marsupialis,Cerebellum,C,NA,2724458750,NA,NA
Antidorcas marsupialis,Cerebellum,I,NA,58975661.99999999,NA,NA
Antidorcas marsupialis,Cerebellum,I/C,NA,0.02164674433041058,NA,NA
Antidorcas marsupialis,Cerebellum,I/N,NA,0.025934314164813305,NA,NA
Antidorcas marsupialis,Cerebellum,I/mg,NA,5147.116599755628,NA,NA
Antidorcas marsupialis,Cerebellum,N,NA,2274039777,NA,NA
Antidorcas marsupialis,Cerebellum,N/mg,NA,198467.42686332692,NA,NA
Antidorcas marsupialis,Cerebellum,Structure mass (g),NA,11.458,NA,NA
Antidorcas marsupialis,"Cerebral Cx, total - hp",C,NA,4216083590,NA,NA
Antidorcas marsupialis,"Cerebral Cx, total - hp",I,NA,247484106.733,NA,NA
Antidorcas marsupialis,"Cerebral Cx, total - hp",I/C,NA,0.0587,NA,NA
Antidorcas marsupialis,"Cerebral Cx, total - hp",I/N,NA,0.6773813937684656,NA,NA
Antidorcas marsupialis,"Cerebral Cx, total - hp",I/mg,NA,3789.9556926952528,NA,NA
Antidorcas marsupialis,"Cerebral Cx, total - hp",N,NA,365354155,NA,NA
Antidorcas marsupialis,"Cerebral Cx, total - hp",N/mg,NA,5595.010030627871,NA,NA
Antidorcas marsupialis,"Cerebral Cx, total - hp",Structure mass (g),NA,65.3,NA,NA
Antidorcas marsupialis,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,4443685152,NA,NA
Antidorcas marsupialis,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,260551625.76546347,NA,NA
Antidorcas marsupialis,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.05863413289940112,NA,NA
Antidorcas marsupialis,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.6752871046410164,NA,NA
Antidorcas marsupialis,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,3790.7240341819693,NA,NA
Antidorcas marsupialis,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,385838296,NA,NA
Antidorcas marsupialis,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,5613.499810865074,NA,NA
Antidorcas marsupialis,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,68.734,NA,NA
Antidorcas marsupialis,Hippocampus,C,NA,227601562,NA,NA
Antidorcas marsupialis,Hippocampus,I,NA,12973289.034,NA,NA
Antidorcas marsupialis,Hippocampus,I/C,NA,0.057,NA,NA
Antidorcas marsupialis,Hippocampus,I/N,NA,0.6333333333333334,NA,NA
Antidorcas marsupialis,Hippocampus,I/mg,NA,3777.894302271404,NA,NA
Antidorcas marsupialis,Hippocampus,N,NA,20484140.58,NA,NA
Antidorcas marsupialis,Hippocampus,N/mg,NA,5965.096266744321,NA,NA
Antidorcas marsupialis,Hippocampus,Structure mass (g),NA,3.434,NA,NA
Antidorcas marsupialis,Pons + Medulla,C,NA,335937500,NA,NA
Antidorcas marsupialis,Pons + Medulla,I,NA,33795312.5,NA,NA
Antidorcas marsupialis,Pons + Medulla,I/C,NA,0.10060000000000001,NA,NA
Antidorcas marsupialis,Pons + Medulla,I/N,NA,1.4794117647058824,NA,NA
Antidorcas marsupialis,Pons + Medulla,I/mg,NA,4065.8460659287775,NA,NA
Antidorcas marsupialis,Pons + Medulla,N,NA,22843750,NA,NA
Antidorcas marsupialis,Pons + Medulla,N/mg,NA,2748.2856111645815,NA,NA
Antidorcas marsupialis,Pons + Medulla,Structure mass (g),NA,8.312,NA,NA
Antidorcas marsupialis,Rest of brain,C,NA,1389765624,NA,NA
Antidorcas marsupialis,Rest of brain,I,NA,84309976,NA,NA
Antidorcas marsupialis,Rest of brain,I/C,NA,0.0606648880530952,NA,NA
Antidorcas marsupialis,Rest of brain,I/N,NA,1.196140682414698,NA,NA
Antidorcas marsupialis,Rest of brain,I/mg,NA,3266.5624176675706,NA,NA
Antidorcas marsupialis,Rest of brain,N,NA,70485000,NA,NA
Antidorcas marsupialis,Rest of brain,N/mg,NA,2730.918248740798,NA,NA
Antidorcas marsupialis,Rest of brain,Structure mass (g),NA,25.81,NA,NA
Antidorcas marsupialis,Whole brain,C,NA,8557909526,NA,NA
Antidorcas marsupialis,Whole brain,I,NA,403837263.8112449,NA,NA
Antidorcas marsupialis,Whole brain,I/C,NA,0.04718877461655054,NA,NA
Antidorcas marsupialis,Whole brain,I/N,NA,0.14790606707390264,NA,NA
Antidorcas marsupialis,Whole brain,I/mg,NA,3809.713626264079,NA,NA
Antidorcas marsupialis,Whole brain,N,NA,2730363073,NA,NA
Antidorcas marsupialis,Whole brain,N/mg,NA,25757.656204599913,NA,NA
Antidorcas marsupialis,Whole brain,Structure mass (g),NA,106.002,NA,NA
Aotus trivirgatus,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,1293099000,NA,NA
Aotus trivirgatus,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,23793021.599999998,NA,NA
Aotus trivirgatus,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0184,NA,NA
Aotus trivirgatus,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.052859940929819445,NA,NA
Aotus trivirgatus,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,2635.4698272042533,NA,NA
Aotus trivirgatus,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,450114419,NA,NA
Aotus trivirgatus,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,49857.600686752325,NA,NA
Aotus trivirgatus,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,9.028,NA,NA
Canis familiaris,Cerebellum,C,NA,2525312500,NA,NA
Canis familiaris,Cerebellum,I,NA,48153906.25,NA,NA
Canis familiaris,Cerebellum,I/C,NA,0.020166666666666666,NA,NA
Canis familiaris,Cerebellum,I/N,NA,0.02990091378526377,NA,NA
Canis familiaris,Cerebellum,I/mg,NA,7555.398633840366,NA,NA
Canis familiaris,Cerebellum,N,NA,1676633212,NA,NA
Canis familiaris,Cerebellum,N/mg,NA,238571.15200870822,NA,NA
Canis familiaris,Cerebellum,Structure mass (g),NA,7.5120000000000005,NA,NA
Canis familiaris,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,3944367750,NA,NA
Canis familiaris,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,313736821.625,NA,NA
Canis familiaris,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.07836666666666667,NA,NA
Canis familiaris,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.5759805893776981,NA,NA
Canis familiaris,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,4655.928781319111,NA,NA
Canis familiaris,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,527911882.46666664,NA,NA
Canis familiaris,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,8247.731933279423,NA,NA
Canis familiaris,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,65.491,NA,NA
Canis familiaris,"Cerebral cortex, total -hp",C,NA,3801711500,NA,NA
Canis familiaris,"Cerebral cortex, total -hp",I,NA,302614321.2,NA,NA
Canis familiaris,"Cerebral cortex, total -hp",I/C,NA,0.07806666666666667,NA,NA
Canis familiaris,"Cerebral cortex, total -hp",I/N,NA,0.5635370535515136,NA,NA
Canis familiaris,"Cerebral cortex, total -hp",I/mg,NA,4615.314799677443,NA,NA
Canis familiaris,"Cerebral cortex, total -hp",N,NA,519305298.6666667,NA,NA
Canis familiaris,"Cerebral cortex, total -hp",N/mg,NA,8373.184323017644,NA,NA
Canis familiaris,"Cerebral cortex, total -hp",Structure mass (g),NA,63.481,NA,NA
Canis familiaris,Hippocampus,C,NA,142656250,NA,NA
Canis familiaris,Hippocampus,I,NA,11136932.291666668,NA,NA
Canis familiaris,Hippocampus,I/C,NA,0.08443333333333333,NA,NA
Canis familiaris,Hippocampus,I/N,NA,1.3909385538157795,NA,NA
Canis familiaris,Hippocampus,I/mg,NA,5949.763260686663,NA,NA
Canis familiaris,Hippocampus,N,NA,8606584,NA,NA
Canis familiaris,Hippocampus,N/mg,NA,4279.897809720454,NA,NA
Canis familiaris,Hippocampus,Structure mass (g),NA,2.01,NA,NA
Canis familiaris,Pons + Medulla,C,NA,306212500,NA,NA
Canis familiaris,Pons + Medulla,I,NA,37190235,NA,NA
Canis familiaris,Pons + Medulla,I/C,NA,0.11909999999999998,NA,NA
Canis familiaris,Pons + Medulla,I/N,NA,4.328582890404313,NA,NA
Canis familiaris,Pons + Medulla,I/mg,NA,9149.994615063017,NA,NA
Canis familiaris,Pons + Medulla,N,NA,8590208,NA,NA
Canis familiaris,Pons + Medulla,N/mg,NA,2113.9496871670253,NA,NA
Canis familiaris,Pons + Medulla,Structure mass (g),NA,4.2829999999999995,NA,NA
Canis familiaris,Rest of brain,C,NA,976243750,NA,NA
Canis familiaris,Rest of brain,I,NA,103352956.875,NA,NA
Canis familiaris,Rest of brain,I/C,NA,0.10523333333333333,NA,NA
Canis familiaris,Rest of brain,I/N,NA,2.0932707113007405,NA,NA
Canis familiaris,Rest of brain,I/mg,NA,7754.295155989285,NA,NA
Canis familiaris,Rest of brain,N,NA,48149310.666666664,NA,NA
Canis familiaris,Rest of brain,N/mg,NA,3768.054827867988,NA,NA
Canis familiaris,Rest of brain,Structure mass (g),NA,13.459,NA,NA
Canis familiaris,Whole brain,C,NA,7445924000,NA,NA
Canis familiaris,Whole brain,I,NA,465348358.8,NA,NA
Canis familiaris,Whole brain,I/C,NA,0.06193333333333333,NA,NA
Canis familiaris,Whole brain,I/N,NA,0.20204491168109884,NA,NA
Canis familiaris,Whole brain,I/mg,NA,5339.289951354994,NA,NA
Canis familiaris,Whole brain,N,NA,2252694404,NA,NA
Canis familiaris,Whole brain,N/mg,NA,26993.103006401434,NA,NA
Canis familiaris,Whole brain,Structure mass (g),NA,86.462,NA,NA
Cebus apella,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,3707354000,NA,NA
Cebus apella,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,105659589,NA,NA
Cebus apella,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0285,NA,NA
Cebus apella,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.10934639210719148,NA,NA
Cebus apella,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,1990.7975468214192,NA,NA
Cebus apella,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,966283267,NA,NA
Cebus apella,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,18206.339582469758,NA,NA
Cebus apella,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,53.074,NA,NA
Dendrohyrax dorsalis,Cerebellum,C,NA,438500000,NA,NA
Dendrohyrax dorsalis,Cerebellum,I,NA,2367900,NA,NA
Dendrohyrax dorsalis,Cerebellum,I/C,NA,0.0054,NA,NA
Dendrohyrax dorsalis,Cerebellum,I/N,NA,0.006560563722512453,NA,NA
Dendrohyrax dorsalis,Cerebellum,I/mg,NA,1234.5672575599583,NA,NA
Dendrohyrax dorsalis,Cerebellum,N,NA,360929350,NA,NA
Dendrohyrax dorsalis,Cerebellum,N/mg,NA,188180.0573514077,NA,NA
Dendrohyrax dorsalis,Cerebellum,Structure mass (g),NA,1.918,NA,NA
Dendrohyrax dorsalis,"Cerebral Cx, total - hp",C,NA,257310000,NA,NA
Dendrohyrax dorsalis,"Cerebral Cx, total - hp",I,NA,12325149,NA,NA
Dendrohyrax dorsalis,"Cerebral Cx, total - hp",I/C,NA,0.0479,NA,NA
Dendrohyrax dorsalis,"Cerebral Cx, total - hp",I/N,NA,0.13597241963266643,NA,NA
Dendrohyrax dorsalis,"Cerebral Cx, total - hp",I/mg,NA,1804.5606149341143,NA,NA
Dendrohyrax dorsalis,"Cerebral Cx, total - hp",N,NA,90644478,NA,NA
Dendrohyrax dorsalis,"Cerebral Cx, total - hp",N/mg,NA,13271.519472913616,NA,NA
Dendrohyrax dorsalis,"Cerebral Cx, total - hp",Structure mass (g),NA,6.83,NA,NA
Dendrohyrax dorsalis,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,282500000,NA,NA
Dendrohyrax dorsalis,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,13842500,NA,NA
Dendrohyrax dorsalis,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.049,NA,NA
Dendrohyrax dorsalis,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.1398837383984414,NA,NA
Dendrohyrax dorsalis,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,1831.9878242456325,NA,NA
Dendrohyrax dorsalis,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,98957178,NA,NA
Dendrohyrax dorsalis,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,13096.503176283748,NA,NA
Dendrohyrax dorsalis,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,7.556,NA,NA
Dendrohyrax dorsalis,Hippocampus,C,NA,25190000,NA,NA
Dendrohyrax dorsalis,Hippocampus,I,NA,1516438,NA,NA
Dendrohyrax dorsalis,Hippocampus,I/C,NA,0.0602,NA,NA
Dendrohyrax dorsalis,Hippocampus,I/N,NA,0.18242424242424243,NA,NA
Dendrohyrax dorsalis,Hippocampus,I/mg,NA,2088.757575757576,NA,NA
Dendrohyrax dorsalis,Hippocampus,N,NA,8312700,NA,NA
Dendrohyrax dorsalis,Hippocampus,N/mg,NA,11450,NA,NA
Dendrohyrax dorsalis,Hippocampus,Structure mass (g),NA,0.726,NA,NA
Dendrohyrax dorsalis,Pons + Medulla,C,NA,54600000,NA,NA
Dendrohyrax dorsalis,Pons + Medulla,I,NA,3685500.0000000005,NA,NA
Dendrohyrax dorsalis,Pons + Medulla,I/C,NA,0.0675,NA,NA
Dendrohyrax dorsalis,Pons + Medulla,I/N,NA,0.2811328613077885,NA,NA
Dendrohyrax dorsalis,Pons + Medulla,I/mg,NA,4397.971360381862,NA,NA
Dendrohyrax dorsalis,Pons + Medulla,N,NA,13109460,NA,NA
Dendrohyrax dorsalis,Pons + Medulla,N/mg,NA,15643.747016706444,NA,NA
Dendrohyrax dorsalis,Pons + Medulla,Structure mass (g),NA,0.838,NA,NA
Dendrohyrax dorsalis,Rest of brain,C,NA,197138000,NA,NA
Dendrohyrax dorsalis,Rest of brain,I,NA,10980586.6,NA,NA
Dendrohyrax dorsalis,Rest of brain,I/C,NA,0.0557,NA,NA
Dendrohyrax dorsalis,Rest of brain,I/N,NA,0.2458439006420101,NA,NA
Dendrohyrax dorsalis,Rest of brain,I/mg,NA,3299.455108173077,NA,NA
Dendrohyrax dorsalis,Rest of brain,N,NA,44664873,NA,NA
Dendrohyrax dorsalis,Rest of brain,N/mg,NA,13420.935396634615,NA,NA
Dendrohyrax dorsalis,Rest of brain,Structure mass (g),NA,3.328,NA,NA
Dendrohyrax dorsalis,Whole brain,C,NA,918138000,NA,NA
Dendrohyrax dorsalis,Whole brain,I,NA,27176884.8,NA,NA
Dendrohyrax dorsalis,Whole brain,I/C,NA,0.0296,NA,NA
Dendrohyrax dorsalis,Whole brain,I/N,NA,0.053863461177863226,NA,NA
Dendrohyrax dorsalis,Whole brain,I/mg,NA,2122.8624277456647,NA,NA
Dendrohyrax dorsalis,Whole brain,N,NA,504551401,NA,NA
Dendrohyrax dorsalis,Whole brain,N/mg,NA,39411.920090610845,NA,NA
Dendrohyrax dorsalis,Whole brain,Structure mass (g),NA,12.802,NA,NA
Dendrolagus goodfellowi,Cerebellum,C,NA,1545500000,NA,NA
Dendrolagus goodfellowi,Cerebellum,I,NA,10200300,NA,NA
Dendrolagus goodfellowi,Cerebellum,I/C,NA,0.0066,NA,NA
Dendrolagus goodfellowi,Cerebellum,I/N,NA,0.008245877061469264,NA,NA
Dendrolagus goodfellowi,Cerebellum,I/mg,NA,2408.0028328611897,NA,NA
Dendrolagus goodfellowi,Cerebellum,N,NA,1237018200.0000002,NA,NA
Dendrolagus goodfellowi,Cerebellum,N/mg,NA,292025.0708215298,NA,NA
Dendrolagus goodfellowi,Cerebellum,Structure mass (g),NA,4.236,NA,NA
Dendrolagus goodfellowi,"Cerebral Cx, total - hp",C,NA,1431388750,NA,NA
Dendrolagus goodfellowi,"Cerebral Cx, total - hp",I,NA,74289076.125,NA,NA
Dendrolagus goodfellowi,"Cerebral Cx, total - hp",I/C,NA,0.0519,NA,NA
Dendrolagus goodfellowi,"Cerebral Cx, total - hp",I/N,NA,0.2910091393052295,NA,NA
Dendrolagus goodfellowi,"Cerebral Cx, total - hp",I/mg,NA,4063.9538361597374,NA,NA
Dendrolagus goodfellowi,"Cerebral Cx, total - hp",N,NA,255280903.9,NA,NA
Dendrolagus goodfellowi,"Cerebral Cx, total - hp",N/mg,NA,13965.038506564551,NA,NA
Dendrolagus goodfellowi,"Cerebral Cx, total - hp",Structure mass (g),NA,18.28,NA,NA
Dendrolagus goodfellowi,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,1532188750,NA,NA
Dendrolagus goodfellowi,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,80439909.375,NA,NA
Dendrolagus goodfellowi,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0525,NA,NA
Dendrolagus goodfellowi,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.29418294699415015,NA,NA
Dendrolagus goodfellowi,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,4110.3683891159935,NA,NA
Dendrolagus goodfellowi,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,273434983.9,NA,NA
Dendrolagus goodfellowi,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,13972.15042922841,NA,NA
Dendrolagus goodfellowi,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,19.57,NA,NA
Dendrolagus goodfellowi,Hippocampus,C,NA,100800000,NA,NA
Dendrolagus goodfellowi,Hippocampus,I,NA,6189120,NA,NA
Dendrolagus goodfellowi,Hippocampus,I/C,NA,0.061399999999999996,NA,NA
Dendrolagus goodfellowi,Hippocampus,I/N,NA,0.34092171016102163,NA,NA
Dendrolagus goodfellowi,Hippocampus,I/mg,NA,4797.767441860465,NA,NA
Dendrolagus goodfellowi,Hippocampus,N,NA,18154080,NA,NA
Dendrolagus goodfellowi,Hippocampus,N/mg,NA,14072.93023255814,NA,NA
Dendrolagus goodfellowi,Hippocampus,Structure mass (g),NA,1.29,NA,NA
Dendrolagus goodfellowi,Pons + Medulla,C,NA,132300000,NA,NA
Dendrolagus goodfellowi,Pons + Medulla,I,NA,9221310,NA,NA
Dendrolagus goodfellowi,Pons + Medulla,I/C,NA,0.0697,NA,NA
Dendrolagus goodfellowi,Pons + Medulla,I/N,NA,1.1205787781350482,NA,NA
Dendrolagus goodfellowi,Pons + Medulla,I/mg,NA,3445.9304932735427,NA,NA
Dendrolagus goodfellowi,Pons + Medulla,N,NA,8229060,NA,NA
Dendrolagus goodfellowi,Pons + Medulla,N/mg,NA,3075.134529147982,NA,NA
Dendrolagus goodfellowi,Pons + Medulla,Structure mass (g),NA,2.676,NA,NA
Dendrolagus goodfellowi,Rest of brain,C,NA,518100000,NA,NA
Dendrolagus goodfellowi,Rest of brain,I,NA,29687130.000000004,NA,NA
Dendrolagus goodfellowi,Rest of brain,I/C,NA,0.057300000000000004,NA,NA
Dendrolagus goodfellowi,Rest of brain,I/N,NA,0.7841602282182338,NA,NA
Dendrolagus goodfellowi,Rest of brain,I/mg,NA,3834.555670369414,NA,NA
Dendrolagus goodfellowi,Rest of brain,N,NA,37858500,NA,NA
Dendrolagus goodfellowi,Rest of brain,N/mg,NA,4890.015499870834,NA,NA
Dendrolagus goodfellowi,Rest of brain,Structure mass (g),NA,7.742,NA,NA
Dendrolagus goodfellowi,Whole brain,C,NA,3595788750,NA,NA
Dendrolagus goodfellowi,Whole brain,I,NA,120458923.125,NA,NA
Dendrolagus goodfellowi,Whole brain,I/C,NA,0.0335,NA,NA
Dendrolagus goodfellowi,Whole brain,I/N,NA,0.0778001770378683,NA,NA
Dendrolagus goodfellowi,Whole brain,I/mg,NA,3818.274474610118,NA,NA
Dendrolagus goodfellowi,Whole brain,N,NA,1548311684,NA,NA
Dendrolagus goodfellowi,Whole brain,N/mg,NA,49077.966400405734,NA,NA
Dendrolagus goodfellowi,Whole brain,Structure mass (g),NA,31.548,NA,NA
Didelphis aurita,Cerebellum,C,NA,375031250,NA,NA
Didelphis aurita,Cerebellum,I,NA,5362946.875,NA,NA
Didelphis aurita,Cerebellum,I/C,NA,0.0143,NA,NA
Didelphis aurita,Cerebellum,I/N,NA,0.01604398070234489,NA,NA
Didelphis aurita,Cerebellum,I/mg,NA,6893.247911311054,NA,NA
Didelphis aurita,Cerebellum,N,NA,334265353.125,NA,NA
Didelphis aurita,Cerebellum,N/mg,NA,429646.9834511568,NA,NA
Didelphis aurita,Cerebellum,Structure mass (g),NA,0.778,NA,NA
Didelphis aurita,"Cerebral Cx, total - hp",C,NA,129970000,NA,NA
Didelphis aurita,"Cerebral Cx, total - hp",I,NA,9643774,NA,NA
Didelphis aurita,"Cerebral Cx, total - hp",I/C,NA,0.0742,NA,NA
Didelphis aurita,"Cerebral Cx, total - hp",I/N,NA,0.2761753672203257,NA,NA
Didelphis aurita,"Cerebral Cx, total - hp",I/mg,NA,5679.489988221437,NA,NA
Didelphis aurita,"Cerebral Cx, total - hp",N,NA,34919023,NA,NA
Didelphis aurita,"Cerebral Cx, total - hp",N/mg,NA,20564.795641931683,NA,NA
Didelphis aurita,"Cerebral Cx, total - hp",Structure mass (g),NA,1.698,NA,NA
Didelphis aurita,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,159970000,NA,NA
Didelphis aurita,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,11485846,NA,NA
Didelphis aurita,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0718,NA,NA
Didelphis aurita,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.2725056284222768,NA,NA
Didelphis aurita,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,5511.442418426103,NA,NA
Didelphis aurita,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,42149023,NA,NA
Didelphis aurita,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,20225.059021113244,NA,NA
Didelphis aurita,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,2.084,NA,NA
Didelphis aurita,Hippocampus,C,NA,30000000,NA,NA
Didelphis aurita,Hippocampus,I,NA,1848000,NA,NA
Didelphis aurita,Hippocampus,I/C,NA,0.0616,NA,NA
Didelphis aurita,Hippocampus,I/N,NA,0.2556016597510373,NA,NA
Didelphis aurita,Hippocampus,I/mg,NA,4787.5647668393785,NA,NA
Didelphis aurita,Hippocampus,N,NA,7230000.000000001,NA,NA
Didelphis aurita,Hippocampus,N/mg,NA,18730.56994818653,NA,NA
Didelphis aurita,Hippocampus,Structure mass (g),NA,0.386,NA,NA
Didelphis aurita,Pons + Medulla,C,NA,39062500,NA,NA
Didelphis aurita,Pons + Medulla,I,NA,3894531.2500000005,NA,NA
Didelphis aurita,Pons + Medulla,I/C,NA,0.09970000000000001,NA,NA
Didelphis aurita,Pons + Medulla,I/N,NA,0.9222941720629049,NA,NA
Didelphis aurita,Pons + Medulla,I/mg,NA,7518.400096525097,NA,NA
Didelphis aurita,Pons + Medulla,N,NA,4222656.25,NA,NA
Didelphis aurita,Pons + Medulla,N/mg,NA,8151.846042471043,NA,NA
Didelphis aurita,Pons + Medulla,Structure mass (g),NA,0.518,NA,NA
Didelphis aurita,Rest of brain,C,NA,108137500,NA,NA
Didelphis aurita,Rest of brain,I,NA,8326587.5,NA,NA
Didelphis aurita,Rest of brain,I/C,NA,0.077,NA,NA
Didelphis aurita,Rest of brain,I/N,NA,0.5292552094367313,NA,NA
Didelphis aurita,Rest of brain,I/mg,NA,6042.516328011611,NA,NA
Didelphis aurita,Rest of brain,N,NA,15732651,NA,NA
Didelphis aurita,Rest of brain,N/mg,NA,11417.018142235123,NA,NA
Didelphis aurita,Rest of brain,Structure mass (g),NA,1.378,NA,NA
Didelphis aurita,Whole brain,C,NA,643138750,NA,NA
Didelphis aurita,Whole brain,I,NA,25275352.875,NA,NA
Didelphis aurita,Whole brain,I/C,NA,0.0393,NA,NA
Didelphis aurita,Whole brain,I/N,NA,0.0644537664058333,NA,NA
Didelphis aurita,Whole brain,I/mg,NA,5961.168130896226,NA,NA
Didelphis aurita,Whole brain,N,NA,392147027,NA,NA
Didelphis aurita,Whole brain,N/mg,NA,92487.50636792452,NA,NA
Didelphis aurita,Whole brain,Structure mass (g),NA,4.24,NA,NA
Elephantulus myurus,Cerebellum,C,NA,112681000,NA,NA
Elephantulus myurus,Cerebellum,I,NA,824575.3666666667,NA,NA
Elephantulus myurus,Cerebellum,I/C,NA,0.007366666666666666,NA,NA
