"Species Name"	"Species name adjusted to 10kTrees"	"Species name in Perelman tree"	"Subfamily"	"Family"	"Terrestriality"	"logECV"	"logBodyMass"	"logInsects"	"logFruit"	"logLeaves"	"logCombiGroupSize"	"logHRS"	"Diurnality"	"ECV"	"N ECV"	"Sex ECV"	"Source ECV"	"Body mass"	"N Body mass"	"Sex Body mass"	"Source Body mass"	"Original source Body mass"	"%animal prey"	"%fruit"	"% seeds"	"%fruit and seeds"	"%nectar"	"%flowers"	"%nectar and flowers"	"% reproductive plant parts (fruits, flowers and nectar)"	"%gum"	"%leaves"	"%young leaves"	"%mature leaves"	"%nonreproctive plant parts (gum and leaves, bark etc.)"	"%other"	"sum"	"Calculation"	"Source diet composition"	"Sleeping group size"	"Remarks Sleeping group size"	"Foraging Group size: mean"	"Group size: range"	"Group size combined"	"Source group size"	"Day range (m)"	"male Home range (HR) size: mean (ha)"	"female Home range size: mean"	"HR size average"	"HR range"	"Source Home range size"
"Callicebus_personatus"	"Callicebus_personatus"	"Callicebus_personatus"	NA	"Callicebidae"	0	1.30535136944662	NA	NA	1.83432531374479	1.25839780409551	NA	NA	1	20.2	1	"all individuals"	"van Woerden compilation"	NA	NA	NA	NA	NA	0	68.285	NA	68.285	NA	11.6	11.6	79.885	NA	18.13	NA	NA	18.13	2	100.015	"average"	"Kinzey 1983, Price 2001"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Callicebus_torquatus"	"Callicebus_torquatus"	"Callicebus_torquatus"	NA	"Callicebidae"	0	1.29609767782509	3.09516935143176	1.30102999566398	1.85125834871908	0.602059991327962	0.59659709562646	1.20139712432045	1	19.7741433333333	6	"all individuals"	"van Woerden compilation"	1245	36	"all individuals"	"Smith&Jungers 1997"	"matching ECV"	20	71	NA	71	NA	NA	NA	71	NA	4	NA	NA	4	5	100	"single study"	"Norconk 07 review"	NA	NA	"3.95"	"3 to 5"	3.95	"Sussman 2000, Norconk 07 review"	NA	NA	NA	15.9	NA	NA
"Callimico_goeldii"	"Callimico_goeldii"	"Callimico_goeldii"	NA	"Callitrichidae"	0	1.05088703913583	2.59871236110714	1.6232492903979	1.41497334797082	1.11394335230684	0.653212513775344	2	1	11.243125	12	"all individuals"	"van Woerden compilation"	396.928571428571	11	"all individuals"	"ATWP 2011: Porter pers comm, Encarnacion, Garber pers comm"	NA	42	26	0	26	NA	NA	NA	26	9.5	13	0	0	22.5	0	100	"two studies"	"19.-38 fungus, here put into \"leaves\", 7% unknown (Porter 2001b,2004, 2009, Regh 2003 thesis, in ATWP 2011"	NA	NA	"4.5"	"2 to 12"	4.5	"HMW vol. 3, 6.3 Porter 2006"	NA	NA	NA	100	NA	NA
"Callithrix_aurita"	"Callithrix_aurita"	"Callithrix_aurita"	NA	"Callitrichidae"	0	0.925569909543376	NA	1.5854607295085	1.04139268515823	NA	0.778151250383644	1.57403126772772	1	8.425	4	"all individuals"	"van Woerden compilation"	NA	NA	NA	NA	NA	38.5	11	NA	11	NA	NA	NA	11	50.5	0	NA	NA	0	0	100	"single study"	"Martins 2000 in ATWP 2012"	NA	NA	"6"	"4 to 8"	6	"HMW vol. 3"	"959"	NA	NA	37.5	NA	NA
"Callithrix_flaviceps"	"Callithrix_flaviceps"	"Callithrix_flaviceps"	NA	"Callitrichidae"	0	NA	NA	1.29776051109913	0.984527313343793	NA	0.959041392321094	1.55022835305509	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.85	9.65	4.04	13.69	0.46	NA	0.46	14.15	66	0	NA	NA	NA	0	100	"single study"	"Ferrari 1988 in ATWP 2012"	NA	NA	"9.1"	"3 to 16"	9.1	"HMW vol. 3"	"1222.5"	NA	NA	35.5	NA	NA
"Callithrix_geoffroyi"	"Callithrix_geoffroyi"	"Callithrix_geoffroyi"	NA	"Callitrichidae"	0	0.990116766067904	2.52946243758511	1.18752072083646	1.17609125905568	NA	0.8750612633917	1.45863784902565	1	9.775	4	"all individuals"	"van Woerden compilation"	338.425	11	"all individuals"	"Bicca-Marques pers obs, Ford and Davis 1992 in ATWP 2011"	NA	15.4	15	NA	15	NA	NA	NA	15	68.6	0	NA	NA	NA	1	100	"single study"	"Passamani 200 in ATWP 2011"	NA	NA	"7.5"	"5 to 10"	7.5	"5: Passamani, 8-10 Rowe 1996 in ATWP 2011"	"1009.5"	NA	NA	28.75	NA	NA
"Callithrix_jacchus"	"Callithrix_jacchus"	"Callithrix_jacchus"	NA	"Callitrichidae"	0	0.874325618999381	2.50514997831991	0.857332496431269	1.31386722036915	NA	0.925867201841513	0.666517980554881	1	7.487306625	16	"all individuals"	"van Woerden compilation"	320	155	"all individuals"	"Araujo 2000 in ATWP 2011, wild"	NA	7.2	20.6	NA	20.6	NA	NA	NA	20.6	71.7	0	0	0	0	0.5	100	"single study"	"Digby et al. 07 review: some fungus"	NA	NA	"8.4307692307692292"	"3 to 16"	8.43076923076923	"Digby et al. 07 review for range, ATWP 2011 for average:Arruda 2005, Digby 1996, Koenig 1995, Mendes-Pontes 1995"	"528.98699999999997"	NA	NA	4.64	NA	NA
"Callithrix_kuhlii"	"Callithrix_kuhlii"	"Callithrix_kuhlii"	NA	"Callitrichidae"	0	0.901642009048313	2.57209676795052	1.13033376849501	1.74992946410767	NA	0.732393759822969	NA	1	7.97337167589007	7	"all individuals"	"van Woerden compilation"	373.333333333333	6	"all individuals"	"van Woerden compilation (matching)"	NA	13.5	56.225	NA	56.225	NA	2.595	2.595	58.82	27.68	NA	NA	NA	NA	0	100	"three months study"	"HMW vol. 3 (3 months Aug-oct)"	NA	NA	"5.4"	"5 to 9"	5.4	"HMW vol. 3"	NA	NA	NA	NA	NA	NA
"Callithrix_penicillata"	"Callithrix_penicillata"	"Callithrix_penicillata"	NA	"Callitrichidae"	0	0.855333077172119	2.47583254611261	1.42324587393681	1.38916608436453	NA	0.740362689494244	1.10720996964787	1	7.16692858857895	28	"all individuals"	"van Woerden compilation"	299.111111111111	9	"all individuals"	"van Woerden compilation (matching)"	"matching ECV"	26.5	24.5	NA	24.5	NA	NA	NA	24.5	49.0333333333333	0	NA	NA	0	0	100.033333333333	"two studies"	"Odalia-Rimoli 2002, Ferreia 2005, Fonseca 1994 in ATWP 2011"	NA	NA	"5.5"	"3 to 13"	5.5	"Digby et al. 07 review, HMW vol. 3"	NA	NA	NA	12.8	NA	NA
"Cebuella_pygmaea"	"Callithrix_pygmaea"	"Cebuella_pygmaea"	NA	"Callitrichidae"	0	0.622680799258569	2.06445798922692	1.51851393987789	0	NA	0.72916478969277	-0.292429823902064	1	4.1945058	20	"all individuals"	"van Woerden compilation"	116	63	"all individuals"	"Isler et al. 2008"	"Soini 1988"	33	1	NA	1	NA	NA	NA	1	66	0	0	0	0	0	100	"single study"	"Digby et al. 07 review"	NA	NA	"5.36"	"2 to 9"	5.36	"de la Torre in ATWP 2011; 5.1 HMW vol. 3"	"290"	NA	NA	0.51	NA	NA
"Cebus_albifrons"	"Cebus_albifrons"	"Cebus_albifrons"	NA	"Cebidae"	0	1.81957311889481	3.30389770776446	1.30102999566398	NA	NA	1.39794000867204	2.31701810104811	1	66.0044351611414	33	"fem"	"van Woerden compilation"	2013.25	8	"fem"	"van Woerden compilation (matching)"	NA	20	NA	NA	80	NA	NA	NA	NA	NA	0	NA	NA	NA	0	100	NA	"Defler 1979 in Rosenberger 1992"	NA	NA	"25"	"15 to 35"	25	"Sussman 2000"	NA	NA	NA	207.5	NA	NA
"Cebus_apella"	"Cebus_apella"	"Cebus_apella"	NA	"Cebidae"	0	1.80710218616976	3.40462164707215	1.39794000867204	1.66558099101795	1.20411998265592	1.1430148002541	2.20844135643857	1	64.1360466044914	78	"fem"	"van Woerden compilation"	2538.76	25	"fem"	"van Woerden compilation (matching)"	"matching ECV"	25	46.3	7	53.3	NA	5.7	5.7	59	NA	16	1.1	NA	16	0	100	"single study"	"Mittermeier and van Roosmalen 1981 (Surinam, \"C. nigrivittatus\"), animal matter: minimum from Zhang, fruits reduced accordingly, Zhang 1995 gives highly variable diet according to fruit availability (in ATWP 2011)"	NA	NA	"13.9"	"6 to 29"	13.9	"ATWP 2011: Kessler, Gunst, Mittermeier&van Roosmalen, Norconk"	NA	NA	NA	161.6	NA	NA
"Cebus_capucinus"	"Cebus_capucinus"	"Cebus_capucinus"	NA	"Cebidae"	0	1.84023472210184	3.38676641571731	1.30102999566398	1.81291335664286	1.17609125905568	1.2148438480477	2.16731733474818	1	69.2204984214101	35	"fem"	"van Woerden compilation"	2436.5	6	"fem"	"van Woerden compilation (matching)"	"matching ECV"	20	65	NA	65	NA	NA	NA	NA	NA	15	NA	NA	15	0	100	NA	"Rose 1994, Costa Rica"	NA	NA	"16.399999999999999"	"12 to 27"	16.4	"Jack 07 review"	NA	NA	NA	147	NA	NA
"Cebus_libidinosus"	"Cebus_libidinosus"	"Cebus_libidinosus"	NA	"Cebidae"	0	1.80382215735931	3.32570762257974	1.49136169383427	1.67209785793572	0.602059991327962	1.11394335230684	NA	1	63.6534807918894	31	"fem"	"Isler et al. 2008"	2116.93548387097	31	"fem"	"van Woerden compilation (matching)"	"matching ECV"	31	47	NA	47	NA	4	4	51	NA	4	NA	NA	4	14	100	"single study"	"HMW vol. 3, Fazenda Boa Vista, Piaui state, Brazil"	NA	NA	"13"	NA	13	"Fragaszy pers comm in ATWP 2011"	NA	NA	NA	NA	NA	NA
"Cebus_nigritus"	"Cebus_nigritus"	"Cebus_nigritus"	NA	"Cebidae"	0	1.81312737762452	3.34860112202504	1.43536650661266	1.49324887005742	1.44770056043451	1.18089014193745	2.47436197603263	1	65.0320399929579	23	"fem"	"Isler et al. 2008"	2231.52173913043	23	"fem"	"van Woerden compilation (matching)"	"matching ECV"	27.25	31.135	NA	31.135	3	NA	3	34.135	NA	28.035	NA	NA	28.035	10.6	100.02	"two studies"	"Izar 2004, Rimoli 2001 in TWP 2011"	NA	NA	"15.166666666666666"	NA	15.1666666666667	"ATWP 2011: Di Bitteti, Izar, Lynch"	NA	NA	NA	298.1	NA	NA
"Cebus_olivaceus"	"Cebus_olivaceus"	"Cebus_olivaceus"	NA	"Cebidae"	0	1.84563324517329	3.34276800501525	1.66275783168157	1.6232492903979	0.778151250383644	1.32221929473392	2.43775056282039	1	70.0863180558	12	"fem"	"van Woerden compilation"	2201.75	4	"fem"	"van Woerden compilation (matching)"	"matching ECV"	46	42	4	46	1	1	2	48	NA	6	NA	NA	6	0	100	"single study"	"Miller 1992 PhD thesis from ATWP 2011"	NA	NA	"21"	"12 to 50"	21	"Robinson 1988"	NA	NA	NA	274	NA	NA
"Cebus_xanthosternos"	"Cebus_xanthosternos"	"Cebus_xanthosternos"	NA	"Cebidae"	0	1.80621267649939	3.33579210192319	NA	NA	NA	1.23044892137827	2.80413943233535	1	64.0048194022301	3	"fem"	"Isler et al. 2008"	2166.66666666667	3	"fem"	"van Woerden compilation (matching)"	"matching ECV"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"17"	NA	17	"Canale pers comm in ATWP 2011"	NA	NA	NA	637	NA	NA
"Cercocebus_agilis"	"Cercocebus_agilis"	"Cercocebus_agilis"	"Cercopithecinae"	"Cercopithecidae"	0	2.00418663559551	NA	NA	NA	NA	NA	NA	1	100.96867	10	"fem"	"van Woerden compilation"	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Santochirico 2007 pers comm, Shah 2003 in ATWP 2012"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cercocebus_atys"	"Cercocebus_torquatus_atys"	"Cercocebus_atys"	"Cercopithecinae"	"Cercopithecidae"	NA	1.93851972517649	3.79239168949825	0.732393759822969	1.83505610172012	1.38021124171161	1.69897000433602	2.69897000433602	1	86.8	10	"fem"	"Isler et al. 2008"	6200	4	"fem"	"Isler et al. 2008"	"Oates et al. 1990 in Smith and Jungers 1997"	5.4	68.4	NA	68.4	NA	1.3	1.3	69.7	NA	24	NA	NA	24	0.9	100	"single study"	"ATWP 2011: Rutte 1998 (incomplete citation), adds up to 121%, thus insect minus 21%"	NA	NA	"50"	"10 to 122"	50	"ATWP: Jeffrey 1974, Magnuson 2002, Oates 1990, Range 2004"	NA	NA	NA	500	NA	NA
"Cercocebus_galeritus"	"Cercocebus_galeritus"	"Cercocebus_galeritus"	"Cercopithecinae"	"Cercopithecidae"	1	1.9792621194722	3.568201724067	0.932811868611632	1.64378156289486	0.961421094066448	1.42050583657078	1.57034831990019	1	95.33714	1	"fem"	"van Woerden compilation"	3700	1	"fem"	"Wieczkowski&Butynski in press in ATWP 2011"	NA	8.56666666666667	44.0333333333333	31.8333333333333	75.8666666666667	NA	3.35	3.35	79.2166666666667	0.85	9.15	1.95	NA	11.45	0	99.9833333333333	"three studies"	"Homewood 1976, Kinnaird 1991, Wieczkowski 2003 thesis in ATWP 2011 (nonrepr. plant parts includes 2.4% bark)"	NA	NA	"26.333333333333332"	"6 to 62"	26.3333333333333	"Homewood 1976, Kinnaird 1991, Wieczkowski unpubl in ATWP 2011"	NA	NA	NA	37.1833333333333	NA	NA
"Cercocebus_torquatus"	"Cercocebus_torquatus"	"Cercocebus_torquatus"	"Cercopithecinae"	"Cercopithecidae"	1	1.97072672935974	3.75262456262677	NA	1.77815125038364	NA	1.32919441508845	2.34966598409663	1	93.4817275	4	"fem"	"van Woerden compilation"	5657.5	NA	"fem"	"various, ATWP 2011 (captives excluded)"	NA	0	60	20	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	100	"single study"	"Mitani 1989 in ATWP 2011"	NA	NA	"21.34"	"14 to 60"	21.34	"Melnick and Pearl 87, and various in ATWP 2011"	NA	NA	NA	223.7	NA	NA
"Cercopithecus_ascanius"	"Cercopithecus_ascanius"	"Cercopithecus_ascanius"	"cephus group"	"Cercopithecidae"	0	1.7534618474075	3.46254772880266	1.36235679265454	1.60465797204787	1.40823996531185	1.46627432178929	1.53147891704226	1	56.6841772518078	25	"fem"	"van Woerden compilation"	2901	3	"fem"	"van Woerden compilation (matching)"	"matching ECV"	23.0333333333333	40.24	3.7	43.94	NA	4.98	4.98	48.92	1.4	25.6	25	0.6	25.6	1	99.9533333333333	"average"	"Enstam and Isbell 07 review, ATWP: mature leaves less than 1%"	NA	NA	"29.26"	"15 to 50"	29.26	"Cords, McGraw, Struhsaker in ATWP 2011"	NA	NA	NA	34	NA	NA
"Cercopithecus_campbelli"	"Cercopithecus_campbelli"	"Cercopithecus_campbelli"	"mona group"	"Cercopithecidae"	1	1.73291206416136	3.37391683250095	1.38021124171161	1.79239168949825	0.653212513775344	1.16879202031418	1.77451696572855	1	54.0644842229008	27	"fem"	"van Woerden compilation"	2365.46666666667	15	"fem"	"van Woerden compilation (matching)"	"matching ECV"	24	62	NA	62	NA	1	1	63	NA	4.5	NA	NA	4.5	8.5	100	"two studies"	"Enstam and Isbell 07 review, Buzzard 2006 in ATWP 2011 (Porter is lowei)"	NA	NA	"14.75"	"7 to 33"	14.75	"4 studies in ATWP 2011"	NA	NA	NA	59.5	NA	NA
"Cercopithecus_campbelli_lowei"	"Cercopithecus_campbelli_lowei"	"Cercopithecus_campbelli_lowei"	"mona group"	"Cercopithecidae"	NA	1.70915354369258	3.32159843046534	NA	1.44715803134222	1.67209785793572	NA	NA	1	51.1862771314734	6	"fem"	"van Woerden compilation"	2097	6	"fem"	"van Woerden compilation (matching)"	NA	0	28	8	36	NA	9	9	45	NA	47	NA	NA	53	8	100	"single study"	"Porter 2005 in ATWP 2012, bark 8%"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cercopithecus_cephus"	"Cercopithecus_cephus"	"Cercopithecus_cephus"	"cephus group"	"Cercopithecidae"	0	1.78231329180291	3.45939248775923	1.14457420760962	1.80495679985749	1.03476210625921	0.982271233039568	1.82930377283102	1	60.577771372549	17	"fem"	"van Woerden compilation"	2880	10	"fem"	"Isler et al. 2008"	"Malbrant&Maclatchy 1949, Gautier-Hion&Gautier 76 in Smith and Jungers 1997"	13.95	63.82	5.2	69.02	NA	5.2	5.2	74.22	NA	10.8333333333333	NA	NA	10.8333333333333	1	100.003333333333	"average of four studies"	"Enstam and Isbell 07 review, Tutin, GautierHion in ATWP 2011"	NA	NA	"9.6"	"5 to 22"	9.6	"Brugiere et al. 2002, Gautier Hion1999 for range, ATWP 2011"	NA	NA	NA	67.5	NA	NA
"Cercopithecus_diana"	"Cercopithecus_diana"	"Cercopithecus_diana"	"diana group"	"Cercopithecidae"	0	1.75810048066184	3.5910646070265	1.42732378635725	1.63195082625922	0.938269483462911	1.35024801833416	1.69897000433602	1	57.2928571428571	14	"fem"	"van Woerden compilation"	3900	11	"fem"	"Isler et al. 2008"	"Oates et al. 1990 in Smith and Jungers 1997"	26.75	42.85	12.1	54.95	NA	9.625	9.625	64.575	NA	8.675	NA	NA	8.675	0	100	"four studies"	"Enstam and Isbell 07 review, Oates 1990 two groups, Eckhardt in ATWP 2011"	NA	NA	"22.400000000000002"	"20 to 27"	22.4	"Whitesides 1989, Eckhardt 2002 in ATWP 2011"	NA	NA	NA	50	NA	NA
"Cercopithecus_erythrogaster"	"Cercopithecus_erythrogaster"	"Cercopithecus_erythrogaster"	"cephus group"	"Cercopithecidae"	0	NA	3.46239799789896	NA	NA	NA	1.23044892137827	NA	1	NA	NA	NA	NA	2900	NA	"fem"	"Smith and Jungers 1997 (n unknown, from graph in Haltenorth and Diller 1980)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4 to 30"	17	"only range in Butynski 1994 in ATWP 2011"	NA	NA	NA	NA	NA	NA
"Cercopithecus_hamlyni"	"Cercopithecus_hamlyni"	"Cercopithecus_hamlyni"	"hamlyni group"	"Cercopithecidae"	0	1.79145671716318	NA	1.77451696572855	1.05461305455689	1.27955288115039	NA	NA	1	61.8666666666667	3	"fem"	"van Woerden compilation"	NA	NA	NA	NA	NA	59.5	11.34	3.24	14.58	NA	3.645	3.645	18.225	NA	19.035	NA	NA	19.035	3.24	100	"single study"	"Porter 2005 in ATWP 2011 (insects mentioned in C. campbelli entry)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cercopithecus_lhoesti"	"Cercopithecus_lhoesti"	"Cercopithecus_lhoesti"	"lhoesti group"	"Cercopithecidae"	1	1.82038061156047	3.53781909507327	0.980911937776844	1.44490316279546	1.54350930646503	1.47226875192525	1.712333965894	1	66.1272727272727	11	"fem"	"van Woerden compilation"	3450	50	"fem"	"Isler et al. 2008"	"Smith and Jungers 1997"	9.57	27.855	10.44	38.295	NA	4.845	4.845	43.14	NA	34.955	8	NA	34.955	12.3	99.965	"two studies"	"Kaplin 2000 in Enstam and Isbell 07 review, Ukizintambara in ATWP 2011"	NA	NA	"29.666666666666668"	"23 to 37"	29.6666666666667	"several in ATWP 2011"	NA	NA	NA	51.5625	NA	NA
"Cercopithecus_mitis"	"Cercopithecus_mitis"	"Cercopithecus_mitis"	"mitis group"	"Cercopithecidae"	0	1.81705746979086	3.59439255037543	1.24232841702203	1.69897000433602	1.25072487735259	1.42732378635725	1.68574173860226	1	65.623209914992	57	"fem"	"van Woerden compilation"	3930	41	"fem"	"Colyn 1994"	"in Smith and Jungers 1997"	17.4714285714286	50	6.46	56.46	NA	7.4	7.4	63.86	0.38	17.8125	10	7.8	17.8125	0.5	100.023928571429	"average"	"Enstam and Isbell 07 review, multitude of values in ATWP 2011, more than half young leaves"	NA	NA	"24.555555555555557"	"17 to 45"	26.75	"various in ATWP 2011"	NA	NA	NA	48.5	NA	NA
"Cercopithecus_mona"	"Cercopithecus_mona"	"Cercopithecus_mona"	"mona group"	"Cercopithecidae"	0	1.75204844781944	3.50514997831991	0.99563519459755	1.62013605497376	1.13353890837022	1.38738982633873	1.79588001734408	1	56.5	9	"fem"	"van Woerden compilation"	3200	4	"fem"	"diverse in ATWP 2011, few values"	NA	9.9	41.7	22	63.7	NA	11.7	11.7	75.4	NA	13.6	NA	NA	13.6	1.1	100	"single study"	"Matsuda Goodwin 2007 in ATWP 2011"	NA	NA	"24.4"	"13 to 47"	24.4	"various in ATWP 2011"	NA	NA	NA	62.5	NA	NA
"Cercopithecus_neglectus"	"Cercopithecus_neglectus"	"Cercopithecus_neglectus"	"neglectus group"	"Cercopithecidae"	1	1.78434466216849	3.55022835305509	0.872156272748293	1.70586371228392	1.31386722036915	1.01367969729119	0.8750612633917	1	60.8617817271575	12	"fem"	"Isler et al. 2008"	3550	3	"fem"	"Colyn 1974 in ATWP 2011"	NA	7.45	50.8	1.2	52	NA	4.25	4.25	56.25	1.1	20.6	19.5	12.6	20.6	14.6	100	"two studies"	"Enstam and Isbell 07 review, Wahome et al. 1993 in ATWP 2011"	NA	NA	"10.32"	"3 to 15"	10.32	"various in ATWP 2011"	NA	NA	NA	7.5	NA	NA
"Cercopithecus_nictitans"	"Cercopithecus_nictitans"	"Cercopithecus_nictitans"	"mitis group"	"Cercopithecidae"	0	1.83142069378457	3.62940959910272	0.954242509439325	1.71912403597435	1.17825732081219	1.44622640177816	2.12548126570059	1	67.8298245614035	19	"fem"	"van Woerden compilation"	4260	30	"fem"	"Isler et al. 2008"	"Smith&Jungers 1997"	9	52.375	16.3	68.675	NA	6.025	6.025	74.7	NA	15.075	NA	0.1	15.075	1.2	99.975	"average"	"Enstam and Isbell 07 review"	NA	NA	"27.939999999999998"	"7 to 60"	27.94	"various in ATWP 2011"	NA	NA	NA	133.5	NA	NA
"Cercopithecus_petaurista"	"Cercopithecus_petaurista"	"Cercopithecus_petaurista"	"cephus group"	"Cercopithecidae"	0	1.7222083869158	3.46511234724665	0.984527313343793	1.74468406327689	1.35698140099313	1.02530586526477	1.8333065152847	1	52.7482902095439	28	"fem"	"van Woerden compilation"	2918.18181818182	11	"fem"	"van Woerden compilation (matching)"	"matching ECV"	9.65	55.55	NA	55.55	NA	6	6	61.55	NA	22.75	NA	NA	22.75	6	99.95	"two studies"	"Enstam and Isbell 07 review (Buzzard 2006, Galat 1985 in ATWP 2011)"	NA	NA	"10.6"	"4 to 25"	10.6	"various in ATWP 2011"	NA	NA	NA	68.125	NA	NA
"Cercopithecus_pogonias"	"Cercopithecus_pogonias"	"Cercopithecus_pogonias"	"mona group"	"Cercopithecidae"	0	1.76037460881787	3.46834733041216	0.88460658129793	1.69701126869945	1.10209052551184	1.30856441356124	1.88930170250631	1	57.5936507936508	21	"fem"	"van Woerden compilation"	2940	10	"fem"	"Isler et al. 2008"	"Gautier Hion 1999"	7.66666666666667	49.775	23.5	73.275	NA	6.425	6.425	79.7	NA	12.65	NA	NA	12.65	0	100.016666666667	"four studies"	"Enstam and Isbell 07 review, ATWP 2011"	NA	NA	"20.349999999999998"	"9 to 53"	20.35	"various in ATWP 2011"	NA	NA	NA	77.5	NA	NA
"Cercopithecus_pogonias_wolfi"	"Cercopithecus_pogonias_wolfi"	"Cercopithecus_pogonias_wolfi"	"mona group"	"Cercopithecidae"	0	1.72835378202123	3.45788189673399	1	1.54324002792805	1.3379581636797	1.22466252884103	NA	1	53.5	1	"fem"	"van Woerden compilation"	2870	120	"fem"	"Isler et al. 2008"	"Smith&Jungers 1997"	10	34.9333333333333	25.6666666666667	60.6	NA	7.60333333333333	7.60333333333333	68.2033333333333	0	21.775	NA	NA	21.775	0	99.9783333333334	"four studies"	"Enstam and Isbell 07 review, ATWP 2011"	NA	NA	"16.774999999999999"	"10 to 30"	16.775	"various in ATWP 2011"	NA	NA	NA	NA	NA	NA
"Cercopithecus_preussi"	"Cercopithecus_preussi"	"Cercopithecus_preussi"	"lhoesti group"	"Cercopithecidae"	1	1.7979596437372	NA	-1	1.71516735784846	1.6222140229663	NA	NA	1	62.8	2	"fem"	"van Woerden compilation"	NA	NA	NA	NA	NA	0.1	51.9	NA	51.9	NA	1.2	1.2	53.1	NA	41.9	1.6	NA	41.9	4.9	100	"single study"	"Beeson 1996 in ATWP 2012, terr. herbaceous plants, pith and tree shoots included in leaves"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cheirogaleus_major"	"Cheirogaleus_major"	"Cheirogaleus_major"	NA	"Cheirogaleidae"	0	0.751685807892364	2.60205999132796	NA	NA	NA	0.602059991327962	0.643452676486187	0	5.64528416666667	24	"all individuals"	"van Woerden compilation"	400	9	"all individuals"	"Isler et al. 2008"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	"2 adult plu off"	"3.5"	"2 to 5"	4	"Gould and Sauther 07 review, HMW vol.3"	NA	NA	4	4.4	NA	NA
"Cheirogaleus_medius"	"Cheirogaleus_medius"	"Cheirogaleus_medius"	NA	"Cheirogaleidae"	0	0.405463194186052	2.14457420760962	1.29003461136252	1.82930377283102	0.698970004336019	0.602059991327962	0.602059991327962	0	2.54368421052632	19	"all individuals"	"van Woerden compilation"	139.5	99	"all individuals"	"Isler et al. 2008"	NA	19.5	67.5	NA	67.5	NA	NA	8	75.5	NA	5	5	NA	5	0	100	"two studies"	"Fietz & Ganzhorn 1999, Hladik 1980"	4	"2 adult plu off"	"1"	NA	4	"Gould and Sauther 07 review"	NA	NA	NA	4	NA	NA
"Chiropotes_albinasus"	"Chiropotes_albinasus"	"Chiropotes_albinasus"	NA	"Pitheciidae"	0	1.76072397214195	3.45431118814757	-0.397940008672038	1.66838591669	-0.301029995663981	1.35218251811136	2.47712125471966	1	57.64	5	"all individuals"	"van Woerden compilation"	2846.5	10	"all individuals"	"Ayres 1981, 1989 in Norconk 07"	NA	0.4	46.6	45.05	91.65	NA	4.05	4.05	92.8	NA	0.5	NA	NA	0.5	3.4	100	"two studies"	"Norconk 07 review (Pinto 2008 in ATWP 2011), Ayres 1981, other including bark)"	NA	NA	"22.5"	"19 to 56"	22.5	"Norconk 07 review, 56 in Pinto 2008 in ATWP 2011"	NA	NA	NA	300	NA	NA
"Chiropotes_chiropotes"	"Chiropotes_chiropotes"	"Chiropotes_chiropotes"	NA	"Pitheciidae"	0	1.73931672668292	3.40881136006146	-0.301029995663981	1.32479671762173	-0.323306390375133	1.33063920521613	2.30102999566398	1	54.8676963744485	32	"all individuals"	"van Woerden compilation"	2563.37037037037	27	"all individuals"	"van Woerden compilation (matching)"	"matching ECV"	0.5	21.125	63.8	84.925	NA	5.1125	5.1125	90.0375	NA	0.475	NA	NA	9.475	9	100.0125	"average"	"Norconk 07 review (other including leaves, insect, bark)"	NA	NA	"21.411111111111111"	"8 to 44"	21.4111111111111	"Norconk 07 review"	NA	NA	NA	200	NA	NA
"Chiropotes_satanas"	"Chiropotes_satanas"	"Chiropotes_satanas"	NA	"Pitheciidae"	0	1.69378658391901	3.4814426285023	0.361727836017593	1.40710751491294	0.161368002234975	1.44715803134222	2.35218251811136	1	49.4067838095238	21	"all individuals"	"van Woerden compilation"	3030	9	"all individuals"	"Hershkovitz 1985 in Smith and Jungers 1997 (this body mass from Surinam specimens most probably refers to C. chiropotes)"	NA	2.3	25.5333333333333	44.0666666666667	69.6	NA	26.6666666666667	26.6666666666667	96.2666666666667	NA	1.45	1.45	0	1.45	0	100.016666666667	"three studies"	"Santos 2002, Silva 2003, Veiga 2006 in ATWP 2011"	NA	NA	NA	"17-39"	28	"only range, fragmented forests, Ayres 1981"	NA	NA	NA	225	NA	NA
