Species,weighting,region,measure,N,Mean,SD,CV,CVstar,note
Rattus,weighted,Cingulate Cortex,CMRgl,248,97.93,12.77,13.04,13.05,
Mus,unweighted,Cingulate Cortex,CMRgl,3,83.00,19.97,24.07,26.07,
Mus,weighted,Cingulate Cortex,CMRgl,18,83.33,12.00,14.40,14.60,
Felis,unweighted,Cingulate Cortex,CMRgl,1,47.00,10.00,21.28,26.60,
Felis,weighted,Cingulate Cortex,CMRgl,4,47.00,10.00,21.28,22.61,
Homo,unweighted,Cingulate Cortex,CMRO2,3,150.80,36.96,24.51,26.55,
Homo,weighted,Cingulate Cortex,CMRO2,49,132.90,29.67,22.32,22.44,
Homo,unweighted,Thalamus,CMRgl,33,36.51,6.26,17.16,17.29,
Homo,weighted,Thalamus,CMRgl,406,37.41,6.95,18.58,18.59,
Macaca,unweighted,Thalamus,CMRgl,10,45.22,5.26,11.63,11.92,
Macaca,weighted,Thalamus,CMRgl,44,44.82,4.41,9.84,9.90,
Rattus,unweighted,Thalamus,CMRgl,44,89.44,13.79,15.41,15.50,
Rattus,weighted,Thalamus,CMRgl,334,89.80,12.06,13.43,13.44,
Mus,unweighted,Thalamus,CMRgl,5,116.32,27.67,23.79,24.98,
Mus,weighted,Thalamus,CMRgl,29,114.39,14.51,12.69,12.79,
Lepus,unweighted,Thalamus,CMRgl,1,89.70,9.40,10.48,13.10,
Lepus,weighted,Thalamus,CMRgl,5,89.70,9.40,10.48,11.00,
Felis,unweighted,Thalamus,CMRgl,2,71.70,19.37,27.02,30.40,
Felis,weighted,Thalamus,CMRgl,11,75.44,14.32,18.98,19.41,
Meriones,unweighted,Thalamus,CMRgl,2,74.40,5.52,7.41,8.34,
Meriones,weighted,Thalamus,CMRgl,8,76.35,13.84,18.13,18.69,
Homo,unweighted,Thalamus,CMRO2,9,177.33,38.21,21.55,22.15,
Homo,weighted,Thalamus,CMRO2,102,161.66,31.52,19.50,19.54,
Homo,unweighted,Thalamus,CBF,8,54.23,7.59,14.00,14.43,
Homo,weighted,Thalamus,CBF,114,54.15,11.70,21.61,21.66,
Rattus,unweighted,Thalamus,CBF,4,131.00,14.63,11.17,11.86,
Rattus,weighted,Thalamus,CBF,26,129.92,21.11,16.25,16.40,
Meriones,unweighted,Thalamus,CBF,1,117.00,10.00,8.55,10.68,
Meriones,weighted,Thalamus,CBF,2,117.00,10.00,8.55,9.62,
Sus,unweighted,Thalamus,CBF,1,76.80,4.50,5.86,7.32,
Sus,weighted,Thalamus,CBF,6,76.80,4.50,5.86,6.10,
Homo,unweighted,Hippocampus,CMRgl,8,30.34,6.71,22.12,22.81,
Homo,weighted,Hippocampus,CMRgl,106,29.25,4.79,16.38,16.42,
Macaca,unweighted,Hippocampus,CMRgl,7,34.10,4.57,13.41,13.89,
Macaca,weighted,Hippocampus,CMRgl,31,34.62,3.15,9.10,9.17,
Rattus,unweighted,Hippocampus,CMRgl,44,65.59,10.38,15.83,15.92,
Rattus,weighted,Hippocampus,CMRgl,327,65.36,8.67,13.26,13.27,
Mus,unweighted,Hippocampus,CMRgl,6,69.34,19.49,28.11,29.28,
Mus,weighted,Hippocampus,CMRgl,49,74.54,33.99,45.60,45.83,
Lepus,unweighted,Hippocampus,CMRgl,1,58.10,5.60,9.64,12.05,
Lepus,weighted,Hippocampus,CMRgl,5,58.10,5.60,9.64,10.12,
Felis,unweighted,Hippocampus,CMRgl,2,50.00,2.83,5.66,6.36,
Felis,weighted,Hippocampus,CMRgl,11,50.55,12.90,25.52,26.10,
Meriones,unweighted,Hippocampus,CMRgl,1,69.00,19.00,27.54,34.42,
Meriones,weighted,Hippocampus,CMRgl,6,69.00,19.00,27.54,28.68,
Homo,unweighted,Hippocampus,CMRO2,1,137.05,24.60,17.95,22.44,
Homo,weighted,Hippocampus,CMRO2,14,137.05,24.60,17.95,18.27,
Homo,unweighted,Hippocampus,CBF,2,47.40,7.35,15.51,17.45,
Homo,weighted,Hippocampus,CBF,40,48.96,8.54,17.44,17.55,
Macaca,unweighted,Hippocampus,CBF,1,53.90,7.60,14.10,17.63,
Macaca,weighted,Hippocampus,CBF,6,53.90,7.60,14.10,14.69,
Rattus,unweighted,Hippocampus,CBF,5,92.60,13.07,14.11,14.82,
Rattus,weighted,Hippocampus,CBF,30,94.00,13.63,14.50,14.62,
Meriones,unweighted,Hippocampus,CBF,1,109.00,9.00,8.26,10.32,
Meriones,weighted,Hippocampus,CBF,2,109.00,9.00,8.26,9.29,
Homo,unweighted,Basal Ganglia,CMRgl,32,36.72,6.99,19.04,19.19,
Homo,weighted,Basal Ganglia,CMRgl,372,37.63,6.93,18.42,18.43,
Macaca,unweighted,Basal Ganglia,CMRgl,9,44.50,5.83,13.09,13.46,
