Species,Region,Measure,Units,Value,n_studies,Compilations,Volume_term
Macaca mulatta,White_matter,CMRgl,umol/100g/min,11.36,5,Karbowski_2007; Kaufman_2004,NA
Macaca mulatta,Whole_brain,CBF,mL/100g/min,85.567,3,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Macaca mulatta,Whole_brain,CMRO2,umol/100g/min,280.2,3,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Macaca mulatta,Whole_brain,CMRgl,umol/100g/min,44.02,5,Karbowski_2007; Kaufman_2004,Total_brain_net_volume_Vol.mm3
Meriones unguiculatus,Basal_ganglia,CMRgl,umol/100g/min,75,1,Kaufman_2004,NA
Meriones unguiculatus,Cerebellum,CBF,mL/100g/min,93,1,Kaufman_2004,Cerebellum_Vol.mm3
Meriones unguiculatus,Cerebellum,CMRgl,umol/100g/min,44.4,1,Kaufman_2004,Cerebellum_Vol.mm3
Meriones unguiculatus,Frontal_cortex,CMRgl,umol/100g/min,67.8,1,Kaufman_2004,NA
Meriones unguiculatus,Hippocampus,CBF,mL/100g/min,109,1,Kaufman_2004,Hippocampus_Vol.mm3
Meriones unguiculatus,Hippocampus,CMRgl,umol/100g/min,69,1,Kaufman_2004,Hippocampus_Vol.mm3
Meriones unguiculatus,Neocortex,CBF,mL/100g/min,112.8,2,Kaufman_2004,Neocortex_Vol.mm3
Meriones unguiculatus,Neocortex,CMRgl,umol/100g/min,83.7,2,Kaufman_2004,Neocortex_Vol.mm3
Meriones unguiculatus,Occipital_cortex,CMRgl,umol/100g/min,69.4,1,Kaufman_2004,NA
Meriones unguiculatus,Sensorimotor_cortex,CMRgl,umol/100g/min,67.2,1,Kaufman_2004,NA
Meriones unguiculatus,Thalamus,CMRgl,umol/100g/min,74.4,2,Kaufman_2004,Thalamus_Vol.mm3
Meriones unguiculatus,White_matter,CBF,mL/100g/min,62,1,Kaufman_2004,NA
Meriones unguiculatus,Whole_brain,CBF,mL/100g/min,102,1,Kaufman_2004,Total_brain_net_volume_Vol.mm3
Mus musculus,Amygdala,CMRgl,umol/100g/min,58,1,Karbowski_2007,Amygdala_Vol.mm3
Mus musculus,Auditory_cortex,CMRgl,umol/100g/min,96.1,5,Kaufman_2004,NA
Mus musculus,Basal_ganglia,CMRO2,umol/100g/min,5.2,1,Kaufman_2004,NA
Mus musculus,Basal_ganglia,CMRgl,umol/100g/min,75.475,4,Kaufman_2004,NA
Mus musculus,Brain_stem,CMRgl,umol/100g/min,93,2,Karbowski_2007,NA
Mus musculus,Caudate_nucleus,CMRgl,umol/100g/min,125,1,Karbowski_2007,NA
Mus musculus,Cerebellum,CMRgl,umol/100g/min,92,4,Karbowski_2007; Kaufman_2004,Cerebellum_Vol.mm3
Mus musculus,Cingulate_cortex,CMRgl,umol/100g/min,92.833,3,Karbowski_2007; Kaufman_2004,NA
Mus musculus,Frontal_cortex,CMRgl,umol/100g/min,98.82,5,Kaufman_2004,NA
Mus musculus,Hippocampus,CMRgl,umol/100g/min,67.72,5,Kaufman_2004,Hippocampus_Vol.mm3
Mus musculus,Hypothalamus,CMRgl,umol/100g/min,81.75,2,Karbowski_2007,NA
