"Species","Tree_Name","Tree_Clade","Individuals","Sex","Side","log10_mc1_mm","log10_pp1_mm","log10_dp1_mm","log10_mc2_mm","log10_pp2_mm","log10_ip2_mm","log10_dp2_mm","log10_mc3_mm","log10_pp3_mm","log10_ip3_mm","log10_dp3_mm","log10_mc4_mm","log10_pp4_mm","log10_ip4_mm","log10_dp4_mm","log10_mc5_mm","log10_pp5_mm","log10_ip5_mm","log10_dp5_mm","Bone_References","Bone_References_resolved","bone_data_restricted","log10_brain_g","brain_notes","log10_body_g","body_notes","log10_neocortex_cm3","log10_cerebellum_cm3","Brain_References","Brain_References_resolved","Tool_Use","Single_Individual","Captive_Only","Tool_Manufacture","True_Tool_Use","Binocularity","peak_workspace","relative_size","real_size"
"Cercocebus atys","Cercocebus_atys","papionini","FMNH_226784","Both/Unspecified","Unspecified",1.32469391386177,,,,,,,,1.40329214515825,1.25839780409551,,,,,,1.54629583512144,,,,"7","Prang et al. 2021","FALSE",1.93851972517649,,3.79239168949825,,,,"27","Venditti et al. 2024",1,0,1,0,1,,,,
"Cercocebus galeritus","Cercocebus_galeritus","papionini","taxon-level","male","Unspecified",,,,1.48201557645071,,,,1.47319490920494,,,,1.44622640177816,,,,,,,,"4","Patel 2010","FALSE",1.99594400414826,,3.87128097285797,,,,"27","Venditti et al. 2024",1,1,1,0,1,,,,
"Cercocebus torquatus","Cercocebus_torquatus","papionini","MCZ_34138;FMNH_73806","Both/Unspecified","Unspecified",1.40440605092127,,,1.52035250408332,,,,1.52009032811284,1.47107157361303,1.3070679506613,,1.4929000111087,,,,1.60124492481052,,,,"4;7","Patel 2010; Prang et al. 2021","FALSE",2.146,,3.934,,1.882,0.909,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.84571801796666,,,
"Chlorocebus aethiops","Chlorocebus_aethiops","owm","taxon-level","Both/Unspecified","Unspecified",1.23172438332852,,,1.44365406761291,,,,1.45395504223101,1.30749603791321,1.13193929521042,,1.42775651224374,,,,1.42406452541749,,,,"4;7;8","Patel 2010; Prang et al. 2021; Tague 1997","FALSE",1.807083813,,3.538154652,,,,"27","Venditti et al. 2024",1,0,1,0,1,1.87273882747267,,,
"Cercopithecus albogularis","Cercopithecus_albogularis","owm","KNM-OM_6131;KNM-OM_2791;KNM-OM_4232;KNM-OM_2797","Both/Unspecified","Unspecified",1.26304398331317,,,1.47603415907845,,,,1.47748301607494,,,,1.45976931596674,,,,1.41455555622922,,,,"18","Frost et al. 2015","FALSE",1.85390150402779,,3.71253277987505,,,,"35","Isler et al. 2008",0,,,,,,,,
"Cercopithecus ascanius","Cercopithecus_ascanius","owm","taxon-level","Both/Unspecified","Unspecified",1.23202527488988,1.02250256275278,,1.457730548246,1.23229858143814,1.03895561101604,,1.47726599542485,1.30375946502634,1.16287110793653,,1.43104194533589,1.28382113548845,1.14514958747451,,1.37403500765351,,,,"4;6","Patel 2010; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011)","FALSE",1.826,,3.549032705,,1.631,0.752000000000001,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,1,0,0,1,1.90417436828416,,,
"Cercopithecus campbelli","Cercopithecus_campbelli","owm","taxon-level","female","Unspecified",,,,1.36059341356525,,,,1.38129562300383,,,,1.3451776165427,,,,,,,,"4","Patel 2010","FALSE",1.73559889969818,,3.43136376415899,,,,"27","Venditti et al. 2024",1,1,1,0,1,1.85125834871908,,,
"Cercopithecus cephus","Cercopithecus_cephus","owm","taxon-level","male","Unspecified",,,,1.45984464238821,,,,1.51441492058037,,,,1.44232295574557,,,,,,,,"4","Patel 2010","FALSE",1.880813592,,3.54510085,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Cercopithecus diana","Cercopithecus_diana","owm","taxon-level","male","Unspecified",,,,1.47246389660699,,,,1.50078517291746,,,,1.45408227073109,,,,,,,,"4","Patel 2010","FALSE",1.7419390777292,,3.5910646070265,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Allochrocebus lhoesti","Allochrocebus_lhoesti","owm","taxon-level","male","Unspecified",,,,1.54294984881418,,,,1.55448916000382,,,,1.52348633234323,,,,,,,,"4","Patel 2010","FALSE",1.87040390527903,,3.6730209071289,,,,"27","Venditti et al. 2024",0,,,,,,,,
