taxon,sp,dec_region,our_term,dec_value,ref_ids,status_original,matched_value_original,status_expanded,matched_value_expanded
Avahi_laniger,avahi laniger,Septum,Septum_Vol.mm3,69.7,"24,51-52",match,69.7,match,69.7
Avahi_laniger,avahi laniger,Striatum,Striatum_Vol.mm3,524.0,"24,51-52",match,524.0,match,524.0
Avahi_laniger,avahi laniger,Schizocortex,Schizo_cortex_Vol.mm3,241.0,"24,51-52",match,241.0,match,241.0
Avahi_laniger,avahi laniger,Hippocampus,Hippocampus_Vol.mm3,526.0,"24,51-52",match,526.25,match,526.25
Avahi_laniger,avahi laniger,Neocortex (GM+WM),Neocortex_Vol.mm3,4813.0,"24,51-52",match,4813.0,match,4813.0
Avahi_laniger,avahi laniger,LGN,Corpus_geniculatum_laterale_Vol.mm3,27.4,"24,51-52",value_diff,28.15,value_diff,28.15
Avahi_occidentalis,avahi occidentalis,BV,Total_brain_net_volume_Vol.mm3,9420.134420134418,34,value_diff,9190.4,value_diff,9190.4
Avahi_occidentalis,avahi occidentalis,V1 (GM),Area_striata_grey_matter_Vol.mm3,450.0,34,match,450.0,match,450.0
Avahi_occidentalis,avahi occidentalis,BV,Total_brain_net_volume_Vol.mm3,9124.0,53,match,9190.4,match,9190.4
Avahi_occidentalis,avahi occidentalis,Medulla,Medulla_oblongata_Vol.mm3,508.46,53,match,508.23,match,508.23
Avahi_occidentalis,avahi occidentalis,Vmo,Trigeminal_motor_nucleus_left_Vol.mm3,1.64,53,value_diff,0.82,value_diff,0.82
Avahi_occidentalis,avahi occidentalis,VII,Facial_motor_nucleus_left_Vol.mm3,1.62,53,value_diff,0.81,value_diff,0.81
Avahi_occidentalis,avahi occidentalis,XII,Hypoglossal_nucleus_left_Vol.mm3,1.24,53,value_diff,0.62,value_diff,0.62
Avahi_occidentalis,avahi occidentalis,BV,Total_brain_net_volume_Vol.mm3,9124.0,"24,51-52",match,9190.4,match,9190.4
Avahi_occidentalis,avahi occidentalis,Cerebellum,Cerebellum_Vol.mm3,1383.0,"24,51-52",match,1383.0,match,1383.0
Avahi_occidentalis,avahi occidentalis,Mesencephalon,Mesencephalon_Vol.mm3,345.0,"24,51-52",match,345.0,match,345.0
Avahi_occidentalis,avahi occidentalis,Diencephalon,Diencephalon_Vol.mm3,861.0,"24,51-52",match,861.0,match,861.0
Avahi_occidentalis,avahi occidentalis,Telencephalon,Telencephalon_Vol.mm3,6026.0,"24,51-52",match,6026.0,match,6026.0
Avahi_occidentalis,avahi occidentalis,MOB,Bulbus_olfactorius_Vol.mm3,70.1,"24,51-52",match,70.1,match,70.1
Avahi_occidentalis,avahi occidentalis,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,2.55,"24,51-52",match,2.55,match,2.55
Avahi_occidentalis,avahi occidentalis,Piriform Lobe,Lobus_piriformis_Vol.mm3,265.0,"24,51-52",match,265.0,match,265.0
Avahi_occidentalis,avahi occidentalis,Septum,Septum_Vol.mm3,69.3,"24,51-52",match,69.3,match,69.3
Avahi_occidentalis,avahi occidentalis,Striatum,Striatum_Vol.mm3,478.0,"24,51-52",match,478.0,match,478.0
Avahi_occidentalis,avahi occidentalis,Schizocortex,Schizo_cortex_Vol.mm3,222.0,"24,51-52",match,222.0,match,222.0
Avahi_occidentalis,avahi occidentalis,Hippocampus,Hippocampus_Vol.mm3,476.0,"24,51-52",match,475.58,match,475.58
Avahi_occidentalis,avahi occidentalis,Neocortex (GM+WM),Neocortex_Vol.mm3,4443.0,"24,51-52",match,4443.0,match,4443.0
Avahi_occidentalis,avahi occidentalis,Epithalamus,Epithalamus_Vol.mm3,6.52,"24,51-52",match,6.52,match,6.52
Avahi_occidentalis,avahi occidentalis,Thalamus,Thalamus_Vol.mm3,489.0,"24,51-52",match,489.0,match,489.0
Avahi_occidentalis,avahi occidentalis,Hypothalamus,Hypothalamus_Vol.mm3,137.0,"24,51-52",match,137.0,match,137.0
Avahi_occidentalis,avahi occidentalis,Subthalamus,Subthalamus_Vol.mm3,80.5,"24,51-52",match,80.5,match,80.5
Avahi_occidentalis,avahi occidentalis,Pallidum,Pallidum_Vol.mm3,74.5,"24,51-52",match,74.5,match,74.5
Avahi_occidentalis,avahi occidentalis,Subthalamic Nucleus,Nucleus_subthalamicus_Vol.mm3,5.94,"24,51-52",match,5.94,match,5.94
Avahi_occidentalis,avahi occidentalis,Optic Tract,Tractus_opticus_Vol.mm3,38.3,"24,51-52",match,38.3,match,38.3
Avahi_occidentalis,avahi occidentalis,LGN,Corpus_geniculatum_laterale_Vol.mm3,27.2,"24,51-52",value_diff,29.3,value_diff,29.3
Callicebus_moloch,callicebus moloch,BV,Total_brain_net_volume_Vol.mm3,18388.030888030888,34,value_diff,16868.266666666666,value_diff,16868.266666666666
Callicebus_moloch,callicebus moloch,V1 (GM),Area_striata_grey_matter_Vol.mm3,1201.0,34,match,1201.0,match,1201.0
Callicebus_moloch,callicebus moloch,BV,Total_brain_net_volume_Vol.mm3,14434.0,51,value_diff,16868.266666666666,value_diff,16868.266666666666
Callicebus_moloch,callicebus moloch,Cerebellum,Cerebellum_Vol.mm3,1287.0,51,value_diff,1250.5,value_diff,1250.5
Callicebus_moloch,callicebus moloch,Mesencephalon,Mesencephalon_Vol.mm3,469.0,51,value_diff,530.0,value_diff,530.0
Callicebus_moloch,callicebus moloch,Striatum,Striatum_Vol.mm3,721.0,51,value_diff,920.0,value_diff,920.0
Callicebus_moloch,callicebus moloch,Neocortex (GM+WM),Neocortex_Vol.mm3,8973.0,51,value_diff,11163.0,value_diff,11163.0
Callicebus_moloch,callicebus moloch,BV,Total_brain_net_volume_Vol.mm3,17818.485500000003,53,value_diff,16868.266666666666,value_diff,16868.266666666666
Callicebus_moloch,callicebus moloch,Medulla,Medulla_oblongata_Vol.mm3,786.82,53,match,786.9100000000001,match,786.9100000000001
Callicebus_moloch,callicebus moloch,Vmo,Trigeminal_motor_nucleus_left_Vol.mm3,2.0,53,value_diff,1.0,value_diff,1.0
Callicebus_moloch,callicebus moloch,VII,Facial_motor_nucleus_left_Vol.mm3,2.36,53,value_diff,1.18,value_diff,1.18
Callicebus_moloch,callicebus moloch,XII,Hypoglossal_nucleus_left_Vol.mm3,1.96,53,value_diff,0.98,value_diff,0.98
Callicebus_moloch,callicebus moloch,BV,Total_brain_net_volume_Vol.mm3,11900.0,54-55,value_diff,16868.266666666666,value_diff,16868.266666666666
Callicebus_moloch,callicebus moloch,Neocortex (GM+WM),Neocortex_Vol.mm3,7060.000000000001,54-55,value_diff,11163.0,value_diff,11163.0
Callicebus_moloch,callicebus moloch,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,5120.0,54-55,decasien_only,,decasien_only,
Callicebus_moloch,callicebus moloch,V1 (GM),Area_striata_grey_matter_Vol.mm3,840.0,54-55,value_diff,1201.0,value_diff,1201.0
Callicebus_moloch,callicebus moloch,LGN,Corpus_geniculatum_laterale_Vol.mm3,30.0,54-55,value_diff,54.2,value_diff,54.2
Callimico_goeldii,callimico goeldii,BV,Total_brain_net_volume_Vol.mm3,10510.3,53,match,10510.0,match,10510.0
Callimico_goeldii,callimico goeldii,Medulla,Medulla_oblongata_Vol.mm3,460.1,53,match,460.05,match,460.05
Callimico_goeldii,callimico goeldii,Vmo,Trigeminal_motor_nucleus_left_Vol.mm3,1.1,53,value_diff,0.55,value_diff,0.55
Callimico_goeldii,callimico goeldii,VII,Facial_motor_nucleus_left_Vol.mm3,0.96,53,value_diff,0.48,value_diff,0.48
