Species,Variable,Value,Source,Team,Year
Solenodon paradoxus,Brain_Mass.mg,4670,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Total_brain_net_volume_Vol.mm3,4262,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Medulla_oblongata_Vol.mm3,493,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Cerebellum_Vol.mm3,807,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Mesencephalon_Vol.mm3,204,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Diencephalon_Vol.mm3,272,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Telencephalon_Vol.mm3,2486,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Bulbus_olfactorius_Vol.mm3,478,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Palaeocortex_plus_amygdala_Vol.mm3,683,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Septum_Vol.mm3,68.1,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Striatum_Vol.mm3,235,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Schizo_cortex_Vol.mm3,140,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Hippocampus_Vol.mm3,299,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Solenodon paradoxus,Neocortex_Vol.mm3,583,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Body_Mass.g,50.4,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Brain_Mass.mg,790,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Total_brain_net_volume_Vol.mm3,741,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Medulla_oblongata_Vol.mm3,85.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Cerebellum_Vol.mm3,92.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Mesencephalon_Vol.mm3,47.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Diencephalon_Vol.mm3,43.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Telencephalon_Vol.mm3,472,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Bulbus_olfactorius_Vol.mm3,74.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Palaeocortex_plus_amygdala_Vol.mm3,139,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Septum_Vol.mm3,11.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Striatum_Vol.mm3,31.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Schizo_cortex_Vol.mm3,20.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Hippocampus_Vol.mm3,98.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Nesogale talazaci,Neocortex_Vol.mm3,96.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Body_Mass.g,92,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Brain_Mass.mg,1150,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Total_brain_net_volume_Vol.mm3,1046,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Medulla_oblongata_Vol.mm3,204,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Cerebellum_Vol.mm3,176,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Mesencephalon_Vol.mm3,67.4,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Diencephalon_Vol.mm3,81,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Telencephalon_Vol.mm3,518,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Bulbus_olfactorius_Vol.mm3,43.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Palaeocortex_plus_amygdala_Vol.mm3,87.4,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Septum_Vol.mm3,19.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Striatum_Vol.mm3,57.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Schizo_cortex_Vol.mm3,36.4,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Hippocampus_Vol.mm3,78.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Microgale mergulus,Neocortex_Vol.mm3,196,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Body_Mass.g,660,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Brain_Mass.mg,4100,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Total_brain_net_volume_Vol.mm3,3822,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Medulla_oblongata_Vol.mm3,746,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Cerebellum_Vol.mm3,597,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Mesencephalon_Vol.mm3,250,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Diencephalon_Vol.mm3,294,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Telencephalon_Vol.mm3,1936,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Bulbus_olfactorius_Vol.mm3,87,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Palaeocortex_plus_amygdala_Vol.mm3,191,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Septum_Vol.mm3,50.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Striatum_Vol.mm3,132,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Schizo_cortex_Vol.mm3,142,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Hippocampus_Vol.mm3,294,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Potamogale velox,Neocortex_Vol.mm3,1039,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Body_Mass.g,15.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Brain_Mass.mg,320,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Neomys fodiens,Total_brain_net_volume_Vol.mm3,299,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
