Species,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Palaeocortex_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3
Procolobus badius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3,NA,NA,NA,NA,NA,NA,65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.1,17.5,NA,NA,NA,NA,56.6,NA,22.8,86.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Propithecus verreauxi,NA,NA,9835,3335,NA,3480,26700,NA,NA,NA,25483.1,3.399,0.725,1.265,1.409,302.2,1355,1106,131,974,249,147.4,3.4,361.75,18.7,217.12,97.12,3957,17.6,95.8,206.4,56,81.6,64.5,3.26,0.357,0.507,2195,141.39,NA,NA,160.88,70.93,1042.96,882.08,30.94,39.46,664,26.72,1223,780,NA,13170,1428,8407,22.5,3.65,1.6,1.1,24.9,13,28.9,14.8,292,182.9,35.3,443,159,1411,72.19,33.7,17040,10.1,82.7,169.3,231,324,14.6,328,20,263,283,1341,125,NA,NA,NA,NA,NA
Pygathrix nemaeus,NA,NA,NA,NA,NA,7500,77000,NA,NA,NA,72530,NA,NA,NA,NA,489.2,NA,NA,NA,NA,NA,10.7,0,786.6,44.48,420.73,265.75,8063,98.9,151.6,337.5,82.3,117,114.8,NA,NA,NA,4727,253.07,NA,NA,445.75,227.64,2295.41,1849.66,80.76,137.05,942,47.94,2206,1345,NA,48763,NA,NA,51.2,NA,NA,NA,32.9,24.3,35.1,24.4,NA,151.8,13,723,290,3166,117.14,54.2,56189,13.1,121.5,708.5,911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rattus norvegicus,183,28.7,529,53.4,NA,233.7,1770,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA,62.23,NA,NA,NA,NA,NA,232.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.06,NA,NA,NA,NA,NA,97.46,NA,NA,NA,NA,NA,NA,NA,NA,495.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.73,NA,NA,63.18,18.82,90.48,NA,NA,943.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchocyon cirnei,NA,NA,NA,NA,NA,490,6100,NA,NA,NA,5680,0.666,0.09,0.222,0.354,176,NA,NA,NA,NA,NA,426,0.666,NA,NA,NA,NA,798,21.6,82.9,93.2,NA,NA,NA,1.41,0.403,0.0576,524,NA,NA,NA,NA,NA,582,NA,NA,NA,705,NA,507,523,NA,1089,NA,NA,5.4,2.09,0.937,6.1,NA,NA,NA,NA,NA,301.5,77.4,220,81.5,222,NA,17.5,3328,23.4,87.8,NA,97.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruwenzorisorex suncoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,0.63,4.7,5.5,12,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,0.18,0.886,0.235,1.13,0.259,NA,17.8,4.1,NA,NA,NA,NA,0.63,NA,0.71,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus geoffroyi,NA,NA,NA,NA,6,482,10.5,9,9,23,10135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus midas,NA,NA,NA,NA,NA,340,10300,NA,NA,NA,9755.55,0.29,0.042,0.116,0.132,144.9,1061,841,NA,NA,220,17.3,0.29,78.04,10.95,68.92,21.57,1061,22.4,38.8,106.1,20.8,33.1,36,0.216,0.0994,0.0795,692,38.98,NA,NA,53.55,13.97,280.26,226.71,6.94,7.75,243,6.88,428,332,91,5883,NA,NA,8.8,1.18,0.559,NA,7.74,6.5,12.3,6.59,NA,40.3,4.4,120,40.9,471,15.85,9.9,7055,4.2,16.8,45.7,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus oedipus,NA,NA,NA,NA,6,380,10000,13,7,26,9375.9,0.406,0.05,0.168,0.188,141.8,977,807,NA,NA,170,19.1,0.406,85.42,9.66,49.77,24.6,984,16,31.6,110.2,20,35.2,34.2,0.392,0.0921,0.167,754,31.55,NA,NA,53.1,9.14,262.09,208.99,7.19,8.8,256,8.61,413,333,103.1,5894,NA,NA,11.4,1.55,1.08,0.12,8.8,7.02,14,5.42,NA,54,3.9,107,60.5,453,23.45,11.2,7052,5.4,23.9,50.9,62.6,62.7,4.93,152,4.45,73.2,77.6,410,50.5,NA,NA,NA,NA,NA
Saimiri sciureus,1490,393,11116,3705,NA,660,24000,NA,NA,NA,22946,0.985,0.104,0.429,0.452,242.4,2326,1884,175,1709,442,26.8,0.985,79.82,13.7,66.43,73.22,2155,34.4,54.1,188.3,29.9,57.1,62.9,2.71,0.143,0.255,1430,49.78,NA,NA,103.06,21.07,351.44,248.38,21.93,27.2,413,24.09,722,526,NA,15541,1275,10557,15.5,2.77,0.598,0,15.3,11.6,20.5,9.74,186,60.4,6.5,168,90.6,1042,17.58,19,17635,8.7,41.7,135.2,299,132,8.86,207,11.5,169,180,731,117,1150,875,NA,NA,NA
Sciurus carolinensis,904,184,2480,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ScutisorexÃsomereni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,58.3,NA,NA,NA,NA,NA,NA,2.2,8,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,0.79,NA,NA,NA,NA,NA,48.9,13,NA,NA,NA,NA,1.9,NA,3.5,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ScutisorexÊsomereni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.613,1.42,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semnopithecus entellus,9150,2270,51800,24300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setifer setosus,NA,NA,116.7,17.4,NA,248,1510,NA,NA,NA,1404,0.534,0.082,0.271,0.181,68.7,NA,NA,NA,NA,NA,209.1,0.534,21.24,5.67,25.79,4.19,142,11.1,34.5,36.6,27.5,7.28,1.05,0.445,0.0031,0.06,99.7,19.87,NA,NA,11.54,6.63,96.57,85.03,1.78,1.21,336,1.2,183,75.7,NA,134.1,37.48,79.23,8.1,0.426,0.329,2.9,2.04,1.1,2.74,1.4,269,148.9,40.1,41.9,26,56.6,5.83,8.2,903,12.4,46.5,NA,21.3,8.57,1.62,38.3,0.316,5.49,5.81,41.5,1.07,NA,NA,NA,NA,NA
Solenodon paradoxus,NA,NA,NA,NA,NA,900,4670,NA,NA,NA,4282,0.218,0.021,0.051,0.146,133.8,NA,NA,NA,NA,NA,464.3,0.218,NA,NA,NA,NA,753,20.9,50.7,83.1,69.2,21.8,NA,1.27,0.0435,0.083,269,NA,NA,NA,NA,NA,296,NA,NA,NA,689,NA,466,206,NA,661,NA,NA,14.1,2.08,0.87,2.5,7.2,2.9,8.7,3,NA,312.7,71.8,156,65.4,255,NA,15,2486,19.3,115.6,NA,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex araneus,NA,NA,24.82,1.536,NA,10.3,200,NA,NA,NA,188,0.078,0.02,0.022,0.036,7.7,NA,NA,NA,NA,NA,17,0.0776,NA,NA,NA,0.58,20.4,0.53,3.7,3.9,5.99,1.28,0.07,0.0102,1.2e-4,0.00326,13.7,NA,NA,NA,NA,NA,20.6,NA,0.18,0.21,32.7,0.18,27.1,10.8,NA,26.36,5.189,19.63,0.76,0.0749,0.115,0.27,0.265,0.263,0.537,0.218,25.6,15.8,3.9,6.83,3.2,10.5,NA,0.8,116,0.67,6,NA,1.17,0.61,0.264,5.17,0.105,0.979,1.09,7.25,0.144,NA,NA,NA,NA,NA
Sorex cinereus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,0.63,2.4,2.5,4.22,0.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,0.24,0.26,0.147,0.365,0.21,NA,12.4,3.2,NA,NA,NA,NA,0.53,NA,0.48,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex fumeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,0.74,3.7,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,0.33,NA,NA,NA,NA,NA,17,4.4,NA,NA,NA,NA,0.66,NA,0.52,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex minutus,NA,NA,11.81,0.844,NA,5.3,110,NA,NA,NA,103,0.02,0.004,0.006,0.01,3.7,NA,NA,NA,NA,NA,9,0.0202,NA,NA,NA,0.35,11,0.38,1.9,1.7,NA,NA,0.06,0.00359,2.65e-4,0.00284,8.69,NA,NA,NA,NA,NA,10.5,NA,0.13,0.13,17.2,0.09,17,5.91,NA,12.65,2.436,9.371,0.61,0.0586,0.07,0.19,NA,NA,NA,NA,13.9,7.6,1.8,3.62,2.02,6.02,NA,0.61,60.7,3.6,4,NA,0.46,0.288,0.161,3.07,0.0569,0.65,0.707,3.92,0.106,NA,NA,NA,NA,NA
Spalax ehrenbergi,NA,NA,NA,NA,NA,112.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.78,NA,NA,NA,NA,NA,74.6,NA,NA,NA,NA,NA,298.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.91,NA,NA,NA,NA,NA,121.75,NA,NA,NA,NA,NA,NA,NA,NA,550.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.42,NA,NA,77.04,25.6,132.13,NA,NA,1122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suncus etruscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,0.14,0.91,0.81,2.33,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,0.08,0.133,0.0593,0.265,0.0608,NA,4,1.2,NA,NA,NA,NA,0.15,NA,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suncus megalura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.6,4.88,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,0.26,0.32,0.269,0.634,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suncus murinus,NA,NA,50.59,3.54,NA,35.5,380,NA,NA,NA,354,0.182,0.034,0.076,0.072,10.9,NA,NA,NA,NA,NA,36,0.182,NA,NA,NA,1.06,44.8,0.98,5.3,5.6,9.8,2.1,0.18,0.0628,0.00223,0.0148,26,NA,NA,NA,NA,NA,31.2,NA,0.38,0.44,56.2,0.23,50.5,24.2,NA,54.13,14.07,36.51,0.78,0.168,0.201,0.43,0.584,0.378,0.915,0.226,NA,28.6,7.2,12.6,5.5,14.8,NA,1.6,209,1.3,6.6,NA,4.6,1.18,0.53,9.67,0.116,1.58,1.7,12.3,0.232,NA,NA,NA,NA,NA
Sylvisorex granti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,0.57,2.4,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,0.32,NA,NA,NA,NA,NA,14.1,3.3,NA,NA,NA,NA,0.49,NA,0.56,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sylvisorex negalura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,3.2,NA,NA,NA,NA,0.5,NA,0.55,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Symphalangus syndactylus,NA,NA,NA,NA,71,11900,138.7,147,198,416,133880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talpa europaea,NA,NA,NA,NA,NA,76,1020,NA,NA,NA,953,0.291,0.067,0.087,0.137,26.3,NA,NA,NA,NA,NA,59.6,0.291,NA,NA,NA,NA,174,4,11.3,15,13.3,4.12,NA,0.0497,0.0102,0.00857,80.4,NA,NA,NA,NA,NA,86.8,NA,NA,NA,112,NA,95.4,49.8,NA,181,NA,NA,3.5,0.366,0.33,0.56,1.41,0.458,1.66,0.588,NA,45.4,11.7,39.6,15,60.2,NA,2.9,554,2.5,19.1,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamandua tetradactyla,2980,678,7250,2160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarsius sp.,NA,NA,1631,137,NA,125,3600,NA,NA,NA,3433.95,0.82,0.154,0.275,0.391,53.4,370,349,41.2,307,21.3,18.8,0.82,51.39,7.03,32.09,8.06,428,5.6,13.7,39.7,14.4,20.6,20.8,2.03,0.114,0.0482,303,22.74,NA,NA,22.78,5.87,152.66,129.88,1.82,3.37,92.7,2.87,207,197,49.7,1768,236.3,1395,3.3,1.13,0.405,0.09,6.81,2.76,8.36,2.7,39.1,16.3,2.9,69,23.3,133,10.76,5.2,2258,0.99,8.3,16.5,24.1,16.7,2.53,42.5,1.09,16.1,17.1,175,15.5,NA,NA,NA,NA,NA
Tarsius syrichta,247,47.3,1470,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tayassu tajacu,4170,1250,18400,6960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tenrec ecaudatus,NA,NA,235.4,35.51,NA,832,2570,NA,NA,NA,2315,0.715,0.117,0.385,0.213,88.2,NA,NA,NA,NA,NA,313.7,0.715,32.11,6.49,39.7,9.82,309,24.1,39.1,49.1,49.3,14.3,1.46,0.48,0.0112,0.124,153,30.73,NA,NA,22.59,8,147.12,124.53,4.43,3.33,464,2.06,313,132,NA,270.9,72.81,162.5,9.1,0.988,0.704,3.1,4.24,2.87,5.12,2.12,364,225.5,50.1,76.5,36.9,98.1,7.5,9.8,1407,15.1,51,2.51,65.3,13.2,2.7,51.4,0.481,11,11.5,62.1,2.73,NA,NA,NA,NA,NA
Trachypithecus francoisi,NA,NA,NA,NA,160,7700,102.1,217,249,625,98552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tupaia glis,NA,NA,941.4,94.83,NA,170,3200,NA,NA,NA,2999,2.408,0.602,0.974,0.832,87.3,179,169,19.6,149,10.2,131.6,2.41,NA,NA,NA,12.46,376,7.1,28,59.3,15.5,21.5,12.9,0.393,0.0804,0.0608,275,NA,NA,NA,NA,NA,152,NA,3.4,5.13,269,3.93,219,256,NA,1036,126.8,814.6,4.6,0.947,0.454,2.2,6.03,4.19,7,4.23,182,104.7,29,114,27.5,140,NA,5.3,1873,7.2,28.3,13.8,38.2,24.6,1.98,47.5,1.39,17.2,18.6,153,39.3,NA,NA,NA,NA,NA
Tupaia minor,NA,NA,NA,NA,NA,70,2580,NA,NA,NA,2430,NA,NA,NA,NA,66.6,164,152,NA,NA,12.5,94.3,2.28,NA,NA,NA,NA,308,4,23.6,43,11.1,14.1,9.88,NA,NA,NA,251,NA,NA,NA,NA,NA,132,NA,NA,NA,205,NA,173,249,NA,774,NA,NA,3.3,NA,NA,0.88,4.7,2.17,4.75,2.52,NA,81.2,22.8,91.9,26.1,124,NA,4.9,1449,4.8,20.2,NA,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urogale everetti,NA,NA,1139,199.2,NA,275,4280,NA,NA,NA,3997,2.098,0.365,0.816,0.917,105.2,136,123,15.5,108,12.7,184.2,2.1,NA,NA,NA,15.07,513,12.1,36.2,69,22.5,22.6,9.98,1.42,0.0572,0.136,394,NA,NA,NA,NA,NA,173,NA,3.94,7,362,4.13,355,307,NA,1338,157.2,981.6,10.6,0.926,0.66,2.2,6.54,4.11,8.37,3.61,NA,137.8,37.5,124,45.1,199,NA,4.9,2428,12.8,51.4,18.6,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varecia variegata,NA,NA,NA,NA,12,3000,31500,44,44,100,30174.466666666667,5.267,1.604,1.468,2.195,368.2,2112,1745,NA,NA,367,369,5.27,410.99,26.84,304.87,94.67,4286,35.1,114.7,253.5,71.6,97,68.9,4.46,0.197,0.741,2529,235.85,NA,NA,226.7,118.25,1403.65,1176.95,28.83,37.45,985,28.39,1420,1018,NA,15293,NA,NA,22.9,5.35,3.51,2.6,29.2,18.8,34,13,NA,307.8,66.4,608,206,1591,80.15,57.8,20461,21.5,128.1,168.8,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vulpes zerda,1210,271,5730,1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalophus californianus,67100,13600,213000,88700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
