Species,Variable,Value,Teams
Crocidura russula,Corpus_geniculatum_laterale_Vol.mm3,0.08,Stephan_collection
Crocidura russula,Corpus_pineal_Vol.mm3,0.0278,Stephan_collection
Crocidura russula,Corpus_subcommissurale_Vol.mm3,0.000766,Stephan_collection
Crocidura russula,Corpus_subfornicale_Vol.mm3,0.00986,Stephan_collection
Crocidura russula,Diencephalon_Vol.mm3,15.0,Stephan_collection
Crocidura russula,Epithalamus_Vol.mm3,0.368,Stephan_collection
Crocidura russula,Hippocampus_Vol.mm3,15.9,Stephan_collection
Crocidura russula,Hypothalamus_Vol.mm3,4.61,Stephan_collection
Crocidura russula,Interpositus_cerebellar_nuclei_Vol.mm3,0.23,Stephan_collection
Crocidura russula,Lateral_cerebellar_nuclei_Vol.mm3,0.23,Stephan_collection
Crocidura russula,Lobus_piriformis_Vol.mm3,30.2,Stephan_collection
Crocidura russula,Medial_cerebellar_nuclei_Vol.mm3,0.12,Stephan_collection
Crocidura russula,Medulla_oblongata_Vol.mm3,23.6,Stephan_collection
Crocidura russula,Mesencephalon_Vol.mm3,11.7,Stephan_collection
Crocidura russula,Neocortex_Vol.mm3,25.46,Stephan_collection
Crocidura russula,Neocortex_grey_matter_Vol.mm3,23.98,Stephan_collection
Crocidura russula,Neocortex_lamina_1_Vol.mm3,6.872,Stephan_collection
Crocidura russula,Neocortex_laminae_2_6_Vol.mm3,17.1,Stephan_collection
Crocidura russula,Neocortex_white_matter_Vol.mm3,1.487,Stephan_collection
Crocidura russula,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,0.73,Stephan_collection
Crocidura russula,Nucleus_habenularis_medialis_Vol.mm3,0.134,Stephan_collection
Crocidura russula,Nucleus_septalis_triangularis_Vol.mm3,0.12,Stephan_collection
Crocidura russula,Nucleus_subthalamicus_Vol.mm3,0.0889,Stephan_collection
Crocidura russula,Nucleus_tractus_olfactorius_Vol.mm3,0.23,Stephan_collection
Crocidura russula,Nucleus_vestibularis_descendens_Vol.mm3,0.348,Stephan_collection
Crocidura russula,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,0.167,Stephan_collection
Crocidura russula,Nucleus_vestibularis_lateralis_Vol.mm3,0.172,Stephan_collection
Crocidura russula,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,0.084,Stephan_collection
Crocidura russula,Nucleus_vestibularis_medialis_Vol.mm3,0.547,Stephan_collection
Crocidura russula,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,0.235,Stephan_collection
Crocidura russula,Nucleus_vestibularis_superior_Vol.mm3,0.132,Stephan_collection
Crocidura russula,Nucleus_vestibularis_superior_unilateral_Vol.mm3,0.077,Stephan_collection
Crocidura russula,Palaeocortex_Vol.mm3,45.1,Stephan_collection
Crocidura russula,Palaeocortex_plus_amygdala_Vol.mm3,30.2,Stephan_collection
Crocidura russula,Pallidum_Vol.mm3,0.781,Stephan_collection
Crocidura russula,Prepiriform_cortex_Vol.mm3,13.0,Stephan_collection
Crocidura russula,Retrobulbar_cortex_Vol.mm3,3.5,Stephan_collection
Crocidura russula,Schizo_cortex_Vol.mm3,6.05,Stephan_collection
Crocidura russula,Septum_Vol.mm3,3.64,Stephan_collection
Crocidura russula,Striatum_Vol.mm3,8.17,Stephan_collection
Crocidura russula,Substantia_innominata_Vol.mm3,0.71,Stephan_collection
Crocidura russula,Subthalamus_Vol.mm3,0.87,Stephan_collection
Crocidura russula,Telencephalon_Vol.mm3,106.0,Stephan_collection
Crocidura russula,Thalamus_Vol.mm3,7.48,Stephan_collection
Crocidura russula,Total_brain_net_volume_Vol.mm3,178.0,Stephan_collection
Crocidura russula,Tractus_olfactorius_lateralis_Vol.mm3,0.64,Stephan_collection
Crocidura russula,Tractus_opticus_Vol.mm3,0.116,Stephan_collection
Crocidura russula,Tuberculum_olfactorium_Vol.mm3,4.4,Stephan_collection
Crocidura russula,Ventricles_Vol.mm3,1.67,Stephan_collection
Crocuta crocuta,CerebellarCortex_Vol.mm3,6913.0,Ashwell
Crocuta crocuta,CerebellarHemisphere_Vol.mm3,3930.0,Ashwell
Crocuta crocuta,CerebellarVermis_Vol.mm3,2667.0,Ashwell
Crocuta crocuta,Cerebellar_nuclei_total_Vol.mm3,110.0,Ashwell
Crocuta crocuta,Cerebellum_Vol.mm3,8649.0,Ashwell
Crocuta crocuta,Cerebellum_grey_matter_Vol.mm3,8340.0,Bush
Crocuta crocuta,Cerebellum_white_matter_Vol.mm3,2373.0,Ashwell; Bush
Crocuta crocuta,FlocculonodularLobe_Vol.mm3,317.0,Ashwell
Crocuta crocuta,Neocortex_grey_matter_Vol.mm3,56100.0,Bush
Crocuta crocuta,Neocortex_white_matter_Vol.mm3,28900.0,Bush
Crocuta crocuta,Pontine_and_reticulotegmental_nuclei_Vol.mm3,298.0,Ashwell
Crocuta crocuta,Total_brain_net_volume_Vol.mm3,91041.0,Ashwell
Cynictis penicillata,CerebellarCortex_Vol.mm3,1154.0,Ashwell
Cynictis penicillata,CerebellarHemisphere_Vol.mm3,476.0,Ashwell
Cynictis penicillata,CerebellarVermis_Vol.mm3,634.0,Ashwell
Cynictis penicillata,Cerebellar_nuclei_total_Vol.mm3,121.0,Ashwell
Cynictis penicillata,Cerebellum_Vol.mm3,1523.0,Ashwell
Cynictis penicillata,Cerebellum_white_matter_Vol.mm3,248.0,Ashwell
Cynictis penicillata,FlocculonodularLobe_Vol.mm3,44.8,Ashwell
Cynictis penicillata,Pontine_and_reticulotegmental_nuclei_Vol.mm3,61.8,Ashwell
Cynictis penicillata,Total_brain_net_volume_Vol.mm3,10669.0,Ashwell
Cynocephalus volans,CerebellarCortex_Vol.mm3,557.0,Ashwell
Cynocephalus volans,CerebellarHemisphere_Vol.mm3,224.0,Ashwell
Cynocephalus volans,CerebellarVermis_Vol.mm3,305.0,Ashwell
Cynocephalus volans,Cerebellar_nuclei_total_Vol.mm3,23.8,Ashwell
Cynocephalus volans,Cerebellum_Vol.mm3,675.0,Ashwell
Cynocephalus volans,Cerebellum_white_matter_Vol.mm3,94.5,Ashwell
Cynocephalus volans,FlocculonodularLobe_Vol.mm3,28.4,Ashwell
Cynocephalus volans,Pontine_and_reticulotegmental_nuclei_Vol.mm3,13.7,Ashwell
Cynocephalus volans,Total_brain_net_volume_Vol.mm3,5769.0,Ashwell
Dasycercus blythi,CerebellarCortex_Vol.mm3,154.0,Ashwell
Dasycercus blythi,CerebellarHemisphere_Vol.mm3,63.0,Ashwell
Dasycercus blythi,CerebellarVermis_Vol.mm3,82.7,Ashwell
Dasycercus blythi,Cerebellar_nuclei_total_Vol.mm3,7.65,Ashwell
Dasycercus blythi,Cerebellum_Vol.mm3,196.0,Ashwell
Dasycercus blythi,Cerebellum_white_matter_Vol.mm3,33.7,Ashwell
Dasycercus blythi,FlocculonodularLobe_Vol.mm3,8.71,Ashwell
Dasycercus blythi,Pontine_and_reticulotegmental_nuclei_Vol.mm3,4.9,Ashwell
Dasycercus blythi,Total_brain_net_volume_Vol.mm3,1548.0,Ashwell
Dasykaluta rosamundae,CerebellarCortex_Vol.mm3,29.5,Ashwell
Dasykaluta rosamundae,CerebellarHemisphere_Vol.mm3,7.12,Ashwell
Dasykaluta rosamundae,CerebellarVermis_Vol.mm3,18.7,Ashwell
Dasykaluta rosamundae,Cerebellar_nuclei_total_Vol.mm3,0.81,Ashwell
Dasykaluta rosamundae,Cerebellum_Vol.mm3,34.8,Ashwell
Dasykaluta rosamundae,Cerebellum_white_matter_Vol.mm3,4.54,Ashwell
Dasykaluta rosamundae,FlocculonodularLobe_Vol.mm3,3.68,Ashwell
Dasykaluta rosamundae,Pontine_and_reticulotegmental_nuclei_Vol.mm3,0.95,Ashwell
Dasykaluta rosamundae,Total_brain_net_volume_Vol.mm3,504.0,Ashwell
Dasypus novemcinctus,CerebellarCortex_Vol.mm3,2042.0,Ashwell
Dasypus novemcinctus,CerebellarHemisphere_Vol.mm3,1172.0,Ashwell
Dasypus novemcinctus,CerebellarVermis_Vol.mm3,818.0,Ashwell
Dasypus novemcinctus,Cerebellar_nuclei_total_Vol.mm3,88.6,Ashwell
Dasypus novemcinctus,Cerebellum_Vol.mm3,2562.0,Ashwell
Dasypus novemcinctus,Cerebellum_white_matter_Vol.mm3,431.0,Ashwell
Dasypus novemcinctus,FlocculonodularLobe_Vol.mm3,51.5,Ashwell
Dasypus novemcinctus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,63.5,Ashwell
Dasypus novemcinctus,Total_brain_net_volume_Vol.mm3,10450.0,Ashwell
Dasyuroides byrnei,CerebellarCortex_Vol.mm3,101.0,Ashwell
Dasyuroides byrnei,CerebellarHemisphere_Vol.mm3,42.6,Ashwell
Dasyuroides byrnei,CerebellarVermis_Vol.mm3,50.9,Ashwell
Dasyuroides byrnei,Cerebellar_nuclei_total_Vol.mm3,5.37,Ashwell
Dasyuroides byrnei,Cerebellum_Vol.mm3,132.0,Ashwell
Dasyuroides byrnei,Cerebellum_white_matter_Vol.mm3,25.8,Ashwell
Dasyuroides byrnei,FlocculonodularLobe_Vol.mm3,7.31,Ashwell
Dasyuroides byrnei,Pontine_and_reticulotegmental_nuclei_Vol.mm3,3.29,Ashwell
Dasyuroides byrnei,Total_brain_net_volume_Vol.mm3,1101.0,Ashwell
Dasyurus geoffroyi,CerebellarCortex_Vol.mm3,555.0,Ashwell
Dasyurus geoffroyi,CerebellarHemisphere_Vol.mm3,266.0,Ashwell
Dasyurus geoffroyi,CerebellarVermis_Vol.mm3,257.0,Ashwell
Dasyurus geoffroyi,Cerebellar_nuclei_total_Vol.mm3,23.8,Ashwell
Dasyurus geoffroyi,Cerebellum_Vol.mm3,674.0,Ashwell
Dasyurus geoffroyi,Cerebellum_white_matter_Vol.mm3,95.0,Ashwell
Dasyurus geoffroyi,FlocculonodularLobe_Vol.mm3,32.4,Ashwell
Dasyurus geoffroyi,Pontine_and_reticulotegmental_nuclei_Vol.mm3,23.9,Ashwell
Dasyurus geoffroyi,Total_brain_net_volume_Vol.mm3,5268.0,Ashwell
Dasyurus hallucatus,CerebellarCortex_Vol.mm3,248.0,Ashwell
Dasyurus hallucatus,CerebellarHemisphere_Vol.mm3,103.0,Ashwell
Dasyurus hallucatus,CerebellarVermis_Vol.mm3,128.0,Ashwell
Dasyurus hallucatus,Cerebellar_nuclei_total_Vol.mm3,9.55,Ashwell
Dasyurus hallucatus,Cerebellum_Vol.mm3,328.0,Ashwell
Dasyurus hallucatus,Cerebellum_white_matter_Vol.mm3,70.6,Ashwell
Dasyurus hallucatus,FlocculonodularLobe_Vol.mm3,16.5,Ashwell
Dasyurus hallucatus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,6.99,Ashwell
Dasyurus hallucatus,Total_brain_net_volume_Vol.mm3,2966.0,Ashwell
Dasyurus maculatus,CerebellarCortex_Vol.mm3,968.0,Ashwell
Dasyurus maculatus,CerebellarHemisphere_Vol.mm3,378.0,Ashwell
Dasyurus maculatus,CerebellarVermis_Vol.mm3,533.0,Ashwell
Dasyurus maculatus,Cerebellar_nuclei_total_Vol.mm3,41.2,Ashwell
Dasyurus maculatus,Cerebellum_Vol.mm3,1220.0,Ashwell
Dasyurus maculatus,Cerebellum_white_matter_Vol.mm3,210.0,Ashwell
Dasyurus maculatus,FlocculonodularLobe_Vol.mm3,56.9,Ashwell
Dasyurus maculatus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,38.8,Ashwell
Dasyurus maculatus,Total_brain_net_volume_Vol.mm3,8641.0,Ashwell
Dasyurus viverrinus,CerebellarCortex_Vol.mm3,550.0,Ashwell
Dasyurus viverrinus,CerebellarHemisphere_Vol.mm3,237.0,Ashwell
Dasyurus viverrinus,CerebellarVermis_Vol.mm3,283.0,Ashwell
Dasyurus viverrinus,Cerebellar_nuclei_total_Vol.mm3,19.9,Ashwell
Dasyurus viverrinus,Cerebellum_Vol.mm3,676.0,Ashwell
Dasyurus viverrinus,Cerebellum_white_matter_Vol.mm3,106.0,Ashwell
Dasyurus viverrinus,FlocculonodularLobe_Vol.mm3,30.0,Ashwell
Dasyurus viverrinus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,18.5,Ashwell
Dasyurus viverrinus,Total_brain_net_volume_Vol.mm3,4947.0,Ashwell
Daubentonia madagascariensis,AccessoryOlfactoryBulb_Vol.mm3,8.311,Stephan_collection
Daubentonia madagascariensis,AccessoryOlfactoryBulb_layer_6_Vol.mm3,1.897,Stephan_collection
Daubentonia madagascariensis,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,2.945,Stephan_collection
Daubentonia madagascariensis,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,3.469,Stephan_collection
Daubentonia madagascariensis,Amygdala_Vol.mm3,481.7,Stephan_collection
Daubentonia madagascariensis,Area_striata_Vol.mm3,1355.0,Stephan_collection
Daubentonia madagascariensis,Area_striata_grey_matter_Vol.mm3,1113.0,Stephan_collection; Zilles
Daubentonia madagascariensis,Area_striata_lamina_1_Vol.mm3,189.0,Stephan_collection
Daubentonia madagascariensis,Area_striata_laminae_2_6_Vol.mm3,923.0,Stephan_collection
Daubentonia madagascariensis,Area_striata_white_matter_Vol.mm3,242.0,Stephan_collection
Daubentonia madagascariensis,Body_Mass.g,2800.0,Stephan_collection
Daubentonia madagascariensis,Brain_Mass.mg,45150.0,Stephan_collection
Daubentonia madagascariensis,Bulbus_olfactorius_Vol.mm3,684.9,Stephan_collection
Daubentonia madagascariensis,Bulbus_olfactorius_accessorius_Vol.mm3,8.31,Stephan_collection
Daubentonia madagascariensis,CA1_Vol.mm3,577.11,Stephan_collection
Daubentonia madagascariensis,CA2_Vol.mm3,35.54,Stephan_collection
Daubentonia madagascariensis,CA3_Vol.mm3,316.55,Stephan_collection
Daubentonia madagascariensis,Cerebellar_nuclei_total_Vol.mm3,126.08,Stephan_collection
Daubentonia madagascariensis,Cerebellum_Vol.mm3,6461.0,Stephan_collection
Daubentonia madagascariensis,Commissura_anterior_Vol.mm3,43.5,Stephan_collection
Daubentonia madagascariensis,Complexus_centromedialis_Vol.mm3,124.6,Stephan_collection
Daubentonia madagascariensis,Complexus_corticobasolateralis_Vol.mm3,357.1,Stephan_collection
Daubentonia madagascariensis,Complexus_sensorius_trigeminalis_Vol.mm3,71.9,Stephan_collection
Daubentonia madagascariensis,Complexus_vestibularis_Vol.mm3,91.8,Stephan_collection
Daubentonia madagascariensis,Corpus_geniculatum_laterale_Vol.mm3,58.5,Stephan_collection; Zilles
Daubentonia madagascariensis,Corpus_pineal_Vol.mm3,3.32,Stephan_collection
Daubentonia madagascariensis,Corpus_subcommissurale_Vol.mm3,1.83,Stephan_collection
Daubentonia madagascariensis,Corpus_subfornicale_Vol.mm3,0.593,Stephan_collection
Daubentonia madagascariensis,Diencephalon_Vol.mm3,3539.0,Stephan_collection
Daubentonia madagascariensis,Facial_motor_nucleus_left_Vol.mm3,2.0,Sherwood
Daubentonia madagascariensis,Fascia_dentata_Vol.mm3,324.55,Stephan_collection
Daubentonia madagascariensis,HP_HS_fibers_Vol.mm3,328.2,Stephan_collection
Daubentonia madagascariensis,Hilus_Vol.mm3,94.14,Stephan_collection
Daubentonia madagascariensis,Hippocampus_Vol.mm3,1776.1,Stephan_collection
Daubentonia madagascariensis,Hippocampus_retrocommissuralis_Vol.mm3,1447.9,Stephan_collection
Daubentonia madagascariensis,Hypoglossal_nucleus_left_Vol.mm3,2.19,Sherwood
Daubentonia madagascariensis,Interpositus_cerebellar_nuclei_Vol.mm3,36.11,Stephan_collection
Daubentonia madagascariensis,Lateral_cerebellar_nuclei_Vol.mm3,61.03,Stephan_collection
Daubentonia madagascariensis,Lobus_piriformis_Vol.mm3,1538.0,Stephan_collection
Daubentonia madagascariensis,Medial_cerebellar_nuclei_Vol.mm3,28.94,Stephan_collection
Daubentonia madagascariensis,Medulla_oblongata_Vol.mm3,1517.05,Sherwood; Stephan_collection
Daubentonia madagascariensis,Mesencephalon_Vol.mm3,897.0,Stephan_collection
Daubentonia madagascariensis,Neocortex_Vol.mm3,22127.0,Stephan_collection; Zilles
Daubentonia madagascariensis,Neocortex_grey_matter_Vol.mm3,17074.0,Stephan_collection
Daubentonia madagascariensis,Neocortex_lamina_1_Vol.mm3,2738.0,Stephan_collection
Daubentonia madagascariensis,Neocortex_laminae_2_6_Vol.mm3,14336.0,Stephan_collection
Daubentonia madagascariensis,Neocortex_white_matter_Vol.mm3,5053.0,Stephan_collection
Daubentonia madagascariensis,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,25.3,Stephan_collection
Daubentonia madagascariensis,Nucleus_habenularis_medialis_Vol.mm3,7.75,Stephan_collection
Daubentonia madagascariensis,Nucleus_septalis_triangularis_Vol.mm3,2.65,Stephan_collection
Daubentonia madagascariensis,Nucleus_tractus_olfactorius_Vol.mm3,3.6,Stephan_collection
Daubentonia madagascariensis,Nucleus_vestibularis_descendens_Vol.mm3,27.6,Stephan_collection
Daubentonia madagascariensis,Nucleus_vestibularis_lateralis_Vol.mm3,13.4,Stephan_collection
Daubentonia madagascariensis,Nucleus_vestibularis_medialis_Vol.mm3,36.7,Stephan_collection
Daubentonia madagascariensis,Nucleus_vestibularis_superior_Vol.mm3,14.1,Stephan_collection
Daubentonia madagascariensis,Palaeocortex_Vol.mm3,1065.0,Stephan_collection
Daubentonia madagascariensis,Palaeocortex_plus_amygdala_Vol.mm3,1538.0,Stephan_collection
Daubentonia madagascariensis,Prepiriform_cortex_Vol.mm3,524.1,Stephan_collection
Daubentonia madagascariensis,Retrobulbar_cortex_Vol.mm3,130.1,Stephan_collection
Daubentonia madagascariensis,Schizo_cortex_Vol.mm3,1044.0,Stephan_collection
Daubentonia madagascariensis,Septum_Vol.mm3,254.0,Stephan_collection
Daubentonia madagascariensis,Striatum_Vol.mm3,2765.0,Stephan_collection
Daubentonia madagascariensis,Subiculum_Vol.mm3,100.01,Stephan_collection
Daubentonia madagascariensis,Substantia_innominata_Vol.mm3,92.3,Stephan_collection
Daubentonia madagascariensis,Telencephalon_Vol.mm3,30196.0,Stephan_collection
Daubentonia madagascariensis,Total_brain_net_volume_Vol.mm3,43096.05,Stephan_collection; Zilles
Daubentonia madagascariensis,Tractus_olfactorius_lateralis_Vol.mm3,26.4,Stephan_collection
Daubentonia madagascariensis,Trigeminal_motor_nucleus_left_Vol.mm3,1.91,Sherwood
Daubentonia madagascariensis,Tuberculum_olfactorium_Vol.mm3,240.0,Stephan_collection
Daubentonia madagascariensis,Ventral_pons_Vol.mm3,304.8,Stephan_collection
Daubentonia madagascariensis,Ventricles_Vol.mm3,392.0,Stephan_collection
Dendrolagus goodfellowi,CerebellarCortex_Vol.mm3,3966.0,Ashwell
Dendrolagus goodfellowi,CerebellarHemisphere_Vol.mm3,1832.0,Ashwell
Dendrolagus goodfellowi,CerebellarVermis_Vol.mm3,1833.0,Ashwell
Dendrolagus goodfellowi,Cerebellar_nuclei_total_Vol.mm3,87.5,Ashwell
Dendrolagus goodfellowi,Cerebellum_Vol.mm3,4975.0,Ashwell
Dendrolagus goodfellowi,Cerebellum_white_matter_Vol.mm3,921.0,Ashwell
Dendrolagus goodfellowi,FlocculonodularLobe_Vol.mm3,301.0,Ashwell
Dendrolagus goodfellowi,Pontine_and_reticulotegmental_nuclei_Vol.mm3,125.0,Ashwell
Dendrolagus goodfellowi,Total_brain_net_volume_Vol.mm3,32826.0,Ashwell
Dendrolagus lumholtzi,CerebellarCortex_Vol.mm3,1647.0,Ashwell
Dendrolagus lumholtzi,CerebellarHemisphere_Vol.mm3,717.0,Ashwell
Dendrolagus lumholtzi,CerebellarVermis_Vol.mm3,785.0,Ashwell
Dendrolagus lumholtzi,Cerebellar_nuclei_total_Vol.mm3,66.9,Ashwell
Dendrolagus lumholtzi,Cerebellum_Vol.mm3,2175.0,Ashwell
Dendrolagus lumholtzi,Cerebellum_white_matter_Vol.mm3,462.0,Ashwell
Dendrolagus lumholtzi,FlocculonodularLobe_Vol.mm3,145.0,Ashwell
Dendrolagus lumholtzi,Pontine_and_reticulotegmental_nuclei_Vol.mm3,55.5,Ashwell
Dendrolagus lumholtzi,Total_brain_net_volume_Vol.mm3,20635.0,Ashwell
Desmana moschata,AccessoryOlfactoryBulb_Vol.mm3,0.218,Stephan_collection
Desmana moschata,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.03,Stephan_collection
Desmana moschata,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.096,Stephan_collection
Desmana moschata,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,0.092,Stephan_collection
Desmana moschata,Amygdala_Vol.mm3,90.8,Stephan_collection
Desmana moschata,Body_Mass.g,440.0,Stephan_collection
Desmana moschata,Brain_Mass.mg,4000.0,Stephan_collection
Desmana moschata,Bulbus_olfactorius_Vol.mm3,141.4,Stephan_collection
Desmana moschata,Bulbus_olfactorius_accessorius_Vol.mm3,0.218,Stephan_collection
Desmana moschata,Cerebellum_Vol.mm3,514.0,Stephan_collection
Desmana moschata,Commissura_anterior_Vol.mm3,4.4,Stephan_collection
Desmana moschata,Complexus_centromedialis_Vol.mm3,40.9,Stephan_collection
Desmana moschata,Complexus_corticobasolateralis_Vol.mm3,49.9,Stephan_collection
Desmana moschata,Complexus_sensorius_trigeminalis_Vol.mm3,97.0,Stephan_collection
Desmana moschata,Complexus_vestibularis_Vol.mm3,19.5,Stephan_collection
Desmana moschata,Corpus_pineal_Vol.mm3,0.459,Stephan_collection
Desmana moschata,Corpus_subcommissurale_Vol.mm3,0.0278,Stephan_collection
Desmana moschata,Corpus_subfornicale_Vol.mm3,0.0352,Stephan_collection
Desmana moschata,Diencephalon_Vol.mm3,344.0,Stephan_collection
Desmana moschata,Hippocampus_Vol.mm3,267.0,Stephan_collection
Desmana moschata,Lobus_piriformis_Vol.mm3,320.0,Stephan_collection
Desmana moschata,Medulla_oblongata_Vol.mm3,402.0,Stephan_collection
Desmana moschata,Mesencephalon_Vol.mm3,219.0,Stephan_collection
Desmana moschata,Neocortex_Vol.mm3,983.0,Stephan_collection
Desmana moschata,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,12.2,Stephan_collection
Desmana moschata,Nucleus_habenularis_medialis_Vol.mm3,1.05,Stephan_collection
Desmana moschata,Nucleus_septalis_triangularis_Vol.mm3,1.06,Stephan_collection
Desmana moschata,Nucleus_tractus_olfactorius_Vol.mm3,0.09,Stephan_collection
Desmana moschata,Nucleus_vestibularis_descendens_Vol.mm3,6.49,Stephan_collection
Desmana moschata,Nucleus_vestibularis_lateralis_Vol.mm3,2.54,Stephan_collection
Desmana moschata,Nucleus_vestibularis_medialis_Vol.mm3,8.12,Stephan_collection
Desmana moschata,Nucleus_vestibularis_superior_Vol.mm3,2.34,Stephan_collection
Desmana moschata,Palaeocortex_plus_amygdala_Vol.mm3,320.0,Stephan_collection
Desmana moschata,Prepiriform_cortex_Vol.mm3,135.8,Stephan_collection
Desmana moschata,Retrobulbar_cortex_Vol.mm3,34.3,Stephan_collection
Desmana moschata,Schizo_cortex_Vol.mm3,163.0,Stephan_collection
Desmana moschata,Septum_Vol.mm3,42.6,Stephan_collection
Desmana moschata,Striatum_Vol.mm3,222.0,Stephan_collection
Desmana moschata,Substantia_innominata_Vol.mm3,8.4,Stephan_collection
Desmana moschata,Telencephalon_Vol.mm3,2140.0,Stephan_collection
Desmana moschata,Total_brain_net_volume_Vol.mm3,3620.0,Stephan_collection
Desmana moschata,Tractus_olfactorius_lateralis_Vol.mm3,6.7,Stephan_collection
Desmana moschata,Tuberculum_olfactorium_Vol.mm3,40.0,Stephan_collection
Desmana moschata,Ventricles_Vol.mm3,138.0,Stephan_collection
Didelphis albiventris,CerebellarCortex_Vol.mm3,728.0,Ashwell
Didelphis albiventris,CerebellarHemisphere_Vol.mm3,274.0,Ashwell
Didelphis albiventris,CerebellarVermis_Vol.mm3,431.0,Ashwell
Didelphis albiventris,Cerebellar_nuclei_total_Vol.mm3,21.6,Ashwell
Didelphis albiventris,Cerebellum_Vol.mm3,912.0,Ashwell
Didelphis albiventris,Cerebellum_white_matter_Vol.mm3,163.0,Ashwell
Didelphis albiventris,FlocculonodularLobe_Vol.mm3,23.1,Ashwell
Didelphis albiventris,Total_brain_net_volume_Vol.mm3,8108.0,Ashwell
Didelphis marsupialis,CerebellarCortex_Vol.mm3,795.0,Ashwell
Didelphis marsupialis,CerebellarHemisphere_Vol.mm3,316.0,Ashwell
Didelphis marsupialis,CerebellarVermis_Vol.mm3,460.0,Ashwell
Didelphis marsupialis,Cerebellar_nuclei_total_Vol.mm3,23.9,Ashwell
Didelphis marsupialis,Cerebellum_Vol.mm3,979.0,Ashwell
Didelphis marsupialis,Cerebellum_grey_matter_Vol.mm3,670.0,Bush
Didelphis marsupialis,Cerebellum_white_matter_Vol.mm3,160.0,Ashwell; Bush
Didelphis marsupialis,FlocculonodularLobe_Vol.mm3,18.2,Ashwell
Didelphis marsupialis,Neocortex_grey_matter_Vol.mm3,939.0,Bush
Didelphis marsupialis,Neocortex_white_matter_Vol.mm3,151.0,Bush
Didelphis marsupialis,Pontine_and_reticulotegmental_nuclei_Vol.mm3,22.2,Ashwell
Didelphis marsupialis,Total_brain_net_volume_Vol.mm3,8034.0,Ashwell
Didelphis virginiana,CerebellarCortex_Vol.mm3,487.0,Ashwell
Didelphis virginiana,CerebellarHemisphere_Vol.mm3,182.0,Ashwell
Didelphis virginiana,CerebellarVermis_Vol.mm3,283.0,Ashwell
Didelphis virginiana,Cerebellar_nuclei_total_Vol.mm3,21.0,Ashwell
Didelphis virginiana,Cerebellum_Vol.mm3,563.0,Ashwell
Didelphis virginiana,Cerebellum_white_matter_Vol.mm3,55.3,Ashwell
Didelphis virginiana,FlocculonodularLobe_Vol.mm3,21.4,Ashwell
Didelphis virginiana,Pontine_and_reticulotegmental_nuclei_Vol.mm3,10.5,Ashwell
Didelphis virginiana,Total_brain_net_volume_Vol.mm3,5769.0,Ashwell
Distoechurus pennatus,CerebellarCortex_Vol.mm3,109.0,Ashwell
Distoechurus pennatus,CerebellarHemisphere_Vol.mm3,43.7,Ashwell
Distoechurus pennatus,CerebellarVermis_Vol.mm3,55.7,Ashwell
Distoechurus pennatus,Cerebellar_nuclei_total_Vol.mm3,3.03,Ashwell
Distoechurus pennatus,Cerebellum_Vol.mm3,124.0,Ashwell
Distoechurus pennatus,Cerebellum_white_matter_Vol.mm3,12.2,Ashwell
Distoechurus pennatus,FlocculonodularLobe_Vol.mm3,9.17,Ashwell
Distoechurus pennatus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,3.2,Ashwell
Distoechurus pennatus,Total_brain_net_volume_Vol.mm3,940.0,Ashwell
Dorcopsis luctuosa,CerebellarCortex_Vol.mm3,1569.0,Ashwell
Dorcopsis luctuosa,CerebellarHemisphere_Vol.mm3,718.0,Ashwell
Dorcopsis luctuosa,CerebellarVermis_Vol.mm3,721.0,Ashwell
Dorcopsis luctuosa,Cerebellar_nuclei_total_Vol.mm3,77.3,Ashwell
Dorcopsis luctuosa,Cerebellum_Vol.mm3,2042.0,Ashwell
Dorcopsis luctuosa,Cerebellum_white_matter_Vol.mm3,395.0,Ashwell
Dorcopsis luctuosa,FlocculonodularLobe_Vol.mm3,130.0,Ashwell
Dorcopsis luctuosa,Pontine_and_reticulotegmental_nuclei_Vol.mm3,45.9,Ashwell
Dorcopsis luctuosa,Total_brain_net_volume_Vol.mm3,14486.0,Ashwell
Dromiciops gliroides,CerebellarCortex_Vol.mm3,106.0,Ashwell
Dromiciops gliroides,CerebellarHemisphere_Vol.mm3,45.6,Ashwell
Dromiciops gliroides,CerebellarVermis_Vol.mm3,57.2,Ashwell
Dromiciops gliroides,Cerebellar_nuclei_total_Vol.mm3,4.83,Ashwell
