Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source,flag_curated_overrides_ncbi,flag_unresolved
Ashwell__2020_SupplementaryTable,Trichechus manatus latirostris,NA,127582,Trichechus manatus latirostris,Trichechus manatus latirostris,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Trichosurus arnhemensis,NA,175811,Trichosurus arnhemensis,Trichosurus arnhemensis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Trichosurus caninus,NA,128432,Trichosurus caninus,Trichosurus caninus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Tupaia glis,NA,9395,Tupaia glis,Tupaia glis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Tursiops truncatus,NA,9739,Tursiops truncatus,Tursiops truncatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Ursus maritimus,NA,29073,Ursus maritimus,Ursus maritimus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Vombatus ursinus,NA,29139,Vombatus ursinus,Vombatus ursinus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Wallabia bicolor,NA,9330,Wallabia bicolor,Wallabia bicolor,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Zaglossus bruijnii,NA,NA,NA,Zaglossus bruijnii,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Zalophus californianus,NA,9704,Zalophus californianus,Zalophus californianus,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated,TRUE,FALSE
Barger_etal_2007_TABLE1,Homo sapiens,NA,9606,Homo sapiens,Homo sapiens,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Hylobates lar,NA,9580,Hylobates lar,Hylobates lar,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Pan paniscus,NA,9597,Pan paniscus,Pan paniscus,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Pan troglodytes,NA,9598,Pan troglodytes,Pan troglodytes,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Pongo pygmaeus,Pongo sp.,9600,Pongo pygmaeus,Pongo sp.,curated,TRUE,FALSE
Baron_etal_1983_Table1,Alouatta spp.,Alouatta seniculus,NA,NA,Alouatta seniculus,curated,FALSE,FALSE
Baron_etal_1983_Table1,Aotus trivirgatus,NA,9505,Aotus trivirgatus,Aotus trivirgatus,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Ateles geoffroyi,NA,9509,Ateles geoffroyi,Ateles geoffroyi,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Avahi laniger laniger,Avahi laniger,NA,NA,Avahi laniger,curated,FALSE,FALSE
Baron_etal_1983_Table1,Avahi laniger occidentalis,NA,NA,NA,Avahi laniger occidentalis,unresolved_raw,FALSE,TRUE
Baron_etal_1983_Table1,Callicebus moloch,NA,9523,Plecturocebus moloch,Plecturocebus moloch,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Callimico goeldii,NA,9495,Callimico goeldii,Callimico goeldii,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Callithrix jacchus,NA,9483,Callithrix jacchus,Callithrix jacchus,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Cebuella pygmaea,Callithrix pygmaea,9493,Cebuella pygmaea,Callithrix pygmaea,curated,TRUE,FALSE
Baron_etal_1983_Table1,Cebus spp.,Cebus albifrons,NA,NA,Cebus albifrons,curated,FALSE,FALSE
Baron_etal_1983_Table1,Cercocebus albigena,Lophocebus albigena,75567,Lophocebus albigena,Lophocebus albigena,curated,FALSE,FALSE
Baron_etal_1983_Table1,Cercopithecus ascanius,NA,36223,Cercopithecus ascanius,Cercopithecus ascanius,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Cercopithecus mitis,NA,36225,Cercopithecus mitis,Cercopithecus mitis,NCBI,FALSE,FALSE
Baron_etal_1983_Table1,Cheirogaleus major,NA,47177,Cheirogaleus major,Cheirogaleus major,NCBI,FALSE,FALSE
