Species,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_Vol.mm3,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Area_10_right_Vol.mm3,Area_13_right_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Capsula_interna_Vol.mm3,CerebellarCortex_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Epithalamus_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Fascia_dentata_Vol.mm3,FlocculonodularLobe_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Hypothalamus_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Insula_right_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,Pallidum_Vol.mm3,Pons_Vol.mm3,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Subthalamus_Vol.mm3,Telencephalon_Vol.mm3,Thalamus_Vol.mm3,Total_brain_net_volume_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tractus_opticus_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3
Pongo pygmaeus,,,,,,,,,,,,,,,,,,,,73500.0,,,,,,,,,44600.0,5200.0,,46888.88888888888,,,,,,,,,,,,,,,,,,,,,,,42960.0,24700.0,,,,,,2566.6666666666665,,,,,,,,,,,,,,222833.3333333333,193300.0,,,,,,,,,,,,,,,,,,,,,,,,,,7333.333333333333,,,,,7666.666666666667,387536.11111111107,,,,,,,,,
Pongo sp.,,,,,717.25,254.75,462.5,1291.1666666666665,111.10000000000001,381.0,795.5,238.5,1611.1,316.6,,8316.85,,,,46325.0,192510.1,,,,,,,,,,,42900.0,,,313000.0,,,,,,,259.1,,,,13500.0,1562.75,828.25,734.5,1300.0,,12.82,,,,,400.75,208.75,192.0,,,2700.0,,12.11,,2738.5,1331.5,1407.0,,,,,5336.025,4000.0,,244516.65,129900.0,,,81500.0,,,,,,,,,,,,,,2400.0,,1800.0,4300.0,,1000.0,,,600.0,11500.0,,,,238300.0,,356112.45,,,6.31,,,,57.75,39.75,18.0
Potamogale velox,2.307,0.321,1.251,0.735,,,,62.3,,,,,,,,,,,,660.0,4160.0,81.9,2.31,,,,,,,,,605.0,,,,6.2,28.7,33.6,151.4,25.1,,,0.00309,0.00174,0.089,298.0,,,,,,,,,,,,,,,,298.0,,,,,,,,,194.0,,756.0,254.0,,1054.0,,,,,5.3,1.45,1.1,,0.46,9.27,,3.46,,8.05,,4.27,,,191.0,,,,71.7,18.2,145.0,51.4,134.0,,9.8,,1964.0,,3878.0,5.0,,,17.6,,16.6,,,
Potorous tridactylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.0,310.0,340.0,26.8,884.0,,168.0,,,,,,,,,,,,,,,,,,,,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,8333.0,,,,,,,,,
Potos flavus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,1070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200.0,,,6160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procavia capensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.0,361.0,1281.0,116.0,2199.0,1120.0,349.5,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,4210.0,,,1330.0,,,,,,,,,,,,,,,,,,44.7,,,,,,,,,,,17021.0,,,,,,,,,
Procolobus badius,,,,,,,,,,,,,,,,,,,,,,51.3,,,,,,,,,,,,,,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.1,17.5,,,,,56.6,,,,,22.8,,,86.6,,,,,
Propithecus verreauxi,3.399,0.725,1.265,1.409,,,,302.2,,,,,,,1355.0,1106.0,131.0,974.0,249.0,3480.0,26700.0,147.4,3.4,361.75,18.7,217.12,324.0,,,,97.12,3957.0,,,,17.6,95.8,206.4,56.0,81.6,43.2,64.5,3.26,0.357,0.507,2195.0,,,,,14.6,1.96,141.39,,,,,,,160.88,70.93,1042.96,882.08,1.62,328.0,,,,30.94,39.46,664.0,26.72,1222.815,780.0,,13170.0,9835.0,1428.0,8407.0,3335.0,22.5,3.65,1.6,20.0,1.1,24.9,12.4,13.0,7.37,28.9,15.3,14.8,8.18,292.0,565.0,263.0,,,182.9,35.3,443.0,159.0,1411.0,72.19,33.7,283.0,17040.0,1341.0,25483.1,10.1,125.0,1.68,82.7,169.3,231.0,,,
Pseudantechinus bilarni,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,10.4,22.0,1.26,42.8,,6.71,,,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,513.0,,,,,,,,,
Pseudocheirus canescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,115.0,127.0,12.5,316.0,,41.5,,,,,,,,,,,,,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,,,,,,,,,,,2566.0,,,,,,,,,
Pseudocheirus cinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0,105.0,186.0,11.2,382.0,,61.3,,,,,,,,,,,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93,,,,,,,,,,,2759.0,,,,,,,,,
Pseudocheirus forbesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,127.0,124.0,8.55,321.0,,43.8,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93,,,,,,,,,,,1141.0,,,,,,,,,
Pseudocheirus peregrinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,254.0,314.0,21.5,786.0,,151.0,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,,,,,,,,,,,5060.0,,,,,,,,,
Pseudochirops archeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.0,200.0,306.0,21.6,640.0,,89.9,,,,,,,,,,,,,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,5487.0,,,,,,,,,
Pseudochirops cupreus,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,307.0,373.0,24.3,879.0,,133.0,,,,,,,,,,,,,,,,,,,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,,5865.0,,,,,,,,,
Pseudochirulus herbertensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,106.0,123.0,8.77,307.0,,49.2,,,,,,,,,,,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47,,,,,,,,,,,2642.0,,,,,,,,,
Pteropus giganteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0,429.0,411.0,31.2,1001.0,,114.0,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,,,,8654.0,,,,,,,,,
Pygathrix nemaeus,,,,,,,,489.2,,,,,,,,,,,,7500.0,77000.0,10.7,0.0,786.6,44.48,420.73,,,,,265.75,8063.0,,,,98.9,151.6,337.5,82.3,117.0,,114.8,,,,4727.0,,,,,,2.79,253.07,,,,,,,445.75,227.64,2295.41,1849.66,1.57,,,,,80.76,137.05,942.0,47.94,2206.0550000000003,1345.0,,48763.0,,,,,51.2,,,,,32.9,,24.3,,35.1,,24.4,,,,,,,151.8,13.0,723.0,290.0,3166.0,117.14,54.2,,56189.0,,72530.0,13.1,,2.18,121.5,708.5,911.0,,,
Rattus norvegicus,,,,,,,,34.5,,,,,,,,,,,,233.7,1770.0,62.23,,,,,,,,,,232.33,183.0,28.7,,,,,,,,,,,,153.06,,,,,,,,,,,,,,,,97.46,,,,,,,,,,,,,,495.12,529.0,,,53.400000000000006,,,,,,,,,,,,,,81.73,,,,,,,63.18,18.82,90.48,,,,943.52,,,,,,,,,,,
Rhynchocyon cirnei,0.666,0.09,0.222,0.354,,,,176.0,,,,,,,,,,,,490.0,6100.0,426.0,0.666,,,,,,,,,798.0,,,,21.6,82.9,93.2,,,,,1.41,0.403,0.0576,524.0,,,,,,,,,,,,,,,,582.0,,,,,,,,,705.0,,507.0,523.0,,1089.0,,,,,5.4,2.09,0.937,,6.1,,,,,,,,,,,,,,301.5,77.4,220.0,81.5,222.0,,17.5,,3328.0,,5680.0,23.4,,,87.8,,97.2,,,
Rhynchocyon stuhlmanni,,,,,,,,,,,,,,,,,,,,490.0,6100.0,427.0,,,,,,,,,,798.0,,,,,,,,,,,,,,524.0,,,,,,,,,,,,,,,,582.0,,,,,,,,,,,507.0,523.0,,1089.0,,,,,,,,,,,,,,,,,,,705.0,,,,,,220.0,81.5,222.0,,,,3328.0,,5680.0,,,,,,,,,
Rhyncholestes raphanurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,13.6,71.5,2.09,106.0,,14.6,,,,,,,,,,,,,,,,,,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,957.0,,,,,,,,,
Ruwenzorisorex suncoides,,,,,,,,10.2,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,0.63,4.7,5.5,12.0,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,0.18,0.886,,0.235,,1.13,,0.259,,,,,,,17.8,4.1,,,,,0.63,,,,,0.71,,,5.1,,,,,
Saguinus geoffroyi,,,,,12.0,6.0,,,,,,,,,,,,,,482.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,9.0,,,,,,,,,18.0,9.0,,,,,,,,46.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10135.0,,,,,,,,,
Saguinus midas,0.29,0.042,0.116,0.132,,,,144.9,,,,,,,1061.0,841.0,,,220.0,340.0,10300.0,17.3,0.29,78.04,10.95,68.92,,,,,21.57,1061.0,,,,22.4,38.8,106.1,20.8,33.1,,36.0,0.216,0.0994,0.0795,692.0,,,,,,0.63,38.98,,,,,,,53.55,13.97,280.26,226.71,0.56,,,,,6.94,7.75,243.0,6.88,428.235,332.0,91.0,5883.0,,,,,8.8,1.18,0.559,,,7.74,,6.5,,12.3,,6.59,,,203.0,,,,40.3,4.4,120.0,40.9,471.0,15.85,9.9,,7055.0,,9755.55,4.2,,0.52,16.8,45.7,251.0,,,
Saguinus oedipus,0.406,0.05,0.168,0.188,12.0,6.0,,141.8,,,,,,,977.0,807.0,,,170.0,380.0,10000.0,19.1,0.406,85.42,9.66,49.77,62.7,,,,24.6,984.0,,,,16.0,31.6,110.2,20.0,35.2,18.4,34.2,0.392,0.0921,0.167,754.0,26.0,13.0,,,4.93,0.5,31.55,,,,14.0,7.0,,53.1,9.14,262.09,208.99,0.62,152.0,52.0,26.0,,7.19,8.8,256.0,8.61,413.155,333.0,103.1,5894.0,,,,,11.4,1.55,1.08,4.45,0.12,8.8,4.49,7.02,3.63,14.0,7.25,5.42,2.98,,282.0,73.2,,,54.0,3.9,107.0,60.5,453.0,23.45,11.2,77.6,7052.0,410.0,9416.175,5.4,50.5,0.54,23.9,50.9,62.6,,,
Saimiri sciureus,0.985,0.104,0.429,0.452,,,,242.4,,,,,,,2326.0,1732.6666666666667,175.0,1709.0,442.0,660.0,24000.0,26.8,0.985,79.82,13.7,66.43,132.0,1090.0,842.5,688.5,63.51,1908.0,1490.0,285.5,,34.4,54.1,188.3,29.9,57.1,29.4,62.9,2.71,0.143,0.255,1430.0,,,,,8.86,0.84,49.78,52.9,,,,,,103.06,21.07,351.44,248.38,0.82,207.0,,,,21.93,27.2,413.0,24.09,721.765,526.0,,15860.666666666666,11317.333333333334,1275.0,10557.0,3705.0,15.5,2.77,0.598,11.5,0.0,15.3,7.31,11.6,6.26,20.5,11.4,9.74,4.43,186.0,411.0,169.0,,43.4,60.4,6.5,168.0,90.6,1042.0,17.58,19.0,180.0,17635.0,731.0,21196.0,8.7,117.0,0.76,41.7,135.2,299.0,,,
Sarcophilus harissii,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.0,649.0,835.0,61.5,1962.0,,338.0,,,,,,,,,,,,,,,,,,,,78.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,,,,,,,13239.0,,,,,,,,,
Scalopus aquaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,12.6,14.4,0.78,29.9,,0.45,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,570.0,,,,,,,,,
Sciurus carolinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.0,1178.0,808.0,93.4,2543.0,904.0,279.5,,,,,,,,,,,,,,,,,,,,88.4,,,,,,,,,,,,,,,,,,,,,,,2480.0,,,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15029.0,,,,,,,,,
ScutisorexÃsomereni,,,,,,,,17.8,,,,,,,,,,,,,,58.3,,,,,,,,,,,,,,2.2,8.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,0.79,,,,,,,,,,,,,,48.9,13.0,,,,,1.9,,,,,3.5,,,13.8,,,,,
ScutisorexÊsomereni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,0.613,,1.42,,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,
Semnopithecus entellus,,,,,,,,,,,,,,,,4320.0,,,,,,,,,,,,9431.0,6456.0,2817.0,387.0,11184.0,9150.0,1818.0,,,,,,,,140.0,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,,,,,,,,51825.0,,,24280.0,,,,,,,,,,,,,,,,,,271.0,,,,,,,,,,,100332.5,,,,,,,,,
Setifer setosus,0.534,0.082,0.271,0.181,,,,68.7,,,,,,,,,,,,248.0,1510.0,209.1,0.534,21.24,5.67,25.79,8.57,,,,4.19,142.0,,,,11.1,34.5,36.6,27.5,7.28,3.75,1.05,0.445,0.0031,0.06,99.7,,,,,1.62,,19.87,,,,,,,11.54,6.63,96.57,85.03,,38.3,,,,1.78,1.21,336.0,1.2,183.0,75.7,,134.1,116.7,37.48,79.23,17.4,8.1,0.426,0.329,0.316,2.9,2.04,1.14,1.1,0.483,2.74,1.44,1.4,0.689,269.0,338.0,5.49,,,148.9,40.1,41.9,26.0,56.6,5.83,8.2,5.81,903.0,41.5,1404.0,12.4,1.07,,46.5,,21.3,,,
Sminthopsis crassicaudata,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,9.27,19.0,1.22,34.1,,2.5,,,,,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,246.0,,,,,,,,,
Sminthopsis leucopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,13.3,26.9,2.31,53.0,,6.87,,,,,,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,,,,,,,,,563.0,,,,,,,,,
Sminthopsis murina,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,4.39,14.0,1.24,25.0,,2.95,,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,330.0,,,,,,,,,
Solenodon paradoxus,0.218,0.021,0.051,0.146,,,,133.8,,,,,,,,,,,,900.0,4670.0,464.3,0.218,,,,,,,,,753.0,,,,20.9,50.7,83.1,69.2,21.8,,,1.27,0.0435,0.083,269.0,,,,,,,,,,,,,,,,296.0,,,,,,,,,689.0,,466.0,206.0,,661.0,,,,,14.1,2.08,0.87,,2.5,7.2,,2.9,,8.7,,3.0,,,683.0,,,,312.7,71.8,156.0,65.4,255.0,,15.0,,2486.0,,4282.0,19.3,,,115.6,,56.4,,,
Sorex araneus,0.078,0.02,0.022,0.036,,,,7.7,,,,,,,,,,,,10.3,200.0,17.0,0.0776,,,,0.61,43.6,20.7,20.6,1.355,34.599999999999994,,3.06,,0.53,3.7,3.9,5.99,1.28,0.618,0.07,0.0102,0.00012,0.00326,13.7,,,,,0.264,,,2.36,,,,,,,,20.6,,,5.17,,,,0.18,0.21,32.7,0.18,27.1,10.8,,26.36,24.82,5.189,19.63,1.536,0.76,0.0749,0.115,0.105,0.27,0.265,0.166,0.263,0.0955,0.537,0.249,0.218,0.107,25.6,32.7,0.979,,1.27,15.8,3.9,6.83,3.2,10.5,,0.8,1.09,116.0,7.25,190.0,0.67,0.144,,6.0,,1.17,,,
Sorex cinereus,,,,,,,,4.9,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,0.63,2.4,2.5,4.22,0.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,0.24,0.26,,0.147,,0.365,,0.21,,,,,,,12.4,3.2,,,,,0.53,,,,,0.48,,,4.8,,,,,
Sorex fumeus,,,,,,,,7.4,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,0.74,3.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,0.33,,,,,,,,,,,,,,17.0,4.4,,,,,0.66,,,,,0.52,,,6.0,,,,,
Sorex minutus,0.02,0.004,0.006,0.01,,,,3.7,,,,,,,,,,,,5.3,110.0,9.0,0.0202,,,,0.288,,,,0.35,11.0,,,,0.38,1.9,1.7,,0.82,0.41,0.06,0.00359,0.000265,0.00284,8.69,,,,,0.161,,,,,,,,,,,10.5,,,3.07,,,,0.13,0.13,17.2,0.09,17.0,5.91,,12.65,11.81,2.436,9.371,0.844,0.61,0.0586,0.07,0.0569,0.19,0.232,0.116,0.1426,0.0713,0.348,0.174,0.0964,0.0482,13.9,17.2,0.65,,,7.6,1.8,3.62,2.02,6.02,,0.61,0.707,60.7,3.92,103.0,3.6,0.106,,4.0,,0.46,,,
Spalax ehrenbergi,,,,,,,,38.78,,,,,,,,,,,,112.9,,74.6,,,,,,,,,,298.8,,,,,,,,,,,,,,176.91,,,,,,,,,,,,,,,,121.75,,,,,,,,,,,,,,550.67,,,,,,,,,,,,,,,,,,101.42,,,,,,,77.04,25.6,132.13,,,,1122.0,,,,,,,,,,,
Suncus etruscus,,,,,,,,1.7,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,0.14,0.91,0.81,2.33,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,0.08,0.133,,0.0593,,0.265,,0.0608,,,,,,,4.0,1.2,,,,,0.15,,,,,0.2,,,1.4,,,,,
Suncus megalura,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.6,4.88,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,0.26,0.32,,0.269,,0.634,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,
Suncus murinus,0.182,0.034,0.076,0.072,,,,10.9,,,,,,,,,,,,35.5,380.0,36.0,0.182,,,,1.18,,,,1.06,44.8,,,,0.98,5.3,5.6,9.8,2.1,1.03,0.18,0.0628,0.00223,0.0148,26.0,,,,,0.53,,,,,,,,,,,31.2,,,9.67,,,,0.38,0.44,56.2,0.23,50.5,24.2,,54.13,50.59,14.07,36.51,3.54,0.78,0.168,0.201,0.116,0.43,0.584,0.324,0.378,0.167,0.915,0.438,0.226,0.1,,56.2,1.58,,,28.6,7.2,12.6,5.5,14.8,,1.6,1.7,209.0,12.3,354.0,1.3,0.232,,6.6,,4.6,,,
Sus scrofa domesticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,6522.0,3277.0,2953.0,357.0,8634.0,,1755.0,,,,,,,,,,,,,,,,,,,,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,,130000.0,,,,,,,,,
Sylvisorex granti,,,,,,,,5.1,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,0.57,2.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,0.32,,,,,,,,,,,,,,14.1,3.3,,,,,0.49,,,,,0.56,,,4.4,,,,,
Sylvisorex negalura,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,3.2,,,,,0.5,,,,,0.55,,,4.8,,,,,
Symphalangus syndactylus,,,,,142.0,71.0,,,,,,,,,,,,,,11900.0,69419.35,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,147.0,,,,,,,,,396.0,198.0,,,,,,,,832.0,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133880.0,,,,,,,,,
Tachyglossus aculeatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.333333333333,344.0,593.0,24.3666666666667,1203.33333333333,,210.333333333333,,,,,,,,,,,,,,,,,,,,31.5666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1666666666667,,,,,,,,,,,20078.6666666667,,,,,,,,,
Talpa europaea,0.291,0.067,0.087,0.137,,,,26.3,,,,,,,,,,,,76.0,1020.0,59.6,0.291,,,,,,,,,174.0,,,,4.0,11.3,15.0,13.3,4.12,,,0.0497,0.0102,0.00857,80.4,,,,,,,,,,,,,,,,86.8,,,,,,,,,112.0,,95.4,49.8,,181.0,,,,,3.5,0.366,0.33,,0.56,1.41,,0.458,,1.66,,0.588,,,112.0,,,,45.4,11.7,39.6,15.0,60.2,,2.9,,554.0,,953.0,2.5,,,19.1,,10.9,,,
Tamandua tetradactyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,3155.0,1832.0,1239.0,166.0,3834.0,2980.0,595.5,,,,,,,,,,,,,,,,,,,,84.6,,,,,,,,,,,,,,,,,,,,,,,7250.0,,,2160.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,19812.0,,,,,,,,,
Tarsipes rostratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,22.8,20.7,1.45,50.5,,3.29,,,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,441.0,,,,,,,,,
Tarsius sp.,0.82,0.154,0.275,0.391,,,,53.4,,,,,,,370.0,349.0,41.2,307.0,21.3,125.0,3600.0,18.8,0.82,51.39,7.03,32.09,16.7,,,,8.06,428.0,,,,5.6,13.7,39.7,14.4,20.6,7.69,20.8,2.03,0.114,0.0482,303.0,,,,,2.53,0.75,22.74,,,,,,,22.78,5.87,152.66,129.88,0.28,42.5,,,,1.82,3.37,92.7,2.87,206.925,197.0,49.7,1768.0,1631.0,236.3,1395.0,137.0,3.3,1.13,0.405,1.09,0.09,6.81,2.41,2.76,1.16,8.36,3.36,2.7,0.759,39.1,,16.1,,,16.3,2.9,69.0,23.3,133.0,10.76,5.2,17.1,2258.0,175.0,3433.95,0.99,15.5,0.36,8.3,16.5,24.1,,,
