item,reference,folder,def_file,code,structure,measure,mapped,standardized_term,note,category
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Palaeocortex_mm3,Palaeocortex,Vol.mm3,TRUE,Palaeocortex_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Schizo_cortex_mm3,Schizo_cortex,Vol.mm3,TRUE,Schizo_cortex_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Septum_mm3,Septum,Vol.mm3,TRUE,Septum_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Striatum_mm3,Striatum,Vol.mm3,TRUE,Striatum_Vol.mm3,,mapped
Frahm_etal_1997_Table1,Frahm_etal_1997_Table1,Frahm_etal_1997,Frahm_etal_1997/reference_tables/Frahm_etal_1997_Table1_definitions.csv,Telencephalon_mm3,Telencephalon,Vol.mm3,TRUE,Telencephalon_Vol.mm3,,mapped
Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Frahm_etal_1998,Frahm_etal_1998/reference_tables/Frahm_etal_1998_Table1_definitions.csv,Area_striata_grey_matter_mm3,Area_striata_grey_matter,Vol.mm3,TRUE,Area_striata_grey_matter_Vol.mm3,,mapped
Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Frahm_etal_1998,Frahm_etal_1998/reference_tables/Frahm_etal_1998_Table1_definitions.csv,Corpus_geniculatum_laterale_mm3,Corpus_geniculatum_laterale,Vol.mm3,TRUE,Corpus_geniculatum_laterale_Vol.mm3,,mapped
Frahm_etal_1998_Table1,Frahm_etal_1998_Table1,Frahm_etal_1998,Frahm_etal_1998/reference_tables/Frahm_etal_1998_Table1_definitions.csv,Middle_temporal_visual_area_mm3,Middle_temporal_visual_area,Vol.mm3,TRUE,Middle_temporal_visual_area_Vol.mm3,,mapped
MacLeod_etal_2003_,MacLeod_etal_2003_,MacLeod_etal_2003,MacLeod_etal_2003/MacLeod_etal_2003_definitions.csv,brain_volume_cm3,WholeBrain,Volume.cm3,TRUE,Total_brain_net_volume_Vol.mm3,,mapped
MacLeod_etal_2003_,MacLeod_etal_2003_,MacLeod_etal_2003,MacLeod_etal_2003/MacLeod_etal_2003_definitions.csv,cerebellum_volume_cm3,Cerebellum,Volume.cm3,TRUE,Cerebellum_Vol.mm3,,mapped
MacLeod_etal_2003_,MacLeod_etal_2003_,MacLeod_etal_2003,MacLeod_etal_2003/MacLeod_etal_2003_definitions.csv,hemisphere_volume_cm3,CerebellarHemisphere,Volume.cm3,TRUE,CerebellarHemisphere_Vol.mm3,,mapped
MacLeod_etal_2003_,MacLeod_etal_2003_,MacLeod_etal_2003,MacLeod_etal_2003/MacLeod_etal_2003_definitions.csv,vermis_volume_cm3,CerebellarVermis,Volume.cm3,TRUE,CerebellarVermis_Vol.mm3,,mapped
Matano_etal_1985_a_Table1,Matano_etal_1985_a_Table1,Matano_etal_1985_a,Matano_etal_1985_a/reference_tables/Matano_etal_1985_a_Table1_definitions.csv,ICN_mm3,Interpositus_cerebellar_nuclei,Vol.mm3,TRUE,Interpositus_cerebellar_nuclei_Vol.mm3,,mapped
