"Species","Brain_Mass_excl_olfactory_bulb.g","Brain_Mass_from_volume_or_ecv.g","Brain_Mass_mass_or_volume.g","Brain_Mass_measured.g","Brain_size_sum_of_structures.g"
"Eptesicus pachyotis",,,0.158,,
"Eptesicus serotinus",,,0.327,,
"Equus asinus",,,434,,
"Equus burchelli",,,587,520.5,
"Equus caballus",,,693,590,
"Equus zebra",,,548,,
"Erethizon dorsata",,,24.6,,
"Erignathus barbatus",,,460,,
"Erinaceus europaeus",,,3.23,3.225,
"Erythrocebus patas",,,100.2,108,
"Eschrichtius robustus",,,4316.67,4316.67,
"Eudorcas thomsonii",,,91.8,,
"Eulemur albifrons",,,21.4474,,
"Eulemur albocollaris",,,22.1,,
"Eulemur coronatus",,,20.651,,
"Eulemur fulvus",,,25.8,23.3,
"Eulemur macaco",,,22.6,28.3,
"Eulemur mongoz",,,24.03,20.75,
"Eulemur rubriventer",,,24.9,,
"Eulemur rufus",,,25.396,,
"Eumetopias jubatus",,,661.25,,
"Eumops auripendulus",,,0.612,,
"Eumops glaucinus",,,0.6565,,
"Eumops perotis",,,0.802,,
"Euoticus elegantulus",,,5.5347,,
"Euoticus pallidus",,,5.1857,,
"Euphractus sexcinctus",,,33.5,,
"Eupleres goudotii",,,17,,
"Felis catus",,,25.6,26.7929,
"Felis chaus",,,37,,
"Felis manul",,,34.47,,
"Felis nigripes",,,20.1,,
"Felis silvestris",,,35.5,,
"Forpus passerinus",,,,1.1464,
"Fossa fossana",,,19.69,,
"Frog (Rana esculenta)",,,,0.117,
"Fukomys anselli",,,,,1.25
"Fukomys damarensis",,,,,1.39
"Fukomys darlingi",,,,,1.23
"Fukomys mechowii",,,,,2.15
"Funambulus pennantii",,,2.1,,
"Funisciurus anerythrus",,,4.14,,
"Funisciurus carruthersi",,,4.48,,
"Funisciurus pyrropus",,,4.38,,
"Furipterus horrens",,,0.127,,
"Galago alleni",,,5.85,,
"Galago cameronensis",,,5.5809,,
"Galago gabonensis",,,5.3574,,
"Galago granti",,,4.0738,,
"Galago matschiei",,,4.6219,,
"Galago moholi",,,3.7052,,
"Galago senegalensis",,,5.9,3.9233,
"Galago sp.",,,,4.8,
"Galago thomasi",,,3.1175,,
"Galago zanzibaricus",,,3.5,,
"Galagoides demidoff",,,3.38,3.34,
"Galea musteloides",,,2.72,,
"Galemys pyrenaicus",,,1.33,1.33,
"Galerella pulverulenta",,,11.02,,
"Galerella sanguinea",,,8.8,,
"Galictis cuja",,,18.8,,
"Galictis vittatus",,,17.97,,
"Galidia elegans",,,10.7,,
"Gallus gallus",,,,2.8195,
"Garrulus glandarius",,,,4.5968,
"Gazella dorcas",,,70.8,,
"Genetta angolensis",,,15.49,,
"Genetta genetta",,,14,,
"Genetta pardina",,,15.4,,
"Genetta servalina",,,16,,
"Genetta tigrina",,,15.35,,
"Geocapromys ingrahami",,,4.46,,
"Geomys breviceps",,,2.29,,
"Geomys bursarius",,,1.83,,
"Geomys pinetis",,,2.51,,
"Georychus capensis",,,,,1.65
"Gerbilliscus afra",,,1.56,,
"Gerbilliscus brantsii",,,1.56,,
"Gerbillurus paeba",,,0.84,,
"Gerbillus gleadowi",,,0.69,,
"Gerbillus nanus",,,0.6,,
"Gerbillus pyramidum",,,0.88,,
"Gibraltar/Forbes Quarry",,1185.58,,,
"Giraffa camelopardalis",534.92,,537,675,
"Glaucomys sabrinus",,,3.01,,
"Glaucomys volans",,,1.71,,
"Glauconycteris beatrix",,,0.144,,
"Glauconycteris poensis",,,0.205,,
"Glischropus tylopus",,,0.099,,
"Globicephala macrorhynchus",,,2466,2886.296,
"Globicephala melas",,,2673,2673,
"Glossophaga longirostris",,,0.435,,
"Glossophaga soricina",,,0.4127,,
"Gorilla beringei",,,491.27,,
"Gorilla gorilla",,313.14,454.55,443.119,
"Gracula religiosa",,,,3.6696,
"Grammomys cometes",,,0.96,,
"Grammomys poensis",,,1.55,,
"Grampus griseus",,,2551,2098.084,
"Grey rat (Mus decomanus gris)",,,,1.705,
"Guinea-pig (Cavia porcellus)",,,,4,
"Gulo gulo",,,72.5,,
"Gymnobelideus leadbeateri",,,2.85,,
"Halichoerus grypus",,,307.5,,
"Hapalemur alaotrensis",,,13.8,,
"Hapalemur griseus",,,14.1,14.7,
"Hapalemur occidentalis",,,14.2,,
"Hapalemur simus",,,,9.53,
"Harpiocephalus harpia",,,0.442,,
"Helarctos malayanus",,,385.5,,
"Heliophobius argenteocinereus",,,1.43,,1.65
"Heliosciurus gambianus",,,3.99,,
"Heliosciurus rufobrachium",,,5.75,,
"Heliosciurus ruwenzorii",,,5.4,,
"Helogale parvula",,,4.8,,
"Hemibelideus lemuroides",,,3.15,,
"Hemicentetes semispinosus",,,0.83,0.83,
"Hemiechinus auritus",,,1.9,1.4325,
"Hemigalus derbyanus",,,18.9,,
"Hemitragus jemlahicus",,,166,,
"Hen (Gallus domest.)",,,,3.3,
"Herpestes edwardsi",,,10.49,,
"Herpestes fuscus",,,12.55,,
"Herpestes ichneumon",,,23.3,,
"Herpestes javanicus",,,7.2,,
"Herpestes naso",,,25.53,,
"Herpestes smithii",,,14.6,,
"Herpestes urva",,,20.91,,
"Herpestes vitticollis",,,25.79,,
"Hesperoptenus blanfordi",,,0.158,,
"Heterocephalus glaber",0.392,,0.52,,0.44
"Heterohyrax brucei",,,12.27,,
"Heteromys desmarestianus",,,1.13,,
"Hexaprotodon liberiensis",,,215,,
"Hippopotamus amphibius",,,720,590,
"Hipposideros armiger",,,0.8,,
"Hipposideros ater",,,0.198,,
"Hipposideros bicolor",,,0.2383,,
"Hipposideros caffer",,,0.313,,
"Hipposideros calcaratus",,,0.369,,
"Hipposideros cervinus",,,0.214,,
"Hipposideros diadema",,,0.715,,
"Hipposideros fulvus",,,0.236,,
"Hipposideros galeritus",,,0.279,,
"Hipposideros halophyllus",,,0.152,,
