Species_binomial,Kaufman_genus,weighting,region,measure,units,N,Mean,SD,CV,CVstar
Meriones_unguiculatus,Meriones,unweighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Auditory Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Basal Ganglia,CBF,mL/100g/min,7,99.29,10,10.07,10.43
Meriones_unguiculatus,Meriones,weighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Basal Ganglia,CMRgl,umol/100g/min,13,74.88,13.8,18.43,18.78
Meriones_unguiculatus,Meriones,weighted,Cerebellum,CBF,mL/100g/min,10,93,15.8,16.99,17.41
Meriones_unguiculatus,Meriones,weighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Cerebellum,CMRgl,umol/100g/min,6,44.4,14.4,32.43,33.78
Meriones_unguiculatus,Meriones,weighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Cingulate Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Cortex,CBF,mL/100g/min,7,103.03,6.8,6.6,6.84
Meriones_unguiculatus,Meriones,weighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Cortex,CMRgl,umol/100g/min,13,73.35,15.62,21.29,21.7
Meriones_unguiculatus,Meriones,weighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Frontal Cortex,CMRgl,umol/100g/min,6,67.8,15,22.12,23.05
Meriones_unguiculatus,Meriones,weighted,Hippocampus,CBF,mL/100g/min,2,109,9,8.26,9.29
Meriones_unguiculatus,Meriones,weighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Hippocampus,CMRgl,umol/100g/min,6,69,19,27.54,28.68
Meriones_unguiculatus,Meriones,weighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Occipital Cortex,CMRgl,umol/100g/min,6,69.4,20.6,29.68,30.92
Meriones_unguiculatus,Meriones,weighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Parietal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,6,67.2,16.7,24.85,25.89
Meriones_unguiculatus,Meriones,weighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Temporal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Thalamus,CBF,mL/100g/min,2,117,10,8.55,9.62
Meriones_unguiculatus,Meriones,weighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Thalamus,CMRgl,umol/100g/min,8,76.35,13.84,18.13,18.69
Meriones_unguiculatus,Meriones,weighted,White Matter,CBF,mL/100g/min,2,62,12,19.35,21.77
Meriones_unguiculatus,Meriones,weighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,White Matter,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Whole Brain,CBF,mL/100g/min,10,102,12.6,12.35,12.66
Meriones_unguiculatus,Meriones,weighted,Whole Brain,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Meriones_unguiculatus,Meriones,weighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Auditory Cortex,CMRgl,umol/100g/min,6,102.17,37.94,37.14,38.69
Mus_musculus,Mus,unweighted,Basal Ganglia,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Basal Ganglia,CMRgl,umol/100g/min,5,85.64,31.31,36.56,38.38
Mus_musculus,Mus,unweighted,Cerebellum,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Cerebellum,CMRgl,umol/100g/min,4,90.5,7.59,8.39,8.92
Mus_musculus,Mus,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,3,83,19.97,24.07,26.07
Mus_musculus,Mus,unweighted,Cortex,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Cortex,CMRgl,umol/100g/min,8,97.88,26.83,27.41,28.27
Mus_musculus,Mus,unweighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Frontal Cortex,CMRgl,umol/100g/min,6,108.83,19.06,17.52,18.24
Mus_musculus,Mus,unweighted,Hippocampus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Hippocampus,CMRgl,umol/100g/min,6,69.34,19.49,28.11,29.28
Mus_musculus,Mus,unweighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Occipital Cortex,CMRgl,umol/100g/min,4,97.75,34.21,35,37.18
Mus_musculus,Mus,unweighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Parietal Cortex,CMRgl,umol/100g/min,2,126,2.83,2.24,2.53
Mus_musculus,Mus,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,6,103.5,27.56,26.63,27.74
Mus_musculus,Mus,unweighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Temporal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Thalamus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Thalamus,CMRgl,umol/100g/min,5,116.32,27.67,23.79,24.98
Mus_musculus,Mus,unweighted,White Matter,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,White Matter,CMRgl,umol/100g/min,5,43.8,19.93,45.51,47.78
Mus_musculus,Mus,unweighted,Whole Brain,CBF,mL/100g/min,1,117,20,17.09,21.37
Mus_musculus,Mus,unweighted,Whole Brain,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,unweighted,Whole Brain,CMRgl,umol/100g/min,4,68.03,8.42,12.38,13.15
Mus_musculus,Mus,weighted,Auditory Cortex,CMRgl,umol/100g/min,34,105.24,11.08,10.53,10.61
Mus_musculus,Mus,weighted,Basal Ganglia,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Basal Ganglia,CMRgl,umol/100g/min,30,85.18,12.65,14.85,14.97
Mus_musculus,Mus,weighted,Cerebellum,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Cerebellum,CMRgl,umol/100g/min,25,91.52,12.08,13.2,13.33
Mus_musculus,Mus,weighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Cingulate Cortex,CMRgl,umol/100g/min,18,83.33,12,14.4,14.6
Mus_musculus,Mus,weighted,Cortex,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Cortex,CMRgl,umol/100g/min,43,98.9,11.99,12.12,12.19
Mus_musculus,Mus,weighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Frontal Cortex,CMRgl,umol/100g/min,34,107.29,12.07,11.25,11.33
Mus_musculus,Mus,weighted,Hippocampus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Hippocampus,CMRgl,umol/100g/min,49,74.54,33.99,45.6,45.83
Mus_musculus,Mus,weighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Occipital Cortex,CMRgl,umol/100g/min,24,100.75,13.77,13.67,13.81
Mus_musculus,Mus,weighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Parietal Cortex,CMRgl,umol/100g/min,12,126,14.51,11.52,11.76
Mus_musculus,Mus,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,34,102.59,12.37,12.06,12.15
Mus_musculus,Mus,weighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Temporal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Thalamus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Thalamus,CMRgl,umol/100g/min,29,114.39,14.51,12.69,12.79
Mus_musculus,Mus,weighted,White Matter,CBF,mL/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,White Matter,CMRgl,umol/100g/min,28,44.57,8.76,19.65,19.83
Mus_musculus,Mus,weighted,Whole Brain,CBF,mL/100g/min,5,117,20,17.09,17.95
Mus_musculus,Mus,weighted,Whole Brain,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Mus_musculus,Mus,weighted,Whole Brain,CMRgl,umol/100g/min,37,67.53,8.88,13.15,13.24
Oryctolagus_cuniculus,Lepus,unweighted,Auditory Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Basal Ganglia,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Basal Ganglia,CMRgl,umol/100g/min,1,58.7,8,13.63,17.04
Oryctolagus_cuniculus,Lepus,unweighted,Cerebellum,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Cerebellum,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Cortex,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Cortex,CMRgl,umol/100g/min,1,77.42,17.9,23.12,28.9
Oryctolagus_cuniculus,Lepus,unweighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Frontal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Hippocampus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Hippocampus,CMRgl,umol/100g/min,1,58.1,5.6,9.64,12.05
Oryctolagus_cuniculus,Lepus,unweighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Occipital Cortex,CMRgl,umol/100g/min,1,76.4,19.7,25.79,32.23
Oryctolagus_cuniculus,Lepus,unweighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Parietal Cortex,CMRgl,umol/100g/min,1,73.1,17.4,23.8,29.75
Oryctolagus_cuniculus,Lepus,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,1,82.65,15.3,18.51,23.14
Oryctolagus_cuniculus,Lepus,unweighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Temporal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Thalamus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,Thalamus,CMRgl,umol/100g/min,1,89.7,9.4,10.48,13.1
Oryctolagus_cuniculus,Lepus,unweighted,White Matter,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,unweighted,White Matter,CMRgl,umol/100g/min,1,26.1,5.6,21.46,26.82
Oryctolagus_cuniculus,Lepus,unweighted,Whole Brain,CBF,mL/100g/min,1,48,18.5,38.54,48.18
Oryctolagus_cuniculus,Lepus,unweighted,Whole Brain,CMRO2,umol/100g/min,1,205.4,17.9,8.71,10.89
Oryctolagus_cuniculus,Lepus,unweighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Auditory Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Basal Ganglia,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Basal Ganglia,CMRgl,umol/100g/min,5,58.7,8,13.63,14.31
Oryctolagus_cuniculus,Lepus,weighted,Cerebellum,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Cerebellum,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Cingulate Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Cortex,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Cortex,CMRgl,umol/100g/min,5,77.42,17.9,23.12,24.28
Oryctolagus_cuniculus,Lepus,weighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Frontal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Hippocampus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Hippocampus,CMRgl,umol/100g/min,5,58.1,5.6,9.64,10.12
Oryctolagus_cuniculus,Lepus,weighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Occipital Cortex,CMRgl,umol/100g/min,5,76.4,19.7,25.79,27.07
Oryctolagus_cuniculus,Lepus,weighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Parietal Cortex,CMRgl,umol/100g/min,5,73.1,17.4,23.8,24.99
Oryctolagus_cuniculus,Lepus,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,5,82.65,15.3,18.51,19.44
Oryctolagus_cuniculus,Lepus,weighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Temporal Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Thalamus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,Thalamus,CMRgl,umol/100g/min,5,89.7,9.4,10.48,11
Oryctolagus_cuniculus,Lepus,weighted,White Matter,CBF,mL/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Oryctolagus_cuniculus,Lepus,weighted,White Matter,CMRgl,umol/100g/min,5,26.1,5.6,21.46,22.53
Oryctolagus_cuniculus,Lepus,weighted,Whole Brain,CBF,mL/100g/min,38,48,18.5,38.54,38.8
Oryctolagus_cuniculus,Lepus,weighted,Whole Brain,CMRO2,umol/100g/min,38,205.4,17.9,8.71,8.77
Oryctolagus_cuniculus,Lepus,weighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Ovis_aries,Ovis,unweighted,Whole Brain,CBF,mL/100g/min,4,64.85,9.93,15.31,16.27
Ovis_aries,Ovis,unweighted,Whole Brain,CMRO2,umol/100g/min,3,223.8,20.44,9.14,9.9
Ovis_aries,Ovis,unweighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Ovis_aries,Ovis,weighted,Whole Brain,CBF,mL/100g/min,30,62.01,11.39,18.37,18.52
Ovis_aries,Ovis,weighted,Whole Brain,CMRO2,umol/100g/min,18,217.93,47.49,21.79,22.09
Ovis_aries,Ovis,weighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Auditory Cortex,CMRgl,umol/100g/min,33,128.4,24.11,18.78,18.92
Rattus_norvegicus,Rattus,unweighted,Basal Ganglia,CBF,mL/100g/min,2,117.5,7.78,6.62,7.45
Rattus_norvegicus,Rattus,unweighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Basal Ganglia,CMRgl,umol/100g/min,42,71.95,10.23,14.22,14.31
Rattus_norvegicus,Rattus,unweighted,Cerebellum,CBF,mL/100g/min,2,116.5,38.89,33.38,37.56
Rattus_norvegicus,Rattus,unweighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Cerebellum,CMRgl,umol/100g/min,28,53.95,12.26,22.72,22.93
Rattus_norvegicus,Rattus,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,32,97.88,14.42,14.73,14.85
Rattus_norvegicus,Rattus,unweighted,Cortex,CBF,mL/100g/min,3,149.6,38.4,25.67,27.8
Rattus_norvegicus,Rattus,unweighted,Cortex,CMRO2,umol/100g/min,1,464.3,93.8,20.2,25.25
Rattus_norvegicus,Rattus,unweighted,Cortex,CMRgl,umol/100g/min,49,99.14,15.53,15.67,15.75
Rattus_norvegicus,Rattus,unweighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Frontal Cortex,CMRgl,umol/100g/min,34,94.06,13.75,14.62,14.73
Rattus_norvegicus,Rattus,unweighted,Hippocampus,CBF,mL/100g/min,5,92.6,13.07,14.11,14.82
Rattus_norvegicus,Rattus,unweighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Hippocampus,CMRgl,umol/100g/min,44,65.59,10.38,15.83,15.92
Rattus_norvegicus,Rattus,unweighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Occipital Cortex,CMRgl,umol/100g/min,37,94.25,13.74,14.57,14.67
Rattus_norvegicus,Rattus,unweighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Parietal Cortex,CMRgl,umol/100g/min,32,93.08,14.44,15.51,15.63
Rattus_norvegicus,Rattus,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,38,96.61,11.64,12.05,12.13
Rattus_norvegicus,Rattus,unweighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Temporal Cortex,CMRgl,umol/100g/min,4,98.58,18.05,18.31,19.45
Rattus_norvegicus,Rattus,unweighted,Thalamus,CBF,mL/100g/min,4,131,14.63,11.17,11.86
Rattus_norvegicus,Rattus,unweighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,Thalamus,CMRgl,umol/100g/min,44,89.44,13.79,15.41,15.5
Rattus_norvegicus,Rattus,unweighted,White Matter,CBF,mL/100g/min,1,35,4,11.43,14.29
Rattus_norvegicus,Rattus,unweighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,unweighted,White Matter,CMRgl,umol/100g/min,36,33.34,7.9,23.71,23.87
Rattus_norvegicus,Rattus,unweighted,Whole Brain,CBF,mL/100g/min,7,101.86,7.9,7.76,8.04
Rattus_norvegicus,Rattus,unweighted,Whole Brain,CMRO2,umol/100g/min,7,428.71,69.91,16.31,16.89
Rattus_norvegicus,Rattus,unweighted,Whole Brain,CMRgl,umol/100g/min,13,75.24,13.01,17.29,17.62
Rattus_norvegicus,Rattus,weighted,Auditory Cortex,CMRgl,umol/100g/min,237,125.87,15.04,11.95,11.96
Rattus_norvegicus,Rattus,weighted,Basal Ganglia,CBF,mL/100g/min,12,119.33,19.36,16.22,16.56
Rattus_norvegicus,Rattus,weighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Basal Ganglia,CMRgl,umol/100g/min,307,71.74,5.54,7.72,7.73
Rattus_norvegicus,Rattus,weighted,Cerebellum,CBF,mL/100g/min,14,112.57,17.04,15.14,15.41
Rattus_norvegicus,Rattus,weighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Cerebellum,CMRgl,umol/100g/min,220,54.85,9.3,16.95,16.97
Rattus_norvegicus,Rattus,weighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Cingulate Cortex,CMRgl,umol/100g/min,248,97.93,12.77,13.04,13.05
Rattus_norvegicus,Rattus,weighted,Cortex,CBF,mL/100g/min,32,145.58,47.17,32.4,32.66
Rattus_norvegicus,Rattus,weighted,Cortex,CMRO2,umol/100g/min,20,464.3,93.8,20.2,20.45
Rattus_norvegicus,Rattus,weighted,Cortex,CMRgl,umol/100g/min,360,98.91,12.37,12.51,12.52
Rattus_norvegicus,Rattus,weighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Frontal Cortex,CMRgl,umol/100g/min,247,94.31,12.79,13.56,13.58
Rattus_norvegicus,Rattus,weighted,Hippocampus,CBF,mL/100g/min,30,94,13.63,14.5,14.62
Rattus_norvegicus,Rattus,weighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Hippocampus,CMRgl,umol/100g/min,327,65.36,8.67,13.26,13.27
Rattus_norvegicus,Rattus,weighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Occipital Cortex,CMRgl,umol/100g/min,276,94.2,12.69,13.47,13.48
Rattus_norvegicus,Rattus,weighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Parietal Cortex,CMRgl,umol/100g/min,251,94.29,12.35,13.1,13.11
Rattus_norvegicus,Rattus,weighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Sensorimotor Cortex,CMRgl,umol/100g/min,270,96.09,10.09,10.5,10.51
Rattus_norvegicus,Rattus,weighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Temporal Cortex,CMRgl,umol/100g/min,26,97.46,13.57,13.92,14.06
Rattus_norvegicus,Rattus,weighted,Thalamus,CBF,mL/100g/min,26,129.92,21.11,16.25,16.4
Rattus_norvegicus,Rattus,weighted,Thalamus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,Thalamus,CMRgl,umol/100g/min,334,89.8,12.06,13.43,13.44
Rattus_norvegicus,Rattus,weighted,White Matter,CBF,mL/100g/min,4,35,4,11.43,12.14
Rattus_norvegicus,Rattus,weighted,White Matter,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Rattus_norvegicus,Rattus,weighted,White Matter,CMRgl,umol/100g/min,265,34.41,6.08,17.67,17.69
