status,match,Species_binomial,weighting,region,measure,stat,value_src,value_comp,in_src,in_comp,real_src,real_cmp,tol
both_absent,TRUE,Capra_aegagrus,weighted,Frontal Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Frontal Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Frontal Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Frontal Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Frontal Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Frontal Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Hippocampus,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Hippocampus,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Hippocampus,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Hippocampus,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Hippocampus,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Hippocampus,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Hippocampus,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
