status,genus,weighting,region,measure,stat,built,manual,diff,real_built,real_manual,tol
both_absent,Felis,weighted,Hippocampus,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
match,Felis,unweighted,Hippocampus,CMRgl,CV,5.66,5.66,0,TRUE,TRUE,0.011
match,Felis,unweighted,Hippocampus,CMRgl,CVstar,6.36,6.36,0,TRUE,TRUE,0.011
match,Felis,unweighted,Hippocampus,CMRgl,Mean,50,50,0,TRUE,TRUE,0.011
match,Felis,unweighted,Hippocampus,CMRgl,N,2,2,0,TRUE,TRUE,0
match,Felis,unweighted,Hippocampus,CMRgl,SD,2.83,2.83,0,TRUE,TRUE,0.011
match,Felis,weighted,Hippocampus,CMRgl,CV,25.52,25.52,0,TRUE,TRUE,0.011
match,Felis,weighted,Hippocampus,CMRgl,CVstar,26.1,26.1,0,TRUE,TRUE,0.011
match,Felis,weighted,Hippocampus,CMRgl,Mean,50.55,50.55,0,TRUE,TRUE,0.011
match,Felis,weighted,Hippocampus,CMRgl,N,11,11,0,TRUE,TRUE,0
match,Felis,weighted,Hippocampus,CMRgl,SD,12.9,12.9,0,TRUE,TRUE,0.011
both_absent,Felis,unweighted,Occipital Cortex,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Occipital Cortex,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Occipital Cortex,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Occipital Cortex,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,unweighted,Occipital Cortex,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Occipital Cortex,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Occipital Cortex,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Occipital Cortex,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Occipital Cortex,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,weighted,Occipital Cortex,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
match,Felis,unweighted,Occipital Cortex,CMRgl,CV,13.79,13.79,0,TRUE,TRUE,0.011
