"Species","Measure","Value","Medium","population","Source_item","Study_key","value_origin","Data_role","note"
"Papio cynocephalus","Audible_freq_high_60dB.kHz",40.3706827184182,"air","yellow baboon","Koay_etal_1998_Figure6","heinz1982","digitised_from_figure","secondary",""
"Pan troglodytes","Audible_freq_high_60dB.kHz",23.0588920323534,"air","chimpanzee","Koay_etal_1998_Figure6","farrer1965","digitised_from_figure","secondary",""
"Homo sapiens","Audible_freq_high_60dB.kHz",17.7165176586358,"air","human","Koay_etal_1998_Figure6","heffner1991|r","digitised_from_figure","secondary",""
"Oryctolagus cuniculus","Audible_freq_high_60dB.kHz",49.1938881917886,"air","domestic rabbit","Koay_etal_1998_Figure6","heffner1980|h","digitised_from_figure","secondary",""
"Sylvilagus floridanus","Audible_freq_high_60dB.kHz",56.4940472440078,"air","eastern cottontail","Koay_etal_1998_Figure6","heffner1995|r","digitised_from_figure","secondary",""
"Tamias striatus","Audible_freq_high_60dB.kHz",52.5443674661784,"air","eastern chipmunk","Koay_etal_1998_Figure6","heffner1989|r","digitised_from_figure","secondary",""
"Marmota monax","Audible_freq_high_60dB.kHz",27.5485652920428,"air","groundhog","Koay_etal_1998_Figure6","conesa1991","digitised_from_figure","secondary",""
"Cynomys ludovicianus","Audible_freq_high_60dB.kHz",26.1340652554299,"air","black-tailed prairie dog","Koay_etal_1998_Figure6","heffner1994|r","digitised_from_figure","secondary",""
"Cynomys leucurus","Audible_freq_high_60dB.kHz",26.1340652554299,"air","white-tailed prairie dog","Koay_etal_1998_Figure6","heffner1994|r","digitised_from_figure","secondary",""
"Sciurus niger","Audible_freq_high_60dB.kHz",48.8708224513624,"air","fox squirrel","Koay_etal_1998_Figure6","jackson1997","digitised_from_figure","secondary",""
"Geomys bursarius","Audible_freq_high_60dB.kHz",8.75382101225309,"air","pocket gopher","Koay_etal_1998_Figure6","heffner1990b|r","digitised_from_figure","secondary",""
"Heterocephalus glaber","Audible_freq_high_60dB.kHz",11.4688332575195,"air","naked mole rat","Koay_etal_1998_Figure6","heffner1993|r","digitised_from_figure","secondary",""
"Nannospalax ehrenbergi","Audible_freq_high_60dB.kHz",5.85660655141258,"air","blind mole rat","Koay_etal_1998_Figure6","heffner1992|r","digitised_from_figure","secondary",""
"Dipodomys merriami","Audible_freq_high_60dB.kHz",51.8564956341558,"air","kangaroo rat","Koay_etal_1998_Figure6","heffner1980|h","digitised_from_figure","secondary",""
"Onychomys leucogaster","Audible_freq_high_60dB.kHz",67.9398745890453,"air","grasshopper mouse","Koay_etal_1998_Figure6","heffner1985|h","digitised_from_figure","secondary",""
"Sigmodon hispidus","Audible_freq_high_60dB.kHz",72.0905365060763,"air","cotton rat","Koay_etal_1998_Figure6","heffner1980|h","digitised_from_figure","secondary",""
"Neotoma floridana","Audible_freq_high_60dB.kHz",56.4940472440078,"air","wood rat","Koay_etal_1998_Figure6","heffner1985|h","digitised_from_figure","secondary",""
"Phyllotis darwini","Audible_freq_high_60dB.kHz",74.0157705962958,"air","Darwin's leaf-eared mouse","Koay_etal_1998_Figure6","mooney1990","digitised_from_figure","secondary",""
"Meriones unguiculatus","Audible_freq_high_60dB.kHz",58.3861983172564,"air","gerbil","Koay_etal_1998_Figure6","ryan1976","digitised_from_figure","secondary",""
"Acomys cahirinus","Audible_freq_high_60dB.kHz",70.6795461318984,"air","spiny mouse","Koay_etal_1998_Figure6","mooney1990","digitised_from_figure","secondary",""
"Rattus norvegicus","Audible_freq_high_60dB.kHz",72.567098621994,"air","Norway rat, albino","Koay_etal_1998_Figure6","kelly1977","digitised_from_figure","secondary",""
"Rattus norvegicus","Audible_freq_high_60dB.kHz",68.8410910216144,"air","Norway rat, hooded","Koay_etal_1998_Figure6","heffner1994|h","digitised_from_figure","secondary",""
"Mus musculus","Audible_freq_high_60dB.kHz",91.9927976001962,"air","house mouse, wild","Koay_etal_1998_Figure6","heffner1980|h","digitised_from_figure","secondary",""
"Mus musculus","Audible_freq_high_60dB.kHz",79.0568095236125,"air","house mouse, domestic","Koay_etal_1998_Figure6","markl1973","digitised_from_figure","secondary",""
"Mesocricetus auratus","Audible_freq_high_60dB.kHz",46.3615164525225,"air","hamster","Koay_etal_1998_Figure6","heffner1993|r","digitised_from_figure","secondary",""
"Cavia porcellus","Audible_freq_high_60dB.kHz",49.1938881917886,"air","guinea pig","Koay_etal_1998_Figure6","heffner1971|r","digitised_from_figure","secondary",""
"Chinchilla lanigera","Audible_freq_high_60dB.kHz",33.1299696579631,"air","chinchilla","Koay_etal_1998_Figure6","heffner1991|r","digitised_from_figure","secondary",""
"Canis lupus familiaris","Audible_freq_high_60dB.kHz",43.981052496439,"air","dog","Koay_etal_1998_Figure6","heffner1983|h","digitised_from_figure","secondary",""
"Felis catus","Audible_freq_high_60dB.kHz",79.5794229240704,"air","domestic cat","Koay_etal_1998_Figure6","heffner1985b|r","digitised_from_figure","secondary",""
"Mustela nivalis","Audible_freq_high_60dB.kHz",60.3417230707182,"air","least weasel","Koay_etal_1998_Figure6","heffner1985a|r","digitised_from_figure","secondary",""
"Mustela putorius","Audible_freq_high_60dB.kHz",42.5557362730475,"air","ferret","Koay_etal_1998_Figure6","kelly1986","digitised_from_figure","secondary",""
"Phoca vitulina","Audible_freq_high_60dB.kHz",23.2113252768574,"air","harbor seal in air","Koay_etal_1998_Figure6","mohl1968","digitised_from_figure","secondary",""
"Zalophus californianus","Audible_freq_high_60dB.kHz",32.6962567021807,"air","sea lion in air","Koay_etal_1998_Figure6","schusterman1972","digitised_from_figure","secondary",""
"Elephas maximus","Audible_freq_high_60dB.kHz",10.4582305764106,"air","elephant","Koay_etal_1998_Figure6","heffner1980|r","digitised_from_figure","secondary",""
"Equus caballus","Audible_freq_high_60dB.kHz",33.3489788262352,"air","horse","Koay_etal_1998_Figure6","heffner1983|r","digitised_from_figure","secondary",""
"Sus scrofa","Audible_freq_high_60dB.kHz",40.9061962571161,"air","pig","Koay_etal_1998_Figure6","heffner1990a|r","digitised_from_figure","secondary",""
"Bos taurus","Audible_freq_high_60dB.kHz",35.1539843356981,"air","cattle","Koay_etal_1998_Figure6","heffner1983|r","digitised_from_figure","secondary",""
"Capra hircus","Audible_freq_high_60dB.kHz",37.3016524745736,"air","goat","Koay_etal_1998_Figure6","heffner1990a|r","digitised_from_figure","secondary",""
"Ovis aries","Audible_freq_high_60dB.kHz",42.5557362730475,"air","sheep","Koay_etal_1998_Figure6","wollack1963","digitised_from_figure","secondary",""
"Inia geoffrensis","Audible_freq_high_60dB.kHz",105.644128666402,"underwater","dolphin","Koay_etal_1998_Figure6","jacobs1972","digitised_from_figure","secondary",""
"Tursiops truncatus","Audible_freq_high_60dB.kHz",143.045582654408,"underwater","porpoise","Koay_etal_1998_Figure6","johnson1967","digitised_from_figure","secondary",""
"Orcinus orca","Audible_freq_high_60dB.kHz",34.2395893560218,"underwater","killer whale","Koay_etal_1998_Figure6","hall1972","digitised_from_figure","secondary",""
"Phoca vitulina","Audible_freq_high_60dB.kHz",64.0281898690842,"underwater","harbor seal","Koay_etal_1998_Figure6","mohl1968","digitised_from_figure","secondary",""
"Pagophilus groenlandicus","Audible_freq_high_60dB.kHz",91.3886631769377,"underwater","harp seal","Koay_etal_1998_Figure6","terhune1972","digitised_from_figure","secondary",""
"Pusa hispida","Audible_freq_high_60dB.kHz",60.740618412859,"underwater","ringed seal","Koay_etal_1998_Figure6","terhune1975","digitised_from_figure","secondary",""
"Sylvilagus floridanus","Audible_freq_low_60dB.kHz",0.3,"air","","Heffner_etal_2020_Figure3","SELF:Heffner_etal_2020_Figure3","published","primary","value stated in the paper's text, not read off Figure 3"
"Sylvilagus floridanus","Audible_freq_high_60dB.kHz",56,"air","","Heffner_etal_2020_Figure3","SELF:Heffner_etal_2020_Figure3","published","primary","value stated in the paper's text, not read off Figure 3"
"Sylvilagus floridanus","Sound_localization_threshold.deg",27.6,"air","","Heffner_etal_2020_Figure3","SELF:Heffner_etal_2020_Figure3","published","primary","value stated in the paper's text, not read off Figure 3"
