"Species","Measure","Units","Value","Medium","n_studies","Sources","Study_keys","Data_role","value_origin","value_range"
"Mustela putorius","Audible_freq_high_60dB.kHz","kHz",42.555736,"air",1,"Koay_etal_1998_Figure6","kelly1986","secondary","digitised_from_figure",""
"Mustela putorius","Sound_localization_threshold.deg","deg",8.5,"air",1,"Heffner_Heffner_1992_a_Table1","kavanagh1987","secondary","published",""
"Mustela putorius","Visual_acuity.cdeg","c/deg",3.57,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pontenagel1980|v","secondary","published",""
"Myotis daubentonii","Visual_acuity.cdeg","c/deg",0.1,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","eklöf2003|j","secondary","published",""
"Myotis lucifugus","Audible_freq_high_60dB.kHz","kHz",115.852762,"air",1,"Koay_etal_1998_Figure6","dalland1965","secondary","digitised_from_figure",""
"Myotis mystacinus","Visual_acuity.cdeg","c/deg",0.1,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","eklöf2003|j","secondary","published",""
"Myrmecobius fasciatus","Visual_acuity.cdeg","c/deg",5.2,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","arrese2000|c","secondary","published",""
"Nannospalax ehrenbergi","Audible_freq_high_60dB.kHz","kHz",5.856607,"air",1,"Koay_etal_1998_Figure6","heffner1992|r","secondary","digitised_from_figure",""
"Neotoma floridana","Audible_freq_high_60dB.kHz","kHz",56.494047,"air",1,"Koay_etal_1998_Figure6","heffner1985|h","secondary","digitised_from_figure",""
"Neotoma floridana","Binocular_field.deg","deg",85,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:wood rat","primary","published",""
"Neotoma floridana","Field_of_best_vision.deg","deg",156.2,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:wood rat","primary","published",""
"Neotoma floridana","Sound_localization_threshold.deg","deg",19,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1988a|r","secondary","published",""
"Neotoma floridana","Visual_acuity.cdeg","c/deg",2.3,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:wood rat","secondary","published",""
"Noctilio leporinus","Audible_freq_high_60dB.kHz","kHz",111.362092,"air",1,"Koay_etal_1998_Figure6","wenstrup1984","secondary","digitised_from_figure",""
"Nycticebus coucang","Audible_freq_high_60dB.kHz","kHz",44.271794,"air",1,"Koay_etal_1998_Figure6","heffner1970|h","secondary","digitised_from_figure",""
"Nyctophilus gouldi","Visual_acuity.cdeg","c/deg",0.6,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
"Odobenus rosmarus","Visual_acuity.cdeg","c/deg",3.8,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","mass1992|a","secondary","published",""
"Onychomys leucogaster","Audible_freq_high_60dB.kHz","kHz",67.939875,"air",1,"Koay_etal_1998_Figure6","heffner1985|h","secondary","digitised_from_figure",""
"Onychomys leucogaster","Binocular_field.deg","deg",52,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:grasshopper mouse","primary","published",""
"Onychomys leucogaster","Field_of_best_vision.deg","deg",68.5,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:grasshopper mouse","primary","published",""
