"species_sci","Species","Order","Family","Captive_or_wild","Arboreal_terrestrial","Body_Mass.g","Intermembral_index","Locomotor_diversity_index","Citation"
"Cebus olivaceus","Cebus olivaceus","Primates","Cebidae","W","A",2950,83,1.85590101661237,"(Wright, 2007)"
"Saimiri boliviensis","Saimiri boliviensis","Primates","Cebidae","W","A",871.5,NA,1.03218172597006,"(Fontaine, 1990)"
"Saimiri oerstedii","Saimiri oerstedii","Primates","Cebidae","W","A",788.5,80,0.798357325771174,"(Boinski & Fragaszy, 1989)"
"Saimiri oerstedii","Saimiri oerstedii","Primates","Cebidae","W","A",788.5,80,1.63124668194915,"(Johnson & Shapiro, 1998)"
"Saimiri sciureus","Saimiri sciureus","Primates","Cebidae","W","A",767.25,80,1.52127517730103,"(Fleagle & Mittermeier, 1980)"
"Alouatta caraya","Alouatta caraya","Primates","Atelidae","W","A",5375,97,1.60859743143501,"(Prates & Bicca-Marques, 2008)"
"Alouatta palliata","Alouatta palliata","Primates","Atelidae","W","A",6250,98,1.18941283574095,"(Gebo, 1992)"
"Alouatta palliata","Alouatta palliata","Primates","Atelidae","W","A",6250,98,1.02435269982441,"(Johnson & Shapiro, 1998)"
"Alouatta palliata","Alouatta palliata","Primates","Atelidae","W","A",6250,98,0.769977746756403,"(Bezanson, 2009)"
"Alouatta palliata","Alouatta palliata","Primates","Atelidae","W","A",6250,98,0.866746465060363,"(Bezanson, 2006)"
"Alouatta pigra","Alouatta pigra","Primates","Atelidae","W","A",8915,NA,0.230466836328381,"(Cant, 1986)"
"Alouatta seniculus","Alouatta seniculus","Primates","Atelidae","W","A",5950,97,0.600482908245825,"(Fleagle & Mittermeier, 1980)"
"Alouatta seniculus","Alouatta seniculus","Primates","Atelidae","W","A",5950,97,1.2507418086443,"(Youlatos, 1998b)"
"Ateles belzebuth","Ateles belzebuth","Primates","Atelidae","W","A",7770,NA,1.80198696987699,"(Cant, Youlatos & Rose, 2001, 2003)"
"Ateles geoffroyi","Ateles geoffroyi","Primates","Atelidae","W","A",7535,105,1.29373888903011,"(Cant, 1986)"
"Ateles geoffroyi","Ateles geoffroyi","Primates","Atelidae","W","A",7535,105,1.59346219516623,"(Fontaine, 1990)"
"Ateles geoffroyi","Ateles geoffroyi","Primates","Atelidae","W","A",7535,105,1.08219553003877,"(Johnson & Shapiro, 1998)"
"Ateles geoffroyi","Ateles geoffroyi","Primates","Atelidae","W","A",7535,105,1.33620994116696,"(Mittermeier, 1978)"
"Ateles paniscus","Ateles paniscus","Primates","Atelidae","W","A",8775,105,1.76983447403569,"(Youlatos, 2002)"
"Ateles paniscus","Ateles paniscus","Primates","Atelidae","W","A",8775,105,1.24664005984697,"(Mittermeier, 1978)"
"Ateles paniscus","Ateles paniscus","Primates","Atelidae","W","A",8775,105,1.49855655449966,"(Fleagle & Mittermeier, 1980)"
"Lagothrix lagothricha","Lagothrix lagotricha","Primates","Atelidae","W","A",7150,98,1.67997850986382,"(Cant, Youlatos & Rose, 2001, 2003)"
"Chlorocebus aethiops","Chlorocebus aethiops","Primates","Cercopithecidae","W","T",4195,83,1.47520015673735,"(Rose, 1979)"
"Chlorocebus aethiops","Chlorocebus aethiops","Primates","Cercopithecidae","W","T",4195,83,0.880131209732712,"(Isbell et al., 1998)"
"Cercopithecus ascanius","Cercopithecus ascanius","Primates","Cercopithecidae","W","A",3425,79,1.30149934390842,"(Gebo & Chapman, 1995)"
"Cercopithecus campbelli","Cercopithecus campbelli","Primates","Cercopithecidae","W","A",3600,NA,0.863629884719384,"(McGraw, 1998)"
"Cercopithecus campbelli lowei","Cercopithecus campbelli lowei","Primates","Cercopithecidae","W","A",3600,NA,1.30031419276679,"(Schubert, 2011)"
"Cercopithecus campbelli lowei","Cercopithecus campbelli lowei","Primates","Cercopithecidae","W","A",3600,NA,1.33315983861591,"(Schubert, 2011)"
"Cercopithecus diana","Cercopithecus diana","Primates","Cercopithecidae","W","A",4550,79,1.11068369147808,"(McGraw, 1998)"
"Cercopithecus mitis","Cercopithecus mitis","Primates","Cercopithecidae","W","A",5615,82,1.11414224879738,"(Gebo & Chapman, 1995)"
"Cercopithecus nictitans","Cercopithecus nictitans","Primates","Cercopithecidae","W","A",5287.5,82,1.01907599999383,"(Bitty & McGraw, 2007)"
"Cercopithecus petaurista","Cercopithecus petaurista","Primates","Cercopithecidae","W","A",3650,NA,1.07339249913053,"(Bitty & McGraw, 2007)"
"Erythrocebus patas","Erythrocebus patas","Primates","Cercopithecidae","W","T",8000,92,0.509101870244824,"(Isbell et al., 1998)"
"Lophocebus albigena","Lophocebus albigena","Primates","Cercopithecidae","W","A",8750,78,1.15397234190199,"(Gebo & Chapman, 1995)"
"Papio anubis","Papio anubis","Primates","Cercopithecidae","W","T",18400,97,0.164594459315598,"(Hunt, 1991)"
"Cercocebus atys","Cercocebus atys","Primates","Cercopithecidae","W","T",8400,NA,0.643896378966053,"(McGraw, 1998)"
"Macaca fascicularis","Macaca fascicularis","Primates","Cercopithecidae","W","A",4500,93,1.23184052217936,"(Cannon & Leighton, 1994)"
"Macaca fascicularis","Macaca fascicularis","Primates","Cercopithecidae","W","A",4500,93,1.03618623761807,"(Cant, 1988)"
"Macaca fuscata","Macaca fuscata","Primates","Cercopithecidae","W","T",9500,NA,0.80440397625966,"(Chatani, 2003)"
"Macaca mulatta","Macaca mulatta","Primates","Cercopithecidae","C","T",9900,93,1.02674163828187,"(Wells & Turnquist, 2001)"
"Colobus angolensis palliatus","Colobus angolensis palliatus","Primates","Cercopithecidae","W","A",8959.5,NA,1.36153853780977,"(Dunham & McGraw, 2013)"
"Colobus angolensis palliatus","Colobus angolensis palliatus","Primates","Cercopithecidae","W","A",8959.5,NA,1.24280524484049,"(Dunham & McGraw, 2013)"
"Colobus angolensis palliatus","Colobus angolensis palliatus","Primates","Cercopithecidae","W","A",8959.5,NA,1.28738289862955,"(Dunham & McGraw, 2013)"
"Piliocolobus badius","Piliocolobus badius","Primates","Cercopithecidae","W","A",8115,79,1.27618355697741,"(McGraw, 1998)"
"Piliocolobus badius","Piliocolobus badius","Primates","Cercopithecidae","W","A",8115,79,1.35034733690939,"(Gebo & Chapman, 1995)"
"Colobus guereza","Colobus guereza","Primates","Cercopithecidae","W","A",8590,79,1.17402880124957,"(Gebo & Chapman, 1995)"
"Colobus guereza","Colobus guereza","Primates","Cercopithecidae","W","A",8590,79,1.29758530370833,"(Rose, 1978)"
"Colobus guereza","Colobus guereza","Primates","Cercopithecidae","W","A",8590,79,1.66796169081866,"(Rose, 1978)"
"Colobus polykomos","Colobus polykomos","Primates","Cercopithecidae","W","A",9061.5,78,1.28263841381107,"(McGraw, 1998)"
"Colobus vellerosus","Colobus vellerosus","Primates","Cercopithecidae","W","A",7680,NA,1.41868231852566,"(Schubert, 2011)"
"Colobus vellerosus","Colobus vellerosus","Primates","Cercopithecidae","W","A",7680,NA,1.45030358547205,"(Schubert, 2011)"
"Procolobus verus","Procolobus verus","Primates","Cercopithecidae","W","A",4427.5,80,1.27276673020437,"(McGraw, 1998)"
"Presbytis melalophos","Presbytis melalophos","Primates","Cercopithecidae","W","A",6379,78,1.35929449357798,"(Fleagle, 1978)"
"Presbytis siamensis","Presbytis siamensis","Primates","Cercopithecidae","W","A",4427.5,80,0.914285581467099,"Fleagle (2013)"
"Pygathrix cinerea","Pygathrix cinerea","Primates","Cercopithecidae","C","A",NA,NA,1.01677920543083,"(Wright, Stevens & Covert, 2008)"
"Pygathrix nemaeus","Pygathrix nemaeus","Primates","Cercopithecidae","C","A",9525.5,94,1.09113888121898,"(Wright, Stevens & Covert, 2008)"
"Trachypithecus delacouri","Trachypithecus delacouri","Primates","Cercopithecidae","W","A",NA,77,0.880966134812287,"(Workman & Schmitt, 2012)"
"Trachypithecus francoisi","Trachypithecus francoisi","Primates","Cercopithecidae","W","A",7886,NA,1.27772088326507,"(Zhou et al., 2013)"
"Trachypithecus francoisi","Trachypithecus francoisi","Primates","Cercopithecidae","W","A",7886,NA,1.339198489722,"(Xiong et al., 2009)"
"Trachypithecus leucocephalus","Trachypithecus leucocephalus","Primates","Cercopithecidae","W","A",NA,80,1.11352363236587,"(Xiong et al., 2009)"
"Trachypithecus obscurus","Trachypithecus obscurus","Primates","Cercopithecidae","W","A",7131.5,83,0.930549435609321,"(Fleagle, 1978)"
"Hylobates agilis","Hylobates agilis","Primates","Hylobatidae","W","A",5850,129,1.46623688969866,"(Cannon & Leighton, 1994)"
"Hylobates agilis","Hylobates agilis","Primates","Hylobatidae","W","A",5850,129,0.906064001662483,"(Gittins, 1983)"
"Hylobates lar","Hylobates lar","Primates","Hylobatidae","W","A",5620,130,1.08697816813994,"(Fleagle, 1980)"
"Hylobates lar","Hylobates lar","Primates","Hylobatidae","W","A",5620,130,1.13906067375477,"(Fleagle, 1976)"
"Hylobates pileatus","Hylobates pileatus","Primates","Hylobatidae","W","A",5470,129.5,0.566784872290849,"(Srikosamatara, 1984)"
"Nomascus nasutus","Nomascus nasutus","Primates","Hylobatidae","W","A",5700,NA,1.12300989482099,"(Fan et al., 2013)"
"Symphalangus syndactylus","Symphalangus syndactylus","Primates","Hylobatidae","W","A",11300,147,0.639031859650177,"(Chivers, 1972)"
"Symphalangus syndactylus","Symphalangus syndactylus","Primates","Hylobatidae","W","A",11300,147,0.958378978397393,"(Fleagle, 1976)"
"Gorilla gorilla","Gorilla gorilla","Primates","Hominidae","W","T",120950,116,0.188053654103712,"(Hunt, 1991; Doran, 1996, 1997)"
"Pan paniscus","Pan paniscus","Primates","Hominidae","W","A",39100,102,1.64480703854916,"(Susman, 1984)"
