"Species","Variable","Value","Source"
"Mustela putorius furo","Number of fibers per tract","90000","NOORDUYN, 1959"
"Mustela putorius furo","Largest fiber diameter µm","10","NOORDUYN, 1959"
"Mustela putorius furo","Area of tract mmˆ2","1.5","Heffner & Masterton 1975 (dexterity)"
"Hylobates lar","Species_as_printed","Hylobates lar","Heffner & Masterton 1975 (dexterity)"
"Hylobates lar","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Hylobates lar","Digital dexterity","6","Heffner & Masterton 1975 (dexterity)"
"Hylobates lar","Body weight kg","6","Heffner & Masterton 1975 (dexterity)"
"Hylobates lar","Number of fibers per tract","315000","VERHAART, 1948b"
"Hylobates lar","Largest fiber diameter µm","12","VERHAART, 1970"
"Hylobates lar","Average fiber size x 10ˆ5 K","1.09","Heffner & Masterton 1975 (dexterity)"
"Hylobates lar","Area of tract mmˆ2","3.44","Heffner & Masterton 1975 (dexterity)"
"Hylobates lar","Penetration down spinal cord","S","PETRAS, 1968"
"Hylobates lar","Lamina of axon terminals deepest","10","PETRAS, 1968"
"Hylobates lar","Lamina of axon terminals densest","6","PETRAS, 1968"
"Hylobates syndactylus","Species_as_printed","Hylobates syndactylus","Heffner & Masterton 1975 (dexterity)"
"Hylobates syndactylus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Hylobates syndactylus","Digital dexterity","6","Heffner & Masterton 1975 (dexterity)"
"Hylobates syndactylus","Body weight kg","10","Heffner & Masterton 1975 (dexterity)"
"Hylobates syndactylus","Number of fibers per tract","239700","VERHAART, 1948b"
"Hylobates syndactylus","Average fiber size x 10ˆ5 K","1.35","Heffner & Masterton 1975 (dexterity)"
"Hylobates syndactylus","Area of tract mmˆ2","3.25","Heffner & Masterton 1975 (dexterity)"
"Capra hircus","Species_as_printed","Capra hircus","Heffner & Masterton 1975 (dexterity)"
"Capra hircus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Capra hircus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Capra hircus","Body weight kg","80","Heffner & Masterton 1975 (dexterity)"
"Capra hircus","Number of fibers per tract","260000","LASSEK, 1942"
"Capra hircus","Largest fiber diameter µm","5","VERHAART, 1970"
"Capra hircus","Average fiber size x 10ˆ5 K","0.21","Heffner & Masterton 1975 (dexterity)"
"Capra hircus","Area of tract mmˆ2","0.569","Heffner & Masterton 1975 (dexterity)"
"Capra hircus","Penetration down spinal cord","C7","HAARTSEN and VERHAART, 1967"
"Capra hircus","Lamina of axon terminals deepest","6","HAARTSEN and VERHAART, 1967"
"Spermophilus tridecemlineatus","Species_as_printed","Spermophillus tridecemlineatus","Heffner & Masterton 1975 (dexterity)"
"Spermophilus tridecemlineatus","species_basis","spelling_correction","Heffner & Masterton 1975 (dexterity)"
"Spermophilus tridecemlineatus","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Spermophilus tridecemlineatus","Body weight kg","0.65","Heffner & Masterton 1975 (dexterity)"
"Spermophilus tridecemlineatus","Penetration down spinal cord","L3","SIMPSON,1915"
"Cavia aperea","Species_as_printed","Cavia aperea","Heffner & Masterton 1975 (dexterity)"
"Cavia aperea","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Cavia aperea","Digital dexterity","2","Heffner & Masterton 1975 (dexterity)"
"Cavia aperea","Body weight kg","0.6","Heffner & Masterton 1975 (dexterity)"
"Cavia aperea","Area of tract mmˆ2","0.33","Heffner & Masterton 1975 (dexterity)"
"Cricetus auratus","Species_as_printed","Cricetus auratus","Heffner & Masterton 1975 (dexterity)"
"Cricetus auratus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Cricetus auratus","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Cricetus auratus","Body weight kg","0.5","Heffner & Masterton 1975 (dexterity)"
"Cricetus auratus","Number of fibers per tract","480000","DOUGLAS and BARR, 1950"
"Cricetus auratus","Penetration down spinal cord","S","DOUGLAS and BARR, 1950"
"Erinaceus","Species_as_printed","Erinaceous","Heffner & Masterton 1975 (dexterity)"
"Erinaceus","species_basis","spelling_correction","Heffner & Masterton 1975 (dexterity)"
"Erinaceus","Digital dexterity","2","Heffner & Masterton 1975 (dexterity)"
"Erinaceus","Body weight kg","0.75","Heffner & Masterton 1975 (dexterity)"
"Erinaceus","Area of tract mmˆ2","0.02","Heffner & Masterton 1975 (dexterity)"
"Erinaceus","Penetration down spinal cord","Upper C","VERHAART, 1970"
"Paraechinus","Species_as_printed","Paraechinus","Heffner & Masterton 1975 (dexterity)"
"Paraechinus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Paraechinus","Digital dexterity","2","Heffner & Masterton 1975 (dexterity)"
"Paraechinus","Body weight kg","0.5","Heffner & Masterton 1975 (dexterity)"
"Paraechinus","Penetration down spinal cord","Upper C","ROBARDS, personal commun.; CAMPBELL, 1967"
"Sus scrofa","Species_as_printed","Sus scrofa","Heffner & Masterton 1975 (dexterity)"
"Sus scrofa","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Sus scrofa","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Sus scrofa","Body weight kg","90","Heffner & Masterton 1975 (dexterity)"
"Sus scrofa","Number of fibers per tract","210000","LASSEK, 1942"
"Sus scrofa","Largest fiber diameter µm","5","VERHAART, 1970"
"Sus scrofa","Average fiber size x 10ˆ5 K","0.85","Heffner & Masterton 1975 (dexterity)"
"Sus scrofa","Area of tract mmˆ2","1.8","Heffner & Masterton 1975 (dexterity)"
"Equus caballus","Species_as_printed","Equus caballus","Heffner & Masterton 1975 (dexterity)"
"Equus caballus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Equus caballus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Equus caballus","Body weight kg","350","Heffner & Masterton 1975 (dexterity)"
"Equus caballus","Largest fiber diameter µm","5","VERHAART, 1970"
"Equus caballus","Area of tract mmˆ2","2.68","Heffner & Masterton 1975 (dexterity)"
"Potos flavus","Species_as_printed","Potos flavus","Heffner & Masterton 1975 (dexterity)"
"Potos flavus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Potos flavus","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Potos flavus","Body weight kg","2.1","Heffner & Masterton 1975 (dexterity)"
"Potos flavus","Penetration down spinal cord","Lower L","HARTING and NOBACK, 1970"
"Potos flavus","Lamina of axon terminals deepest","10","HARTING and NOBACK, 1970"
"Lemur catta","Species_as_printed","Lemur catta","Heffner & Masterton 1975 (dexterity)"
"Lemur catta","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Lemur catta","Digital dexterity","5","Heffner & Masterton 1975 (dexterity)"
