Species,Variable,Value,Teams,n_teams
Aotus trivirgatus,Complexus_corticobasolateralis_Vol.mm3,136.9,Stephan_collection,1
Aotus trivirgatus,Complexus_sensorius_trigeminalis_Vol.mm3,33.5,Stephan_collection,1
Aotus trivirgatus,Complexus_vestibularis_Vol.mm3,51.9,Stephan_collection,1
Aotus trivirgatus,Corpus_geniculatum_laterale_Vol.mm3,32.9,Stephan_collection,1
Aotus trivirgatus,Corpus_pineal_Vol.mm3,1.55,Stephan_collection,1
Aotus trivirgatus,Corpus_subcommissurale_Vol.mm3,0.14,Stephan_collection,1
Aotus trivirgatus,Corpus_subfornicale_Vol.mm3,0.162,Stephan_collection,1
Aotus trivirgatus,Diencephalon_Vol.mm3,1098,Stephan_collection,1
Aotus trivirgatus,Facial_motor_nucleus_left_Vol.mm3,1.24,Zilles,1
Aotus trivirgatus,Fascia_dentata_Vol.mm3,76.23,Stephan_collection,1
Aotus trivirgatus,FlocculonodularLobe_Vol.mm3,34.1,Ashwell,1
Aotus trivirgatus,HP_HS_fibers_Vol.mm3,133.49,Stephan_collection,1
Aotus trivirgatus,Hilus_Vol.mm3,33.52,Stephan_collection,1
Aotus trivirgatus,Hippocampus_Vol.mm3,538.8,Stephan_collection,1
Aotus trivirgatus,Hippocampus_retrocommissuralis_Vol.mm3,405.31,Stephan_collection,1
Aotus trivirgatus,Hypoglossal_nucleus_left_Vol.mm3,0.87,Zilles,1
Aotus trivirgatus,Interpositus_cerebellar_nuclei_Vol.mm3,11.42,Stephan_collection,1
Aotus trivirgatus,Lateral_cerebellar_nuclei_Vol.mm3,17.02,Stephan_collection,1
Aotus trivirgatus,Lobus_piriformis_Vol.mm3,394,Stephan_collection,1
Aotus trivirgatus,Medial_cerebellar_nuclei_Vol.mm3,13.01,Stephan_collection,1
Aotus trivirgatus,Medulla_oblongata_Vol.mm3,680.65,Stephan_collection; Zilles,2
Aotus trivirgatus,Mesencephalon_Vol.mm3,409,Stephan_collection,1
Aotus trivirgatus,Middle_temporal_visual_area_Vol.mm3,99.5,Stephan_collection,1
Aotus trivirgatus,Neocortex_Vol.mm3,8460,Bush; Stephan_collection,2
Aotus trivirgatus,Neocortex_grey_matter_Vol.mm3,6351.333333333334,Bush; Stephan_collection,2
Aotus trivirgatus,Neocortex_lamina_1_Vol.mm3,1039,Stephan_collection,1
Aotus trivirgatus,Neocortex_laminae_2_6_Vol.mm3,6737,Stephan_collection,1
Aotus trivirgatus,Neocortex_white_matter_Vol.mm3,1915.3333333333335,Bush; Stephan_collection,2
Aotus trivirgatus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,14.6,Stephan_collection,1
Aotus trivirgatus,Nucleus_habenularis_medialis_Vol.mm3,3.21,Stephan_collection,1
Aotus trivirgatus,Nucleus_septalis_triangularis_Vol.mm3,0.964,Stephan_collection,1
Aotus trivirgatus,Nucleus_tractus_olfactorius_Vol.mm3,0.21,Stephan_collection,1
Aotus trivirgatus,Nucleus_vestibularis_descendens_Vol.mm3,11,Stephan_collection,1
Aotus trivirgatus,Nucleus_vestibularis_lateralis_Vol.mm3,9.54,Stephan_collection,1
Aotus trivirgatus,Nucleus_vestibularis_medialis_Vol.mm3,20.7,Stephan_collection,1
Aotus trivirgatus,Nucleus_vestibularis_superior_Vol.mm3,10.7,Stephan_collection,1
Aotus trivirgatus,Palaeocortex_Vol.mm3,203,Stephan_collection,1
Aotus trivirgatus,Palaeocortex_plus_amygdala_Vol.mm3,394,Stephan_collection,1
Aotus trivirgatus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,29.8,Ashwell,1
Aotus trivirgatus,Prepiriform_cortex_Vol.mm3,90.6,Stephan_collection,1
Aotus trivirgatus,Retrobulbar_cortex_Vol.mm3,9.7,Stephan_collection,1
Aotus trivirgatus,Schizo_cortex_Vol.mm3,243,Stephan_collection,1
Aotus trivirgatus,Septum_Vol.mm3,83.8,Stephan_collection,1
Aotus trivirgatus,Striatum_Vol.mm3,862,Stephan_collection,1
Aotus trivirgatus,Subiculum_Vol.mm3,27.43,Stephan_collection,1
Aotus trivirgatus,Substantia_innominata_Vol.mm3,18.7,Stephan_collection,1
Aotus trivirgatus,Telencephalon_Vol.mm3,12128,Stephan_collection,1
