Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Bradypus variegatus,gait,Duty_Factor,percent,78.57,78.57,1,1,1,True,Wimberly,primary,78.57,78.57
Bradypus variegatus,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Bradypus variegatus,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Bradypus variegatus,gait,Phase,percent,52.04,52.04,1,1,1,True,Wimberly,primary,52.04,52.04
Bubalus bubalis,gait,Duty_Factor,percent,63.16964286,63.16964286,1,1,1,True,Wimberly,primary,63.16964286,63.16964286
Bubalus bubalis,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Bubalus bubalis,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Bubalus bubalis,gait,Phase,percent,16.96429,16.96429,1,1,1,True,Wimberly,primary,16.96429,16.96429
Cacajao calvus,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Cacajao calvus,locomotion,Intermembral_index,ratio,83,83,1,1,1,True,Granatosky,primary,83,83
Cacajao calvus,locomotion,Locomotor_diversity_index,index,1.86810866495463,1.86810866495463,1,1,1,True,Granatosky,primary,1.86810866495463,1.86810866495463
Callicebus brunneus,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Callicebus brunneus,locomotion,Intermembral_index,ratio,79,79,1,1,1,True,Granatosky,primary,79,79
Callicebus brunneus,locomotion,Locomotor_diversity_index,index,0.995418299079807,0.995418299079807,1,1,1,True,Granatosky,primary,0.995418299079807,0.995418299079807
Callicebus cupreus,manipulation,Extractive_foraging,category,0,,1,1,1,True,Heldstab,primary,,
Callicebus cupreus,manipulation,Manipulation_complexity,score,1.85,1.85,1,1,1,True,Heldstab,primary,1.85,1.85
Callicebus cupreus,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Callicebus moloch,vocalization,VocalRepertoire,count,10,10,1,1,1,True,Schniter,primary,10,10
Callicebus torquatus,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Callicebus torquatus,locomotion,Intermembral_index,ratio,79,79,1,1,1,True,Granatosky,primary,79,79
