"registry_key","Citation (APA 7th-Annotated)","sequence","DOI if different from article or doi Alt","Item number","1st Author","other author(s)","year","Publication name","DOI (or Alt)","Item name","Item encoded","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","Item full original title","Source format","N.B.","Progress stage","Snapshot name if unchanged","Source URL link","Flags pre-addressed","Flags possible","Flags active (skips)","Topic","Taxon","Main Trait(s)","Other Trait(s)","Material type (e.g. histological, MRI)","Method","Measure type","Team","Collection","Data role (primary/secondary/both)","Source (if secondary)","recommendation"
"Capellini_etal_2008_sleep-dataFemale","Capellini, I., Barton, R. A., McNamara, P., Preston, B. T., & Nunn, C. L. (2008). Phylogenetic analysis of the ecology and evolution of mammalian sleep. Evolution, 62(7), 1764-1776. https://doi.org/10.1111/j.1558-5646.2008.00392.x","","","sleep-data_Female","Capellini","etal","2008","Capellini_etal_2008","10.1111%2Fj.1558-5646.2008.00392.x","Capellini_etal_2008_sleep-dataFemale","10.1111%2Fj.1558-5646.2008.00392.x_sleep-dataFemale","10.1111%2Fj.1558-5646.2008.00392.x_sleep-dataFemale.tsv","","table","all data downloaded from database cited in paper with search term Sex = Female","FINISHED","none - digital-native (sleep-data_Female.csv IS the frozen source)","","","","","","Mammals","sleep (total sleep time, REM, NREM)","","","","sleep (h/day, REM %)","Capellini","","secondary","","one row per primary study x species x sex class, not per species - aggregate at the merge. Citation-dependent with HerculanoHouzel__2015_Table1 for daily sleep (both descend from Zepelin / Campbell & Tobler) - resolve, never average."
"Capellini_etal_2008_sleep-dataMale","Capellini, I., Barton, R. A., McNamara, P., Preston, B. T., & Nunn, C. L. (2008). Phylogenetic analysis of the ecology and evolution of mammalian sleep. Evolution, 62(7), 1764-1776. https://doi.org/10.1111/j.1558-5646.2008.00392.x","","","sleep-data_Male","Capellini","etal","2008","Capellini_etal_2008","10.1111%2Fj.1558-5646.2008.00392.x","Capellini_etal_2008_sleep-dataMale","10.1111%2Fj.1558-5646.2008.00392.x_sleep-dataMale","10.1111%2Fj.1558-5646.2008.00392.x_sleep-dataMale.tsv","","table","all data downloaded from database cited in paper with search term Sex = Male","FINISHED","none - digital-native (sleep-data_Male.csv IS the frozen source)","","","","","","Mammals","sleep (total sleep time, REM, NREM)","","","","sleep (h/day, REM %)","Capellini","","secondary","","one row per primary study x species x sex class, not per species - aggregate at the merge. Citation-dependent with HerculanoHouzel__2015_Table1 for daily sleep (both descend from Zepelin / Campbell & Tobler) - resolve, never average."
"Capellini_etal_2008_sleep-dataMixed","Capellini, I., Barton, R. A., McNamara, P., Preston, B. T., & Nunn, C. L. (2008). Phylogenetic analysis of the ecology and evolution of mammalian sleep. Evolution, 62(7), 1764-1776. https://doi.org/10.1111/j.1558-5646.2008.00392.x","","","sleep-data_Mixed","Capellini","etal","2008","Capellini_etal_2008","10.1111%2Fj.1558-5646.2008.00392.x","Capellini_etal_2008_sleep-dataMixed","10.1111%2Fj.1558-5646.2008.00392.x_sleep-dataMixed","10.1111%2Fj.1558-5646.2008.00392.x_sleep-dataMixed.tsv","","table","all data downloaded from database cited in paper with search term Sex = Mixed","FINISHED","none - digital-native (sleep-data_Mixed.csv IS the frozen source)","","","","","","Mammals","sleep (total sleep time, REM, NREM)","","","","sleep (h/day, REM %)","Capellini","","secondary","","one row per primary study x species x sex class, not per species - aggregate at the merge. Citation-dependent with HerculanoHouzel__2015_Table1 for daily sleep (both descend from Zepelin / Campbell & Tobler) - resolve, never average."
"Caspar_etal_2022_Supplementaryfile3","Caspar, K. R., Pallasdies, F., Mader, L., Sartorelli, H., & Begall, S. (2022). The evolution and biological correlates of hand preferences in anthropoid primates. Elife, 11, e77875. https://doi.org/10.7554/eLife.77875","","","Supplementary file 3","Caspar","etal","2022","Caspar_etal_2022","10.7554%2FeLife.77875","Caspar_etal_2022_Supplementaryfile3","10.7554%2FeLife.77875_Supplementaryfile3","10.7554%2FeLife.77875_Supplementaryfile3.tsv","part 2: ecological table","table","","FINISHED","elife-77875-supp3-v1.xlsx","https://cdn.elifesciences.org/articles/77875/elife-77875-supp3-v1.xlsx","","","","","Primates","Habitual Tool Use, Ecology, Female brain size","","","","behavioural (handedness, tool use, ecology)","","","secondary","",""
"Caspar_etal_2022_Table1","Caspar, K. R., Pallasdies, F., Mader, L., Sartorelli, H., & Begall, S. (2022). The evolution and biological correlates of hand preferences in anthropoid primates. Elife, 11, e77875. https://doi.org/10.7554/eLife.77875","","","Table 1","Caspar","etal","2022","Caspar_etal_2022","10.7554%2FeLife.77875","Caspar_etal_2022_Table1","10.7554%2FeLife.77875_Table1","10.7554%2FeLife.77875_Table1.tsv","part 1: handedness summary table","table","","FINISHED","","https://elifesciences.org/download/aHR0cHM6Ly9jZG4uZWxpZmVzY2llbmNlcy5vcmcvYXJ0aWNsZXMvNzc4NzUvZWxpZmUtNzc4NzUtdjEucGRmP2Nhbm9uaWNhbFVyaT1odHRwczovL2VsaWZlc2NpZW5jZXMub3JnL2FydGljbGVzLzc3ODc1/elife-77875-v1.pdf?_hash=NStjcL9fTlmy3AQDwSiM0YgMVB3UYjO8nDg0UbwN5gM%3D","","","","","Primates","Handedness derived data","","","","behavioural (handedness)","","","secondary","","perhaps useful to get raw data as well?"
"Caves_etal_2018_TableS1","Caves, E. M., Brandley, N. C., & Johnsen, S. (2018). Visual Acuity and the Evolution of Signals. Trends Ecol Evol, 33(5), 358-372. https://doi.org/10.1016/j.tree.2018.03.001","","","Table S1","Caves","etal","2018","Caves_etal_2018","10.1016%2Fj.tree.2018.03.001","Caves_etal_2018_TableS1","10.1016%2Fj.tree.2018.03.001_TableS1","10.1016%2Fj.tree.2018.03.001_TableS1.tsv","","","","FINISHED","","","","","","","","","","","","","","","","",""
"Changizi_Shimojo_2005_Table1","Changizi, M. A., & Shimojo, S. (2005). Parcellation and area-area connectivity as a function of neocortex size. Brain Behavior and Evolution, 66(2), 88-98. https://doi.org/10.1159/000085942","","","Table 1","Changizi","Shimojo","2005","Changizi_Shimojo_2005","10.1159%2F000085942","Changizi_Shimojo_2005_Table1","10.1159%2F000085942_Table1","10.1159%2F000085942_Table1.tsv","","table","","FINISHED","","","","","","","Mammals","average relative size of cortical areas; brain mass; EQ","","","","cortical parcellation (mean relative area size)","Changizi","","both","","19 animals. The 4 rows with no SD (mouse, rat, ferret, cat) were COUNTED from unflattened maps, not measured - avg = 100/(2 x areas shown) reproduces all four exactly; recorded in rel_size_basis. brain_mass_g is kept in grams as printed (project unit is mg - convert x1000 at merge time)."
"Changizi_Shimojo_2005_Table2","Changizi, M. A., & Shimojo, S. (2005). Parcellation and area-area connectivity as a function of neocortex size. Brain Behavior and Evolution, 66(2), 88-98. https://doi.org/10.1159/000085942","","","Table 2","Changizi","Shimojo","2005","Changizi_Shimojo_2005","10.1159%2F000085942","Changizi_Shimojo_2005_Table2","10.1159%2F000085942_Table2","10.1159%2F000085942_Table2.tsv","","table","","FINISHED","","","","","","","Mammals","relative size of V1, V2, A1, S1 and M1 (% of neocortex)","","","","cortical area relative size (pct neocortex)","Changizi","","primary","","16 animals; blanks are 'not measured', NEVER zero, and are the main hazard in this table - a shifted row misassigns M1. Mouse's row is entirely blank and is kept as printed. V2, A1, S1 and M1 are not yet in _keys/anatomy_reference.csv."
"Changizi_Shimojo_2005_Table3","Changizi, M. A., & Shimojo, S. (2005). Parcellation and area-area connectivity as a function of neocortex size. Brain Behavior and Evolution, 66(2), 88-98. https://doi.org/10.1159/000085942","","","Table 3","Changizi","Shimojo","2005","Changizi_Shimojo_2005","10.1159%2F000085942","Changizi_Shimojo_2005_Table3","10.1159%2F000085942_Table3","10.1159%2F000085942_Table3.tsv","","table","","FINISHED","","","","","","","Mammals","number of cortical areas and area-area connections per subnetwork","","","","cortical connectivity (areas, edges)","Changizi","","secondary","","10 sensory / somato-motor subnetworks compiled from other groups' connectivity matrices."
"Changizi_Shimojo_2005_Table4","Changizi, M. A., & Shimojo, S. (2005). Parcellation and area-area connectivity as a function of neocortex size. Brain Behavior and Evolution, 66(2), 88-98. https://doi.org/10.1159/000085942","","","Table 4","Changizi","Shimojo","2005","Changizi_Shimojo_2005","10.1159%2F000085942","Changizi_Shimojo_2005_Table4","10.1159%2F000085942_Table4","10.1159%2F000085942_Table4.tsv","","table","","FINISHED","","","","","","","Mammals","area-area connections per cortical area","","","","cortical connectivity (connections per area)","Changizi","","secondary","","38 rows / 11 animals. 3 rows print 'not shown here' -> NA with area_not_shown flagged. Table 4 prints 'TD' twice in the tree-shrew block; the second is almost certainly TI (Lyon et al. 1998) - kept verbatim, flagged. The opossum here is Kahn et al. 2000 (Monodelphis domestica), NOT the Didelphis of Table 1."
"Changizi_Shimojo_2005_Table5","Changizi, M. A., & Shimojo, S. (2005). Parcellation and area-area connectivity as a function of neocortex size. Brain Behavior and Evolution, 66(2), 88-98. https://doi.org/10.1159/000085942","","","Table 5","Changizi","Shimojo","2005","Changizi_Shimojo_2005","10.1159%2F000085942","Changizi_Shimojo_2005_Table5","10.1159%2F000085942_Table5","10.1159%2F000085942_Table5.tsv","","table","","FINISHED","","","","","","","Mammals","average number of area connections per area","","","","cortical connectivity (mean connections per area)","Changizi","","secondary","","11 rows, derived from Table 4: 10^mean(log10 x) and the sample SD of log10 x reproduce Table 5's mean AND SD to 2 dp for all 9 recomputable animals. Rat SD = 0 is a true zero (n = 1)."
"Changizi__2001_Figure3","Changizi, M. A. (2001). Principles underlying mammalian neocortical scaling. Biol Cybern, 84(3), 207-215. https://doi.org/10.1007/s004220000205","","","Figure 3","Changizi","","2001","Changizi__2001","10.1007%2Fs004220000205","Changizi__2001_Figure3","10.1007%2Fs004220000205_Figure3","10.1007%2Fs004220000205_Figure3.tsv","","figure and caption","","FINISHED","","","","","","","Mammals","number of cortical areas","","","","cortical area count / scaling","","","secondary","","summary to check more precise areas from ProjectKaskan"
"Changizi__2003_Table1","Changizi, M. A. (2003). Relationship between number of muscles, behavioral repertoire size, and encephalization in mammals. Journal of Theoretical Biology, 220(2), 157–168. https://doi.org/10.1006/jtbi.2003.3125","","","Table 1","Changizi","","2003","Changizi__2003","10.1006%2Fjtbi.2003.3125","Changizi__2003_Table1","10.1006%2Fjtbi.2003.3125_Table1","10.1006%2Fjtbi.2003.3125_Table1.tsv","Estimates for number of ethobehavior types, encephalization index, and number of muscle types for mammalian orders and species.","table","","","","https://doi.org/10.1006/jtbi.2003.3125","Source table and interpretation checked against attached PDF","Verify taxon names and whether values are raw, derived, or model summaries before merge","","comparative intelligence","Mammals","Behavioral repertoire size; encephalization; muscle types","Behavioral repertoire size; encephalization; muscle types","","","observed counts / derived index","","","both","","Ingest this rather than averaging it with Johnson Table 1; use Johnson as provenance/cross-check."
"Chaplin_etal_2013_ResultsText","Chaplin, T. A., Yu, H. H., Soares, J. G., Gattass, R., & Rosa, M. G. (2013). A conserved pattern of differential expansion of cortical areas in simian primates. J Neurosci, 33(38), 15120-15125. https://doi.org/10.1523/JNEUROSCI.2909-13.2013","","","Results Text","Chaplin","etal","2013","Chaplin_etal_2013","10.1523%2FJNEUROSCI.2909-13.2013","Chaplin_etal_2013_ResultsText","10.1523%2FJNEUROSCI.2909-13.2013_ResultsText","10.1523%2FJNEUROSCI.2909-13.2013_ResultsText.tsv","Results, first paragraph — cortical surface areas of the three monkey models","text","","","","https://doi.org/10.1523/JNEUROSCI.2909-13.2013","Values, species, sexes and body masses read directly from the PDF Results text on 2026-08-31; confirmed the paper carries Figures 1-4 only and no data tables, and that the supplemental material is a video. Citation and DOI confirmed via CrossRef.","Surface areas of computational cortical models, not direct anatomical measurement, and one individual per species. Whole-cortex and both-hemisphere status must be established at build before wiring into __merging_cortical_areas (compare the Demirci et al. 2023 halving rule). Macaque body mass not reported. Cebus apella value conflicts with Mota et al. 2019 (7653) by ~12 per cent; Macaca mulatta conflicts with Turner et al. 2016 (15,230).","","","Primates","cortical surface area","Total cortical surface area (mm2)","","MRI using reference landmark registration","cortical surface area","","","primary","","Three species with printed values, and it unblocks the Chaplin owner decision recorded in _checks/registry_audit_20260831.md: the registered DOI 10.1002/cne.23215 is the marmoset V1 retinotopy paper, this one is the surfaces paper. Establish the hemisphere convention before wiring into __merging_cortical_areas."
"Chen_Wiens_2020_SupplementaryData3","Chen, Z., & Wiens, J. J. (2020). The origins of acoustic communication in vertebrates. Nature Communications, 11(1), 369. https://doi.org/10.1038/s41467-020-14356-3","","","Supplementary Data 3","Chen","Wiens","2020","Chen_Wiens_2020","10.1038%2Fs41467-020-14356-3","Chen_Wiens_2020_SupplementaryData3","10.1038%2Fs41467-020-14356-3_SupplementaryData3","10.1038%2Fs41467-020-14356-3_SupplementaryData3.tsv","","table","","FINISHED","41467_2020_14356_MOESM6_ESM.xlsx","https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-14356-3/MediaObjects/41467_2020_14356_MOESM6_ESM.xlsx","","","","","Tetrapod vertebrates","acoustic communication","dial activity (Supp 4)","","","behavioural (acoustic communication)","","","secondary","",""
"Collins_etal_2010_DatasetS1","Collins, C. E., Airey, D. C., Young, N. A., Leitch, D. B., & Kaas, J. H. (2010). Neuron densities vary across and within cortical areas in primates. Proc Natl Acad Sci U S A, 107(36), 15927-15932. https://doi.org/10.1073/pnas.1010356107","","","Dataset S1","Collins","etal","2010","Collins_etal_2010","10.1073%2Fpnas.1010356107","Collins_etal_2010_DatasetS1","10.1073%2Fpnas.1010356107_DatasetS1","10.1073%2Fpnas.1010356107_DatasetS1.tsv","","","","FINISHED","","","","","","","Primates","cortical area surface area, neuron density","","","","cortical surface area","Kaas","","primary","",""
"Collins_etal_2016_Table1","Collins, C. E., Turner, E. C., Sawyer, E. K., Reed, J. L., Young, N. A., Flaherty, D. K., & Kaas, J. H. (2016). Cortical cell and neuron density estimates in one chimpanzee hemisphere. Proc Natl Acad Sci U S A, 113(3), 740-745. https://doi.org/10.1073/pnas.1524208113","","","Table 1","Collins","etal","2016","Collins_etal_2016","10.1073%2Fpnas.1524208113","Collins_etal_2016_Table1","10.1073%2Fpnas.1524208113_Table1","10.1073%2Fpnas.1524208113_Table1.tsv","Cortical cell and neuron density in one chimpanzee hemisphere (Table 1)","table","","FINISHED","","","","","","","Primates","cortical neuron/cell density","","","isotropic fractionator","neuron/cell density & number","Kaas","HH","primary","",""
"DeCasien_Higham_2019_SupplementaryData1-ActivityPeriod","DeCasien, A. R., & Higham, J. P. (2019). Primate mosaic brain evolution reflects selection on sensory and cognitive specialization. Nat Ecol Evol, 3(10), 1483-1493. https://doi.org/10.1038/s41559-019-0969-0","","","Supplementary Data 1-Activity Period","DeCasien","Higham","2019","DeCasien_Higham_2019","10.1038%2Fs41559-019-0969-0","DeCasien_Higham_2019_SupplementaryData1-ActivityPeriod","10.1038%2Fs41559-019-0969-0_SupplementaryData1-ActivityPeriod","notfound","Supplementary Data 1 Brain Region Data (mm3)","table","","","","https://www.nature.com/articles/s41559-019-0969-0#Sec13","","","","","Primates","Activity Period","","histological sections","","ecology (activity period)","","","secondary","",""
"DeCasien_Higham_2019_SupplementaryData1-BrainRegion","DeCasien, A. R., & Higham, J. P. (2019). Primate mosaic brain evolution reflects selection on sensory and cognitive specialization. Nat Ecol Evol, 3(10), 1483-1493. https://doi.org/10.1038/s41559-019-0969-0","","","Supplementary Data 1-Brain Region","DeCasien","Higham","2019","DeCasien_Higham_2019","10.1038%2Fs41559-019-0969-0","DeCasien_Higham_2019_SupplementaryData1-BrainRegion","10.1038%2Fs41559-019-0969-0_SupplementaryData1-BrainRegion","notfound","Supplementary Data 1 Brain Region Data (mm3)","table","","","","https://www.nature.com/articles/s41559-019-0969-0#Sec13","","","","","Primates","brain Regions Volumes","","histological sections","","volume","","","secondary incl some previously unpublished data","mostly Stephan and other Ddorf studies",""
"DeCasien_Higham_2019_SupplementaryData1-Diet","DeCasien, A. R., & Higham, J. P. (2019). Primate mosaic brain evolution reflects selection on sensory and cognitive specialization. Nat Ecol Evol, 3(10), 1483-1493. https://doi.org/10.1038/s41559-019-0969-0","","","Supplementary Data 1-Diet","DeCasien","Higham","2019","DeCasien_Higham_2019","10.1038%2Fs41559-019-0969-0","DeCasien_Higham_2019_SupplementaryData1-Diet","10.1038%2Fs41559-019-0969-0_SupplementaryData1-Diet","notfound","Supplementary Data 1 Brain Region Data (mm3)","table","","","","https://www.nature.com/articles/s41559-019-0969-0#Sec13","","","","","Primates","Diet","","histological sections","","ecology (diet)","","","secondary","",""
"DeCasien_Higham_2019_SupplementaryData1-SocialSystem","DeCasien, A. R., & Higham, J. P. (2019). Primate mosaic brain evolution reflects selection on sensory and cognitive specialization. Nat Ecol Evol, 3(10), 1483-1493. https://doi.org/10.1038/s41559-019-0969-0","","","Supplementary Data 1-Social System","DeCasien","Higham","2019","DeCasien_Higham_2019","10.1038%2Fs41559-019-0969-0","DeCasien_Higham_2019_SupplementaryData1-SocialSystem","10.1038%2Fs41559-019-0969-0_SupplementaryData1-SocialSystem","notfound","","table","","FINISHED","","https://www.nature.com/articles/s41559-019-0969-0#Sec13","","","","","Primates","Social System","","histological sections","","ecology (social system)","","","primary","",""
"Deaner_etal_2006_Table1","Deaner, R. O., van Schaik, C. P., & Johnson, V. E. (2006). Do some taxa have better domain-general cognition than others? A meta-analysis. Evol Psychol, 4, 149–196. https://doi.org/10.1177/147470490600400114","","","Table 1","Deaner","etal","2006","Deaner_etal_2006","10.1177%2F147470490600400114","Deaner_etal_2006_Table1","10.1177%2F147470490600400114_Table1","10.1177%2F147470490600400114_Table1.tsv","Full genus-by-procedure ranking dataset across nine cognitive paradigms; lower rank indicates better performance.","table","","","","","Source table and interpretation checked against attached PDF","Verify taxon names and whether values are raw, derived, or model summaries before merge","","comparative intelligence","Primates","Domain-general cognition; task rank","Domain-general cognition; task rank","","","rank","","","primary","","The full genus-by-procedure cognitive ranking dataset: the same 30 procedures and nine paradigms represented in Johnson et al. (2002), with extensive methodological interpretation in the surrounding text."
"Demirci_etal_2023_Fig.1","Demirci, N., Hoffman, M. E., & Holland, M. A. (2023). Systematic cortical thickness and curvature patterns in primates. NeuroImage, 278, 120283. https://doi.org/10.1016/j.neuroimage.2023.120283","","","Fig. 1","Demirci","etal","2023","Demirci_etal_2023","10.1016%2Fj.neuroimage.2023.120283","Demirci_etal_2023_Fig.1","10.1016%2Fj.neuroimage.2023.120283_Fig.1","10.1016%2Fj.neuroimage.2023.120283_Fig.1.tsv","Fig. 1. The primate species investigated in this study.","","","","","","","","","","","","","","","","","","","",""
"DosSantos_etal_2017_TableS1","Dos Santos, S. E., Porfirio, J., da Cunha, F. B., Manger, P. R., Tavares, W., Pessoa, L., Raghanti, M. A., Sherwood, C. C., & Herculano-Houzel, S. (2017). Cellular Scaling Rules for the Brains of Marsupials: Not as ""Primitive"" as Expected. Brain Behav Evol. https://doi.org/10.1159/000452856","","","Table S1","DosSantos","etal","2017","DosSantos_etal_2017","10.1159%2F000452856","DosSantos_etal_2017_TableS1","10.1159%2F000452856_TableS1","10.1159%2F000452856_TableS1.tsv","","table, erratum","","FINISHED","","https://ndownloader.figstatic.com/files/7428211","erratum","","","","Marsupials","Cell numbers, region size","","","isotropic fractionator","cell count","HH","HH","primary","",""
"DosSantos_etal_2020_Table1","Dos Santos, S. E., Medeiros, M., Porfirio, J., Tavares, W., Pessoa, L., Grinberg, L., Leite, R. E. P., Ferretti-Rebustini, R. E. L., Suemoto, C. K., Filho, W. J., Noctor, S. C., Sherwood, C. C., Kaas, J. H., Manger, P. R., & Herculano-Houzel, S. (2020). Similar Microglial Cell Densities across Brain Structures and Mammalian Species: Implications for Brain Tissue Function. J Neurosci, 40(24), 4622-4643. https://doi.org/10.1523/JNEUROSCI.2339-19.2020","","","Table 1","DosSantos","etal","2020","DosSantos_etal_2020","10.1523%2FJNEUROSCI.2339-19.2020","DosSantos_etal_2020_Table1","10.1523%2FJNEUROSCI.2339-19.2020_Table1","10.1523%2FJNEUROSCI.2339-19.2020_Table1.tsv","","table","","FINISHED","","","value-error: published Table 1 (main PDF) has transcription typos in several cell counts (some impossible — neurons or microglia > total cells; e.g. Tragelaphus strepsiceros whole-brain cells ~1000x too small). Superseded by the authors' unpublished data. Verify: DosSantos_etal_2020_Table1_check.R + DosSantos_etal_2020_comparison_summary.md.","","EXCLUDED from merged cellcounts (cell-count typos); DosSantos_etal_2020_unpublished used instead (commented out in cellcounts_compiled.R).","microglia","Mammals","Cell numbers, region size","","","isotropic fractionator","cell count (microglia)","HH","HH","primary","",""
"DosSantos_etal_2020_unpublished","Dos Santos, S. E., Medeiros, M., Porfirio, J., Tavares, W., Pessoa, L., Grinberg, L., Leite, R. E. P., Ferretti-Rebustini, R. E. L., Suemoto, C. K., Filho, W. J., Noctor, S. C., Sherwood, C. C., Kaas, J. H., Manger, P. R., & Herculano-Houzel, S. (2020). Similar Microglial Cell Densities across Brain Structures and Mammalian Species: Implications for Brain Tissue Function. J Neurosci, 40(24), 4622-4643. https://doi.org/10.1523/JNEUROSCI.2339-19.2020","","","unpublished","DosSantos","etal","2020","DosSantos_etal_2020","10.1523%2FJNEUROSCI.2339-19.2020","DosSantos_etal_2020_unpublished","10.1523%2FJNEUROSCI.2339-19.2020_unpublished","10.1523%2FJNEUROSCI.2339-19.2020_unpublished.tsv","","table","","FINISHED","","https://doi.org/10.1523/JNEUROSCI.2339-19.2020","value-correction-source: authors' unpublished spreadsheet used in the merged cellcounts INSTEAD of the published Table 1 (which has cell-count typos); internally consistent and matches Herculano-Houzel et al. 2015. Provides microglia/cell (I/C) ratios; received 22 Mar 2024 via O. S. Todorov from the authors' team.","","","microglia","Mammals","Cell numbers, region size","","","isotropic fractionator","cell count (microglia)","HH","HH","primary","",""
"Eagleman_Vaughn_2021_TABLE1","Eagleman, D. M., & Vaughn, D. A. (2021). The Defensive Activation Theory: REM Sleep as a Mechanism to Prevent Takeover of the Visual Cortex [Hypothesis and Theory]. Front Neurosci, 15(598), 632853. https://doi.org/10.3389/fnins.2021.632853","","","TABLE 1","Eagleman","Vaughn","2021","Eagleman_Vaughn_2021","10.3389%2Ffnins.2021.632853","Eagleman_Vaughn_2021_TABLE1","10.3389%2Ffnins.2021.632853_TABLE1","10.3389%2Ffnins.2021.632853_TABLE1.tsv","TABLE 1 | Three behavioral correlates of plasticity and the proportion of REM (versus non-REM) sleep in 25 primate species.","","","FINISHED","","","","","","","Mammals","proportion REM and developmental milestones","","","","behaviour/physiology (REM sleep, development)","","","secondary","",""
"Ebinger__1974_Tables3-4","Ebinger, P. (1974). A cytoarchitectonic volumetric comparison of brains in wild and domestic sheep. Z Anat Entwicklungsgesch, 144(3), 267-302. https://doi.org/10.1007/BF00522811","","","Tables 3-4","Ebinger","","1974","Ebinger__1974","10.1007%2FBF00522811","Ebinger__1974_Tables3-4","10.1007%2FBF00522811_Tables3-4","10.1007%2FBF00522811_Tables3-4.tsv","Tables 3-4. Individual absolute brain and brain-structure volumes in wild and domestic sheep","","","FINISHED","","","","","","","","","","","","","","","primary","",""
"Elston__2000_Nonumbereddatatables;Figure2","Elston, G. N. (2000). Pyramidal cells of the frontal lobe: all the more spinous to think with. J Neurosci, 20(18), RC95. https://doi.org/10.1523/JNEUROSCI.20-18-j0002.2000","","","No numbered data tables; Figure 2","Elston","","2000","Elston__2000","10.1523%2FJNEUROSCI.20-18-j0002.2000","Elston__2000_Nonumbereddatatables;Figure2","10.1523%2FJNEUROSCI.20-18-j0002.2000_Nonumbereddatatables;Figure2","notfound","","PDF; table/figure","","","","https://doi.org/10.1523/JNEUROSCI.20-18-j0002.2000","","overlapping publication lineage; retain specimen and source-level provenance","","cortical pyramidal-neuron morphology","Primates","dendritic morphology; spine measures; sample metadata","Figure-derived regional macaque morphology; text also reports estimated total spines","","Golgi or intracellular Lucifer Yellow morphology, as specified in source","cell morphology / metadata","","","primary for PFC; comparator values from earlier studies","","Add figure-level item, not a table. Provenance-map V1/7a/TE."
"Elston_etal_2001_Table1","Elston, G. N., Benavides-Piccione, R., & DeFelipe, J. (2001). The pyramidal cell in cognition: a comparative study in human and monkey. J Neurosci, 21(17), RC163. https://doi.org/10.1523/JNEUROSCI.21-17-j0002.2001","","","Table 1","Elston","etal","2001","Elston_etal_2001","10.1523%2FJNEUROSCI.21-17-j0002.2001","Elston_etal_2001_Table1","10.1523%2FJNEUROSCI.21-17-j0002.2001_Table1","notfound","","PDF; table/figure","","","","https://doi.org/10.1523/JNEUROSCI.21-17-j0002.2001","","overlapping publication lineage; retain specimen and source-level provenance","","cortical pyramidal-neuron morphology","Primates","dendritic morphology; spine measures; sample metadata","Species × region: peak branching complexity, basal dendritic field area, maximum spine density","","Golgi or intracellular Lucifer Yellow morphology, as specified in source","cell morphology / metadata","","","both","","Add; directly tabulated. Keep species and region separate."
"Elston_etal_2006_Table1","Elston, G. N., Benavides-Piccione, R., Elston, A., Zietsch, B., Defelipe, J., Manger, P., Casagrande, V., & Kaas, J. H. (2006). Specializations of the granular prefrontal cortex of primates: implications for cognitive processing. Anat Rec A Discov Mol Cell Evol Biol, 288(1), 26-35. https://doi.org/10.1002/ar.a.20278","","","Table 1","Elston","etal","2006","Elston_etal_2006","10.1002%2Far.a.20278","Elston_etal_2006_Table1","10.1002%2Far.a.20278_Table1","notfound","","PDF; table/figure","","","","https://doi.org/10.1002/ar.a.20278","","overlapping publication lineage; retain specimen and source-level provenance","","cortical pyramidal-neuron morphology","Primates","dendritic morphology; spine measures; sample metadata","Comparative primate species × cortical area/region; includes source-letter provenance per value","","Golgi or intracellular Lucifer Yellow morphology, as specified in source","cell morphology / metadata","","","both","","Add; highest-priority comparative table. Preserve source footnotes for every cell."
"Falcone_etal_2019_TABLE1","Falcone, C., Wolf-Ochoa, M., Amina, S., Hong, T., Vakilzadeh, G., Hopkins, W. D., Hof, P. R., Sherwood, C. C., Manger, P. R., Noctor, S. C., & Martínez-Cerdeño, V. (2019). Cortical interlaminar astrocytes across the therian mammal radiation. J Comp Neurol, 527(10), 1654-1674. https://doi.org/10.1002/cne.24605","","","TABLE 1","Falcone","etal","2019","Falcone_etal_2019","10.1002%2Fcne.24605","Falcone_etal_2019_TABLE1","10.1002%2Fcne.24605_TABLE1","10.1002%2Fcne.24605_TABLE1.tsv","TABLE 1 Pial and subpial ILA presence in mammalian species analyzed. Highlighted in red are the species where proper subpial ILA are present","","","FINISHED","","","","","","","Primates & other mammals","interlaminar astrocyte morphology","","","","cell morphology (interlaminar astrocytes)","","","primary","",""
"Falcone_etal_2019_TABLE2","Falcone, C., Wolf-Ochoa, M., Amina, S., Hong, T., Vakilzadeh, G., Hopkins, W. D., Hof, P. R., Sherwood, C. C., Manger, P. R., Noctor, S. C., & Martínez-Cerdeño, V. (2019). Cortical interlaminar astrocytes across the therian mammal radiation. J Comp Neurol, 527(10), 1654-1674. https://doi.org/10.1002/cne.24605","","","TABLE 2","Falcone","etal","2019","Falcone_etal_2019","10.1002%2Fcne.24605","Falcone_etal_2019_TABLE2","10.1002%2Fcne.24605_TABLE2","10.1002%2Fcne.24605_TABLE2.tsv","TABLE 2 ILA linear density, number of primary processes, number of total processes, total length, and complexity, of mammalian species analyzed","","","FINISHED","","","","","","","Primates & other mammals","interlaminar astrocyte morphology","","","","cell morphology (interlaminar astrocytes)","","","primary","",""
