"species_sci","Species","MSW3_ID","Family","Diet_Inv","Diet_Vend","Diet_Vect","Diet_Vfish","Diet_Vunk","Diet_Scav","Diet_Fruit","Diet_Nect","Diet_Seed","Diet_PlantO","Diet_dominant","Diet_breadth","Trophic_guild","Diet_Certainty","ForStrat_Value","ForStrat_stratum","ForStrat_Certainty","Activity_Nocturnal","Activity_Crepuscular","Activity_Diurnal","Activity_pattern","Activity_Certainty","BodyMass.g","BodyMass_SpecLevel"
"Myotis oxyotus","Myotis oxyotus","4643","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.5,"1"
"Myotis rosseti","Myotis rosseti","4644","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",3.29,"1"
"Myotis peninsularis","Myotis peninsularis","4645","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.26,"2"
"Myotis pequinius","Myotis pequinius","4646","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",9.52,"2"
"Myotis planiceps","Myotis planiceps","4647","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.36,"2"
"Myotis stalkeri","Myotis stalkeri","4648","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",9.05,"2"
"Myotis yumanensis","Myotis yumanensis","4649","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.39,"1"
"Myotis oreias","Myotis oreias","4650","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",8.31,"2"
"Myotis yesoensis","Myotis yesoensis","4651","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis yanbarensis","Myotis yanbarensis","4652","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis welwitschii","Myotis welwitschii","4653","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",15.5,"1"
"Myotis volans","Myotis volans","4654","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",8.46,"1"
"Myotis vivesi","Myotis vivesi","4655","Vespertilionidae",80,0,0,20,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","B","1","0","0","Nocturnal","ABC",25,"1"
"Myotis velifer","Myotis velifer","4656","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",10.1,"1"
"Myotis goudoti","Myotis goudoti","4657","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.56,"1"
"Myotis annectans","Myotis annectans","4658","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",9.8,"1"
"Myotis bombinus","Myotis bombinus","4659","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",9.46,"2"
"Myotis bocagii","Myotis bocagii","4660","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.93,"1"
"Myotis blythii","Myotis blythii","4661","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",22.47,"1"
"Myotis bechsteinii","Myotis bechsteinii","4662","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",9.47,"1"
"Myotis austroriparius","Myotis austroriparius","4663","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",6.84,"1"
"Myotis australis","Myotis australis","4664","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.62,"2"
"Myotis auriculus","Myotis auriculus","4665","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",36.99,"1"
"Myotis brandtii","Myotis brandtii","4666","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","B","1","0","0","Nocturnal","ABC",5.3,"1"
"Myotis atacamensis","Myotis atacamensis","4667","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",6.77,"1"
"Myotis albescens","Myotis albescens","4668","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.3,"1"
"Myotis annamiticus","Myotis annamiticus","4669","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis anjouanensis","Myotis anjouanensis","4670","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis altarium","Myotis altarium","4671","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",11,"1"
"Myotis alcathoe","Myotis alcathoe","4672","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis gomantongensis","Myotis gomantongensis","4673","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis aelleni","Myotis aelleni","4674","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.26,"2"
"Myotis emarginatus","Myotis emarginatus","4675","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",7.66,"1"
"Myotis abei","Myotis abei","4676","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis ater","Myotis ater","4677","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis evotis","Myotis evotis","4678","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",6.7,"1"
"Myotis bucharensis","Myotis bucharensis","4679","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis frater","Myotis frater","4680","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.55,"1"
"Myotis fortidens","Myotis fortidens","4681","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",4.35,"1"
"Myotis formosus","Myotis formosus","4682","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7,"1"
"Myotis findleyi","Myotis findleyi","4683","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.9,"2"
"Myotis adversus","Myotis adversus","4684","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","B","1","0","0","Nocturnal","ABC",10.55,"1"
"Myotis fimbriatus","Myotis fimbriatus","4685","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis elegans","Myotis elegans","4686","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",4.05,"1"
"Myotis davidii","Myotis davidii","4687","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis chiloensis","Myotis chiloensis","4688","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",6.75,"1"
"Myotis californicus","Myotis californicus","4689","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",4.6,"1"
"Myotis capaccinii","Myotis capaccinii","4690","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.44,"1"
"Myotis daubentonii","Myotis daubentonii","4691","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.63,"1"
"Myotis chinensis","Myotis chinensis","4692","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",42,"1"
"Myotis ciliolabrum","Myotis ciliolabrum","4693","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",4.89,"1"
"Myotis cobanensis","Myotis cobanensis","4694","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.26,"2"
"Myotis csorbai","Myotis csorbai","4695","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
