Species,Domain,Standardized_Term,Value,source,team,dependency_group
Leontopithecus rosalia,Gait,Duty_Factor,65.77,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Caluromys philander,Gait,Duty_Factor,67.03085345,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Papio ursinus,Gait,Duty_Factor,64.76190475999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Alouatta seniculus,Gait,Duty_Factor,68.32675986,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mandrillus sphinx,Gait,Duty_Factor,63.9957265,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Loris tardigradus,Gait,Duty_Factor,51.88678685,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Nycticebus pygmaeus,Gait,Duty_Factor,53.51858708,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cheirogaleus medius,Gait,Duty_Factor,54.58070367,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Philander opossum,Gait,Duty_Factor,62.83527778,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pseudocheirus peregrinus,Gait,Duty_Factor,58.14084615,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Bradypus variegatus,Gait,Duty_Factor,78.56999999999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Acrobates pygmaeus,Gait,Duty_Factor,55.35,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Sapajus apella,Gait,Duty_Factor,65.5979992,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Orycteropus afer,Gait,Duty_Factor,69.98224148,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Choloepus didactylus,Gait,Duty_Factor,72.63339384,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pan troglodytes,Gait,Duty_Factor,62.77777778,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Monodelphis domestica,Gait,Duty_Factor,68.60473333,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Phascolarctos cinereus,Gait,Duty_Factor,69.69869844,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Hippopotamus amphibius,Gait,Duty_Factor,76,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mesocricetus auratus,Gait,Duty_Factor,70,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Petaurus breviceps,Gait,Duty_Factor,61.5,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Chiropotes satanas,Gait,Duty_Factor,66.84392775000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ornithorhynchus anatinus,Gait,Duty_Factor,58.59656149,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Gorilla gorilla,Gait,Duty_Factor,61.54791155,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Oreotragus oreotragus,Gait,Duty_Factor,64.28571429,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Isoodon macrourus,Gait,Duty_Factor,74.38809091,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Dasyurus maculatus,Gait,Duty_Factor,64.27399,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mystacina tuberculata,Gait,Duty_Factor,60.77757143,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mus musculus,Gait,Duty_Factor,86,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tupaia tana,Gait,Duty_Factor,64.62,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Muscardinus avellanarius,Gait,Duty_Factor,64.25,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Castor canadensis,Gait,Duty_Factor,74.15624348999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Dasypus novemcinctus,Gait,Duty_Factor,54.54,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Rattus norvegicus,Gait,Duty_Factor,62,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Apodemus agrarius,Gait,Duty_Factor,74.01000000000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Sciurus griseus,Gait,Duty_Factor,66.29291980000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Didelphis virginiana,Gait,Duty_Factor,76.54000000000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Micromys minutus,Gait,Duty_Factor,65.63,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Erinaceus europaeus,Gait,Duty_Factor,62.96,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Talpa europaea,Gait,Duty_Factor,63.66,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Vulpes vulpes,Gait,Duty_Factor,63.69606004,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tragelaphus strepsiceros,Gait,Duty_Factor,62.67948718,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Thallomys paedulcus,Gait,Duty_Factor,71.875,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Odocoileus virginianus,Gait,Duty_Factor,69,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Moschus leucogaster,Gait,Duty_Factor,72.02,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Myrmecobius fasciatus,Gait,Duty_Factor,55,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pteropus vampyrus,Gait,Duty_Factor,73.19434535000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Desmodus rotundus,Gait,Duty_Factor,68.15073417000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Bos taurus,Gait,Duty_Factor,69,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Erethizon dorsatum,Gait,Duty_Factor,75,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pithecia pithecia,Gait,Duty_Factor,65.78083963,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Apodemus flavicollis,Gait,Duty_Factor,72.51000000000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cervus elaphus,Gait,Duty_Factor,63.47494553,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Hydrochoerus hydrochaeris,Gait,Duty_Factor,69.21052632,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ovis aries,Gait,Duty_Factor,68,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cryptoprocta ferox,Gait,Duty_Factor,70.43010753,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Enhydra lutris,Gait,Duty_Factor,67.155,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Myrmecophaga tridactyla,Gait,Duty_Factor,70,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Sciurus niger,Gait,Duty_Factor,67.06451810999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mellivora capensis,Gait,Duty_Factor,62.05,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ammotragus lervia,Gait,Duty_Factor,71,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tapirus indicus,Gait,Duty_Factor,61,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tapirus terrestris,Gait,Duty_Factor,70,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Myodes glareolus,Gait,Duty_Factor,68.34999999999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Sus scrofa,Gait,Duty_Factor,70.80209895,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mephitis mephitis,Gait,Duty_Factor,74.17,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Equus asinus,Gait,Duty_Factor,73,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Zaglossus bruijni,Gait,Duty_Factor,67.1637005,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Canis aureus,Gait,Duty_Factor,73.28703704,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Paradoxurus hermaphroditus,Gait,Duty_Factor,74.45999999999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Equus caballus,Gait,Duty_Factor,67,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Equus burchelli,Gait,Duty_Factor,67,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pecari tajacu,Gait,Duty_Factor,65.17137097,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Leptailurus serval,Gait,Duty_Factor,58.31083859,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Muntiacus muntjak,Gait,Duty_Factor,67.63833992000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cephalophus silvicultor,Gait,Duty_Factor,67.2,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Capra aegagrus,Gait,Duty_Factor,72,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Camelus dromedarius,Gait,Duty_Factor,75.01622322999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Nasua nasua,Gait,Duty_Factor,70.51411278,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cephalophus natalensis,Gait,Duty_Factor,60,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Vombatus ursinus,Gait,Duty_Factor,67.33333333,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Dendrohyrax arboreus,Gait,Duty_Factor,55.55,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Dendrolagus goodfellowi,Gait,Duty_Factor,68,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tapirus bairdii,Gait,Duty_Factor,65.0060024,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Felis catus,Gait,Duty_Factor,63.8762843,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ovis canadensis,Gait,Duty_Factor,59.44028095,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Nandinia binotata,Gait,Duty_Factor,58.93,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Arctictis binturong,Gait,Duty_Factor,70.64,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Saiga tatarica,Gait,Duty_Factor,66.59090909,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Nanger granti,Gait,Duty_Factor,67.38351254,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Camelus bactrianus,Gait,Duty_Factor,72,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ceratotherium simum,Gait,Duty_Factor,68,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Kobus ellipsiprymnus,Gait,Duty_Factor,67.16,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Moschiola meminna,Gait,Duty_Factor,68.17528736,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ailurus fulgens,Gait,Duty_Factor,61.16666667,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Panthera tigris,Gait,Duty_Factor,64.41289317,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ailuropoda melanoleuca,Gait,Duty_Factor,66.04377104,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Sarcophilus harrisii,Gait,Duty_Factor,62.315,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Caracal caracal,Gait,Duty_Factor,65.76364335,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Leopardus pardalis,Gait,Duty_Factor,60.88318534,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Zalophus wollebaeki,Gait,Duty_Factor,59.48,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Aepyceros melampus,Gait,Duty_Factor,68,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Elephas maximus,Gait,Duty_Factor,73,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Alcelaphus buselaphus,Gait,Duty_Factor,72.41379310000001,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Canis lupus,Gait,Duty_Factor,60.34,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Acinonyx jubatus,Gait,Duty_Factor,70,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Connochaetes taurinus,Gait,Duty_Factor,72,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Lasiorhinus krefftii,Gait,Duty_Factor,73,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ursus americanus,Gait,Duty_Factor,67,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Antilocapra americana,Gait,Duty_Factor,62.01923077,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cuon alpinus,Gait,Duty_Factor,69.61538462,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Lama glama,Gait,Duty_Factor,72,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Loxodonta africana,Gait,Duty_Factor,74,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Lynx rufus,Gait,Duty_Factor,71,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ursus arctos,Gait,Duty_Factor,65,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Bubalus bubalis,Gait,Duty_Factor,63.16964286,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Okapia johnstoni,Gait,Duty_Factor,60.65281462,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Bison bison,Gait,Duty_Factor,71,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mungos mungo,Gait,Duty_Factor,60,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ursus maritimus,Gait,Duty_Factor,68,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Panthera leo,Gait,Duty_Factor,68,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Oryx gazella,Gait,Duty_Factor,66.66,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Giraffa camelopardalis,Gait,Duty_Factor,68,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Procyon lotor,Gait,Duty_Factor,71,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Chrysocyon brachyurus,Gait,Duty_Factor,62.84858552,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tachyglossus aculeatus,Gait,Duty_Factor,67,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Vicugna pacos,Gait,Duty_Factor,55.80683333,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Panthera onca,Gait,Duty_Factor,64.09999999999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Crocuta crocuta,Gait,Duty_Factor,66,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ateles geoffroyi,Gait,Phase,71.8768163,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ateles fusciceps,Gait,Phase,71.24029949,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trichosurus vulpecula,Gait,Phase,66.97199999999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Daubentonia madagascariensis,Gait,Phase,65.79056326,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Lemur catta,Gait,Phase,65.24681400999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pygathrix nemaeus,Gait,Phase,64.94111999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Priodontes maximus,Gait,Phase,64.79469,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Hapalemur griseus,Gait,Phase,64.61677813999999,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cyclopes didactylus,Gait,Phase,64.59,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Varecia variegata,Gait,Phase,64.53997173,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pygathrix cinerea,Gait,Phase,64.50219231,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trachypithecus poliocephalus,Gait,Phase,64.09781361,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ateles paniscus,Gait,Phase,63.99376761,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Macaca fascicularis,Gait,Phase,63.07784027,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Macaca mulatta,Gait,Phase,63.03289724,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Propithecus coquereli,Gait,Phase,62.88913796,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cebus capucinus,Gait,Phase,62.83883438,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Eulemur mongoz,Gait,Phase,62.43998388,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Rhinopithecus roxellana,Gait,Phase,62.15191445,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trachypithecus hatinhensis,Gait,Phase,61.45227488,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trachypithecus phayrei,Gait,Phase,61.25,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trachypithecus delacouri,Gait,Phase,59.72837684,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Saimiri sciureus,Gait,Phase,58.76699956,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Aotus nancymaae,Gait,Phase,58.37598712,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Potos flavus,Gait,Phase,58.32665589,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Leontopithecus rosalia,Gait,Phase,58.27,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Caluromys philander,Gait,Phase,58,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Papio ursinus,Gait,Phase,56.90476,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Alouatta seniculus,Gait,Phase,56.89748148,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mandrillus sphinx,Gait,Phase,56.08974,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Loris tardigradus,Gait,Phase,55.85018746,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Nycticebus pygmaeus,Gait,Phase,55.66518816,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cheirogaleus medius,Gait,Phase,55.44482598,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Philander opossum,Gait,Phase,54.058,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pseudocheirus peregrinus,Gait,Phase,53.17378571,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Bradypus variegatus,Gait,Phase,52.04,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Acrobates pygmaeus,Gait,Phase,50.19,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Sapajus apella,Gait,Phase,49.53562611,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Orycteropus afer,Gait,Phase,49.46041,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Choloepus didactylus,Gait,Phase,49.43348146,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pan troglodytes,Gait,Phase,48.05556,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Monodelphis domestica,Gait,Phase,46.31073333,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Phascolarctos cinereus,Gait,Phase,45.50568,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Hippopotamus amphibius,Gait,Phase,45,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mesocricetus auratus,Gait,Phase,45,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Petaurus breviceps,Gait,Phase,45,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Chiropotes satanas,Gait,Phase,44.79006856,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ornithorhynchus anatinus,Gait,Phase,44.35640697,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Gorilla gorilla,Gait,Phase,43.42752,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Oreotragus oreotragus,Gait,Phase,42.85714,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Isoodon macrourus,Gait,Phase,41.78658333,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Dasyurus maculatus,Gait,Phase,41.39767,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mystacina tuberculata,Gait,Phase,40.67614286,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mus musculus,Gait,Phase,40,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tupaia tana,Gait,Phase,38.08,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Muscardinus avellanarius,Gait,Phase,36.74,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Castor canadensis,Gait,Phase,36.6823,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Dasypus novemcinctus,Gait,Phase,36.36,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Rattus norvegicus,Gait,Phase,36,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Apodemus agrarius,Gait,Phase,35.52,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Sciurus griseus,Gait,Phase,35.32612782,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Didelphis virginiana,Gait,Phase,34.86,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Micromys minutus,Gait,Phase,34.05,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Erinaceus europaeus,Gait,Phase,33.33,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Talpa europaea,Gait,Phase,33.33,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Vulpes vulpes,Gait,Phase,32.52033,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tragelaphus strepsiceros,Gait,Phase,32.03419,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Thallomys paedulcus,Gait,Phase,31.885,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Odocoileus virginianus,Gait,Phase,31,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Moschus leucogaster,Gait,Phase,30.21,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Myrmecobius fasciatus,Gait,Phase,30,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pteropus vampyrus,Gait,Phase,29.84214946,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Desmodus rotundus,Gait,Phase,29.50951127,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Bos taurus,Gait,Phase,29,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Erethizon dorsatum,Gait,Phase,29,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pithecia pithecia,Gait,Phase,28.91843349,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Apodemus flavicollis,Gait,Phase,28.77,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cervus elaphus,Gait,Phase,28.19172,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Hydrochoerus hydrochaeris,Gait,Phase,28.15789,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ovis aries,Gait,Phase,28,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cryptoprocta ferox,Gait,Phase,27.47909,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Enhydra lutris,Gait,Phase,27.285,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Myrmecophaga tridactyla,Gait,Phase,27,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Sciurus niger,Gait,Phase,26.26435189,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Mellivora capensis,Gait,Phase,26.14,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ammotragus lervia,Gait,Phase,26,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tapirus indicus,Gait,Phase,26,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Tapirus terrestris,Gait,Phase,26,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
