source,Domain,Standardized_Term,Species,Value
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Potos flavus,51.15862271
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Leontopithecus rosalia,65.77
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Caluromys philander,67.03085345
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Papio ursinus,64.76190475999999
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Alouatta seniculus,68.32675986
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Mandrillus sphinx,63.9957265
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Loris tardigradus,51.88678685
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Nycticebus pygmaeus,53.51858708
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Cheirogaleus medius,54.58070367
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Philander opossum,62.83527778
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Pseudocheirus peregrinus,58.14084615
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Bradypus variegatus,78.56999999999999
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Acrobates pygmaeus,55.35
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Sapajus apella,65.5979992
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Orycteropus afer,69.98224148
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Choloepus didactylus,72.63339384
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Pan troglodytes,62.77777778
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Monodelphis domestica,68.60473333
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Phascolarctos cinereus,69.69869844
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Hippopotamus amphibius,76
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Mesocricetus auratus,70
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Petaurus breviceps,61.5
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Chiropotes satanas,66.84392775000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ornithorhynchus anatinus,58.59656149
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Gorilla gorilla,61.54791155
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Oreotragus oreotragus,64.28571429
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Isoodon macrourus,74.38809091
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Dasyurus maculatus,64.27399
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Mystacina tuberculata,60.77757143
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Mus musculus,86
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Tupaia tana,64.62
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Muscardinus avellanarius,64.25
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Castor canadensis,74.15624348999999
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Dasypus novemcinctus,54.54
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Rattus norvegicus,62
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Apodemus agrarius,74.01000000000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Sciurus griseus,66.29291980000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Didelphis virginiana,76.54000000000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Micromys minutus,65.63
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Erinaceus europaeus,62.96
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Talpa europaea,63.66
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Vulpes vulpes,63.69606004
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Tragelaphus strepsiceros,62.67948718
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Thallomys paedulcus,71.875
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Odocoileus virginianus,69
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Moschus leucogaster,72.02
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Myrmecobius fasciatus,55
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Pteropus vampyrus,73.19434535000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Desmodus rotundus,68.15073417000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Bos taurus,69
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Erethizon dorsatum,75
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Pithecia pithecia,65.78083963
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Apodemus flavicollis,72.51000000000001
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Cervus elaphus,63.47494553
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Hydrochoerus hydrochaeris,69.21052632
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ovis aries,68
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Cryptoprocta ferox,70.43010753
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Enhydra lutris,67.155
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Myrmecophaga tridactyla,70
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Sciurus niger,67.06451810999999
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Mellivora capensis,62.05
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ammotragus lervia,71
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Tapirus indicus,61
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Tapirus terrestris,70
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Myodes glareolus,68.34999999999999
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Sus scrofa,70.80209895
