"group","species","common_name","brain_volume_mm3","total_cb_volume_mm3","vermis_excl_cb10_mm3","hemisphere_excl_fl_mm3","flocculo_nodular_cb_cx_mm3","ratio_hemisph_vermis","total_cb_cx_volume_mm3","cb_white_matter_mm3","pn_rttg_volume_mm3","deep_cb_nu_volume_mm3","cb_ext_surface_esa_mm2","cb_pial_surface_psa_mm2","foliation_index","source"
"Dasyuromorphid","Sminthopsis leucopus","White-footed dunnart",563,53,26.9,13.3,3.71,0.49,43.9,6.87,1.86,2.31,71.4,130,1.82,"Ashwell__2020"
"Dasyuromorphid","Sminthopsis murina","Slender-tailed dunnart",330,25,14,4.39,2.43,0.31,20.9,2.95,1.03,1.24,39.1,63.1,1.61,"Ashwell__2020"
"Eulipotyphlan","Sorex araneus","Common shrew",192,48.8,20.6,20.7,2.36,1,43.6,3.06,1.27,2.13,64.6,101,1.57,"Ashwell__2020"
"Cetartiodactyl","Sus scrofa domesticus","Domestic pig",130000,8634,2953,3277,292,1.11,6522,1755,168,357,1845,6212,3.37,"Ashwell__2020"
"Monotreme","Tachyglossus aculeatus","Short-beaked echidna",20078.6666666667,1203.33333333333,593,344,31.5666666666667,0.64,968.333333333333,210.333333333333,31.1666666666667,24.3666666666667,539,1187.33333333333,2.2,"Ashwell__2020"
"Pilosan","Tamandua tetradactyla","Southern ant-eater",19812,3834,1239,1832,84.6,1.48,3155,513,100,166,1303,4172,3.2,"Ashwell__2020"
"Diprotodontid","Tarsipes rostratus","Honey possum",441,50.5,20.7,22.8,2.19,1.1,45.7,3.29,1.35,1.45,71.3,120,1.69,"Ashwell__2020"
"Carnivore","Taxidea taxus","American badger",54755,4605,1123,2108,89.4,1.88,3321,1044,171,240,1297,4024,3.1,"Ashwell__2020"
"Afrosoricid","Tenrec ecaudatus","Tail-less tenrec",2471,178,72.5,70,13.6,0.96,155,15.4,4.3,7.31,71.1,169,2.38,"Ashwell__2020"
"Rodent","Thomomys talpoides","Northern pocket gopher",1642,372,153,145,9.55,0.94,307,47.7,7.53,17.4,215,572,2.66,"Ashwell__2020"
"Didelphimorphid","Thylamys elegans","Elegant fat-tailed mouse opossum",689,78.5,47.9,19.9,2.17,0.42,70,6,2.61,2.59,77.7,145,1.86,"Ashwell__2020"
"Diprotodontid","Thylogale stigmatica","Red-legged pademelon",19418,1995,815,638,93.9,0.78,1546,373,56.1,75.2,650,1868,2.87,"Ashwell__2020"
"Diprotodontid","Thylogale thetis","Red-necked pademelon",16781,1798,735,567,75.9,0.77,1378,361,60.1,58.6,546,1693,3.1,"Ashwell__2020"
"Sirenian","Trichechus manatus latirostris","Manatee",346154,23693,4182,13956,379,3.34,18517,4562,742,614,4158,16884,4.06,"Ashwell__2020"
"Diprotodontid","Trichosurus arnhemensis","Northern brushtail possum",7812,914,358,331,33.9,0.92,723,170,22.9,20.8,447,1064,2.38,"Ashwell__2020"
"Diprotodontid","Trichosurus caninus","Short-eared possum",14301,1752,710,556,72.2,0.78,1338,373,51.2,41.7,629,1761,2.8,"Ashwell__2020"
"Scandentian","Tupaia glis","Tree shrew",2885,358,148,121,17.8,0.82,287,54,9.38,17.5,223,531,2.38,"Ashwell__2020"
"Cetartiodactyl","Tursiops truncatus","Bottle-nosed dolphin",1490385,248266,19398,182365,4328,9.4,206091,35070,14940,7105,19009,98073,5.16,"Ashwell__2020"
"Carnivore","Ursus maritimus","Polar bear",478846,96472,20181,53818,2376,2.67,76374,16833,2909,3265,8594,40538,4.72,"Ashwell__2020"
"Diprotodontid","Vombatus ursinus","Common wombat",38696,3837,1138,1275,223,1.12,2636,1106,98.1,96,1042,3070,2.95,"Ashwell__2020"
"Diprotodontid","Wallabia bicolor","Swamp wallaby",36934,5228,1995,1744,305,0.87,4044,1042,156,142,1335,4467,3.35,"Ashwell__2020"
"Monotreme","Zaglossus bruijnii","Long-beaked echidna",45366,3580,1054,1850,26.1,1.75,2930,556,118,93.5,1375,2682,1.95,"Ashwell__2020"
"Carnivore","Zalophus californianus","Californian sealion",349038,72986,7257,54095,1567,7.45,62919,8297,2263,1770,9350,51382,5.5,"Ashwell__2020"
