Species_canonical,Order,Suborder,Family,code_Stephan1981,Common_name,n_distinct_variant_strings,all_variant_strings,Species_Baron1983,Species_Baron1987,Species_Baron1988,Species_Baron1990,Species_Bauernfeind2013,Species_Frahm1982,Species_Frahm1994,Species_Frahm1997,Species_Frahm98,Species_Frahm_1984,Species_Matano1985a,Species_Matano1985b,Species_Sherwood_2005,Species_Stephan1981,Species_Stephan1982,Species_Stephan1984,Species_Stephan1987,Species_Zilles1988,Species_deSousa2010,Species_deSousa2013
Lophocebus albigena,Primates,Simians,,209,grey cheeked mangabey,2,Cercocebus albigena; Lophocebus albigena,Cercocebus albigena,Cercocebus albigena,Cercocebus albigena,Cercocebus albigena,Lophocebus albigena,,Cercocebus albigena,,Cercocebus albigena,Cercocebus albigena,Cercocebus albigena,Cercocebus albigena,Lophocebus albigena,Cercocebus albigena,,Cercocebus albigena,Cercocebus albigena,,Lophocebus albigena,Lophocebus albigena
Loris tardigradus,Primates,Prosimians,Lorisidae,137,red slender loris,1,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,,Loris tardigradus,,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,Loris tardigradus,,Loris tardigradus,
Macaca fascicularis,,,,,crab eating macaque,1,Macaca fascicularis,,,,,,,,,,,,,,,,,,,Macaca fascicularis,Macaca fascicularis
Macaca maura,,,,,moorÊmacaque,1,Macaca maura,,,,,Macaca maura,,,,,,,,,,,,,,,
Macaca mulatta,Primates,Simians,,202,rhesus macaque,1,Macaca mulatta,Macaca mulatta,Macaca mulatta,Macaca mulatta,Macaca mulatta,,,,,Macaca mulatta,Macaca mulatta,Macaca mulatta,Macaca mulatta,Macaca mulatta,Macaca mulatta,,Macaca mulatta,Macaca mulatta,,Macaca mulatta,Macaca mulatta
Microcebus murinus,Primates,Prosimians,Cheirogaleiclae,114,gray mouse lemur,2,Microceblls murinus; Microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,,Microceblls murinus,Microcebus murinus,,Microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,Microcebus murinus,,Microcebus murinus,
Microgale cowani,Insectivora,Progressive Insectivora,,7,Cowan s shrew tenrec,1,Microgale cowani,Microgale cowani,Microgale cowani,,,,,,,,,,,,Microgale cowani,Microgale cowani,,Microgale cowani,,,
Microgale mergulus,Insectivora,Progressive Insectivora,,8,web footed tenrec,1,Limnogale mergulus,Limnogale mergulus,Limnogale mergulus,,,,,,,,,,,,Limnogale mergulus,Limnogale mergulus,,Limnogale mergulus,,,
Micropotamogale lamottei,Insectivora,Progressive Insectivora,,14,Nimba otter shrew,2,Micropotamogale lam.; Micropotamogale lamottei,Micropotamogale lamottei,Micropotamogale lamottei,,,,,,,,,,,,Micropotamogale lamottei,Micropotamogale lam.,,Micropotamogale lamottei,,,
Micropotamogale ruwenzorii,Insectivora,,,,Ruwenzori otter shrew,1,Micropotamogale ruwenzorii,,Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,,,,,,,,,,,,,Micropotamogale ruwenzorii,,,
Microsorex hoyi,Insectivora,,,,American pygmy shrew,2,Microsoex hoyi; Microsorex hoyi,,Microsoex hoyi,Microsorex hoyi,Microsorex hoyi,,,,,,,,,,,,,Microsorex hoyi,,,
Miopithecus talapoin,Primates,Simians,,232,Angolan talapoin,2,Cercopithecus talapoin; Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,,,Miopithecus talapoin,,Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,Cercopithecus talapoin,,Miopithecus talapoin,Miopithecus talapoin,,Miopithecus talapoin,Miopithecus talapoin
Myosorex babaulti,Insectivora,,,,Babault s mouse shrew,1,Myosorex babaulti,,Myosorex babaulti,,,,,,,,,,,,,,,Myosorex babaulti,,,
Nasalis larvatus,Primates,Simians,,243,proboscis monkey,1,Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,,,Nasalis larvatus,,Nasalis larvatus,,Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,Nasalis larvatus,,Nasalis larvatus,Nasalis larvatus,,,Nasalis larvatus
Neomys fodiens,Insectivora,Progressive Insectivora,,43,Eurasian water shrew,1,Neomys fodiens,Neomys fodiens,Neomys fodiens,Neomys fodiens,Neomys fodiens,,Neomys fodiens,,,,,,,,Neomys fodiens,Neomys fodiens,Neomys fodiens,Neomys fodiens,,,
Nesogale dobsoni,Insectivora,Progressive Insectivora,,9,Dobson s shrew tenrec,2,Microgale dobsoni; Nesogale dobsoni,Microgale dobsoni,Microgale dobsoni,,,,,,,,,,,,Nesogale dobsoni,Microgale dobsoni,,Microgale dobsoni,,,
Nesogale talazaci,Insectivora,Progressive Insectivora,,10,Talazac s shrew tenrec,2,Microgale talazaci; Nesogale talazaci,Microgale talazaci,Microgale talazaci,Microgale talazaci,Microgale talazaci,,,,,,,,,,Nesogale talazaci,Microgale talazaci,,Microgale talazaci,,,
Nycticebus coucang,Primates,Prosimians,Lorisidae,138,Sunda slow loris,1,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,,Nycticebus coucang,Nycticebus coucang,,,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,,Nycticebus coucang,
Oryzorictes hova,Insectivora,Progressive Insectivora,,6,mole like rice tenrecÊ,3,Oryzoricles talpoides; Oryzorictes talpoid.; Oryzorictes talpoides,Oryzoricles talpoides,Oryzorictes talpoides,,,,,,,,,,,,Oryzorictes talpoides,Oryzorictes talpoid.,,Oryzorictes talpoides,,,
Otolemur crassicaudatus,Primates,Prosimians,Lorisidae,141,Brown greater galago,3,Galago crassicaudatus; Otolemur crassic.; Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,,,Otolemur crassicaudatus,,Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,Galago crassicaudatus,Otolemur crassic.,Otolemur crassicaudatus,Otolemur crassicaudatus,,Otolemur crassicaudatus,
Pan paniscus,,,,,bonobo,1,Pan paniscus,,,,,Pan paniscus,,,,,,,,Pan paniscus,,,,,,Pan paniscus,Pan paniscus
Pan troglodytes,Primates,Simians,,277,chimpanzee,1,Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,,Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,Pan troglodytes,,Pan troglodytes,Pan troglodytes,,Pan troglodytes,Pan troglodytes
Papio anubis,Primates,Simians,,212,olive baboon,1,Papio anubis,Papio anubis,Papio anubis,Papio anubis,Papio anubis,,Papio anubis,Papio anubis,,Papio anubis,Papio anubis,Papio anubis,Papio anubis,Papio anubis,Papio anubis,,Papio anubis,Papio anubis,,Papio anubis,Papio anubis
Perodicticus potto,Primates,Prosimians,Lorisidae,139,potto,1,Perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,,Perodicticus potto,,,Perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,Perodicticus potto,,Perodicticus potto,
Piliocolobus badius,Primates,Simians,,246,western red colobus,3,Colobus badius; Piliocolobus badius; Procolobus badius,Colobus badius,Colobus badius,Colobus badius,Colobus badius,Piliocolobus badius,Colobus badius,Colobus badius,,,Colobus badius,Colobus badius,Colobus badius,Procolobus badius,Colobus badius,,Colobus badius,Colobus badius,,Procolobus badius,Piliocolobus badius
