"species_sci"	"Species"	"Order"	"Habitat"	"Duty_Factor"	"Phase"	"Gait"	"Foot_Posture"	"Hindlimb_Length.mm"	"Body_Mass.g"
"Potos flavus"	"Potos flavus"	"Carnivora"	"arboreal"	51.15862271	58.32665589	"DSDC"	"plantigrade"	234.89	2441.81
"Leontopithecus rosalia"	"Leontopithecus rosalia"	"Primates"	"arboreal"	65.77	58.27	"DSDC"	"plantigrade"	172.08	592.52
"Caluromys philander"	"Caluromys philander"	"Didelphimorphia"	"arboreal"	67.03085345	58	"DSDC"	"plantigrade"	105.05	246.47
"Papio ursinus"	"Papio ursinus"	"Primates"	"terrestrial"	64.76190476	56.90476	"DSDC"	"plantigrade"	433.61	17729.44
"Alouatta seniculus"	"Alouatta seniculus"	"Primates"	"arboreal"	68.32675986	56.89748148	"DSDC"	"plantigrade"	385.22	6398.31
"Mandrillus sphinx"	"Mandrillus sphinx"	"Primates"	"terrestrial"	63.9957265	56.08974	"DSDC"	"plantigrade"	564.59	16685.06
"Loris tardigradus"	"Loris tardigradus"	"Primates"	"arboreal"	51.88678685	55.85018746	"DSDC"	"plantigrade"	132.74	249.22
"Nycticebus pygmaeus"	"Nycticebus pygmaeus"	"Primates"	"arboreal"	53.51858708	55.66518816	"DSDC"	"plantigrade"	144.04	342.32
"Cheirogaleus medius"	"Cheirogaleus medius"	"Primates"	"arboreal"	54.58070367	55.44482598	"DSDC"	"plantigrade"	89.27	196.76
"Philander opossum"	"Philander opossum"	"Didelphimorphia"	"terrestrial"	62.83527778	54.058	"DSDC"	"plantigrade"	125.05	425.81
"Pseudocheirus peregrinus"	"Pseudocheirus peregrinus"	"Diprotodontia"	"arboreal"	58.14084615	53.17378571	"DSDC"	"plantigrade"	133.4	895.22
"Bradypus variegatus"	"Bradypus variegatus"	"Pilosa"	"arboreal"	78.57	52.04	"DSDC"	"plantigrade"	217.35	4136.36
"Acrobates pygmaeus"	"Acrobates pygmaeus"	"Diprotodontia"	"arboreal"	55.35	50.19	"LSDC"	"plantigrade"	36.888	13.84
"Sapajus apella"	"Sapajus apella"	"Primates"	"arboreal"	65.5979992	49.53562611	"LSDC"	NA	290.62	2758.38
