"species_sci"	"Notes (re: gray cells; see next tab)"	"Taxon"	"References"	"N"	"BV"	"Medulla"	"Cerebellum"	"Mesencephalon"	"Diencephalon"	"Telencephalon"	"MOB"	"AOB"	"Piriform Lobe"	"Septum"	"Striatum"	"Striatum (incl. NAcc)"	"Schizocortex"	"Hippocampus"	"Neocortex (GM+WM)"	"Neocortex (GM)"	"Epithalamus"	"Thalamus"	"Hypothalamus"	"Subthalamus"	"Pallidum"	"Subthalamic Nucleus"	"Optic Tract"	"V1 (GM)"	"LGN"	"Paleocortex"	"Amygdala"	"Vmo"	"VII"	"XII"	"Granular Insula"	"Dysgranular Insula"	"Agranular Insula"	"Insula (GM)"
"Pan paniscus"		"Pan_paniscus"	"60"	3	338800																								275									
"Pan paniscus"		"Pan_paniscus"	"61"	1	281400		39500																															
"Pan paniscus"		"Pan_paniscus"	"61"	1	309200		39700																															
"Pan paniscus"		"Pan_paniscus"	"61"	1	312700		53000																															
"Pan paniscus"		"Pan_paniscus"	"61"	1	322400		46100																															
"Pan paniscus"		"Pan_paniscus"	"61"	1	331800		51400																															
"Pan paniscus"		"Pan_paniscus"	"61"	1	378400		54100																															
"Pan paniscus"		"Pan_paniscus"	"56-57"	1	378400										11290			3420													1288							
"Pan paniscus"		"Pan_paniscus"	"56-57"	1	312700										8800			3190													1283							
"Pan paniscus"		"Pan_paniscus"	"62-63"	4	311200		41300												218500	142900																		
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"34"	1	391382.453882454																							10593										
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"43"	1	361000																														703	1569	371	2855
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"43"	1	329340																														1772	1514	406	3884
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"43"	1	302030																														1344	967	235	2661
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"53"	3	331367.698	6027.39																										10.18	24.64	15.68				
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"58"	1	329343.629343629																										2130.76							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"58"	1	334555.984555985																										1925.88							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"58"	1	387837.837837838																										1403.02							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"58"	1	316409.266409266																										1918.42							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"58"	1	362451.737451737																										1714.14							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"58"	1	336003.861003861																										1380.32							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"58"	1	302027.027027027																										1445.18							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"60"	1	257700																							7400										
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"60"	1	261100																							8000										
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"60"	1	265000														198300									5600										
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"60"	1	276800																							7600										
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"60"	1	347000														262800									9400										
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"60"	1	405400														300100									10400										
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"60"	1	424700														297400									9600										
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"60"	6	330000																								251									
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	265000		28200																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	282700		45000																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	311400		51800																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	317900		46100																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	328600		39600																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	333500		40600																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	343800		50100																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	347000		47800																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	365900		45700																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	391200		51400																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	405400		53500																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	405400		53300																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	424700		56500																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"61"	1	445000		45300																															
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	299000		42000								6800			2700		142800		6700																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	262000		43800								5800			2000		108000		7200																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	343900		44400								6300			2500		154700		7600																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	229200		35600								4600			2500		142100		5900																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	354300		44200								7900			3100		166600		6800																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	314300		45200								6400			3100		154000		7400																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	373500		50200								7900			3100		165600		7700																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	348100		50600								6200			2900		184800		9000																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	355900		48000								6600			2300		166600		6500																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	297700		40000								5500			2500		129500		6400																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	370700		42800								6700			3300		174300		7700																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	345300		43600								7500			3600		155400		6800																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	327800		47800								6800			2900		152600		9100																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	324200		48800								5800			3400		149100		7400																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	332900		50800								6400			3400		163100		7000																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	312900		41000								5200			2800		168700		6700																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	344600		45200								6500			3100		159600		6800																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	353500		47800								7700			3000		162400		7400																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	384000		59800								7500			3100		200900		7900																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	364600		60600								6500			3200		172900		8400																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	414300		58600								9600			2700		180600		11000																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	345400		50400								6400			3000		149800		7700																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	341200		41400								7200			3200		155400		8000																
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"64"	1	377200		46800								7600			3500		167300		7500																
"Pan troglodytes"	"A,B"	"Pan_troglodytes_troglodytes"	"24,51-52"	1	382103			3739	15392	313493	257		2750	851	12246	12246	2018	3779	291592		53.6	7987	1739	2078	1951	127	630		356									
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"54-55"	1	364140														266950	163180								11030	290									
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"56-57"	1	424700										10318			3544													1418							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"56-57"	1	347000										8746			3040													1145							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"56-57"	1	405400																										1382							
"Pan troglodytes"		"Pan_troglodytes_troglodytes"	"62-63"	6	337300		46400												238000	147100																		
"Papio anubis"		"Papio_anubis"	"34"	1	195051.669316375																							10001										
"Papio anubis"		"Papio_anubis"	"53"	1	191340.581	5171.17																										12.32	14.88	9.24				
"Papio anubis"	"B"	"Papio_anubis"	"24,51-52"	2	190957		18683	2711	9280	154987	287		2111	559	7182	7182	1309	3398	140142		65.4	4788	1076	1241	1147	94.7	601											
"Papio cynocephalus"		"Papio_cynocephalus"	"61"	1	127400		12400																															
"Papio cynocephalus"		"Papio_cynocephalus"	"61"	1	141900		12800																															
"Papio cynocephalus"		"Papio_cynocephalus"	"61"	1	150700		15300																															
"Papio cynocephalus"		"Papio_cynocephalus"	"61"	1	159200		14800																															
"Papio cynocephalus"		"Papio_cynocephalus"	"62-63"	2	143300		13700												100100	65000																		
"Papio hamadryas"		"Papio_hamadryas"	"54-55"	1	159110														118780	79100								7700	220									
"Perodicticus potto"		"Perodicticus_potto"	"34"	2	13662.0136620137																							495										
"Perodicticus potto"		"Perodicticus_potto"	"43"	1	11100																														32	20	8	62
"Perodicticus potto"		"Perodicticus_potto"	"53"	2	13212	679.74																										2.22	2.58	2.56				
"Perodicticus potto"	"B"	"Perodicticus_potto"	"24,51-52"	2	13212		1699	391	1024	9418	310	2.74	661	114	712	712	328	607	6683		10.4	587	160	116	107	8.19	19.5		24.3									
"Perodicticus potto"		"Perodicticus_potto"	"54-55"	1	10160														4550	3910								330	20									
"Piliocolobus badius"		"Piliocolobus_badius"	"34"	2	75308.50177909																							3053										
"Piliocolobus badius"		"Piliocolobus_badius"	"43"	1	72394																														144	232	106	482
"Piliocolobus badius"		"Piliocolobus_badius"	"53"	2	73818.3565	2007.11																										4.46	4.52	3.02				
"Piliocolobus badius"	"B"	"Piliocolobus_badius"	"24,51-52"	2	73818		8648	1333	3945	57885	51.3		937	288	3217	3217	814	1671	50906		22.3	2164	484	553	521	31.9	201		128	458	479							
"Pithecia monachus"		"Pithecia_monachus"	"34"	1	33704.6648522058																							1679										
"Pithecia monachus"		"Pithecia_monachus"	"53"	2	32867	1008.88																										2.64	2.68	2.72				
"Pithecia monachus"	"B"	"Pithecia_monachus"	"24,51-52"	2	32867		3908	745	2285	24920	34.8	0.846	675	140	1918	1918	289	834	21028										72.3									
"Pithecia pithecia"		"Pithecia_pithecia"	"43"	1	28958																														80	270	208	558
"Pongo sp."		"Pongo_abelii"	"43"	1	345560																														452	1274	678	2403
"Pongo sp."		"Pongo_abelii"	"43"	1	322200																														342	1154	652	2224
"Pongo pygmaeus"		"Pongo_pygmaeus"	"43"	1	362930																														626	1994	948	3568
"Pongo pygmaeus"		"Pongo_pygmaeus"	"43"	1	333010																														398	2114	376	3010
"Pongo pygmaeus"		"Pongo_pygmaeus"	"53"	3	328966.666666667	5172.05																										12.62	25.64	24.22				
"Pongo pygmaeus"		"Pongo_pygmaeus"	"59"	2	308500	5500	42900	4000	13500	238300				600	11500			2700	219800	138300								8400		1000	1400							
"Pongo pygmaeus"		"Pongo_pygmaeus"	"60"	1	333000														240300									9400										
"Pongo pygmaeus"		"Pongo_pygmaeus"	"60"	1	356200														268500									7000										
"Pongo pygmaeus"		"Pongo_pygmaeus"	"60"	1	424700														298900									8400										
"Pongo pygmaeus"		"Pongo_pygmaeus"	"60"	3	371300																								259									
"Pongo pygmaeus"		"Pongo_pygmaeus"	"61"	1	221000		22400																															
"Pongo pygmaeus"		"Pongo_pygmaeus"	"61"	1	333000		39200																															
"Pongo pygmaeus"		"Pongo_pygmaeus"	"61"	1	356200		41200																															
"Pongo pygmaeus"		"Pongo_pygmaeus"	"61"	1	424700		54300																															
"Pongo pygmaeus"		"Pongo_pygmaeus"	"61"	1	343000		42700																															
"Pongo pygmaeus"		"Pongo_pygmaeus"	"61"	1	383200		45200																															
"Pongo pygmaeus"		"Pongo_pygmaeus"	"61"	1	423800		59300																															
"Pongo pygmaeus"		"Pongo_pygmaeus"	"61"	1	477500		52000																															
"Pongo pygmaeus"		"Pongo_pygmaeus"	"64"	1	311200		46400								5500			2000		149800		6300																
"Pongo pygmaeus"		"Pongo_pygmaeus"	"64"	1	394100		50200								9600			3100		170100		9700																
"Pongo pygmaeus"		"Pongo_pygmaeus"	"64"	1	298600		36200								5600			2200		138600		6800																
"Pongo pygmaeus"		"Pongo_pygmaeus"	"64"	1	374100		46200								9000			2600		170800		8500																
"Pongo pygmaeus"		"Pongo_pygmaeus"	"64"	1	344700		46400								7500			2500		144200		7500																
"Pongo pygmaeus"		"Pongo_pygmaeus"	"64"	1	370300		43800								6800			3000		174300		7200																
"Pongo pygmaeus"		"Pongo_pygmaeus"	"56-57"	1	356200													2510													1151							
"Pongo pygmaeus"		"Pongo_pygmaeus"	"56-57"	1	333000										7378			2830													1048							
"Pongo pygmaeus"		"Pongo_pygmaeus"	"56-57"	1	424700																										1348							
"Pongo pygmaeus"		"Pongo_pygmaeus"	"62-63"	4	406900		46000												287700	193300																		
"Propithecus verreauxi"		"Propithecus_verreauxi"	"34"	2	25645.3932924521																							1106										
"Propithecus verreauxi"		"Propithecus_verreauxi"	"53"	2	25194	1222.63																										3.36	3.92	3.24				
"Propithecus verreauxi"	"B"	"Propithecus_verreauxi"	"24,51-52"	2	25194		3957	780	2195	17040	147	3.4	664	159	1411	1411	443	1043	13170		14.6	1341	328	283	263	20	125		68.6	292	251							
"Propithecus verreauxi"		"Propithecus_verreauxi"	"54-55"	1	25190														12190	9840								1570	70									
"Pygathrix nemaeus"		"Pygathrix_nemaeus"	"53"	1	72530.44	2206.11																										4.36	5.58	3.14				
"Pygathrix nemaeus"	"B"	"Pygathrix_nemaeus"	"24,51-52"	1	72530		8063	1345	4727	56189	10.7		942	290	3166	3166	723	2295	48763																			
"Saguinus geoffroyi"		"Saguinus_geoffroyi"	"43"	1	10135																														18	18	12	46
"Saguinus midas"		"Saguinus_midas"	"34"	1	9943.02207894441																							841										
"Saguinus midas"		"Saguinus_midas"	"53"	2	9569.055	428.47																										1.04	1.26	1.12				
"Saguinus midas"	"B"	"Saguinus_midas"	"24,51-52"	2	9569		1061	332	692	7055	17.3	0.29	243	40.9	471	471	120	280	5883										36.8									
"Saguinus oedipus"		"Saguinus_oedipus"	"34"	1	9622.9611535734																							807										
"Saguinus oedipus"		"Saguinus_oedipus"	"43"	1	8938.2																														14	26	12	52
"Saguinus oedipus"		"Saguinus_oedipus"	"53"	3	9537.02666666667	413.31																										1.08	1	1.24				
"Saguinus oedipus"	"B"	"Saguinus_oedipus"	"24,51-52"	3	9537		984	333	754	7052	19.1	0.406	256	60.5	453	453	107	262	5894		4.93	410	152	77.6	73.2	4.45	50.5		33									
"Saimiri sciureus"		"Saimiri_sciureus"	"34"	1	23146.1210842654																							1884										
"Saimiri sciureus"		"Saimiri_sciureus"	"53"	1	22571.532	721.53																										1.52	1.68	1.64				
"Saimiri sciureus"		"Saimiri_sciureus"	"61"	1	19000		1900																															
"Saimiri sciureus"		"Saimiri_sciureus"	"61"	1	20700		1900																															
"Saimiri sciureus"		"Saimiri_sciureus"	"61"	1	20800		2000																															
"Saimiri sciureus"		"Saimiri_sciureus"	"61"	1	23600		2100																															
"Saimiri sciureus"		"Saimiri_sciureus"	"61"	1	23700		1900																															
"Saimiri sciureus"		"Saimiri_sciureus"	"61"	1	24300		2200																															
"Saimiri sciureus"	"B"	"Saimiri_sciureus"	"24,51-52"	1	22572		2260	526	1430	17635	26.8	0.985	413	90.6	1042	1042	168	352	15541		8.86	731	207	180	169	11.5	117		62.9	186	277							
"Saimiri sciureus"		"Saimiri_sciureus"	"54-55"	1	21220														14140	10440								1430										
"Saimiri sciureus"		"Saimiri_sciureus"	"62-63"	4	23100		2000												16500	11700																		
"Semnopithecus entellus"		"Semnopithecus_entellus"	"54-55"	1	107540														76110	51850								4320	140									
"Symphalangus syndactylus"		"Symphalangus_syndactylus"	"43"	1	133880																														396	294	142	832
"Symphalangus syndactylus"		"Symphalangus_syndactylus"	"60"	1	133900																							5400										
"Tarsius syrichta"		"Tarsius_syrichta"	"34"	2	3467.40638002774																							349										
"Tarsius syrichta"		"Tarsius_syrichta"	"53"	2	3393	206.85																										0.72	1.5	0.56				
"Tarsius syrichta"	"B"	"Tarsius_syrichta"	"24,51-52"	2	3393		428	197	303	2258	79.2	0.82	92.7	23.3	133	133	69	153	1768		2.53	175	42.5	17.1	16.1	1.09	15.5		20.8	39.1	49.8							
"Tarsius syrichta"		"Tarsius_syrichta"	"54-55"	1	3060														1620	1470								280	20									
"Trachypithecus francoisi"		"Trachypithecus_francoisi"	"43"	1	98552																														498	434	320	1250
"Varecia variegata"		"Varecia_variegata_variegata"	"34"	1	30427.0155016424																							1745										
"Varecia variegata"		"Varecia_variegata_variegata"	"43"	1	30405																														88	88	24	200
"Varecia variegata"		"Varecia_variegata_variegata"	"53"	1	29713	1420																										3.22	5.3	6.26				
"Varecia variegata"	"B"	"Varecia_variegata_variegata"	"24,51-52"	1	29713		4286	1018	2529	20461	369	5.27	985	206	1591	1591	608	1404	15293										68.9									
