"species_sci"	"Binomial"	"order"	"family"	"genus"	"species"	"Sample_size.brain"	"Sample_size.body"	"Sex"	"Mean_brain_mass_g"	"Mean_body_mass_g"	"BrainReference1"	"BrainReference2"	"Brain.resid"	"T_resid"
"Craseonycteris thonglongyai"	"Craseonycteris_thonglongyai"	"Chiroptera"	"Craseonycteridae"	"Craseonycteris"	"thonglongyai"	">1"	">1"	NA	"0.087"	"2.56"	"Jones&MacLarnon2004"	NA	"-0.106687315"	"-0.018430007"
"Glischropus tylopus"	"Glischropus_tylopus"	"Chiroptera"	"Vespertilionidae"	"Glischropus"	"tylopus"	NA	NA	NA	"0.099"	"4.95"	"Jones&MacLarnon2004"	NA	"-0.265347274"	"-0.194305566"
"Neoromicia nanus"	"Neoromicia_nanus"	"Chiroptera"	"Vespertilionidae"	"Neoromicia"	"nanus"	NA	NA	NA	"0.1"	"3.9"	"Jones&MacLarnon2004"	NA	"-0.18332631"	"-0.106059987"
"Myotis siligorensis"	"Myotis_siligorensis"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"siligorensis"	NA	NA	NA	"0.103"	"3.46"	"Jones&MacLarnon2004"	NA	"-0.131497346"	"-0.051105596"
"Pipistrellus coromandra"	"Pipistrellus_coromandra"	"Chiroptera"	"Vespertilionidae"	"Pipistrellus"	"coromandra"	NA	NA	NA	"0.105"	"4.6"	"Jones&MacLarnon2004"	NA	"-0.215907424"	"-0.142951128"
"Rhogeessa tumida"	"Rhogeessa_tumida"	"Chiroptera"	"Vespertilionidae"	"Rhogeessa"	"tumida"	NA	NA	NA	"0.1055"	"5.05"	"Jones&MacLarnon2004"	NA	"-0.244244703"	"-0.173725187"
"Pipistrellus papuanus"	"Pipistrellus_papuanus"	"Chiroptera"	"Vespertilionidae"	"Pipistrellus"	"papuanus"	NA	NA	NA	"0.11"	"3.34"	"Patzke.etal.2015"	"Baron, et al 1996"	"-0.091444555"	"-0.0990197"
"Rhogeessa parvula"	"Rhogeessa_parvula"	"Chiroptera"	"Vespertilionidae"	"Rhogeessa"	"parvula"	NA	NA	NA	"0.111"	"4.35"	"Jones&MacLarnon2004"	NA	"-0.173572146"	"-0.09915688"
"Pipistrellus tenuis"	"Pipistrellus_tenuis"	"Chiroptera"	"Vespertilionidae"	"Pipistrellus"	"tenuis"	NA	NA	NA	"0.113"	"5.2"	"Jones&MacLarnon2004"	NA	"-0.223952781"	"-0.154197479"
"Kerivoula phalaena"	"Kerivoula_phalaena"	"Chiroptera"	"Vespertilionidae"	"Kerivoula"	"phalaena"	NA	NA	NA	"0.116"	"3"	"Jones&MacLarnon2004"	NA	"-0.033410021"	"-0.276334758"
"Tylonycteris robustula"	"Tylonycteris_robustula"	"Chiroptera"	"Vespertilionidae"	"Tylonycteris"	"robustula"	NA	NA	NA	"0.116"	"7.6"	"Jones&MacLarnon2004"	NA	"-0.336182059"	"0.050706307"
"Pipistrellus javanicus"	"Pipistrellus_javanicus"	"Chiroptera"	"Vespertilionidae"	"Pipistrellus"	"javanicus"	NA	NA	NA	"0.119"	"4.5"	"Jones&MacLarnon2004"	NA	"-0.154390708"	"-0.080860569"
"Vespadelus pumilus"	"Vespadelus_pumilus"	"Chiroptera"	"Vespertilionidae"	"Vespadelus"	"pumilus"	NA	NA	NA	"0.122"	"5.45"	"Jones&MacLarnon2004"	NA	"-0.205966404"	"-0.137437089"
"Myotis muricola"	"Myotis_muricola"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"muricola"	NA	NA	NA	"0.125"	"4.95"	"Jones&MacLarnon2004"	NA	"-0.164072455"	"-0.117067685"
"Pipistrellus subflavus"	"Pipistrellus_subflavus"	"Chiroptera"	"Vespertilionidae"	"Pipistrellus"	"subflavus"	NA	NA	NA	"0.125"	"5.3"	"Jones&MacLarnon2004"	NA	"-0.186325663"	"-0.093030747"
"Myotis albescens"	"Myotis_albescens"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"albescens"	NA	NA	NA	"0.126"	"4"	"Jones&MacLarnon2004"	NA	"-0.091202379"	"-0.014597072"
"Furipterus horrens"	"Furipterus_horrens"	"Chiroptera"	"Furipteridae"	"Furipterus"	"horrens"	NA	NA	NA	"0.127"	"3.43"	"Jones&MacLarnon2004"	NA	"-0.037694339"	"-0.048672678"
"Saccopteryx canescens"	"Saccopteryx_canescens"	"Chiroptera"	"Emballonuridae"	"Saccopteryx"	"canescens"	NA	NA	NA	"0.13"	"3.4"	"Jones&MacLarnon2004"	NA	"-0.024693279"	"0.056155195"
"Myotis yumanensis"	"Myotis_yumanensis"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"yumanensis"	NA	NA	NA	"0.13"	"4.6"	"Jones&MacLarnon2004"	NA	"-0.123153371"	"-0.050197074"
"Hypsugo crassulus"	"Hypsugo_crassulus"	"Chiroptera"	"Vespertilionidae"	"Hypsugo"	"crassulus"	NA	NA	NA	"0.132"	"6.1"	"Jones&MacLarnon2004"	NA	"-0.20845264"	"-0.142865082"
"Myotis fortidens"	"Myotis_fortidens"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"fortidens"	NA	NA	NA	"0.1325"	"4.35"	"Jones&MacLarnon2004"	NA	"-0.096679246"	"-0.022263981"
"Aselliscus tricuspidatus"	"Aselliscus_tricuspidatus"	"Chiroptera"	"Hipposideridae"	"Aselliscus"	"tricuspidatus"	">1"	">1"	NA	"0.134"	"4.4"	"Jones&MacLarnon2004"	NA	"-0.095512925"	"-0.021396049"
"Hypsugo imbricatus"	"Hypsugo_imbricatus"	"Chiroptera"	"Vespertilionidae"	"Hypsugo"	"imbricatus"	NA	NA	NA	"0.137"	"6.8"	"Jones&MacLarnon2004"	NA	"-0.227690638"	"-0.164939374"
"Hypsugo pulveratus"	"Hypsugo_pulveratus"	"Chiroptera"	"Vespertilionidae"	"Hypsugo"	"pulveratus"	NA	NA	NA	"0.143"	"5.3"	"Jones&MacLarnon2004"	NA	"-0.127899639"	"-0.146323904"
"Scotozous dormeri"	"Scotozous_dormeri"	"Chiroptera"	"Vespertilionidae"	"Scotozous"	"dormeri"	NA	NA	NA	"0.143"	"6.8"	"Jones&MacLarnon2004"	NA	"-0.209075168"	"-0.058641661"
"Glauconycteris beatrix"	"Glauconycteris_beatrix"	"Chiroptera"	"Vespertilionidae"	"Glauconycteris"	"beatrix"	NA	NA	NA	"0.144"	"5.5"	"Jones&MacLarnon2004"	NA	"-0.13693841"	"-0.068647534"
"Peropteryx trinitatis"	"Peropteryx_trinitatis"	"Chiroptera"	"Emballonuridae"	"Peropteryx"	"trinitatis"	NA	NA	NA	"0.1495"	"5"	"Hutcheon.etal.2002"	NA	"-0.08961491"	"-0.018835603"
"Aselliscus stoliczkanus"	"Aselliscus_stoliczkanus"	"Chiroptera"	"Hipposideridae"	"Aselliscus"	"stoliczkanus"	">1"	">1"	NA	"0.15"	"4.9"	"Jones&MacLarnon2004"	NA	"-0.08158434"	"-0.010277566"
"Hipposideros halophyllus"	"Hipposideros_halophyllus"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"halophyllus"	NA	NA	NA	"0.152"	"4"	"Jones&MacLarnon2004"	NA	"-0.009729336"	"0.066875971"
"Peropteryx macrotis"	"Peropteryx_macrotis"	"Chiroptera"	"Emballonuridae"	"Peropteryx"	"macrotis"	NA	NA	NA	"0.1566"	"5.4"	"Jones&MacLarnon2004"	NA	"-0.094532392"	"-0.025762443"
"Eptesicus pachyotis"	"Eptesicus_pachyotis"	"Chiroptera"	"Vespertilionidae"	"Eptesicus"	"pachyotis"	">1"	">1"	NA	"0.158"	"6.6"	"Jones&MacLarnon2004"	NA	"-0.156030296"	"-0.20550992"
"Hesperoptenus blanfordi"	"Hesperoptenus_blanfordi"	"Chiroptera"	"Vespertilionidae"	"Hesperoptenus"	"blanfordi"	NA	NA	NA	"0.158"	"7.3"	"Jones&MacLarnon2004"	NA	"-0.188864791"	"-0.127965989"
"Scotorepens sanborni"	"Scotorepens_sanborni"	"Chiroptera"	"Vespertilionidae"	"Scotorepens"	"sanborni"	NA	NA	NA	"0.158"	"9.1"	"Jones&MacLarnon2004"	NA	"-0.260654351"	"-0.092499608"
"Saccopteryx leptura"	"Saccopteryx_leptura"	"Chiroptera"	"Emballonuridae"	"Saccopteryx"	"leptura"	NA	NA	NA	"0.1605"	"4.9"	"Jones&MacLarnon2004"	NA	"-0.052200562"	"0.019106212"
"Myotis lucifugus"	"Myotis_lucifugus"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"lucifugus"	NA	NA	NA	"0.16133"	"8"	"Jones&MacLarnon2004"	NA	"-0.209632364"	"-0.151124267"
"Emballonura monticola"	"Emballonura_monticola"	"Chiroptera"	"Emballonuridae"	"Emballonura"	"monticola"	">1"	">1"	NA	"0.163"	"5.4"	"Jones&MacLarnon2004"	NA	"-0.077136545"	"-0.008366596"
"Rhinolophus pusillus"	"Rhinolophus_pusillus"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"pusillus"	NA	NA	NA	"0.164"	"4.7"	"Jones&MacLarnon2004"	NA	"-0.029257959"	"0.043136837"
"Pipistrellus kuhlii"	"Pipistrellus_kuhlii"	"Chiroptera"	"Vespertilionidae"	"Pipistrellus"	"kuhlii"	NA	NA	NA	"0.166"	"6.3"	"Jones&MacLarnon2004"	NA	"-0.119426616"	"-0.054681349"
"Nyctophilus geoffroyi"	"Nyctophilus_geoffroyi"	"Chiroptera"	"Vespertilionidae"	"Nyctophilus"	"geoffroyi"	NA	NA	NA	"0.167"	"7.2"	"Jones&MacLarnon2004"	NA	"-0.160312593"	"-0.099053664"
"Miniopterus australis"	"Miniopterus_australis"	"Chiroptera"	"Vespertilionidae"	"Miniopterus"	"australis"	NA	NA	NA	"0.17"	"7.1"	"Jones&MacLarnon2004"	NA	"-0.14802449"	"-0.114943011"
"Lasiurus borealis"	"Lasiurus_borealis"	"Chiroptera"	"Vespertilionidae"	"Lasiurus"	"borealis"	NA	NA	NA	"0.17"	"7.7"	"Jones&MacLarnon2004"	NA	"-0.174449015"	"-0.086400398"
"Myotis montivagus"	"Myotis_montivagus"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"montivagus"	NA	NA	NA	"0.17"	"8.3"	"Jones&MacLarnon2004"	NA	"-0.198889766"	"-0.141342836"
"Myotis riparius"	"Myotis_riparius"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"riparius"	NA	NA	NA	"0.173"	"7.95"	"Jones&MacLarnon2004"	NA	"-0.177259232"	"-0.118587444"
"Emballonura raffrayana"	"Emballonura_raffrayana"	"Chiroptera"	"Emballonuridae"	"Emballonura"	"raffrayana"	">1"	">1"	NA	"0.174"	"5.9"	"Jones&MacLarnon2004"	NA	"-0.077618856"	"-0.011160925"
"Cyttarops alecto"	"Cyttarops_alecto"	"Chiroptera"	"Emballonuridae"	"Cyttarops"	"alecto"	">1"	">1"	NA	"0.175"	"5.3"	"Jones&MacLarnon2004"	NA	"-0.040197627"	"0.02906035"
"Molossops temminckii"	"Molossops_temminckii"	"Chiroptera"	"Molossidae"	"Molossops"	"temminckii"	NA	NA	NA	"0.181"	"6.8"	"Jones&MacLarnon2004"	NA	"-0.10673263"	"-0.043981367"
"Pipistrellus ceylonicus"	"Pipistrellus_ceylonicus"	"Chiroptera"	"Vespertilionidae"	"Pipistrellus"	"ceylonicus"	NA	NA	NA	"0.182"	"10.1"	"Jones&MacLarnon2004"	NA	"-0.233200348"	"-0.180778043"
"Barbastella barbastellus"	"Barbastella_barbastellus"	"Chiroptera"	"Vespertilionidae"	"Barbastella"	"barbastellus"	">1"	">1"	NA	"0.184"	"6"	"Jones&MacLarnon2004"	NA	"-0.05882476"	"0.007194357"
"Emballonura semicaudata"	"Emballonura_semicaudata"	"Chiroptera"	"Emballonuridae"	"Emballonura"	"semicaudata"	">1"	">1"	NA	"0.184"	"7"	"Jones&MacLarnon2004"	NA	"-0.109035314"	"-0.047040879"
"Chalinolobus morio"	"Chalinolobus_morio"	"Chiroptera"	"Vespertilionidae"	"Chalinolobus"	"morio"	">1"	">1"	NA	"0.1845"	"8.35"	"Jones&MacLarnon2004"	NA	"-0.165298622"	"-0.107908502"
"Cynomops planirostris"	"Cynomops_planirostris"	"Chiroptera"	"Molossidae"	"Cynomops"	"planirostris"	">1"	">1"	NA	"0.185"	"7.25"	"Jones&MacLarnon2004"	NA	"-0.118111489"	"-0.057033245"
"Phoniscus atrox"	"Phoniscus_atrox"	"Chiroptera"	"Vespertilionidae"	"Phoniscus"	"atrox"	NA	NA	NA	"0.188"	"4.2"	"Jones&MacLarnon2004"	NA	"0.066692805"	"0.142024261"
"Myotis hasseltii"	"Myotis_hasseltii"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"hasseltii"	NA	NA	NA	"0.188"	"7.5"	"Jones&MacLarnon2004"	NA	"-0.122167912"	"-0.061974795"
"Rhinolophus lepidus"	"Rhinolophus_lepidus"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"lepidus"	NA	NA	NA	"0.18833"	"5.6"	"Jones&MacLarnon2004"	NA	"-0.026250453"	"0.041569983"
"Eptesicus furinalis"	"Eptesicus_furinalis"	"Chiroptera"	"Vespertilionidae"	"Eptesicus"	"furinalis"	">1"	">1"	NA	"0.1895"	"7.6"	"Jones&MacLarnon2004"	NA	"-0.123030834"	"-0.063183533"
"Neoromicia flavescens"	"Neoromicia_flavescens"	"Chiroptera"	"Vespertilionidae"	"Neoromicia"	"flavescens"	NA	NA	NA	"0.19"	"10.5"	"Jones&MacLarnon2004"	NA	"-0.227169196"	"-0.17576095"
"Rhinolophus cornutus"	"Rhinolophus_cornutus"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"cornutus"	NA	NA	NA	"0.194"	"6.6"	"Jones&MacLarnon2004"	NA	"-0.066885653"	"-0.003354966"
"Myotis horsfieldii"	"Myotis_horsfieldii"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"horsfieldii"	NA	NA	NA	"0.197"	"6.3"	"Jones&MacLarnon2004"	NA	"-0.045068478"	"0.019676789"
"Hipposideros ater"	"Hipposideros_ater"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"ater"	NA	NA	NA	"0.198"	"5.83"	"Jones&MacLarnon2004"	NA	"-0.017615285"	"0.049154262"
"Eptesicus brasiliensis"	"Eptesicus_brasiliensis"	"Chiroptera"	"Vespertilionidae"	"Eptesicus"	"brasiliensis"	">1"	">1"	NA	"0.19833"	"9.03"	"Jones&MacLarnon2004"	NA	"-0.159407771"	"-0.104061728"
"Myotis bocagii"	"Myotis_bocagii"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"bocagii"	"1"	"1"	NA	"0.2"	"7.3"	"Jones&MacLarnon2004"	NA	"-0.086491883"	"-0.095318187"
"Myotis velifer"	"Myotis_velifer"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"velifer"	NA	NA	NA	"0.2"	"8.9"	"Jones&MacLarnon2004"	NA	"-0.151042836"	"-0.02559308"
"Rhinolophus malayanus"	"Rhinolophus_malayanus"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"malayanus"	NA	NA	NA	"0.202"	"6.4"	"Jones&MacLarnon2004"	NA	"-0.03931295"	"0.025021147"
"Kerivoula pellucida"	"Kerivoula_pellucida"	"Chiroptera"	"Vespertilionidae"	"Kerivoula"	"pellucida"	NA	NA	NA	"0.203"	"4.1"	"Jones&MacLarnon2004"	NA	"0.107880141"	"0.183840754"
"Glauconycteris poensis"	"Glauconycteris_poensis"	"Chiroptera"	"Vespertilionidae"	"Glauconycteris"	"poensis"	NA	NA	NA	"0.205"	"8.6"	"Jones&MacLarnon2004"	NA	"-0.129150202"	"-0.072530307"
"Rhinolophus macrotis"	"Rhinolophus_macrotis"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"macrotis"	NA	NA	NA	"0.208"	"6.3"	"Jones&MacLarnon2004"	NA	"-0.021471369"	"0.043273898"
"Hipposideros cervinus"	"Hipposideros_cervinus"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"cervinus"	NA	NA	NA	"0.214"	"7.3"	"Jones&MacLarnon2004"	NA	"-0.057108105"	"0.003790697"
"Eptesicus fuscus"	"Eptesicus_fuscus"	"Chiroptera"	"Vespertilionidae"	"Eptesicus"	"fuscus"	">1"	">1"	NA	"0.21433"	"11.23"	"Jones&MacLarnon2004"	NA	"-0.196732877"	"-0.147079492"
"Miniopterus pusillus"	"Miniopterus_pusillus"	"Chiroptera"	"Vespertilionidae"	"Miniopterus"	"pusillus"	NA	NA	NA	"0.216"	"8.6"	"Jones&MacLarnon2004"	NA	"-0.106450311"	"-0.049830417"
"Murina tubinaris"	"Murina_tubinaris"	"Chiroptera"	"Vespertilionidae"	"Murina"	"tubinaris"	NA	NA	NA	"0.217"	"5.45"	"Jones&MacLarnon2004"	NA	"0.0441335"	"0.112662814"
"Cormura brevirostris"	"Cormura_brevirostris"	"Chiroptera"	"Emballonuridae"	"Cormura"	"brevirostris"	">1"	">1"	NA	"0.219"	"8.2"	"Jones&MacLarnon2004"	NA	"-0.084946356"	"-0.027082953"
"Mormopterus jugularis"	"Mormopterus_jugularis"	"Chiroptera"	"Molossidae"	"Mormopterus"	"jugularis"	NA	NA	NA	"0.22"	"11.5"	"Jones&MacLarnon2004"	NA	"-0.193131794"	"0.02310435"
"Myotis annectans"	"Myotis_annectans"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"annectans"	NA	NA	NA	"0.221"	"9.8"	"Jones&MacLarnon2004"	NA	"-0.139057899"	"-0.085848335"
"Thyroptera tricolor"	"Thyroptera_tricolor"	"Chiroptera"	"Thyropteridae"	"Thyroptera"	"tricolor"	NA	NA	NA	"0.23"	"4.5"	"Jones&MacLarnon2004"	NA	"0.131790167"	"0.205320305"
"Myotis daubentonii"	"Myotis_daubentonii"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"daubentonii"	"1"	"1"	NA	"0.23"	"7.75"	"Jones&MacLarnon2004"	NA	"-0.045278353"	"0.014058662"
"Eptesicus dimissus"	"Eptesicus_dimissus"	"Chiroptera"	"Vespertilionidae"	"Eptesicus"	"dimissus"	">1"	">1"	NA	"0.231"	"15"	"Jones&MacLarnon2004"	NA	"-0.258488355"	"-0.216392448"
"Hipposideros pomona"	"Hipposideros_pomona"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"pomona"	NA	NA	NA	"0.233"	"6.2"	"Jones&MacLarnon2004"	NA	"0.03303291"	"-0.193365182"
"Rhinolophus thomasi"	"Rhinolophus_thomasi"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"thomasi"	NA	NA	NA	"0.233"	"9"	"Jones&MacLarnon2004"	NA	"-0.088356321"	"0.098195926"
"Mormopterus beccarii"	"Mormopterus_beccarii"	"Chiroptera"	"Molossidae"	"Mormopterus"	"beccarii"	NA	NA	NA	"0.233"	"14.2"	"Jones&MacLarnon2004"	NA	"-0.236892064"	"-0.032923393"
"Pteronotus personatus"	"Pteronotus_personatus"	"Chiroptera"	"Mormoopidae"	"Pteronotus"	"personatus"	NA	NA	NA	"0.234"	"7.8"	"Jones&MacLarnon2004"	NA	"-0.039885026"	"0.019284087"
"Hipposideros fulvus"	"Hipposideros_fulvus"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"fulvus"	NA	NA	NA	"0.236"	"7"	"Jones&MacLarnon2004"	NA	"-0.000941134"	"0.061053301"
"Plecotus auritus"	"Plecotus_auritus"	"Chiroptera"	"Vespertilionidae"	"Plecotus"	"auritus"	NA	NA	NA	"0.238"	"6.6"	"Jones&MacLarnon2004"	NA	"0.021889574"	"0.085420262"
"Nycteris nana"	"Nycteris_nana"	"Chiroptera"	"Nycteridae"	"Nycteris"	"nana"	NA	NA	NA	"0.239"	"6.95"	"Jones&MacLarnon2004"	NA	"0.006879712"	"0.069061307"
"Myotis altarium"	"Myotis_altarium"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"altarium"	NA	NA	NA	"0.24"	"11"	"Jones&MacLarnon2004"	NA	"-0.140864234"	"-0.090670568"
"Chalinolobus gouldii"	"Chalinolobus_gouldii"	"Chiroptera"	"Vespertilionidae"	"Chalinolobus"	"gouldii"	">1"	">1"	NA	"0.24"	"11.7"	"Jones&MacLarnon2004"	NA	"-0.160959301"	"-0.143990764"
"Asellia tridens"	"Asellia_tridens"	"Chiroptera"	"Hipposideridae"	"Asellia"	"tridens"	">1"	">1"	NA	"0.24"	"12.8"	"Jones&MacLarnon2004"	NA	"-0.190227651"	"-0.112376377"
"Rhinolophus clivosus"	"Rhinolophus_clivosus"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"clivosus"	NA	NA	NA	"0.242"	"20.1"	"Jones&MacLarnon2004"	NA	"-0.333614445"	"-0.299159777"
"Natalus tumidirostris"	"Natalus_tumidirostris"	"Chiroptera"	"Natalidae"	"Natalus"	"tumidirostris"	NA	NA	NA	"0.245"	"6.9"	"Jones&MacLarnon2004"	NA	"0.019999702"	"0.082369809"
"Rhinonicteris aurantia"	"Rhinonicteris_aurantia"	"Chiroptera"	"Hipposideridae"	"Rhinonicteris"	"aurantia"	NA	NA	NA	"0.249"	"8.65"	"Jones&MacLarnon2004"	NA	"-0.046592975"	"0.009875564"
"Nyctophilus timoriensis"	"Nyctophilus_timoriensis"	"Chiroptera"	"Vespertilionidae"	"Nyctophilus"	"timoriensis"	NA	NA	NA	"0.254"	"10.9"	"Jones&MacLarnon2004"	NA	"-0.113267091"	"-0.062834987"
"Myotis adversus"	"Myotis_adversus"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"adversus"	NA	NA	NA	"0.2545"	"11.25"	"Jones&MacLarnon2004"	NA	"-0.122707634"	"-0.073100706"
"Rhinolophus capensis"	"Rhinolophus_capensis"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"capensis"	NA	NA	NA	"0.256"	"12.8"	"Jones&MacLarnon2004"	NA	"-0.162198928"	"-0.115962041"
"Murina huttoni"	"Murina_huttoni"	"Chiroptera"	"Vespertilionidae"	"Murina"	"huttoni"	NA	NA	NA	"0.258"	"8.8"	"Jones&MacLarnon2004"	NA	"-0.036772591"	"0.019247075"
"Coleura afra"	"Coleura_afra"	"Chiroptera"	"Emballonuridae"	"Coleura"	"afra"	">1"	">1"	NA	"0.2585"	"11.5"	"Jones&MacLarnon2004"	NA	"-0.123093928"	"-0.074060842"
"Rhinolophus coelophyllus"	"Rhinolophus_coelophyllus"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"coelophyllus"	NA	NA	NA	"0.259"	"7.7"	"Jones&MacLarnon2004"	NA	"0.008401827"	"0.067907832"
"Myotis tricolor"	"Myotis_tricolor"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"tricolor"	NA	NA	NA	"0.259"	"13.6"	"Jones&MacLarnon2004"	NA	"-0.176886015"	"-0.132231961"
"Myotis bechsteinii"	"Myotis_bechsteinii"	"Chiroptera"	"Vespertilionidae"	"Myotis"	"bechsteinii"	"2"	"2"	NA	"0.26"	"9"	"Jones&MacLarnon2004"	NA	"-0.040738894"	"0.014694034"
"Rhinolophus megaphyllus"	"Rhinolophus_megaphyllus"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"megaphyllus"	NA	NA	NA	"0.2605"	"9.8"	"Jones&MacLarnon2004"	NA	"-0.067642445"	"-0.014432881"
"Hipposideros ruber"	"Hipposideros_ruber"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"ruber"	NA	NA	NA	"0.265"	"7.3"	"Jones&MacLarnon2004"	NA	"0.035723996"	"-0.060202722"
"Murina cyclotis"	"Murina_cyclotis"	"Chiroptera"	"Vespertilionidae"	"Murina"	"cyclotis"	NA	NA	NA	"0.265"	"7.88"	"Jones&MacLarnon2004"	NA	"0.010821249"	"0.096622798"
"Miniopterus fuscus"	"Miniopterus_fuscus"	"Chiroptera"	"Vespertilionidae"	"Miniopterus"	"fuscus"	NA	NA	NA	"0.265"	"11.4"	"Jones&MacLarnon2004"	NA	"-0.109463833"	"0.069723944"
"Rhinolophus paradoxolophus"	"Rhinolophus_paradoxolophus"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"paradoxolophus"	NA	NA	NA	"0.267"	"9.3"	"Jones&MacLarnon2004"	NA	"-0.039881409"	"0.014695418"
"Hipposideros ridleyi"	"Hipposideros_ridleyi"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"ridleyi"	NA	NA	NA	"0.269"	"9.65"	"Jones&MacLarnon2004"	NA	"-0.048673774"	"0.004938503"
"Miniopterus schreibersii"	"Miniopterus_schreibersii"	"Chiroptera"	"Vespertilionidae"	"Miniopterus"	"schreibersii"	"6"	"6"	NA	"0.2703"	"11.78"	"Jones&MacLarnon2004"	NA	"-0.111544089"	"-0.063139079"
"Triaenops persicus"	"Triaenops_persicus"	"Chiroptera"	"Hipposideridae"	"Triaenops"	"persicus"	NA	NA	NA	"0.2705"	"13.7"	"Jones&MacLarnon2004"	NA	"-0.160404775"	"-0.115941996"
"Miniopterus medius"	"Miniopterus_medius"	"Chiroptera"	"Vespertilionidae"	"Miniopterus"	"medius"	NA	NA	NA	"0.27122"	"11.71"	"Hutcheon.etal.2002"	NA	"-0.108127109"	"-0.059566491"
"Micronycteris megalotis"	"Micronycteris_megalotis"	"Chiroptera"	"Phyllostomidae"	"Micronycteris"	"megalotis"	NA	NA	NA	"0.274"	"6.5"	"Jones&MacLarnon2004"	NA	"0.08803616"	"0.151965462"
"Mops pumilus"	"Chaerephon_pumilus"	"Chiroptera"	"Molossidae"	"Chaerephon"	"pumilus"	">1"	">1"	NA	"0.274"	"12.09"	"Jones&MacLarnon2004"	NA	"-0.114100408"	"-0.066373585"
"Rhinopoma hardwickii"	"Rhinopoma_hardwickii"	"Chiroptera"	"Rhinopomatidae"	"Rhinopoma"	"hardwickii"	NA	NA	NA	"0.275"	"12.9"	"Jones&MacLarnon2004"	NA	"-0.133641028"	"-0.087607323"
"Rhinolophus landeri"	"Rhinolophus_landeri"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"landeri"	NA	NA	NA	"0.276"	"9.65"	"Jones&MacLarnon2004"	NA	"-0.037516972"	"0.016095305"
"Rhinolophus robinsoni"	"Rhinolophus_robinsoni"	"Chiroptera"	"Rhinolophidae"	"Rhinolophus"	"robinsoni"	NA	NA	NA	"0.2785"	"8.5"	"Jones&MacLarnon2004"	NA	"0.007730816"	"0.064656079"
"Nycteris thebaica"	"Nycteris_thebaica"	"Chiroptera"	"Nycteridae"	"Nycteris"	"thebaica"	NA	NA	NA	"0.2785"	"8.95"	"Jones&MacLarnon2004"	NA	"-0.009072421"	"0.046505961"
"Hipposideros galeritus"	"Hipposideros_galeritus"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"galeritus"	NA	NA	NA	"0.279"	"10.4"	"Jones&MacLarnon2004"	NA	"-0.057201595"	"-0.005543503"
"Nycteris hispida"	"Nycteris_hispida"	"Chiroptera"	"Nycteridae"	"Nycteris"	"hispida"	NA	NA	NA	"0.284"	"7.8"	"Jones&MacLarnon2004"	NA	"0.044217456"	"-0.033203049"
"Hipposideros speoris"	"Hipposideros_speoris"	"Chiroptera"	"Hipposideridae"	"Hipposideros"	"speoris"	NA	NA	NA	"0.284"	"11.5"	"Jones&MacLarnon2004"	NA	"-0.082236135"	"0.103386569"
"Molossus molossus"	"Molossus_molossus"	"Chiroptera"	"Molossidae"	"Molossus"	"molossus"	NA	NA	NA	"0.28467"	"13.23"	"Jones&MacLarnon2004"	NA	"-0.126859696"	"-0.08148549"
