"subject_no"	"species"	"structure"	"volume_cm3"	"SERT_axon_density_um_per_um3"	"hemisphere"	"source"
3	"Pan troglodytes"	"Central_nucleus"	0.0514	0.00308	"one side"	"Stimpson_etal_2015"
4	"Pan troglodytes"	"Central_nucleus"	0.04619	0.0034	"one side"	"Stimpson_etal_2015"
5	"Pan troglodytes"	"Central_nucleus"	0.04467	0.00217	"one side"	"Stimpson_etal_2015"
6	"Pan troglodytes"	"Central_nucleus"	0.03773	0.00219	"one side"	"Stimpson_etal_2015"
7	"Pan troglodytes"	"Central_nucleus"	0.02024	0.00323	"one side"	"Stimpson_etal_2015"
1	"Pan troglodytes"	"Lateral_nucleus"	0.25253	0.00393	"one side"	"Stimpson_etal_2015"
2	"Pan troglodytes"	"Lateral_nucleus"	0.19063	0.00313	"one side"	"Stimpson_etal_2015"
3	"Pan troglodytes"	"Lateral_nucleus"	0.14383	0.00358	"one side"	"Stimpson_etal_2015"
4	"Pan troglodytes"	"Lateral_nucleus"	0.20285	0.00225	"one side"	"Stimpson_etal_2015"
5	"Pan troglodytes"	"Lateral_nucleus"	0.16715	0.00232	"one side"	"Stimpson_etal_2015"
6	"Pan troglodytes"	"Lateral_nucleus"	0.12403	0.00363	"one side"	"Stimpson_etal_2015"
7	"Pan troglodytes"	"Lateral_nucleus"	0.15798	0.00328	"one side"	"Stimpson_etal_2015"
1	"Pan troglodytes"	"Middle_temporal_gyrus"	NA	0.0012	"one side"	"Stimpson_etal_2015"
2	"Pan troglodytes"	"Middle_temporal_gyrus"	NA	0.00148	"one side"	"Stimpson_etal_2015"
3	"Pan troglodytes"	"Middle_temporal_gyrus"	NA	0.0011	"one side"	"Stimpson_etal_2015"
4	"Pan troglodytes"	"Middle_temporal_gyrus"	NA	0.00104	"one side"	"Stimpson_etal_2015"
5	"Pan troglodytes"	"Middle_temporal_gyrus"	NA	0.00087	"one side"	"Stimpson_etal_2015"
6	"Pan troglodytes"	"Middle_temporal_gyrus"	NA	0.00181	"one side"	"Stimpson_etal_2015"
7	"Pan troglodytes"	"Middle_temporal_gyrus"	NA	0.0007	"one side"	"Stimpson_etal_2015"
1	"Pan troglodytes"	"Whole_amygdala"	1.06538	0.00349	"one side"	"Stimpson_etal_2015"
2	"Pan troglodytes"	"Whole_amygdala"	0.96294	0.00246	"one side"	"Stimpson_etal_2015"
3	"Pan troglodytes"	"Whole_amygdala"	0.70151	0.00184	"one side"	"Stimpson_etal_2015"
4	"Pan troglodytes"	"Whole_amygdala"	0.95921	0.00219	"one side"	"Stimpson_etal_2015"
5	"Pan troglodytes"	"Whole_amygdala"	0.85707	0.0016	"one side"	"Stimpson_etal_2015"
6	"Pan troglodytes"	"Whole_amygdala"	0.69016	0.00246	"one side"	"Stimpson_etal_2015"
7	"Pan troglodytes"	"Whole_amygdala"	0.72259	0.0038	"one side"	"Stimpson_etal_2015"
