accepted_name,ncbi_taxid,in_Stephan,in_HerculanoHouzel,in_Allman,Order_Stephan1981,Suborder_Stephan1981,Family_Stephan1981,code_Stephan1981,Order_MDD,Family_MDD,mdd_accepted_name,needs_taxonomy_review,Order_resolved,Family_resolved,taxonomy_source,order_matches_MDD
Odocoileus virginianus,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Artiodactyla,Cervidae,NCBI:name,NA
Oryctolagus cuniculus,9986,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Lagomorpha,Leporidae,NCBI:taxid,NA
Oryzorictes hova,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,6,Afrosoricida,Tenrecidae,Oryzorictes hova,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Osphranter rufus,9321,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Diprotodontia,Macropodidae,NCBI:taxid,NA
Otolemur crassicaudatus,NA,TRUE,FALSE,TRUE,Primates,Prosimians,Lorisidae,141,Primates,Galagidae,Otolemur crassicaudatus,FALSE,Primates,Galagidae,NCBI:name,TRUE
Otolemur garnettii,30611,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Galagidae,NCBI:taxid,NA
Pan paniscus,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Hominidae,NCBI:name,NA
Pan troglodytes,NA,TRUE,FALSE,TRUE,Primates,Simians,NA,277,Primates,Hominidae,Pan troglodytes,FALSE,Primates,Hominidae,NCBI:name,TRUE
Panthera leo,9689,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Felidae,NCBI:taxid,NA
Papio anubis,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,212,Primates,Cercopithecidae,Papio anubis,FALSE,Primates,Cercopithecidae,NCBI:name,TRUE
Papio cynocephalus,9556,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:taxid,NA
Papio hamadryas,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Primates,Cercopithecidae,NCBI:name,NA
Parascalops breweri,94437,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Eulipotyphla,Talpidae,NCBI:taxid,NA
Perodicticus potto,NA,TRUE,FALSE,TRUE,Primates,Prosimians,Lorisidae,139,Primates,Lorisidae,Perodicticus potto,FALSE,Primates,Lorisidae,NCBI:name,TRUE
Petrodromus tetradactylus,113272,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Macroscelidea,Macroscelididae,NCBI:taxid,NA
Piliocolobus badius,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,246,Primates,Cercopithecidae,Piliocolobus badius,FALSE,Primates,Cercopithecidae,NCBI:name,TRUE
Pithecia monachus,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,174,Primates,Pitheciidae,Pithecia monachus,FALSE,Primates,Pitheciidae,NCBI:name,TRUE
