Species,Order,Family
Blarina brevicauda,Eulipotyphla,Soricidae
Bos indicus,Artiodactyla,Bovidae
Bos taurus,Artiodactyla,Bovidae
Bos taurus indicus,Artiodactyla,Bovidae
Bradypus variegatus,Pilosa,Bradypodidae
Bubalus bubalis,Artiodactyla,Bovidae
Burramys parvus,Diprotodontia,Burramyidae
Cacajao calvus,Primates,Pitheciidae
Callicebus brunneus,Primates,Pitheciidae
Callicebus cupreus,Primates,Pitheciidae
Callicebus moloch,Primates,Pitheciidae
Callicebus sp.,Primates,Pitheciidae
Callicebus torquatus,Primates,Pitheciidae
Callimico goeldii,Primates,Cebidae
Callithrix geoffroyi,Primates,Cebidae
Callithrix jacchus,Primates,Cebidae
Callithrix pygmaea,Primates,Cebidae
Callithrix sp.,Primates,Cebidae
Callorhinus ursinus,Carnivora,Otariidae
Caluromys derbianus,Didelphimorphia,Didelphidae
Caluromys philander,Didelphimorphia,Caluromyidae
Camelus,Artiodactyla,Camelidae
Camelus bactrianus,Artiodactyla,Camelidae
Camelus dromedarius,Artiodactyla,Camelidae
Canis aureus,Carnivora,Canidae
Canis latrans,Carnivora,Canidae
Canis lupus,Carnivora,Canidae
Canis lupus familiaris,Carnivora,Canidae
Capra aegagrus,Artiodactyla,Bovidae
Capra hircus,Artiodactyla,Bovidae
Capra hircus domestica,Artiodactyla,Bovidae
Caracal caracal,Carnivora,Felidae
Cardioderma cor,Chiroptera,Megadermatidae
Carlito syrichta,Primates,Tarsiidae
Carollia perspicillata,Chiroptera,Phyllostomidae
Casinycteris argynnis,Chiroptera,Pteropodidae
Castor canadensis,Rodentia,Castoridae
Cavia aperea,Rodentia,Caviidae
Cavia porcellus,Rodentia,Caviidae
Cebuella pygmaea,Primates,Callitrichidae
Cebus albifrons,Primates,Cebidae
Cebus apella,Primates,Cebidae
Cebus capucinus,Primates,Cebidae
Cebus olivaceus,Primates,Cebidae
Cebus sp.,Primates,Cebidae
Cephalophus natalensis,Artiodactyla,Bovidae
Cephalophus silvicultor,Artiodactyla,Bovidae
Ceratotherium simum,Perissodactyla,Rhinocerotidae
Cercartetus concinnus,Diprotodontia,Burramyidae
Cercartetus lepidus,Diprotodontia,Burramyidae
Cercartetus nanus,Diprotodontia,Burramyidae
Cercocebus agilis,Primates,Cercopithecidae
Cercocebus atys,Primates,Cercopithecidae
Cercocebus torquatus,Primates,Cercopithecidae
Cercopithecus ascanius,Primates,Cercopithecidae
Cercopithecus campbelli,Primates,Cercopithecidae
Cercopithecus campbelli lowei,Primates,Cercopithecidae
Cercopithecus cephus,Primates,Cercopithecidae
Cercopithecus diana,Primates,Cercopithecidae
Cercopithecus hamlyni,Primates,Cercopithecidae
Cercopithecus kandti,Primates,Cercopithecidae
Cercopithecus lhoesti,Primates,Cercopithecidae
Cercopithecus mitis,Primates,Cercopithecidae
Cercopithecus neglectus,Primates,Cercopithecidae
Cercopithecus nictitans,Primates,Cercopithecidae
Cercopithecus petaurista,Primates,Cercopithecidae
Cercopithecus sp.,Primates,Cercopithecidae
Cervus elaphus,Artiodactyla,Cervidae
Cheirogaleus major,Primates,Cheirogaleidae
Cheirogaleus medius,Primates,Cheirogaleidae
Chinchilla laniger,Rodentia,Chinchillidae
Chiropotes satanas,Primates,Pitheciidae
Chiropotes satanus,Primates,Pitheciidae
Chlorocebus aethiops,Primates,Cercopithecidae
Chlorocebus pygerythrus,Primates,Cercopithecidae
Chlorocebus sabaeus,Primates,Cercopithecidae
Choloepus didactylis,Pilosa,Megalonychidae
Choloepus didactylus,Pilosa,Megalonychidae
Chrysochloris asiatica,Afrosoricida,Chrysochloridae
Chrysochloris stuhlmanni,Afrosoricida,Chrysochloridae
Chrysocyon brachyurus,Carnivora,Canidae
Coleura afra,Chiroptera,Emballonuridae
Colobus angolensis,Primates,Cercopithecidae
Colobus angolensis palliatus,Primates,Cercopithecidae
Colobus guereza,Primates,Cercopithecidae
Colobus polykomos,Primates,Cercopithecidae
Colobus vellerosus,Primates,Cercopithecidae
Condylura cristata,Eulipotyphla,Talpidae
Connochaetes taurinus,Artiodactyla,Bovidae
Cricetus auratus,Rodentia,Cricetidae
Crocidura flavescens,Eulipotyphla,Soricidae
Crocidura hildegardeae,Eulipotyphla,Soricidae
Crocidura jacksoni,Eulipotyphla,Soricidae
Crocidura olivieri,Eulipotyphla,Soricidae
Crocidura russala,Eulipotyphla,Soricidae
Crocidura russula,Eulipotyphla,Soricidae
Crocuta crocuta,Carnivora,Hyaenidae
Cryptomys hottentotus,Rodentia,Bathyergidae
Cryptomys hottentotus natalensis,Rodentia,Bathyergidae
Cryptomys hottentotus pretoriae,Rodentia,Bathyergidae
Cryptoprocta ferox,Carnivora,Eupleridae
Cuon alpinus,Carnivora,Canidae
Cyclopes didactylus,Pilosa,Cyclopedidae
Cynictis penicillata,Carnivora,Herpestidae
Cynocephalus volans,Dermoptera,Cynocephalidae
Cynomys sp.,Rodentia,Sciuridae
Damaliscus pygargus phillipsi,Artiodactyla,Bovidae
Dasycercus blythi,Dasyuromorphia,Dasyuridae
Dasykaluta rosamundae,Dasyuromorphia,Dasyuridae
Dasyprocta leporina,Rodentia,Dasyproctidae
Dasyprocta prymnolopha,Rodentia,Dasyproctidae
Dasypus novemcinctus,Cingulata,Dasypodidae
Dasyuroides byrnei,Dasyuromorphia,Dasyuridae
Dasyurus geoffroyi,Dasyuromorphia,Dasyuridae
Dasyurus hallucatus,Dasyuromorphia,Dasyuridae
Dasyurus maculatus,Dasyuromorphia,Dasyuridae
Dasyurus viverrinus,Dasyuromorphia,Dasyuridae
Daubentonia madagascariensis,Primates,Daubentoniidae
Delphinus delphis,Cetacea,Delphinidae
Dendrohyrax arboreus,Hyracoidea,Procaviidae
Dendrohyrax dorsalis,Hyracoidea,Procaviidae
Dendrohyrax sp.,Hyracoidea,Procaviidae
Dendrolagus goodfellowi,Diprotodontia,Macropodidae
Dendrolagus lumholtzi,Diprotodontia,Macropodidae
Desmana moschata,Eulipotyphla,Talpidae
Desmodus rotundus,Chiroptera,Phyllostomidae
Desmodus rufus,Chiroptera,Phyllostomidae
Didelphis albiventris,Didelphimorphia,Didelphidae
Didelphis aurita,Didelphimorphia,Didelphidae
Didelphis marsupialis,Didelphimorphia,Didelphidae
Didelphis virginiana,Didelphimorphia,Didelphidae
Dinomys branickii,Rodentia,Dinomyidae
Distoechurus pennatus,Diprotodontia,Acrobatidae
Dorcopsis luctuosa,Diprotodontia,Macropodidae
Dromiciops gliroides,Microbiotheria,Microbiotheriidae
Echinops telfairi,Afrosoricida,Tenrecidae
Echinosorex gymnura,Eulipotyphla,Erinaceidae
Echymipera kalubu,Peramelemorphia,Peramelidae
Eira barbara,Carnivora,Mustelidae
Elephantulus fuscipes,Macroscelidea,Macroscelididae
Elephantulus myurus,Macroscelidea,Macroscelididae
Elephas maximus,Proboscidea,Elephantidae
Enhydra lutris,Carnivora,Mustelidae
Epomophorus wahlbergi,Chiroptera,Pteropodidae
Epomops franqueti,Chiroptera,Pteropodidae
Equus,Perissodactyla,Equidae
Equus asinus,Perissodactyla,Equidae
Equus burchelli,Perissodactyla,Equidae
Equus caballus,Perissodactyla,Equidae
Erethizon dorsatum,Rodentia,Erethizontidae
Erinaceus,Eulipotyphla,Erinaceidae
Erinaceus europaeus,Eulipotyphla,Erinaceidae
Erythrocebus patas,Primates,Cercopithecidae
Eulemur albifrons,Primates,Lemuridae
Eulemur coronatus,Primates,Lemuridae
Eulemur flavifrons,Primates,Lemuridae
Eulemur fulvus,Primates,Lemuridae
Eulemur macaco,Primates,Lemuridae
Eulemur mongoz,Primates,Lemuridae
Eulemur rubriventer,Primates,Lemuridae
Euoticus elegantulus,Primates,Galagidae
Felis catus,Carnivora,Felidae
Fukomys anselli,Rodentia,Bathyergidae
Fukomys damarensis,Rodentia,Bathyergidae
Fukomys darlingi,Rodentia,Bathyergidae
Fukomys mechowii,Rodentia,Bathyergidae
Galago alleni,Primates,Galagidae
