compat_key,canonical_structure,measure_class,n_variables,n_papers,papers,taxa,roles,poolable
Brain_weight | mass,Brain_weight,mass,6,6,Bauernfeind_etal_2013; deSousa_etal_2013; Frahm_etal_1997; Frahm_etal_1998; Stephan_etal_1981; Stephan_etal_1988,"Insectivora & Primates; Insectivora, Scandentia & Primates; Primates; Rodentia & Insectivora",primary; secondary,TRUE
Neocortex | surface area,Neocortex,surface area,14,5,__merging_cortical_areas; Collins_etal_2010; Collins_etal_2016; Finlay_etal_2006; Young_etal_2013_b,Mammals; Mammals (marsupial to primate); Primates,primary; secondary,TRUE
Striatum | volume,Striatum,volume,10,5,Barger_etal_2014; Frahm_etal_1997; Stephan_etal_1970; Stephan_etal_1981; Zilles__Rehkamper_1988,"Apes & humans; Insectivora, Scandentia & Primates; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
(structure-agnostic; see data columns) | ratio (per neuron),(structure-agnostic; see data columns),ratio (per neuron),5,5,AvelinodeSouza_etal_2025; DosSantos_etal_2017; DosSantos_etal_2020; HerculanoHouzel_etal_2015; JardimMesseder_etal_2017,Carnivores & other companion mammals; Cetaceans & other placental mammals; Mammals; Marsupials,both; primary,TRUE
Corpus_geniculatum_laterale | volume,Corpus_geniculatum_laterale,volume,5,5,deSousa_etal_2010; deSousa_etal_2013; Frahm_etal_1998; Stephan_etal_1981; Stephan_etal_1984,"Insectivora & Primates; Insectivora, Scandentia & Primates",primary,TRUE
WholeBrain | mass,WholeBrain,mass,5,5,Collins_etal_2016; deSousa_etal_2010; deSousa_etal_2013; Finlay_etal_2006; Young_etal_2013_b,Mammals (marsupial to primate); Primates,info; primary,TRUE
Amygdala | volume,Amygdala,volume,10,4,Frahm_etal_1997; Stephan_etal_1981; Stephan_etal_1987; Zilles__Rehkamper_1988,"Insectivora & Primates; Insectivora–Primates (incl. Homo); Insectivora, Scandentia & Primates; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
Septum | volume,Septum,volume,8,4,Frahm_etal_1997; Stephan_etal_1970; Stephan_etal_1981; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
Medulla_oblongata | volume,Medulla_oblongata,volume,5,4,Sherwood_etal_2005; Stephan_etal_1970; Stephan_etal_1981; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo)",primary; secondary,TRUE
Area_striata_grey_matter | volume,Area_striata_grey_matter,volume,4,4,deSousa_etal_2010; Frahm_etal_1984; Frahm_etal_1998; Zilles__Rehkamper_1988,Insectivora & Primates; Primates (Pongo),primary,TRUE
Diencephalon | volume,Diencephalon,volume,4,4,Frahm_etal_1997; Stephan_etal_1970; Stephan_etal_1981; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
Telencephalon | volume,Telencephalon,volume,4,4,Frahm_etal_1997; Stephan_etal_1970; Stephan_etal_1981; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
Total_brain_net_volume | volume,Total_brain_net_volume,volume,4,4,Bauernfeind_etal_2013; deSousa_etal_2010; Stephan_etal_1970; Stephan_etal_1981,"Insectivora & Primates; Insectivora, Scandentia & Primates; Primates",primary,TRUE
(structure-agnostic; see data columns) | volume,(structure-agnostic; see data columns),volume,11,3,Collins_etal_2016; Kochiyama_etal_2018; Kverkova_etal_2018,Homo neanderthalensis; Homo sapiens; Homo sapiens (early); Primates; Rodents (African mole-rats +),info; primary; secondary,TRUE
Mesencephalon | volume,Mesencephalon,volume,6,3,Stephan_etal_1970; Stephan_etal_1981; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo)",primary,TRUE
LGN | volume,LGN,volume,5,3,Bush_Allman_2004_b; deSousa_etal_2010; deSousa_etal_2013,Primates,primary,TRUE
(structure-agnostic; see data columns) | proportion (of CNS/body/brain),(structure-agnostic; see data columns),proportion (of CNS/body/brain),4,3,Burish_etal_2010; HerculanoHouzel_etal_2015; Kverkova_etal_2018,Mammals; Primates (+ other mammals); Rodents (African mole-rats +),both; primary; review,TRUE
(structure-agnostic; see data columns) | ratio,(structure-agnostic; see data columns),ratio,4,3,DosSantos_etal_2020; Kochiyama_etal_2018; Weaver_2001,hominoids; Homo; Homo sapiens; Mammals,info; primary; secondary,TRUE
Bulbus_olfactorius | volume,Bulbus_olfactorius,volume,3,3,Frahm_etal_1997; Stephan_etal_1970; Stephan_etal_1981,"Insectivora, Scandentia & Primates; Rodentia & Insectivora",primary,TRUE
NeocortexGrey | volume,NeocortexGrey,volume,3,3,Bush_Allman_2003; Bush_Allman_2004_a; Bush_Allman_2004_b,,primary,TRUE
NeocortexWhite | volume,NeocortexWhite,volume,3,3,Bush_Allman_2003; Bush_Allman_2004_a; Bush_Allman_2004_b,,primary,TRUE
Palaeocortex | volume,Palaeocortex,volume,3,3,Frahm_etal_1997; Stephan_etal_1981; Zilles__Rehkamper_1988,"Insectivora, Scandentia & Primates; Primates (Pongo); Rodentia & Insectivora",primary,TRUE
Schizo_cortex | volume,Schizo_cortex,volume,3,3,Frahm_etal_1997; Stephan_etal_1970; Stephan_etal_1981,"Insectivora, Scandentia & Primates; Rodentia & Insectivora",primary,TRUE
Neocortex | Density.per_cm2,Neocortex,Density.per_cm2,8,2,Collins_etal_2016; Young_etal_2013_b,Primates,primary; secondary,TRUE
Neocortex | Density.per_g,Neocortex,Density.per_g,8,2,Collins_etal_2010; Collins_etal_2016,Primates,primary,TRUE
FrontalGrey | volume,FrontalGrey,volume,7,2,Bush_Allman_2004_a; Smaers_etal_2011,Primates,both; primary,TRUE
AccessoryBasalNucleus | volume,AccessoryBasalNucleus,volume,4,2,Barger_etal_2007; Barger_etal_2014,Apes & humans,primary,TRUE
AmygdaloidComplex | volume,AmygdaloidComplex,volume,4,2,Barger_etal_2007; Barger_etal_2014,Apes & humans,primary,TRUE
BasalNucleus | volume,BasalNucleus,volume,4,2,Barger_etal_2007; Barger_etal_2014,Apes & humans,primary,TRUE
Cerebellum | size index (allometric),Cerebellum,size index (allometric),4,2,Ashwell__2020; Weaver_2001,"Mammalia; monkeys, apes, fossil hominids, humans",derived; secondary,TRUE
CorticospinalTract | FiberDiameter.um,CorticospinalTract,FiberDiameter.um,4,2,Heffner_Masterton_1975; Heffner_Masterton_1983,Mammals,primary,TRUE
LateralNucleus | volume,LateralNucleus,volume,4,2,Barger_etal_2007; Barger_etal_2014,Apes & humans,primary,TRUE
Locomotion | category,Locomotion,category,4,2,Granatosky__2018; Wimberly_etal_2021,mammals,primary; secondary,TRUE
Neocortex | percentage (relative),Neocortex,percentage (relative),4,2,Collins_etal_2016; Young_etal_2013_b,Primates,primary; secondary,TRUE
Neocortex | size index (allometric),Neocortex,size index (allometric),4,2,Lewitus_etal_2013; Lewitus_etal_2014,Mammals,primary; secondary,TRUE
(structure-agnostic; see data columns) | percentage (relative),(structure-agnostic; see data columns),percentage (relative),3,2,Balzeau_etal_2012; Collins_etal_2016,Homo; Primates,secondary,TRUE
