standardized_term,structure,measure,original_term_variant,reference
CerebralCortex_N.n,CerebralCortex,N.n,"Cerebral cortex N, n",HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.n,CerebralCortex,N.n,"Cerebral cortex N, n",JardimMesseder_etal_2017_Table1
CerebralCortex_N.n,CerebralCortex,N.n,"Cerebral cortex N, n",Kverkova_etal_2018_TableS5
CerebralCortex_N.n,CerebralCortex,N.n,Cortex_N.n,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.n,CerebralCortex,N.n,Cortex_N.n,DosSantos_etal_2017_TableS1
CerebralCortex_N.n,CerebralCortex,N.n,Cortex_N.n,DosSantos_etal_2020_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cortex_N.n,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cortex_N.n,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.n,CerebralCortex,N.n,Cortex_N.n,JardimMesseder_etal_2017_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cortex_N.n,Kverkova_etal_2018_TableS5
CerebralCortex_N.n,CerebralCortex,N.n,Cx_N,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.n,CerebralCortex,N.n,Cx_N,DosSantos_etal_2017_TableS1
CerebralCortex_N.n,CerebralCortex,N.n,Cx_N,DosSantos_etal_2020_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cx_N,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cx_N,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.n,CerebralCortex,N.n,Cx_N,JardimMesseder_etal_2017_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cx_N,Kverkova_etal_2018_TableS5
CerebralCortex_N.n,CerebralCortex,N.n,NCX,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.n,CerebralCortex,N.n,NCX,DosSantos_etal_2017_TableS1
CerebralCortex_N.n,CerebralCortex,N.n,NCX,DosSantos_etal_2020_Table1
CerebralCortex_N.n,CerebralCortex,N.n,NCX,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.n,CerebralCortex,N.n,NCX,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.n,CerebralCortex,N.n,NCX,JardimMesseder_etal_2017_Table1
CerebralCortex_N.n,CerebralCortex,N.n,NCX,Kverkova_etal_2018_TableS5
CerebralCortex_N.n,CerebralCortex,N.n,NCxT,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.n,CerebralCortex,N.n,NCxT,DosSantos_etal_2017_TableS1
CerebralCortex_N.n,CerebralCortex,N.n,NCxT,DosSantos_etal_2020_Table1
CerebralCortex_N.n,CerebralCortex,N.n,NCxT,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.n,CerebralCortex,N.n,NCxT,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.n,CerebralCortex,N.n,NCxT,JardimMesseder_etal_2017_Table1
CerebralCortex_N.n,CerebralCortex,N.n,NCxT,Kverkova_etal_2018_TableS5
CerebralCortex_N.n_SD,CerebralCortex_N.n,SD,"Cerebral cortex N, n SD",HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.n_SD,CerebralCortex_N.n,SD,"Cerebral cortex N, n SD",Kverkova_etal_2018_TableS5
CerebralCortex_N.n_SD,CerebralCortex_N.n,SD,Cortex_N.n_SD,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.n_SD,CerebralCortex_N.n,SD,Cortex_N.n_SD,Kverkova_etal_2018_TableS5
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex (including Hp + amygdala)_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex (including Hp + amygdala)_Neurons/mg,DosSantos_etal_2017_TableS1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex (including Hp + amygdala)_Neurons/mg,DosSantos_etal_2020_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex (including Hp + amygdala)_Neurons/mg,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex (including Hp + amygdala)_Neurons/mg,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex (including Hp + amygdala)_Neurons/mg,JardimMesseder_etal_2017_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex N/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex N/mg,DosSantos_etal_2017_TableS1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex N/mg,DosSantos_etal_2020_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex N/mg,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex N/mg,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cerebral cortex N/mg,JardimMesseder_etal_2017_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cx_N/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cx_N/mg,DosSantos_etal_2017_TableS1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cx_N/mg,DosSantos_etal_2020_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cx_N/mg,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cx_N/mg,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,Cx_N/mg,JardimMesseder_etal_2017_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,"DN,CX",AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,"DN,CX",DosSantos_etal_2017_TableS1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,"DN,CX",DosSantos_etal_2020_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,"DN,CX",HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,"DN,CX",HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,"DN,CX",JardimMesseder_etal_2017_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCX,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCX,DosSantos_etal_2017_TableS1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCX,DosSantos_etal_2020_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCX,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCX,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCX,JardimMesseder_etal_2017_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCxT,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCxT,DosSantos_etal_2017_TableS1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCxT,DosSantos_etal_2020_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCxT,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCxT,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.p.mg,CerebralCortex,N.p.mg,DNCxT,JardimMesseder_etal_2017_Table1
CerebralCortex_N.p.mg_SD,CerebralCortex_N.p.mg,SD,Cerebral cortex N/mg SD,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.n,CerebralCortex,O.n,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.n,CerebralCortex,O.n,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.n,CerebralCortex,O.n,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells,JardimMesseder_etal_2017_Table1
CerebralCortex_O.n,CerebralCortex,O.n,"Cerebral cortex O, n",AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.n,CerebralCortex,O.n,"Cerebral cortex O, n",HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.n,CerebralCortex,O.n,"Cerebral cortex O, n",JardimMesseder_etal_2017_Table1
CerebralCortex_O.n,CerebralCortex,O.n,OCxT,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.n,CerebralCortex,O.n,OCxT,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.n,CerebralCortex,O.n,OCxT,JardimMesseder_etal_2017_Table1
CerebralCortex_O.n_SD,CerebralCortex_O.n,SD,"Cerebral cortex O, n SD",HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells/neuron,DosSantos_etal_2017_TableS1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells/neuron,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells/neuron,JardimMesseder_etal_2017_Table1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,Cerebral cortex O/N,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,Cerebral cortex O/N,DosSantos_etal_2017_TableS1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,Cerebral cortex O/N,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,Cerebral cortex O/N,JardimMesseder_etal_2017_Table1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,O/NCX,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,O/NCX,DosSantos_etal_2017_TableS1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,O/NCX,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,O/NCX,JardimMesseder_etal_2017_Table1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,O/NCXT,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,O/NCXT,DosSantos_etal_2017_TableS1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,O/NCXT,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.p.N,CerebralCortex,O.p.N,O/NCXT,JardimMesseder_etal_2017_Table1
CerebralCortex_O.p.N_SD,CerebralCortex_O.p.N,SD,Cerebral cortex O/N SD,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.p.mg,CerebralCortex,O.p.mg,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.p.mg,CerebralCortex,O.p.mg,Cerebral cortex (including Hp + amygdala)_Non-neuronal cells/mg,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.p.mg,CerebralCortex,O.p.mg,Cerebral cortex O/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_O.p.mg,CerebralCortex,O.p.mg,Cerebral cortex O/mg,HerculanoHouzel_etal_2015_Table1
CerebralCortex_O.p.mg_SD,CerebralCortex_O.p.mg,SD,Cerebral cortex O/mg SD,HerculanoHouzel_etal_2015_Table1
CerebralCortex_S.n,CerebralCortex,S.n,Cx_No. of samples,DosSantos_etal_2020_Table1
CerebralCortex_Source,CerebralCortex,Source,Cerebral cortex Source,HerculanoHouzel_etal_2015_Table1
Clade,Clade,,Clade,HerculanoHouzel_etal_2020_TABLE1
CommonName,CommonName,,Common Name,JardimMesseder_etal_2017_Table1
DiencephalonStriatum_Mass.g,DiencephalonStriatum,Mass.g,"Diencephalon + Striatum_Mass, g",AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_Mass.g,DiencephalonStriatum,Mass.g,"Diencephalon + Striatum_Mass, g",DosSantos_etal_2017_TableS1
DiencephalonStriatum_Mass.g,DiencephalonStriatum,Mass.g,MD+S,AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_Mass.g,DiencephalonStriatum,Mass.g,MD+S,DosSantos_etal_2017_TableS1
DiencephalonStriatum_N.n,DiencephalonStriatum,N.n,Diencephalon + Striatum_Neurons,AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_N.n,DiencephalonStriatum,N.n,Diencephalon + Striatum_Neurons,DosSantos_etal_2017_TableS1
DiencephalonStriatum_N.n,DiencephalonStriatum,N.n,ND+S,AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_N.n,DiencephalonStriatum,N.n,ND+S,DosSantos_etal_2017_TableS1
DiencephalonStriatum_N.p.mg,DiencephalonStriatum,N.p.mg,DND + S,AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_N.p.mg,DiencephalonStriatum,N.p.mg,DND + S,DosSantos_etal_2017_TableS1
DiencephalonStriatum_N.p.mg,DiencephalonStriatum,N.p.mg,Diencephalon + Striatum_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_N.p.mg,DiencephalonStriatum,N.p.mg,Diencephalon + Striatum_Neurons/mg,DosSantos_etal_2017_TableS1
DiencephalonStriatum_O.n,DiencephalonStriatum,O.n,Diencephalon + Striatum_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_O.p.N,DiencephalonStriatum,O.p.N,Diencephalon + Striatum_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_O.p.N,DiencephalonStriatum,O.p.N,Diencephalon + Striatum_Non-neuronal cells/neuron,DosSantos_etal_2017_TableS1
DiencephalonStriatum_O.p.N,DiencephalonStriatum,O.p.N,O/ND+S,AvelinodeSouza_etal_2025_TABLE1
DiencephalonStriatum_O.p.N,DiencephalonStriatum,O.p.N,O/ND+S,DosSantos_etal_2017_TableS1
DiencephalonStriatum_O.p.mg,DiencephalonStriatum,O.p.mg,Diencephalon + Striatum_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
EntorhinalCortex_Vol.mm3,EntorhinalCortex,Vol.mm3,Entorhinal cortex_Vol.mm3,Kverkova_etal_2018_TableS1
EntorhinalCortex_Vol.mm3_SD,EntorhinalCortex_Vol.mm3,SD,Entorhinal cortex_Vol.mm3_SD,Kverkova_etal_2018_TableS1
EntorhinalCortex_p.C.Brain,EntorhinalCortex,p.C.Brain,Entorhinal cortex_p.C.Brain,Kverkova_etal_2018_TableS1
Family,Family,,Family,HerculanoHouzel_etal_2020_TABLE1
Family,Family,,Family,HerculanoHouzel_etal_2020_TABLE2
Hippocampus_C.n,Hippocampus,C.n,Hp_C,DosSantos_etal_2020_Table1
Hippocampus_I.n,Hippocampus,I.n,Hp_I,DosSantos_etal_2020_Table1
Hippocampus_I.p.C,Hippocampus,I.p.C,Hp_I/C,DosSantos_etal_2020_unpublished
Hippocampus_I.p.N,Hippocampus,I.p.N,Hp_I/N,DosSantos_etal_2020_Table1
Hippocampus_I.p.mg,Hippocampus,I.p.mg,Hp_I/mg,DosSantos_etal_2020_Table1
Hippocampus_Mass.g,Hippocampus,Mass.g,"Hippocampus_Mass, g",AvelinodeSouza_etal_2025_TABLE1
Hippocampus_Mass.g,Hippocampus,Mass.g,"Hippocampus_Mass, g",DosSantos_etal_2017_TableS1
Hippocampus_Mass.g,Hippocampus,Mass.g,"Hippocampus_Mass, g",DosSantos_etal_2020_Table1
Hippocampus_Mass.g,Hippocampus,Mass.g,"Hippocampus_Mass, g",JardimMesseder_etal_2017_Table1
Hippocampus_Mass.g,Hippocampus,Mass.g,Hp_Structure mass (g),AvelinodeSouza_etal_2025_TABLE1
Hippocampus_Mass.g,Hippocampus,Mass.g,Hp_Structure mass (g),DosSantos_etal_2017_TableS1
Hippocampus_Mass.g,Hippocampus,Mass.g,Hp_Structure mass (g),DosSantos_etal_2020_Table1
Hippocampus_Mass.g,Hippocampus,Mass.g,Hp_Structure mass (g),JardimMesseder_etal_2017_Table1
Hippocampus_Mass.g,Hippocampus,Mass.g,MHP,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_Mass.g,Hippocampus,Mass.g,MHP,DosSantos_etal_2017_TableS1
Hippocampus_Mass.g,Hippocampus,Mass.g,MHP,DosSantos_etal_2020_Table1
Hippocampus_Mass.g,Hippocampus,Mass.g,MHP,JardimMesseder_etal_2017_Table1
Hippocampus_Mass.g,Hippocampus,Mass.g,MHP.g,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_Mass.g,Hippocampus,Mass.g,MHP.g,DosSantos_etal_2017_TableS1
Hippocampus_Mass.g,Hippocampus,Mass.g,MHP.g,DosSantos_etal_2020_Table1
Hippocampus_Mass.g,Hippocampus,Mass.g,MHP.g,JardimMesseder_etal_2017_Table1
Hippocampus_N.n,Hippocampus,N.n,Hippocampus_Neurons,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_N.n,Hippocampus,N.n,Hippocampus_Neurons,DosSantos_etal_2017_TableS1
Hippocampus_N.n,Hippocampus,N.n,Hippocampus_Neurons,DosSantos_etal_2020_Table1
Hippocampus_N.n,Hippocampus,N.n,Hippocampus_Neurons,JardimMesseder_etal_2017_Table1
Hippocampus_N.n,Hippocampus,N.n,Hp_N,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_N.n,Hippocampus,N.n,Hp_N,DosSantos_etal_2017_TableS1
Hippocampus_N.n,Hippocampus,N.n,Hp_N,DosSantos_etal_2020_Table1
Hippocampus_N.n,Hippocampus,N.n,Hp_N,JardimMesseder_etal_2017_Table1
Hippocampus_N.n,Hippocampus,N.n,NHP,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_N.n,Hippocampus,N.n,NHP,DosSantos_etal_2017_TableS1
Hippocampus_N.n,Hippocampus,N.n,NHP,DosSantos_etal_2020_Table1
Hippocampus_N.n,Hippocampus,N.n,NHP,JardimMesseder_etal_2017_Table1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,DNHP,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,DNHP,DosSantos_etal_2017_TableS1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,DNHP,DosSantos_etal_2020_Table1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,DNHP,JardimMesseder_etal_2017_Table1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,Hippocampus_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,Hippocampus_Neurons/mg,DosSantos_etal_2017_TableS1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,Hippocampus_Neurons/mg,DosSantos_etal_2020_Table1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,Hippocampus_Neurons/mg,JardimMesseder_etal_2017_Table1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,Hp_N/mg,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,Hp_N/mg,DosSantos_etal_2017_TableS1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,Hp_N/mg,DosSantos_etal_2020_Table1
Hippocampus_N.p.mg,Hippocampus,N.p.mg,Hp_N/mg,JardimMesseder_etal_2017_Table1
Hippocampus_O.n,Hippocampus,O.n,Hippocampus_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_O.n,Hippocampus,O.n,Hippocampus_Non-neuronal cells,JardimMesseder_etal_2017_Table1
Hippocampus_O.n,Hippocampus,O.n,OHP,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_O.n,Hippocampus,O.n,OHP,JardimMesseder_etal_2017_Table1
Hippocampus_O.p.N,Hippocampus,O.p.N,Hippocampus_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_O.p.N,Hippocampus,O.p.N,Hippocampus_Non-neuronal cells/neuron,DosSantos_etal_2017_TableS1
Hippocampus_O.p.N,Hippocampus,O.p.N,Hippocampus_Non-neuronal cells/neuron,JardimMesseder_etal_2017_Table1
Hippocampus_O.p.N,Hippocampus,O.p.N,O/NHP,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_O.p.N,Hippocampus,O.p.N,O/NHP,DosSantos_etal_2017_TableS1
Hippocampus_O.p.N,Hippocampus,O.p.N,O/NHP,JardimMesseder_etal_2017_Table1
Hippocampus_O.p.mg,Hippocampus,O.p.mg,Hippocampus_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
Hippocampus_S.n,Hippocampus,S.n,Hp_No. of samples,DosSantos_etal_2020_Table1
Hippocampus_Vol.mm3,Hippocampus,Vol.mm3,Hippocampus_Vol.mm3,Kverkova_etal_2018_TableS1
Hippocampus_Vol.mm3_SD,Hippocampus_Vol.mm3,SD,Hippocampus_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Hippocampus_p.C.Brain,Hippocampus,p.C.Brain,Hippocampus_p.C.Brain,Kverkova_etal_2018_TableS1
Hypothalamus_Vol.mm3,Hypothalamus,Vol.mm3,Hypothalamus_Vol.mm3,Kverkova_etal_2018_TableS1
Hypothalamus_Vol.mm3_SD,Hypothalamus_Vol.mm3,SD,Hypothalamus_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Hypothalamus_p.C.Brain,Hypothalamus,p.C.Brain,Hypothalamus_p.C.Brain,Kverkova_etal_2018_TableS1
Medulla_Mass.g,Medulla,Mass.g,"Medulla oblongata_Mass, g",AvelinodeSouza_etal_2025_TABLE1
Medulla_N.n,Medulla,N.n,Medulla oblongata_Neurons,AvelinodeSouza_etal_2025_TABLE1
Medulla_N.p.mg,Medulla,N.p.mg,Medulla oblongata_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
Medulla_O.n,Medulla,O.n,Medulla oblongata_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
Medulla_O.p.N,Medulla,O.p.N,Medulla oblongata_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
Medulla_O.p.mg,Medulla,O.p.mg,Medulla oblongata_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
Medulla_Vol.mm3,Medulla,Vol.mm3,Medulla oblongata_Vol.mm3,Kverkova_etal_2018_TableS1
Medulla_Vol.mm3_SD,Medulla_Vol.mm3,SD,Medulla oblongata_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Medulla_p.C.Brain,Medulla,p.C.Brain,Medulla oblongata_p.C.Brain,Kverkova_etal_2018_TableS1
MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum,Mass.g,MMES+D+S,DosSantos_etal_2017_TableS1
MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum,N.n,NMES+D+S,DosSantos_etal_2017_TableS1
MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum,N.p.mg,DNMES+D+S,DosSantos_etal_2017_TableS1
MesencephalonDiencephalonStriatum_O.p.N,MesencephalonDiencephalonStriatum,O.p.N,O/NMES+D+S,DosSantos_etal_2017_TableS1
MesencephalonMedulla_N.n,MesencephalonMedulla,N.n,Brain stem_N.n,Kverkova_etal_2018_TableS5
MesencephalonMedulla_N.n_SD,MesencephalonMedulla_N.n,SD,Brain stem_N.n_SD,Kverkova_etal_2018_TableS5
Mesencephalon_Mass.g,Mesencephalon,Mass.g,MMES,AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_Mass.g,Mesencephalon,Mass.g,MMES,DosSantos_etal_2017_TableS1
Mesencephalon_Mass.g,Mesencephalon,Mass.g,"Mesencephalon_Mass, g",AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_Mass.g,Mesencephalon,Mass.g,"Mesencephalon_Mass, g",DosSantos_etal_2017_TableS1
Mesencephalon_N.n,Mesencephalon,N.n,Mesencephalon_Neurons,AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_N.n,Mesencephalon,N.n,Mesencephalon_Neurons,DosSantos_etal_2017_TableS1
Mesencephalon_N.n,Mesencephalon,N.n,NMES,AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_N.n,Mesencephalon,N.n,NMES,DosSantos_etal_2017_TableS1
Mesencephalon_N.p.mg,Mesencephalon,N.p.mg,DNMES,AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_N.p.mg,Mesencephalon,N.p.mg,DNMES,DosSantos_etal_2017_TableS1
Mesencephalon_N.p.mg,Mesencephalon,N.p.mg,Mesencephalon_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_N.p.mg,Mesencephalon,N.p.mg,Mesencephalon_Neurons/mg,DosSantos_etal_2017_TableS1
Mesencephalon_O.n,Mesencephalon,O.n,Mesencephalon_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_O.p.N,Mesencephalon,O.p.N,Mesencephalon_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_O.p.N,Mesencephalon,O.p.N,Mesencephalon_Non-neuronal cells/neuron,DosSantos_etal_2017_TableS1
Mesencephalon_O.p.N,Mesencephalon,O.p.N,O/NMES,AvelinodeSouza_etal_2025_TABLE1
Mesencephalon_O.p.N,Mesencephalon,O.p.N,O/NMES,DosSantos_etal_2017_TableS1
Mesencephalon_O.p.mg,Mesencephalon,O.p.mg,Mesencephalon_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
Micro.or.mega,Micro.or.mega,,Micro/mega,HerculanoHouzel_etal_2020_TABLE1
Micro.or.mega,Micro.or.mega,,Micro/mega,HerculanoHouzel_etal_2020_TABLE2
Neocortex_Vol.mm3,Neocortex,Vol.mm3,Neocortex_Vol.mm3,Kverkova_etal_2018_TableS1
Neocortex_Vol.mm3_SD,Neocortex_Vol.mm3,SD,Neocortex_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Neocortex_p.C.Brain,Neocortex,p.C.Brain,Neocortex_p.C.Brain,Kverkova_etal_2018_TableS1
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,MOB,DosSantos_etal_2017_TableS1
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,MOB,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,MOB,JardimMesseder_etal_2017_Table1
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,MOB.g,DosSantos_etal_2017_TableS1
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,MOB.g,HerculanoHouzel_etal_2015_Table4
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,MOB.g,JardimMesseder_etal_2017_Table1
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,"Olfactory bulb Mass, g",DosSantos_etal_2017_TableS1
OlfactoryBulb_Mass.g,OlfactoryBulb,Mass.g,"Olfactory bulb Mass, g",HerculanoHouzel_etal_2015_Table4
